Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,DIA,424.10,429.32,421.98,428.26,3719528
2025-03-06,DIA,426.17,430.12,424.04,425.90,2824083
2025-03-05,DIA,425.21,431.60,424.45,430.47,3018256
2025-03-04,DIA,429.68,431.09,423.85,425.57,3586896
2025-03-03,DIA,439.54,440.69,429.48,432.09,3925156
2025-02-28,DIA,433.06,438.82,431.02,438.37,3249923
2025-02-27,DIA,434.44,438.75,432.10,432.35,3296871
2025-02-26,DIA,436.44,438.52,433.00,434.34,2427844
2025-02-25,DIA,435.54,437.54,432.65,436.13,2953060
2025-02-24,DIA,435.83,436.90,433.35,434.53,3629338
2025-02-21,DIA,439.10,439.39,433.35,434.15,3842204
2025-02-20,DIA,445.27,445.56,439.97,442.39,2959978
2025-02-19,DIA,444.78,446.80,443.55,446.67,2239430
2025-02-18,DIA,445.28,446.00,443.63,445.92,2451246
2025-02-14,DIA,447.10,448.04,445.35,445.79,2005431
2025-02-13,DIA,445.33,447.85,443.70,447.26,2961542
2025-02-12,DIA,442.34,444.79,441.07,443.63,2444480
2025-02-11,DIA,443.34,446.54,443.23,446.11,1436190
2025-02-10,DIA,445.82,446.27,443.10,444.78,1858118
2025-02-07,DIA,447.78,448.49,442.80,443.12,2259216
2025-02-06,DIA,449.35,449.73,445.39,447.36,1867218
2025-02-05,DIA,445.72,448.85,443.41,448.67,2273413
2025-02-04,DIA,444.23,446.00,443.27,445.53,1890532
2025-02-03,DIA,439.61,445.90,438.70,444.27,4527691
2025-01-31,DIA,450.03,450.36,445.04,445.39,3087430
2025-01-30,DIA,446.54,450.11,446.35,448.82,2322567
2025-01-29,DIA,448.21,449.61,445.77,447.18,2225147
2025-01-28,DIA,447.20,449.74,446.18,448.41,2233472
2025-01-27,DIA,440.64,447.31,440.54,447.12,3822372
2025-01-24,DIA,444.80,445.48,443.34,444.12,2022306
2025-01-23,DIA,441.52,445.45,441.52,445.38,2352493
2025-01-22,DIA,441.49,442.00,440.35,441.28,3724065
2025-01-21,DIA,436.35,440.43,436.31,440.10,2113769
2025-01-17,DIA,434.54,436.39,433.97,434.72,2771044
2025-01-16,DIA,432.09,432.91,430.76,431.56,2532462
2025-01-15,DIA,431.56,433.28,430.50,432.24,4059801
2025-01-14,DIA,424.88,425.51,421.55,425.15,2643309
2025-01-13,DIA,418.76,423.24,418.51,422.96,2608118
2025-01-10,DIA,424.28,424.33,418.80,419.33,3415503
2025-01-08,DIA,425.41,426.56,423.26,426.13,2020174
2025-01-07,DIA,428.90,429.32,423.86,425.33,2053905
2025-01-06,DIA,428.86,431.12,426.08,427.13,3463299
2025-01-03,DIA,425.85,427.77,424.20,427.16,2203508
2025-01-02,DIA,428.34,428.96,421.59,423.80,4234923
2024-12-31,DIA,426.91,427.74,424.04,425.50,2442722
2024-12-30,DIA,425.47,427.66,422.52,425.77,3858271
2024-12-27,DIA,430.58,432.29,427.43,430.00,2429126
2024-12-26,DIA,430.97,433.67,430.92,433.21,1869575
2024-12-24,DIA,428.89,432.63,428.28,432.50,1431692
2024-12-23,DIA,427.30,429.44,424.98,428.89,2602672
2024-12-20,DIA,422.06,432.08,421.72,428.54,6069637
2024-12-19,DIA,427.51,428.97,424.45,424.53,4947992
2024-12-18,DIA,435.98,438.04,423.98,424.22,6135731
2024-12-17,DIA,436.18,436.83,434.43,435.57,3130266
2024-12-16,DIA,439.65,440.67,437.95,438.37,1987507
2024-12-13,DIA,440.86,441.53,438.92,439.37,2548412
2024-12-12,DIA,442.49,443.12,440.05,440.27,3585334
2024-12-11,DIA,444.11,444.74,442.38,442.51,2084329
2024-12-10,DIA,444.51,445.80,442.95,443.69,2460960
2024-12-09,DIA,447.65,448.28,444.80,445.08,1998597
2024-12-06,DIA,449.49,449.96,446.78,447.15,1974297
2024-12-05,DIA,450.48,451.48,448.35,448.67,1917595
2024-12-04,DIA,449.85,451.55,448.78,450.94,3694365
2024-12-03,DIA,449.15,449.60,446.61,447.89,1697433
2024-12-02,DIA,450.61,451.00,447.93,448.74,2661196
2024-11-29,DIA,448.30,451.28,448.24,450.09,3473411
2024-11-27,DIA,449.18,450.64,447.37,447.74,2985905
2024-11-26,DIA,446.56,449.33,444.66,448.88,4126540
2024-11-25,DIA,446.61,448.40,445.40,447.56,2976142
2024-11-22,DIA,439.59,443.57,439.32,443.16,5492783
2024-11-21,DIA,435.86,440.54,433.63,438.97,7557979
2024-11-20,DIA,433.55,434.91,430.92,434.29,3955955
2024-11-19,DIA,430.73,434.12,429.64,432.84,3202450
2024-11-18,DIA,434.17,435.33,433.19,434.19,2245512
2024-11-15,DIA,435.84,436.51,433.52,434.51,3486886
2024-11-14,DIA,440.59,440.94,437.10,437.70,2528346
2024-11-13,DIA,439.91,441.55,438.44,439.81,2631015
2024-11-12,DIA,443.58,444.22,439.05,439.39,3482998
2024-11-11,DIA,441.88,444.87,441.82,443.01,4065119
2024-11-08,DIA,438.30,441.70,437.40,440.11,5014343
2024-11-07,DIA,437.53,438.25,436.43,437.39,4267866
2024-11-06,DIA,434.66,437.79,433.71,437.23,7271813
2024-11-05,DIA,418.27,422.62,417.71,422.30,3093111
2024-11-04,DIA,419.84,420.30,416.44,418.05,3125409
2024-11-01,DIA,419.67,423.30,419.31,420.42,3856415
2024-10-31,DIA,419.23,419.93,417.02,417.67,4297147
2024-10-30,DIA,422.02,424.65,421.45,421.75,2921224
2024-10-29,DIA,422.23,424.97,421.76,422.50,2697731
2024-10-28,DIA,423.55,424.82,423.27,424.07,2912041
2024-10-25,DIA,425.45,426.00,420.47,421.14,2518806
2024-10-24,DIA,424.32,424.67,421.94,423.78,1936579
2024-10-23,DIA,427.03,427.76,422.92,425.16,4006476
2024-10-22,DIA,427.64,430.42,427.16,429.31,2306146
2024-10-21,DIA,432.43,433.04,428.76,429.37,2702554
2024-10-18,DIA,432.26,433.20,430.33,432.64,2303743
2024-10-17,DIA,432.54,432.89,431.20,432.45,3462757
2024-10-16,DIA,427.18,431.08,426.92,430.72,2583653
2024-10-15,DIA,429.33,430.13,427.03,427.54,3291230
2024-10-14,DIA,428.32,431.42,427.19,430.89,2180640
2024-10-11,DIA,425.28,429.07,425.01,428.73,3753545
2024-10-10,DIA,425.00,425.07,423.04,424.66,2178990
2024-10-09,DIA,420.89,425.66,420.03,425.05,3935112
2024-10-08,DIA,420.51,421.28,418.71,420.80,1872930
2024-10-07,DIA,422.11,422.93,418.26,419.61,2632595
2024-10-04,DIA,422.37,423.61,419.66,423.41,2522161
2024-10-03,DIA,420.34,421.12,418.28,419.98,2534363
2024-10-02,DIA,421.83,422.50,419.58,421.91,2599556
2024-10-01,DIA,422.42,423.15,419.29,421.50,5101268
2024-09-30,DIA,422.42,423.30,419.08,423.12,3822989
2024-09-27,DIA,422.59,426.20,422.24,422.95,3667678
2024-09-26,DIA,421.24,422.12,420.20,421.62,2703650
2024-09-25,DIA,422.44,422.94,418.38,419.12,2047993
2024-09-24,DIA,421.67,422.65,420.38,422.13,2790689
2024-09-23,DIA,421.12,421.70,420.00,421.11,2318707
2024-09-20,DIA,419.38,421.30,418.50,420.57,2902184
2024-09-19,DIA,421.98,422.78,419.38,421.41,4073004
2024-09-18,DIA,417.50,421.00,415.55,416.19,3173627
2024-09-17,DIA,418.29,419.49,415.81,417.26,2561665
2024-09-16,DIA,416.45,418.55,415.65,417.38,3881097
2024-09-13,DIA,412.59,416.31,412.35,414.94,5210253
2024-09-12,DIA,409.70,412.00,407.48,411.97,3132876
2024-09-11,DIA,407.15,409.93,400.81,409.27,3134569
2024-09-10,DIA,410.10,410.13,404.97,408.26,1970733
2024-09-09,DIA,407.36,410.89,406.11,409.05,3038245
2024-09-06,DIA,408.96,411.00,403.78,404.47,3350997
2024-09-05,DIA,411.34,411.66,405.98,408.46,2234723
2024-09-04,DIA,409.97,412.55,409.23,410.42,2033972
2024-09-03,DIA,414.19,415.18,408.62,410.25,3754717
2024-08-30,DIA,414.51,416.55,412.12,416.21,2283768
2024-08-29,DIA,414.37,416.30,411.30,413.91,5024760
2024-08-28,DIA,412.66,413.93,408.71,411.34,2732564
2024-08-27,DIA,412.29,413.07,411.36,412.89,1710225
2024-08-26,DIA,412.64,414.52,411.65,412.72,3144951
2024-08-23,DIA,409.29,412.32,408.56,411.83,3818288
2024-08-22,DIA,409.70,410.50,406.02,407.48,2353499
2024-08-21,DIA,409.32,409.99,407.59,408.99,1439005
2024-08-20,DIA,408.62,409.35,407.78,408.56,1999606
2024-08-19,DIA,407.36,409.32,407.26,409.11,2012428
2024-08-16,DIA,405.03,407.37,404.60,406.74,2789195
2024-08-15,DIA,404.74,406.14,403.18,405.88,3764149
2024-08-14,DIA,397.74,400.88,397.51,400.09,5230413
2024-08-13,DIA,395.07,398.13,394.07,397.79,3510789
2024-08-12,DIA,395.95,396.04,392.61,393.77,1902029
2024-08-09,DIA,394.18,396.49,392.42,395.15,3380211
2024-08-08,DIA,389.51,395.14,389.24,394.52,2993543
2024-08-07,DIA,392.63,394.79,387.28,387.77,3969365
2024-08-06,DIA,387.56,394.52,386.26,389.96,4058038
2024-08-05,DIA,386.52,390.30,384.93,386.81,8680170
2024-08-02,DIA,399.93,400.38,393.56,397.13,4844932
2024-08-01,DIA,409.70,410.93,400.96,403.23,5497860
2024-07-31,DIA,407.46,412.01,406.49,408.49,5634760
2024-07-30,DIA,405.87,408.72,405.28,407.41,2576403
2024-07-29,DIA,406.86,407.00,403.96,405.51,2039018
2024-07-26,DIA,401.81,407.62,401.71,405.97,2810634
2024-07-25,DIA,398.63,404.39,398.37,399.49,4179842
2024-07-24,DIA,401.73,402.63,398.08,398.67,3701277
2024-07-23,DIA,404.29,405.29,403.22,403.49,1693478
2024-07-22,DIA,404.04,404.73,402.22,404.15,2313989
2024-07-19,DIA,405.37,406.06,401.95,402.95,4284514
2024-07-18,DIA,410.68,413.86,406.05,406.72,4922194
2024-07-17,DIA,408.56,412.34,408.56,411.93,4490623
2024-07-16,DIA,403.86,409.99,403.85,409.66,6547601
2024-07-15,DIA,402.47,403.58,401.40,402.36,4433484
2024-07-12,DIA,398.86,402.69,398.12,400.32,4711778
2024-07-11,DIA,397.50,398.89,396.31,397.63,4027421
2024-07-10,DIA,392.94,397.46,392.63,397.26,4234313
2024-07-09,DIA,393.22,395.04,391.47,392.94,3826722
2024-07-08,DIA,394.41,396.73,392.78,393.46,3374525
2024-07-05,DIA,393.19,394.00,391.65,393.70,2011070
2024-07-03,DIA,393.73,394.06,392.14,392.83,2319124
2024-07-02,DIA,390.79,393.29,390.69,393.29,1711557
2024-07-01,DIA,392.08,394.29,390.26,391.46,2536492
2024-06-28,DIA,391.37,394.32,389.20,391.13,3624358
2024-06-27,DIA,390.61,392.39,390.16,391.56,1601054
2024-06-26,DIA,390.09,391.73,389.01,391.24,1501877
2024-06-25,DIA,393.56,394.11,389.82,391.02,2923874
2024-06-24,DIA,392.47,395.59,391.90,393.98,3096624
2024-06-21,DIA,391.67,392.47,390.46,391.34,2594616
2024-06-20,DIA,388.74,393.11,388.38,392.07,3588047
2024-06-18,DIA,388.91,390.19,388.02,389.14,1848654
2024-06-17,DIA,385.25,389.21,384.98,388.58,2025268
2024-06-14,DIA,384.62,386.54,383.63,386.46,2884306
2024-06-13,DIA,386.82,387.67,384.59,386.88,3136085
2024-06-12,DIA,391.58,391.91,386.69,387.69,3866703
2024-06-11,DIA,387.66,388.20,384.90,387.97,2522641
2024-06-10,DIA,388.03,389.36,387.19,389.29,1382234
2024-06-07,DIA,388.88,391.62,387.89,388.49,1952036
2024-06-06,DIA,388.81,390.59,387.79,389.33,2241901
2024-06-05,DIA,388.60,388.97,385.97,388.53,2181357
2024-06-04,DIA,385.00,388.38,384.54,387.51,2822456
2024-06-03,DIA,387.87,387.89,382.93,386.24,3614283
2024-05-31,DIA,381.98,387.61,381.27,387.53,4748353
2024-05-30,DIA,381.37,382.40,380.41,381.48,4070361
2024-05-29,DIA,385.31,385.72,384.24,384.58,2714977
2024-05-28,DIA,389.81,390.22,387.02,388.60,2176119
2024-05-24,DIA,391.22,392.25,390.16,390.64,2072175
2024-05-23,DIA,397.06,397.09,390.25,390.66,3361204
2024-05-22,DIA,397.95,398.85,395.51,396.66,2647164
2024-05-21,DIA,398.32,399.06,397.77,398.78,1618266
2024-05-20,DIA,399.77,400.72,397.84,398.10,2094760
2024-05-17,DIA,399.11,400.02,398.44,399.95,2703120
2024-05-16,DIA,399.75,401.00,399.13,399.21,2877239
2024-05-15,DIA,397.24,399.50,396.94,399.28,3421205
2024-05-14,DIA,394.54,396.25,393.81,395.58,2702732
2024-05-13,DIA,396.38,396.61,394.07,394.46,2635805
2024-05-10,DIA,395.25,395.90,394.10,395.18,3505595
2024-05-09,DIA,390.11,394.26,390.01,394.00,4141242
2024-05-08,DIA,388.34,390.91,388.19,390.48,2855082
2024-05-07,DIA,389.17,389.75,388.34,388.74,2428600
2024-05-06,DIA,388.32,388.74,386.83,388.45,2596106
2024-05-03,DIA,387.14,387.99,385.06,386.77,4471092
2024-05-02,DIA,381.15,382.91,378.90,382.23,3535552
2024-05-01,DIA,378.38,383.48,377.98,378.89,5731591
2024-04-30,DIA,382.46,382.75,378.08,378.13,3463622
2024-04-29,DIA,383.10,384.03,382.07,383.80,3265901
2024-04-26,DIA,380.75,383.34,380.53,382.31,4252374
2024-04-25,DIA,379.79,381.55,377.48,380.92,4682844
2024-04-24,DIA,384.87,385.47,383.02,384.44,3575814
2024-04-23,DIA,383.69,385.59,382.91,385.02,3126359
2024-04-22,DIA,381.73,384.44,379.81,382.37,4128981
2024-04-19,DIA,378.69,381.03,377.92,379.80,5078592
2024-04-18,DIA,379.05,380.93,376.85,377.84,4579224
2024-04-17,DIA,379.21,380.19,376.14,377.45,4584927
2024-04-16,DIA,379.74,379.93,377.04,377.98,4383476
2024-04-15,DIA,383.33,383.82,376.60,377.31,4870703
2024-04-12,DIA,382.31,382.93,378.81,379.87,5305137
2024-04-11,DIA,385.47,386.08,382.00,384.54,3972750
2024-04-10,DIA,384.92,385.97,383.03,384.51,5173092
2024-04-09,DIA,389.62,389.98,385.73,388.84,3998827
2024-04-08,DIA,389.05,390.14,388.57,389.10,2427604
2024-04-05,DIA,386.35,390.45,386.08,388.86,4416053
2024-04-04,DIA,394.03,394.24,385.60,386.02,5012753
2024-04-03,DIA,391.68,392.92,389.99,391.26,3479883
2024-04-02,DIA,391.97,392.14,390.28,391.63,3980392
2024-04-01,DIA,397.82,398.05,394.73,395.33,3721947
2024-03-28,DIA,398.06,398.56,397.04,397.76,3154954
2024-03-27,DIA,395.00,397.58,394.47,397.56,4427305
2024-03-26,DIA,393.68,394.27,392.63,392.85,3395400
2024-03-25,DIA,393.92,394.15,392.82,392.95,2535639
2024-03-22,DIA,397.76,398.06,394.49,394.53,3156077
2024-03-21,DIA,396.31,398.82,395.81,397.75,4348433
2024-03-20,DIA,390.15,395.22,389.89,394.99,4823857
2024-03-19,DIA,388.16,391.09,387.47,390.90,3303843
2024-03-18,DIA,388.35,388.86,387.48,387.73,2060609
2024-03-15,DIA,387.74,389.26,386.04,387.00,4372282
2024-03-14,DIA,392.17,392.41,387.84,390.07,4433412
2024-03-13,DIA,391.69,392.79,390.06,391.22,2773074
2024-03-12,DIA,389.24,391.44,387.84,390.79,3270523
2024-03-11,DIA,386.92,388.65,385.50,388.42,3381651
2024-03-08,DIA,388.24,390.42,387.71,387.99,4256891
2024-03-07,DIA,389.07,389.72,387.83,388.45,2965692
2024-03-06,DIA,388.49,389.13,386.13,387.18,3039053
2024-03-05,DIA,388.99,389.29,384.92,386.19,4132398
2024-03-04,DIA,389.35,391.25,389.35,390.23,3048456
2024-03-01,DIA,389.85,391.61,388.88,391.31,3857487
2024-02-29,DIA,390.69,391.11,388.45,389.95,3026854
2024-02-28,DIA,387.94,389.74,387.60,389.60,3313885
2024-02-27,DIA,390.36,390.45,388.75,389.66,2370879
2024-02-26,DIA,391.45,392.41,390.24,390.71,1914059
2024-02-23,DIA,391.77,392.84,390.92,391.28,3451571
