Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,JNJ,165.13,168.46,164.70,166.69,9637593
2025-03-06,JNJ,165.00,165.87,163.51,165.83,8037888
2025-03-05,JNJ,164.51,166.46,163.53,165.12,8745050
2025-03-04,JNJ,168.08,169.99,165.32,165.42,11999962
2025-03-03,JNJ,164.96,167.33,164.84,167.28,9191464
2025-02-28,JNJ,164.31,165.94,162.70,165.02,12037415
2025-02-27,JNJ,162.31,163.95,161.73,163.73,8364573
2025-02-26,JNJ,165.08,165.13,162.56,163.08,11396410
2025-02-25,JNJ,164.10,166.43,163.94,166.09,12303697
2025-02-24,JNJ,162.68,164.87,162.05,163.74,10201917
2025-02-21,JNJ,159.88,163.51,159.28,162.30,12546930
2025-02-20,JNJ,156.95,159.95,156.95,159.68,7224030
2025-02-19,JNJ,155.00,158.30,154.75,157.89,7974736
2025-02-18,JNJ,154.14,155.45,153.24,154.99,9670657
2025-02-14,JNJ,157.29,157.47,156.06,156.15,6411840
2025-02-13,JNJ,155.26,158.13,154.79,157.25,10705077
2025-02-12,JNJ,155.27,155.66,154.27,155.26,7746014
2025-02-11,JNJ,154.11,156.39,153.94,156.13,7554811
2025-02-10,JNJ,153.61,154.37,152.29,154.24,6936561
2025-02-07,JNJ,153.53,154.49,152.80,153.12,6204916
2025-02-06,JNJ,154.79,154.84,153.38,153.51,7418468
2025-02-05,JNJ,153.82,154.73,153.31,154.69,8946957
2025-02-04,JNJ,151.36,154.18,150.95,153.49,9645289
2025-02-03,JNJ,152.00,152.47,150.78,151.87,6687487
2025-01-31,JNJ,152.62,153.18,152.06,152.15,8458715
2025-01-30,JNJ,151.91,154.14,151.36,152.87,8910983
2025-01-29,JNJ,150.50,151.88,150.00,151.15,7156421
2025-01-28,JNJ,152.66,152.97,150.30,150.38,10320613
2025-01-27,JNJ,148.45,153.45,148.00,152.89,15152314
2025-01-24,JNJ,146.81,147.63,146.38,146.82,9887682
2025-01-23,JNJ,145.44,147.91,144.81,146.64,10506361
2025-01-22,JNJ,144.00,145.47,142.11,145.27,16834747
2025-01-21,JNJ,147.56,148.86,147.05,148.15,11111747
2025-01-17,JNJ,147.44,148.38,146.61,147.03,10773054
2025-01-16,JNJ,144.32,148.07,144.06,147.77,8964016
2025-01-15,JNJ,145.31,146.05,144.26,144.97,7434562
2025-01-14,JNJ,144.50,144.81,142.86,144.75,8681741
2025-01-13,JNJ,142.98,145.07,142.31,144.47,10376377
2025-01-10,JNJ,141.00,143.67,140.68,142.06,8821541
2025-01-08,JNJ,145.49,145.59,141.44,142.27,11175552
2025-01-07,JNJ,143.76,147.18,143.59,146.23,8422010
2025-01-06,JNJ,143.51,144.82,142.93,143.66,7910493
2025-01-03,JNJ,144.07,144.58,143.62,144.19,5879816
2025-01-02,JNJ,145.23,145.77,143.78,144.02,6051330
2024-12-31,JNJ,143.76,144.67,143.31,144.62,5811401
2024-12-30,JNJ,144.84,144.88,142.95,143.34,6268692
2024-12-27,JNJ,144.87,146.60,144.68,145.05,5588306
2024-12-26,JNJ,145.51,146.37,145.09,145.58,4656981
2024-12-24,JNJ,145.00,145.85,144.33,145.85,3164071
2024-12-23,JNJ,144.63,145.33,143.45,145.27,8720824
2024-12-20,JNJ,143.05,145.47,142.75,144.47,17702755
2024-12-19,JNJ,144.14,145.22,143.37,143.58,9516653
2024-12-18,JNJ,145.68,146.74,144.67,144.75,9336094
2024-12-17,JNJ,143.84,146.66,143.71,146.41,10342958
2024-12-16,JNJ,146.73,147.25,143.52,143.85,8732378
2024-12-13,JNJ,145.66,146.93,145.04,146.62,8324900
2024-12-12,JNJ,147.20,147.77,146.01,146.24,6176269
2024-12-11,JNJ,148.50,148.50,146.37,146.64,13446656
2024-12-10,JNJ,149.93,150.83,148.33,149.23,9398671
2024-12-09,JNJ,149.29,150.89,148.44,149.60,8410303
2024-12-06,JNJ,149.39,150.05,148.38,149.31,8389611
2024-12-05,JNJ,150.00,150.38,148.95,149.52,7898098
2024-12-04,JNJ,151.29,151.56,149.75,150.47,10333110
2024-12-03,JNJ,154.80,154.80,152.31,152.36,8674415
2024-12-02,JNJ,154.75,155.00,153.93,154.80,6946494
2024-11-29,JNJ,154.89,155.67,154.17,155.01,5687821
2024-11-27,JNJ,154.63,156.63,154.60,155.40,4140444
2024-11-26,JNJ,155.16,155.25,153.16,154.52,5683499
2024-11-25,JNJ,155.17,157.04,155.14,155.78,12256242
2024-11-22,JNJ,155.90,157.12,154.11,155.17,8265961
2024-11-21,JNJ,153.62,156.06,152.81,155.50,10141056
2024-11-20,JNJ,153.03,153.25,151.81,153.11,9061274
2024-11-19,JNJ,153.95,153.99,152.05,153.00,8233678
2024-11-18,JNJ,152.59,155.33,152.33,154.77,7514177
2024-11-15,JNJ,150.90,154.43,150.90,154.00,11328515
2024-11-14,JNJ,153.18,153.59,150.76,151.87,7716385
2024-11-13,JNJ,152.50,153.51,151.42,153.24,7162233
2024-11-12,JNJ,154.53,155.04,152.37,152.64,7181408
2024-11-11,JNJ,155.62,157.58,154.91,155.04,7146759
2024-11-08,JNJ,157.00,157.08,155.41,155.47,8926134
2024-11-07,JNJ,158.47,158.75,156.51,156.73,7522812
2024-11-06,JNJ,159.90,160.85,157.36,157.88,8926601
2024-11-05,JNJ,157.67,158.59,156.35,158.35,6547074
2024-11-04,JNJ,159.70,160.28,158.07,158.24,4644011
2024-11-01,JNJ,160.58,161.06,159.88,160.13,5256652
2024-10-31,JNJ,159.99,160.87,159.46,159.86,8613860
2024-10-30,JNJ,159.45,161.28,159.03,160.61,5820530
2024-10-29,JNJ,161.46,162.17,160.06,160.09,5216879
2024-10-28,JNJ,161.13,161.97,161.00,161.60,4842653
2024-10-25,JNJ,163.68,163.92,160.61,160.88,6400449
2024-10-24,JNJ,165.00,165.51,163.34,163.67,5386525
2024-10-23,JNJ,162.82,166.00,162.42,165.86,7442026
2024-10-22,JNJ,162.32,163.73,161.90,163.45,5680612
2024-10-21,JNJ,165.10,165.25,162.31,162.83,6082736
2024-10-18,JNJ,164.89,165.29,163.93,165.12,5908012
2024-10-17,JNJ,164.26,165.00,163.63,164.47,4798238
2024-10-16,JNJ,164.00,164.99,162.64,164.28,5982291
2024-10-15,JNJ,160.00,166.75,159.00,164.10,10547966
2024-10-14,JNJ,161.40,162.14,160.90,161.60,5963961
2024-10-11,JNJ,162.18,162.66,161.20,161.46,5253459
2024-10-10,JNJ,161.36,161.39,160.00,160.51,4793889
2024-10-09,JNJ,159.92,161.22,159.51,160.65,6047269
2024-10-08,JNJ,159.49,160.25,158.95,159.69,4766250
2024-10-07,JNJ,160.25,160.86,159.22,159.53,4265971
2024-10-04,JNJ,159.63,160.50,158.78,160.29,5331694
2024-10-03,JNJ,160.78,161.44,160.22,160.50,4791223
2024-10-02,JNJ,161.51,162.12,160.65,161.17,4684472
2024-10-01,JNJ,162.43,162.75,161.18,161.99,4408019
2024-09-30,JNJ,161.57,162.18,160.68,162.06,6010407
2024-09-27,JNJ,162.00,163.43,161.34,161.40,7553905
2024-09-26,JNJ,160.24,161.54,160.02,161.39,6122231
2024-09-25,JNJ,163.00,163.32,160.36,160.60,5420011
2024-09-24,JNJ,162.79,163.49,161.55,162.78,6041561
2024-09-23,JNJ,164.40,164.50,162.72,163.22,4671645
2024-09-20,JNJ,164.30,164.87,163.55,164.16,11838967
2024-09-19,JNJ,166.23,166.37,164.42,164.82,4956119
2024-09-18,JNJ,166.63,168.35,165.74,166.15,4722765
2024-09-17,JNJ,166.24,167.72,165.93,167.07,5066586
2024-09-16,JNJ,166.36,167.25,165.78,166.99,5187887
2024-09-13,JNJ,164.74,165.75,163.82,165.52,3693548
2024-09-12,JNJ,164.20,165.10,162.71,164.64,4541046
2024-09-11,JNJ,166.79,166.79,164.09,164.82,5920165
2024-09-10,JNJ,167.50,168.46,166.75,167.38,6559734
2024-09-09,JNJ,164.84,167.41,164.47,166.61,7538233
2024-09-06,JNJ,165.18,165.94,164.12,164.38,6016884
2024-09-05,JNJ,167.20,167.37,164.83,164.99,4600392
2024-09-04,JNJ,167.81,168.85,166.04,167.36,6568082
2024-09-03,JNJ,165.24,167.81,164.77,167.16,6956452
2024-08-30,JNJ,164.12,165.98,163.81,165.86,7971017
2024-08-29,JNJ,164.63,164.72,163.36,164.23,7390125
2024-08-28,JNJ,163.00,165.00,162.71,163.92,5187198
2024-08-27,JNJ,163.50,164.04,162.16,162.95,4388728
2024-08-26,JNJ,164.17,165.71,163.54,164.61,6870622
2024-08-23,JNJ,162.50,164.22,161.70,164.13,7093429
2024-08-22,JNJ,162.00,162.49,160.79,162.35,6552142
