Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,TSLA,259.32,266.25,250.73,262.67,102369640
2025-03-06,TSLA,272.06,272.65,260.02,263.45,98451566
2025-03-05,TSLA,272.92,279.55,267.71,279.10,94042913
2025-03-04,TSLA,270.93,284.35,261.84,272.04,126706623
2025-03-03,TSLA,300.34,303.94,277.30,284.65,115551414
2025-02-28,TSLA,279.50,293.88,273.60,292.98,115696968
2025-02-27,TSLA,291.16,297.23,280.88,281.95,101748197
2025-02-26,TSLA,303.72,309.00,288.04,290.80,100118276
2025-02-25,TSLA,327.03,328.89,297.25,302.80,134228777
2025-02-24,TSLA,338.14,342.40,324.70,330.53,76052321
2025-02-21,TSLA,353.44,354.98,334.42,337.80,74058648
2025-02-20,TSLA,361.51,362.30,348.00,354.40,45965354
2025-02-19,TSLA,354.00,367.34,353.67,360.56,67094374
2025-02-18,TSLA,355.01,359.10,350.02,354.11,51631702
2025-02-14,TSLA,360.62,362.00,347.50,355.84,68277279
2025-02-13,TSLA,345.00,358.69,342.85,355.94,89441519
2025-02-12,TSLA,329.94,346.40,329.12,336.51,105382729
2025-02-11,TSLA,345.80,349.37,325.10,328.50,118543400
2025-02-10,TSLA,356.21,362.70,350.51,350.73,77514903
2025-02-07,TSLA,370.19,380.55,360.34,361.62,70298258
2025-02-06,TSLA,373.03,375.40,363.18,374.32,77918230
2025-02-05,TSLA,387.51,388.39,375.53,378.17,57614721
2025-02-04,TSLA,382.63,394.00,381.40,392.21,57072235
2025-02-03,TSLA,386.68,389.17,374.36,383.68,93732122
2025-01-31,TSLA,401.53,419.99,401.34,404.60,83568219
2025-01-30,TSLA,410.78,412.50,384.41,400.28,98092879
2025-01-29,TSLA,395.21,398.59,384.48,389.10,68033648
2025-01-28,TSLA,396.91,400.59,386.50,398.09,48910676
2025-01-27,TSLA,394.80,406.69,389.00,397.15,58125510
2025-01-24,TSLA,414.45,418.88,405.78,406.58,56427149
2025-01-23,TSLA,416.06,420.73,408.95,412.38,50690592
2025-01-22,TSLA,416.81,428.00,414.59,415.11,60963342
2025-01-21,TSLA,432.64,433.20,406.31,424.07,87320894
2025-01-17,TSLA,421.50,439.74,419.75,426.50,94991429
2025-01-16,TSLA,423.49,424.00,409.13,413.82,68335151
2025-01-15,TSLA,409.90,429.80,405.66,428.22,81375460
2025-01-14,TSLA,414.34,422.64,394.54,396.36,84565022
2025-01-13,TSLA,383.21,403.79,380.07,403.31,67580494
2025-01-10,TSLA,391.40,399.28,377.29,394.74,62287333
2025-01-08,TSLA,392.95,402.50,387.40,394.94,73038805
2025-01-07,TSLA,405.83,414.33,390.00,394.36,75699525
2025-01-06,TSLA,423.20,426.43,401.70,411.05,85516534
2025-01-03,TSLA,381.48,411.88,379.45,410.44,95423329
2025-01-02,TSLA,390.10,392.73,373.04,379.28,109710749
2024-12-31,TSLA,423.79,427.93,402.54,403.84,76825121
2024-12-30,TSLA,419.40,427.00,415.75,417.41,64941012
2024-12-27,TSLA,449.52,450.00,426.50,431.66,82666821
2024-12-26,TSLA,465.16,465.33,451.02,454.13,76651210
2024-12-24,TSLA,435.90,462.78,435.14,462.28,59551750
2024-12-23,TSLA,431.00,434.51,415.41,430.60,72698055
2024-12-20,TSLA,425.51,447.08,417.64,421.06,132216176
2024-12-19,TSLA,451.88,456.36,420.02,436.17,118566146
2024-12-18,TSLA,466.50,488.54,427.01,440.13,149340788
2024-12-17,TSLA,475.90,483.99,457.51,479.86,131222978
2024-12-16,TSLA,441.09,463.19,436.15,463.02,114083811
2024-12-13,TSLA,420.00,436.30,415.71,436.23,89000158
2024-12-12,TSLA,424.84,429.30,415.00,418.10,87752225
2024-12-11,TSLA,409.70,424.88,402.38,424.77,104287559
2024-12-10,TSLA,392.68,409.73,390.85,400.99,97563578
2024-12-09,TSLA,397.61,404.80,378.01,389.79,96359173
2024-12-06,TSLA,377.42,389.49,370.80,389.22,81455834
2024-12-05,TSLA,359.87,375.43,359.50,369.49,81403569
2024-12-04,TSLA,353.00,358.10,348.60,357.93,50810874
2024-12-03,TSLA,351.80,355.69,348.20,351.42,58267196
2024-12-02,TSLA,352.38,360.00,351.15,357.09,77986478
2024-11-29,TSLA,336.08,345.45,334.65,345.16,37167621
2024-11-27,TSLA,341.80,342.55,326.59,332.89,57896439
2024-11-26,TSLA,341.00,346.96,335.66,338.23,62295857
2024-11-25,TSLA,360.14,361.93,338.20,338.59,95890899
2024-11-22,TSLA,341.09,361.53,337.70,352.56,89140722
2024-11-21,TSLA,343.81,347.99,335.28,339.64,58011719
2024-11-20,TSLA,345.00,346.60,334.30,342.03,66340650
2024-11-19,TSLA,335.76,347.38,332.75,346.00,88852452
2024-11-18,TSLA,340.73,348.55,330.01,338.74,126547455
2024-11-15,TSLA,310.57,324.68,309.22,320.72,114440286
2024-11-14,TSLA,327.69,329.98,310.37,311.18,120726109
2024-11-13,TSLA,335.85,344.60,322.50,330.24,125405599
2024-11-12,TSLA,342.74,345.84,323.31,328.49,155726016
2024-11-11,TSLA,346.30,358.64,336.00,350.00,210521625
2024-11-08,TSLA,299.14,328.71,297.66,321.22,204782763
2024-11-07,TSLA,288.89,299.75,285.52,296.91,117309232
2024-11-06,TSLA,284.67,289.59,275.62,288.53,165228710
2024-11-05,TSLA,247.34,255.28,246.21,251.44,69282505
2024-11-04,TSLA,244.56,248.90,238.88,242.84,68802354
2024-11-01,TSLA,252.04,254.00,246.63,248.98,57544757
2024-10-31,TSLA,257.99,259.75,249.25,249.85,66575292
2024-10-30,TSLA,258.04,263.35,255.82,257.55,53993576
2024-10-29,TSLA,264.51,264.98,255.51,259.52,80521751
2024-10-28,TSLA,270.00,273.54,262.24,262.51,107653603
2024-10-25,TSLA,256.01,269.49,255.32,269.19,161611931
2024-10-24,TSLA,244.68,262.12,242.65,260.48,204491903
2024-10-23,TSLA,217.13,218.72,212.11,213.65,80938892
2024-10-22,TSLA,217.31,218.22,215.26,217.97,43268741
2024-10-21,TSLA,218.90,220.48,215.73,218.85,47328988
2024-10-18,TSLA,220.71,222.28,219.23,220.70,49611867
2024-10-17,TSLA,221.59,222.08,217.90,220.89,50791784
2024-10-16,TSLA,221.40,222.82,218.93,221.33,49632824
2024-10-15,TSLA,220.01,224.26,217.12,219.57,62988787
2024-10-14,TSLA,220.13,221.91,213.74,219.16,86291923
2024-10-11,TSLA,220.13,223.34,214.38,217.80,142628874
2024-10-10,TSLA,241.81,242.79,232.34,238.77,83087063
2024-10-09,TSLA,243.82,247.43,239.51,241.05,66289529
2024-10-08,TSLA,243.56,246.21,240.56,244.50,56303160
2024-10-07,TSLA,249.00,249.83,240.70,240.83,68113270
2024-10-04,TSLA,246.69,250.96,244.58,250.08,86726285
2024-10-03,TSLA,244.48,249.79,237.81,240.66,80729240
2024-10-02,TSLA,247.55,251.16,241.50,249.02,93983930
2024-10-01,TSLA,262.67,263.98,248.53,258.02,87397613
2024-09-30,TSLA,259.04,264.86,255.77,261.63,80873381
2024-09-27,TSLA,257.38,260.70,254.12,260.46,70988067
2024-09-26,TSLA,260.60,261.75,251.53,254.22,67142193
2024-09-25,TSLA,252.54,257.05,252.28,257.02,65034318
2024-09-24,TSLA,254.08,257.19,249.05,254.27,88490999
2024-09-23,TSLA,242.61,250.00,241.92,250.00,86927194
2024-09-20,TSLA,241.52,243.99,235.92,238.25,99879070
2024-09-19,TSLA,234.00,244.24,232.13,243.92,102694576
2024-09-18,TSLA,230.09,235.68,226.88,227.20,78010204
2024-09-17,TSLA,229.45,234.57,226.55,227.87,66761636
2024-09-16,TSLA,229.30,229.96,223.53,226.78,54322995
2024-09-13,TSLA,228.00,232.67,226.32,230.29,59515114
2024-09-12,TSLA,224.66,231.45,223.83,229.81,72020042
2024-09-11,TSLA,224.55,228.47,216.80,228.13,83548633
2024-09-10,TSLA,220.07,226.40,218.64,226.17,78891136
2024-09-09,TSLA,216.20,219.87,213.67,216.27,67443518
2024-09-06,TSLA,232.60,233.60,210.51,210.73,112177004
2024-09-05,TSLA,223.49,235.00,222.25,230.17,119355013
2024-09-04,TSLA,210.59,222.22,210.57,219.41,80217329
2024-09-03,TSLA,215.26,219.90,209.64,210.60,76714222
2024-08-30,TSLA,208.63,214.57,207.03,214.11,63370608
2024-08-29,TSLA,209.80,214.89,205.97,206.28,62308818
2024-08-28,TSLA,209.72,211.84,202.59,205.75,64116350
2024-08-27,TSLA,213.25,215.66,206.94,209.21,62821390
2024-08-26,TSLA,218.75,219.09,211.01,213.21,59301187
2024-08-23,TSLA,214.46,221.48,214.21,220.32,81525207
2024-08-22,TSLA,223.82,224.80,210.32,210.66,79514482
2024-08-21,TSLA,222.67,224.66,218.86,223.27,70145964
2024-08-20,TSLA,224.88,228.22,219.56,221.10,74001182
2024-08-19,TSLA,217.07,222.98,214.09,222.72,76435222
2024-08-16,TSLA,211.15,219.80,210.80,216.12,88765122
2024-08-15,TSLA,205.02,215.88,204.82,214.14,89848530
2024-08-14,TSLA,207.39,208.44,198.75,201.38,70250014
2024-08-13,TSLA,198.47,208.49,197.06,207.83,76247387
2024-08-12,TSLA,199.02,199.26,194.67,197.49,64044903
2024-08-09,TSLA,197.05,200.88,195.11,200.00,58648274
2024-08-08,TSLA,195.70,200.70,192.04,198.84,65033874
2024-08-07,TSLA,200.77,203.49,191.48,191.76,71159778
2024-08-06,TSLA,200.75,202.90,192.67,200.64,73783942
2024-08-05,TSLA,185.22,203.88,182.00,198.88,100308836
2024-08-02,TSLA,214.88,216.13,205.78,207.67,82880120
2024-08-01,TSLA,227.69,231.87,214.33,216.86,83861898
2024-07-31,TSLA,227.90,234.68,226.79,232.07,67497011
2024-07-30,TSLA,232.25,232.41,220.00,222.62,100560334
2024-07-29,TSLA,224.90,234.27,224.70,232.10,129201789
2024-07-26,TSLA,221.19,222.28,215.33,219.80,94604145
2024-07-25,TSLA,216.80,226.00,216.23,220.25,100636466
2024-07-24,TSLA,225.42,225.99,214.71,215.99,167942939
2024-07-23,TSLA,253.60,255.76,245.63,246.38,111928192
2024-07-22,TSLA,244.21,253.21,243.75,251.51,101225430
2024-07-19,TSLA,247.79,249.44,236.83,239.20,87403903
2024-07-18,TSLA,251.09,257.14,247.20,249.23,110869037
2024-07-17,TSLA,252.73,258.47,246.18,248.50,115584810
2024-07-16,TSLA,255.31,258.62,245.80,256.56,126332470
2024-07-15,TSLA,255.97,265.60,251.73,252.64,146912920
2024-07-12,TSLA,235.80,251.84,233.09,248.23,155955773
2024-07-11,TSLA,263.30,271.00,239.65,241.03,221707273
2024-07-10,TSLA,262.80,267.59,257.86,263.26,128519430
2024-07-09,TSLA,251.00,265.61,250.30,262.33,160742516
2024-07-08,TSLA,247.71,259.44,244.57,252.94,157219580
2024-07-05,TSLA,249.81,252.37,242.46,251.52,154501152
2024-07-03,TSLA,234.56,248.35,234.25,246.39,166561471
2024-07-02,TSLA,218.89,231.30,218.06,231.26,205047920
2024-07-01,TSLA,201.02,213.23,200.85,209.86,135691395
2024-06-28,TSLA,199.55,203.20,195.26,197.88,95438068
2024-06-27,TSLA,195.17,198.72,194.05,197.42,72746521
2024-06-26,TSLA,186.54,197.76,186.36,196.37,95737066
2024-06-25,TSLA,184.40,187.97,182.01,187.35,63678265
2024-06-24,TSLA,184.97,188.80,182.55,182.58,61992070
2024-06-21,TSLA,182.30,183.95,180.69,183.01,63029482
2024-06-20,TSLA,184.68,185.21,179.66,181.57,55893139
2024-06-18,TSLA,186.56,187.20,182.37,184.86,68982265
2024-06-17,TSLA,177.92,188.81,177.00,187.44,109786083
2024-06-14,TSLA,185.80,186.00,176.92,178.01,82038194
2024-06-13,TSLA,188.39,191.08,181.23,182.47,118984122
2024-06-12,TSLA,171.12,180.55,169.80,177.29,90389446
2024-06-11,TSLA,173.92,174.75,167.41,170.66,64761928
2024-06-10,TSLA,176.06,178.57,173.17,173.79,50869682
2024-06-07,TSLA,176.13,179.35,175.58,177.48,56244932
2024-06-06,TSLA,174.60,179.73,172.73,177.94,69887024
2024-06-05,TSLA,175.35,176.15,172.13,175.00,57953756
2024-06-04,TSLA,174.78,177.76,174.00,174.77,60056340
2024-06-03,TSLA,178.13,182.64,174.49,176.29,68568920
2024-05-31,TSLA,178.50,180.32,173.82,178.08,67314602
2024-05-30,TSLA,178.58,182.67,175.38,178.79,77784755
2024-05-29,TSLA,174.19,178.15,173.93,176.19,54782649
2024-05-28,TSLA,176.40,178.25,173.16,176.75,59736620
2024-05-24,TSLA,174.84,180.08,173.73,179.24,65584478
2024-05-23,TSLA,181.80,181.90,173.26,173.74,71975496
2024-05-22,TSLA,182.85,183.80,178.12,180.11,88313477
2024-05-21,TSLA,175.51,186.88,174.71,186.60,115266512
2024-05-20,TSLA,177.56,177.75,173.52,174.95,61727425
2024-05-17,TSLA,173.55,179.63,172.75,177.46,77445845
2024-05-16,TSLA,174.10,175.79,171.43,174.84,59812220
2024-05-15,TSLA,179.90,180.00,173.11,173.99,79662993
2024-05-14,TSLA,174.50,179.49,174.07,177.55,86407422
2024-05-13,TSLA,170.00,175.40,169.00,171.89,67018903
2024-05-10,TSLA,173.05,173.06,167.75,168.47,72627178
2024-05-09,TSLA,175.01,175.62,171.37,171.97,65950292
2024-05-08,TSLA,171.59,176.06,170.15,174.72,79969488
2024-05-07,TSLA,182.40,183.26,177.40,177.81,75045854
2024-05-06,TSLA,183.80,187.56,182.20,184.76,84390253
2024-05-03,TSLA,182.10,184.78,178.42,181.19,75491539
2024-05-02,TSLA,182.86,184.60,176.02,180.01,89148041
2024-05-01,TSLA,182.00,185.86,179.01,179.99,92829719
2024-04-30,TSLA,186.98,190.95,182.84,183.28,127031787
2024-04-29,TSLA,188.42,198.87,184.54,194.05,243869678
2024-04-26,TSLA,168.85,172.12,166.37,168.29,109815725
2024-04-25,TSLA,158.96,170.88,158.36,170.18,126427521
2024-04-24,TSLA,162.84,167.97,157.51,162.13,181178020
2024-04-23,TSLA,143.33,147.26,141.11,144.68,124545104
2024-04-22,TSLA,140.56,144.44,138.80,142.05,107097564
2024-04-19,TSLA,148.97,150.94,146.22,147.05,87074500
2024-04-18,TSLA,151.25,152.20,148.70,149.93,96098830
2024-04-17,TSLA,157.64,158.33,153.78,155.45,82439718
2024-04-16,TSLA,156.74,158.19,153.75,157.11,96999956
2024-04-15,TSLA,170.24,170.69,161.38,161.48,100245310
2024-04-12,TSLA,172.34,173.81,170.36,171.05,64722669
2024-04-11,TSLA,172.55,175.88,168.51,174.60,94515987
2024-04-10,TSLA,173.04,174.93,170.01,171.76,84532407
2024-04-09,TSLA,172.91,179.22,171.92,176.88,102327658
2024-04-08,TSLA,169.34,174.50,167.79,172.98,104039371
2024-04-05,TSLA,169.08,170.86,160.51,164.90,136439809
2024-04-04,TSLA,170.07,177.19,168.01,171.11,122061224
2024-04-03,TSLA,164.02,168.82,163.28,168.38,82223543
2024-04-02,TSLA,164.75,167.69,163.43,166.63,115344925
2024-04-01,TSLA,176.17,176.75,170.21,175.22,80751684
2024-03-28,TSLA,177.45,179.57,175.30,175.79,77654838
2024-03-27,TSLA,181.41,181.91,176.00,179.83,81804043
2024-03-26,TSLA,178.58,184.25,177.38,177.67,113186227
2024-03-25,TSLA,168.76,175.24,168.73,172.63,74228615
2024-03-22,TSLA,166.69,171.20,166.30,170.83,75580637
2024-03-21,TSLA,176.39,178.18,171.80,172.82,73178014
2024-03-20,TSLA,173.00,176.25,170.82,175.66,83846726
2024-03-19,TSLA,172.36,172.82,167.42,171.32,77271428
