Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,UNH,483.83,499.92,483.37,493.48,5434096
2025-03-06,UNH,476.00,488.12,472.00,487.72,4963988
2025-03-05,UNH,471.07,479.08,471.01,475.98,3637102
2025-03-04,UNH,469.75,479.21,466.46,474.61,5864135
2025-03-03,UNH,474.37,477.27,465.21,467.05,5700194
2025-02-28,UNH,467.00,476.36,464.48,474.96,6146326
2025-02-27,UNH,466.17,475.40,465.02,468.56,4216771
2025-02-26,UNH,464.65,473.05,458.20,463.59,5108381
2025-02-25,UNH,460.77,470.76,450.07,470.38,9100970
2025-02-24,UNH,466.68,468.00,457.00,461.52,6919337
2025-02-21,UNH,439.55,469.70,438.50,466.42,19864874
2025-02-20,UNH,505.19,508.43,500.24,502.42,4144301
2025-02-19,UNH,501.33,511.86,498.15,511.04,4380314
2025-02-18,UNH,510.94,516.00,497.00,500.73,8759280
2025-02-14,UNH,529.00,533.20,522.91,523.51,3705326
2025-02-13,UNH,530.90,534.33,527.10,531.18,2835051
2025-02-12,UNH,539.85,542.35,525.51,527.40,3859241
2025-02-11,UNH,535.00,547.54,528.27,533.92,2632107
2025-02-10,UNH,527.67,534.16,523.38,533.37,3143143
2025-02-07,UNH,529.20,532.39,525.39,527.03,3349299
2025-02-06,UNH,537.89,539.10,525.27,530.04,3926829
2025-02-05,UNH,530.73,540.70,521.91,539.81,4621558
2025-02-04,UNH,545.20,548.81,541.51,545.45,2869935
2025-02-03,UNH,542.00,553.91,541.07,548.18,4083572
2025-01-31,UNH,543.24,549.16,541.41,542.49,4120661
2025-01-30,UNH,539.47,547.11,535.00,545.57,2924741
2025-01-29,UNH,541.73,543.48,534.01,538.10,2737638
2025-01-28,UNH,543.01,546.50,537.84,542.48,3162659
2025-01-27,UNH,539.98,551.91,539.98,543.52,4262959
2025-01-24,UNH,528.11,534.63,524.51,532.51,3671163
2025-01-23,UNH,527.87,531.48,519.32,529.77,4580802
2025-01-22,UNH,521.66,524.44,516.00,519.72,3756139
2025-01-21,UNH,514.05,525.00,512.82,524.99,5682082
2025-01-17,UNH,505.62,521.82,502.80,509.76,7495719
2025-01-16,UNH,530.35,539.84,510.00,510.59,9059887
2025-01-15,UNH,537.10,546.29,534.33,543.42,4103865
2025-01-14,UNH,539.65,544.55,536.55,543.74,3978259
2025-01-13,UNH,535.05,547.40,533.14,541.14,6472465
2025-01-10,UNH,526.64,535.45,518.47,520.69,5467532
2025-01-08,UNH,514.50,524.67,509.51,524.52,4141728
2025-01-07,UNH,518.85,519.50,511.22,514.25,3914545
