Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,WFC,72.25,72.25,68.10,71.05,21256856
2025-03-06,WFC,73.79,73.89,71.63,72.65,19460421
2025-03-05,WFC,73.21,74.63,72.44,74.16,20422009
2025-03-04,WFC,75.47,75.65,71.34,73.30,28858219
2025-03-03,WFC,78.86,78.98,76.32,77.03,18013395
2025-02-28,WFC,77.04,78.42,76.59,78.32,24698778
2025-02-27,WFC,76.99,77.92,76.38,76.62,13744399
2025-02-26,WFC,76.35,77.77,76.27,76.45,13466826
2025-02-25,WFC,77.87,78.04,74.93,76.00,15683388
2025-02-24,WFC,77.97,78.52,76.41,77.22,12989712
2025-02-21,WFC,78.91,79.45,77.33,77.50,18205374
2025-02-20,WFC,80.11,80.28,78.02,78.63,14807119
2025-02-19,WFC,80.32,80.65,79.97,80.35,13917415
2025-02-18,WFC,79.99,80.95,79.49,80.78,15318290
2025-02-14,WFC,79.23,80.34,78.89,79.98,17521307
2025-02-13,WFC,79.43,79.66,78.61,78.85,10093391
2025-02-12,WFC,79.20,79.72,78.83,79.25,13440503
2025-02-11,WFC,78.77,79.97,77.81,79.64,16683024
2025-02-10,WFC,80.46,80.57,78.25,79.10,18357356
2025-02-07,WFC,81.27,81.30,79.09,80.67,17951665
2025-02-06,WFC,80.50,81.50,79.91,81.42,16988870
2025-02-05,WFC,79.66,80.35,79.18,80.05,17930960
2025-02-04,WFC,79.84,79.85,78.44,79.47,14665238
2025-02-03,WFC,77.23,78.51,77.02,78.14,12395165
2025-01-31,WFC,78.70,79.29,78.31,78.80,14983820
2025-01-30,WFC,79.15,79.24,78.08,78.82,11275962
2025-01-29,WFC,77.75,78.98,77.61,78.37,9175363
2025-01-28,WFC,77.87,78.15,77.17,77.88,11561996
2025-01-27,WFC,77.40,78.04,76.89,77.94,10637065
2025-01-24,WFC,77.00,77.65,77.00,77.32,10393298
2025-01-23,WFC,77.71,78.30,77.03,77.43,12981823
2025-01-22,WFC,77.57,77.81,76.87,77.54,11669520
2025-01-21,WFC,77.69,78.29,77.33,77.85,21057650
2025-01-17,WFC,75.98,77.25,75.50,77.08,20673730
2025-01-16,WFC,75.85,76.44,74.69,75.95,22897930
2025-01-15,WFC,75.36,76.82,73.65,75.95,33482930
2025-01-14,WFC,71.46,71.46,70.29,71.19,21909821
2025-01-13,WFC,69.90,70.61,69.56,70.53,10439794
2025-01-10,WFC,70.90,70.93,69.34,69.96,14466594
2025-01-08,WFC,71.51,72.08,71.06,71.57,16544696
2025-01-07,WFC,72.98,73.13,71.51,71.59,13521984
2025-01-06,WFC,71.93,73.25,71.53,72.03,15565647
2025-01-03,WFC,70.35,71.42,69.74,71.31,9154750
2025-01-02,WFC,70.48,71.21,69.76,70.19,8303301
2024-12-31,WFC,70.53,70.92,70.06,70.24,7031615
2024-12-30,WFC,70.41,70.80,69.77,70.41,8443769
2024-12-27,WFC,71.18,71.74,70.63,71.11,7219740
2024-12-26,WFC,71.43,71.84,71.11,71.76,6964333
2024-12-24,WFC,70.67,71.59,70.54,71.59,4442654
2024-12-23,WFC,69.72,70.69,69.62,70.54,11816967
2024-12-20,WFC,69.17,71.04,68.77,70.34,50113370
2024-12-19,WFC,69.40,70.69,68.67,68.85,16444623
2024-12-18,WFC,70.61,71.50,68.61,68.76,21201203
2024-12-17,WFC,71.05,71.54,70.38,70.81,15595907
2024-12-16,WFC,70.47,72.29,69.82,71.98,24602530
2024-12-13,WFC,70.85,71.05,70.02,70.44,16794527
2024-12-12,WFC,71.88,72.06,70.79,70.80,12446710
2024-12-11,WFC,72.59,72.92,71.45,71.60,11867433
2024-12-10,WFC,73.50,73.50,71.90,72.05,12277491
2024-12-09,WFC,74.31,74.55,72.42,72.62,15517503
2024-12-06,WFC,73.99,74.72,73.73,74.33,14798102
2024-12-05,WFC,73.40,74.61,73.10,73.66,17766742
2024-12-04,WFC,74.05,74.25,72.71,73.06,14301098
2024-12-03,WFC,75.81,75.85,74.02,74.14,15047857
2024-12-02,WFC,76.95,76.95,74.80,75.28,18274471
2024-11-29,WFC,77.69,78.04,76.14,76.17,9785038
2024-11-27,WFC,77.37,77.79,76.43,77.21,19793927
2024-11-26,WFC,77.50,78.13,76.36,77.35,19139091
2024-11-25,WFC,76.20,77.31,75.97,76.90,28636560
2024-11-22,WFC,74.57,76.08,74.55,75.96,14997402
2024-11-21,WFC,73.94,76.04,73.94,74.83,20068239
2024-11-20,WFC,73.67,73.78,72.43,73.58,14415359
2024-11-19,WFC,73.62,74.16,73.13,73.43,15412942
2024-11-18,WFC,74.50,74.70,73.72,74.09,18440126
2024-11-15,WFC,73.00,74.41,72.89,74.34,18836977
2024-11-14,WFC,72.85,73.47,72.51,72.80,13654820
2024-11-13,WFC,72.75,73.96,72.66,72.77,18823337
2024-11-12,WFC,72.78,73.37,72.11,72.60,17848158
2024-11-11,WFC,71.02,73.25,71.02,72.56,17117844
2024-11-08,WFC,70.01,70.13,69.36,70.04,14270937
2024-11-07,WFC,71.64,71.67,69.74,69.82,18681172
2024-11-06,WFC,73.30,74.27,69.95,72.47,63689141
2024-11-05,WFC,64.00,64.50,63.62,64.07,13447215
2024-11-04,WFC,64.56,64.65,63.05,63.70,12607419
2024-11-01,WFC,65.22,65.58,64.62,64.68,13313938
2024-10-31,WFC,65.10,65.75,64.63,64.92,12963150
2024-10-30,WFC,65.13,66.40,65.13,65.41,16021700
2024-10-29,WFC,65.49,66.00,65.24,65.30,13205453
2024-10-28,WFC,65.00,65.75,64.81,65.61,16158895
2024-10-25,WFC,65.85,65.95,64.25,64.53,14855494
2024-10-24,WFC,64.62,65.57,64.33,65.43,18393320
2024-10-23,WFC,64.77,65.05,63.86,64.56,18380876
2024-10-22,WFC,64.02,65.21,64.00,64.81,26164886
2024-10-21,WFC,64.48,64.69,63.92,64.02,15603359
2024-10-18,WFC,64.41,64.78,63.83,64.36,19234041
2024-10-17,WFC,64.49,64.72,63.50,64.38,15073498
2024-10-16,WFC,63.24,64.08,63.12,63.89,17412649
2024-10-15,WFC,62.91,63.82,62.23,63.03,24693400
2024-10-14,WFC,61.27,63.35,60.94,62.16,30758849
2024-10-11,WFC,59.96,61.72,59.92,60.99,37049236
2024-10-10,WFC,57.72,58.39,57.35,57.75,12743970
2024-10-09,WFC,57.32,57.73,57.07,57.54,12415302
2024-10-08,WFC,58.28,58.28,57.27,57.30,12073043
2024-10-07,WFC,57.23,57.63,56.80,57.16,11177802
2024-10-04,WFC,55.99,57.13,55.98,56.96,14594449
2024-10-03,WFC,55.08,55.21,54.41,54.98,8135347
2024-10-02,WFC,55.33,55.81,54.92,55.30,9007156
2024-10-01,WFC,56.00,56.03,55.20,55.39,11069395
2024-09-30,WFC,55.66,56.52,55.48,56.49,16286042
2024-09-27,WFC,56.62,56.62,55.80,55.90,13530435
2024-09-26,WFC,54.04,57.11,53.32,56.39,34463426
2024-09-25,WFC,54.28,54.33,53.41,53.61,10555705
2024-09-24,WFC,55.12,55.19,53.79,54.16,16365645
2024-09-23,WFC,56.26,56.52,54.90,55.11,14759257
2024-09-20,WFC,55.35,56.29,54.88,56.29,45276002
2024-09-19,WFC,55.01,56.01,54.65,55.80,21399027
2024-09-18,WFC,54.46,55.19,54.10,54.26,20108994
2024-09-17,WFC,53.97,55.07,53.97,54.51,15885201
2024-09-16,WFC,52.81,53.93,52.81,53.79,18066190
2024-09-13,WFC,51.86,53.04,51.75,52.78,24762027
2024-09-12,WFC,53.73,54.34,50.22,51.57,42605419
2024-09-11,WFC,53.72,53.86,52.43,53.73,17322037
2024-09-10,WFC,56.00,56.10,53.38,53.95,24649976
2024-09-09,WFC,54.73,55.08,54.43,54.59,17134809
2024-09-06,WFC,56.68,56.78,53.69,54.00,21853782
2024-09-05,WFC,58.62,58.68,56.54,56.86,18301040
2024-09-04,WFC,58.49,59.00,57.72,58.12,10975761
2024-09-03,WFC,58.62,58.95,57.90,58.37,15933591
2024-08-30,WFC,57.45,58.58,57.38,58.47,20377255
2024-08-29,WFC,57.31,57.77,56.51,57.35,9283465
2024-08-28,WFC,56.06,57.36,56.03,57.07,11905210
2024-08-27,WFC,56.71,56.92,56.16,56.26,7638523
2024-08-26,WFC,57.02,57.15,56.54,56.72,9478780
2024-08-23,WFC,56.42,57.40,56.32,56.70,17074409
