Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,XOM,108.41,110.40,108.30,109.02,19624965
2025-03-06,XOM,105.43,108.11,104.36,107.62,17150233
2025-03-05,XOM,105.84,106.33,103.67,105.44,24822245
2025-03-04,XOM,106.36,108.96,105.94,107.54,19394905
2025-03-03,XOM,111.70,112.16,106.51,107.76,18706879
2025-02-28,XOM,110.11,111.58,109.34,111.33,18821665
2025-02-27,XOM,110.01,111.29,109.28,110.15,15293173
2025-02-26,XOM,109.74,109.87,108.52,109.46,10446405
2025-02-25,XOM,111.30,112.13,108.89,109.73,14496964
2025-02-24,XOM,110.93,111.86,110.32,111.27,13153471
2025-02-21,XOM,111.32,111.85,110.56,110.69,14709985
2025-02-20,XOM,110.57,112.42,109.95,112.00,16325803
2025-02-19,XOM,110.76,112.13,110.06,110.30,10964698
2025-02-18,XOM,108.63,110.99,108.32,110.14,20060298
2025-02-14,XOM,108.52,110.23,108.10,108.24,15733529
2025-02-13,XOM,107.15,108.41,106.52,108.13,15459952
2025-02-12,XOM,110.05,110.23,107.18,107.35,18244122
2025-02-11,XOM,111.60,112.51,110.82,111.67,12713127
2025-02-10,XOM,110.01,111.03,109.88,110.97,12142197
2025-02-07,XOM,108.78,109.73,108.32,108.89,10051626
2025-02-06,XOM,110.77,111.05,107.99,108.43,13411401
2025-02-05,XOM,109.74,110.01,109.10,109.88,13364387
2025-02-04,XOM,106.71,110.28,106.53,109.96,14835692
2025-02-03,XOM,106.64,107.30,105.32,107.09,14623197
2025-01-31,XOM,110.55,110.55,106.10,106.83,20381446
2025-01-30,XOM,109.24,109.85,108.70,109.57,14346335
2025-01-29,XOM,107.71,108.78,107.47,108.67,12345523
2025-01-28,XOM,110.41,110.87,107.79,108.04,15862029
2025-01-27,XOM,109.01,110.45,108.39,110.17,15926670
2025-01-24,XOM,110.24,110.71,108.41,108.66,14235885
2025-01-23,XOM,110.31,111.14,109.61,110.15,13726784
2025-01-22,XOM,111.20,111.57,109.40,109.53,15718012
2025-01-21,XOM,112.05,112.18,111.13,111.47,20416286
2025-01-17,XOM,111.03,112.87,110.82,112.32,19298504
2025-01-16,XOM,111.19,111.69,110.55,111.32,10366585
2025-01-15,XOM,110.05,111.73,109.47,111.51,14521095
2025-01-14,XOM,108.79,109.76,107.83,109.72,11191175
2025-01-13,XOM,107.13,109.63,107.13,109.29,17073395
2025-01-10,XOM,108.70,110.10,105.78,106.54,19304499
2025-01-08,XOM,107.31,107.71,106.01,106.93,17858110
2025-01-07,XOM,108.94,110.06,108.28,108.75,12625890
2025-01-06,XOM,108.24,109.78,107.52,107.74,15623677
2025-01-03,XOM,108.00,108.49,107.46,107.86,14237885
2025-01-02,XOM,108.28,109.00,106.88,107.31,12685447
2024-12-31,XOM,106.17,107.90,105.78,107.57,12387756
2024-12-30,XOM,106.30,106.56,105.51,105.76,11080770
2024-12-27,XOM,106.30,107.99,105.77,106.48,11943906
2024-12-26,XOM,106.52,107.03,105.94,106.49,9653408
2024-12-24,XOM,106.52,107.19,105.70,106.40,7806997
2024-12-23,XOM,105.31,106.60,104.92,106.30,12285078
2024-12-20,XOM,105.45,106.14,104.84,105.87,40141153
2024-12-19,XOM,107.39,107.67,105.21,105.51,20565557
2024-12-18,XOM,107.57,108.83,106.31,106.42,17114542
2024-12-17,XOM,107.24,108.17,106.79,108.01,17553995
2024-12-16,XOM,110.20,110.40,108.16,108.47,20256088
2024-12-13,XOM,111.90,111.90,110.25,110.84,13106079
2024-12-12,XOM,111.59,112.38,110.78,111.82,14543256
2024-12-11,XOM,112.00,112.39,111.11,111.92,32392238
2024-12-10,XOM,113.59,113.88,111.75,112.67,20990943
2024-12-09,XOM,114.64,114.94,112.75,112.90,17412565
2024-12-06,XOM,114.54,114.77,113.50,113.57,16171066
2024-12-05,XOM,114.71,115.62,114.06,114.78,15751204
2024-12-04,XOM,117.50,117.55,113.86,114.28,19520583
2024-12-03,XOM,118.72,118.72,117.26,117.67,11756566
2024-12-02,XOM,118.05,118.20,116.82,117.85,12687317
2024-11-29,XOM,117.44,118.50,116.95,117.96,9426499
2024-11-27,XOM,118.09,118.73,117.43,117.66,11079122
2024-11-26,XOM,119.53,119.68,117.85,117.97,14827327
2024-11-25,XOM,121.43,121.88,119.61,119.97,26580295
2024-11-22,XOM,121.82,123.21,121.64,121.79,13323431
2024-11-21,XOM,121.08,122.55,120.27,121.93,14675422
2024-11-20,XOM,119.17,120.47,118.64,120.32,11360932
2024-11-19,XOM,119.75,119.75,118.20,118.63,11584382
2024-11-18,XOM,119.79,120.62,119.27,120.31,14243701
2024-11-15,XOM,120.40,121.24,119.13,119.31,19051713
2024-11-14,XOM,121.66,121.88,120.33,120.56,13041845
2024-11-13,XOM,120.57,122.05,118.80,121.47,15127877
2024-11-12,XOM,121.13,121.31,119.84,120.35,11972802
2024-11-11,XOM,121.00,121.62,120.07,120.47,11969663
2024-11-08,XOM,120.98,121.42,119.66,121.11,12835969
2024-11-07,XOM,121.30,121.50,119.61,121.15,12184431
2024-11-06,XOM,121.15,121.91,119.30,121.00,20807681
2024-11-05,XOM,119.08,119.21,118.01,118.96,10436744
2024-11-04,XOM,116.07,118.70,115.93,118.61,14965433
2024-11-01,XOM,119.93,119.95,114.84,114.95,20939321
2024-10-31,XOM,117.15,118.67,116.68,116.78,20511977
2024-10-30,XOM,117.66,118.27,116.48,116.69,12303738
2024-10-29,XOM,118.58,119.17,117.07,117.28,14731024
2024-10-28,XOM,116.79,119.01,116.77,118.90,11844545
2024-10-25,XOM,120.20,120.43,119.32,119.49,10714583
2024-10-24,XOM,120.00,120.44,119.13,119.59,9905556
2024-10-23,XOM,119.97,120.75,119.40,120.27,8320330
2024-10-22,XOM,120.26,121.19,119.94,120.70,9201408
2024-10-21,XOM,120.98,121.48,119.72,120.08,10177777
2024-10-18,XOM,120.44,120.64,119.15,120.01,12898640
2024-10-17,XOM,120.76,121.58,119.71,120.35,11204857
2024-10-16,XOM,120.89,121.44,120.60,120.66,8426770
2024-10-15,XOM,120.82,121.95,119.78,120.35,15771317
2024-10-14,XOM,123.24,124.26,122.62,124.08,9808122
2024-10-11,XOM,123.10,124.03,122.94,123.61,8294839
2024-10-10,XOM,123.16,123.70,122.29,123.14,10243320
2024-10-09,XOM,120.90,122.58,120.80,122.09,11144864
2024-10-08,XOM,123.88,124.02,121.26,122.04,14818475
2024-10-07,XOM,125.25,126.34,124.86,125.37,15714440
2024-10-04,XOM,123.20,125.19,122.43,124.83,19759207
2024-10-03,XOM,121.90,123.17,120.93,122.58,16524334
2024-10-02,XOM,121.93,122.82,120.20,121.52,17129676
2024-10-01,XOM,116.04,120.60,115.93,119.93,23235878
2024-09-30,XOM,115.46,117.39,114.96,117.22,13250657
