Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,ABNB,134.71,134.73,130.37,134.39,5616851
2025-03-06,ABNB,140.33,140.33,134.61,134.77,5924270
2025-03-05,ABNB,141.87,142.79,139.21,142.58,3881642
2025-03-04,ABNB,140.00,143.23,137.82,141.42,4799516
2025-03-03,ABNB,140.34,144.75,139.90,140.98,6688879
2025-02-28,ABNB,139.50,140.16,137.59,138.87,6253063
2025-02-27,ABNB,144.63,145.69,139.05,139.45,4411760
2025-02-26,ABNB,143.16,145.13,142.22,144.03,2910748
2025-02-25,ABNB,144.79,145.16,140.40,141.55,6189194
2025-02-24,ABNB,147.00,147.07,143.88,144.82,4478917
2025-02-21,ABNB,154.57,154.57,145.75,146.07,7356423
2025-02-20,ABNB,156.32,157.75,152.47,155.31,5099655
2025-02-19,ABNB,160.00,160.00,155.21,157.98,6906074
2025-02-18,ABNB,161.04,162.58,158.07,160.60,8144501
2025-02-14,ABNB,158.19,163.93,156.93,161.42,21649318
2025-02-13,ABNB,139.64,141.94,138.76,141.04,12745328
2025-02-12,ABNB,133.07,141.20,132.79,140.52,6147194
2025-02-11,ABNB,134.91,136.25,134.09,134.52,4042978
2025-02-10,ABNB,136.30,136.36,133.16,135.24,4760053
2025-02-07,ABNB,134.70,139.50,133.91,134.98,5933237
2025-02-06,ABNB,130.16,133.19,130.15,132.57,3704352
2025-02-05,ABNB,130.27,130.34,128.10,129.60,3001069
2025-02-04,ABNB,129.58,131.49,129.08,130.74,2687169
2025-02-03,ABNB,129.19,130.96,127.52,129.78,2745002
2025-01-31,ABNB,132.28,134.45,130.57,131.17,3047116
2025-01-30,ABNB,133.56,134.37,130.85,131.79,2440541
2025-01-29,ABNB,131.42,134.05,130.89,132.58,3627926
2025-01-28,ABNB,128.67,131.42,126.86,131.05,5929900
2025-01-27,ABNB,125.94,129.06,125.64,128.96,4806967
2025-01-24,ABNB,132.61,132.72,126.72,127.09,6966883
2025-01-23,ABNB,132.40,133.64,131.78,133.24,3968199
2025-01-22,ABNB,133.00,135.00,132.34,132.50,5028540
2025-01-21,ABNB,135.47,135.64,131.24,133.07,5396777
2025-01-17,ABNB,134.17,135.62,132.69,135.12,3751223
2025-01-16,ABNB,132.00,132.95,129.82,132.16,2904932
2025-01-15,ABNB,130.19,133.15,130.16,132.52,3732921
2025-01-14,ABNB,129.82,131.10,127.17,127.60,3999323
2025-01-13,ABNB,128.59,130.13,128.08,128.85,3510639
2025-01-10,ABNB,131.30,133.05,128.80,129.63,4325415
2025-01-08,ABNB,131.20,131.63,130.10,130.80,3204678
2025-01-07,ABNB,135.35,136.77,130.81,131.29,4290458
2025-01-06,ABNB,137.00,138.10,134.58,135.20,4174471
2025-01-03,ABNB,131.98,136.36,131.94,135.71,3607355
2025-01-02,ABNB,131.87,134.23,130.41,131.48,2606269
2024-12-31,ABNB,132.46,133.19,131.27,131.41,2312564
2024-12-30,ABNB,131.31,132.61,129.85,131.81,2458835
2024-12-27,ABNB,133.59,134.50,132.16,133.39,2650366
2024-12-26,ABNB,134.24,136.27,134.24,135.32,2067513
2024-12-24,ABNB,134.33,135.07,132.83,134.99,1677060
2024-12-23,ABNB,134.81,135.58,132.21,134.52,4728474
2024-12-20,ABNB,128.63,135.82,128.34,134.21,15471727
2024-12-19,ABNB,129.13,131.08,127.91,129.35,4745008
2024-12-18,ABNB,132.03,133.71,127.23,127.54,4236662
2024-12-17,ABNB,132.20,132.61,130.88,132.24,3126163
2024-12-16,ABNB,131.22,133.28,129.17,132.20,4136299
2024-12-13,ABNB,136.65,137.02,130.75,130.95,5288524
2024-12-12,ABNB,138.10,139.10,134.40,137.47,4254067
2024-12-11,ABNB,138.68,140.17,137.21,138.84,4096469
2024-12-10,ABNB,137.19,139.89,136.62,138.30,4777826
2024-12-09,ABNB,137.00,138.97,136.59,137.27,3648659
2024-12-06,ABNB,137.75,138.86,136.56,136.92,4295842
2024-12-05,ABNB,138.84,140.38,135.51,136.32,6174926
2024-12-04,ABNB,136.55,139.15,134.85,139.07,3893417
2024-12-03,ABNB,136.97,138.37,135.38,137.46,4681376
2024-12-02,ABNB,136.01,137.60,135.69,137.49,3608673
2024-11-29,ABNB,138.53,139.53,135.83,136.11,2664219
2024-11-27,ABNB,139.67,140.41,137.68,138.28,2657033
2024-11-26,ABNB,140.78,141.75,139.18,139.67,3228419
2024-11-25,ABNB,138.01,141.00,137.75,140.93,7930535
2024-11-22,ABNB,133.30,140.76,133.30,137.34,6301099
2024-11-21,ABNB,134.18,134.95,132.58,133.26,4061137
2024-11-20,ABNB,130.22,135.38,130.22,135.25,5537419
2024-11-19,ABNB,131.15,131.96,129.87,131.44,5172381
2024-11-18,ABNB,132.56,133.45,131.58,132.19,4511595
