Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,ACN,339.00,342.89,335.91,342.18,4459864
2025-03-06,ACN,344.52,347.10,339.82,341.84,3467603
2025-03-05,ACN,345.22,348.80,343.46,348.26,2578507
2025-03-04,ACN,342.18,349.24,342.00,345.78,3156307
2025-03-03,ACN,349.42,351.99,343.01,344.99,3011081
2025-02-28,ACN,357.15,359.14,342.41,348.50,5768387
2025-02-27,ACN,358.05,361.62,355.37,356.87,2735432
2025-02-26,ACN,362.70,363.01,356.86,358.35,2267552
2025-02-25,ACN,361.08,365.58,359.50,362.95,1947670
2025-02-24,ACN,364.41,366.93,361.06,363.91,2755807
2025-02-21,ACN,380.00,382.77,363.93,364.26,3751685
2025-02-20,ACN,387.87,390.00,384.25,384.84,2252397
2025-02-19,ACN,385.99,392.02,384.44,390.22,1438209
2025-02-18,ACN,384.63,390.49,381.49,387.56,3701100
2025-02-14,ACN,390.00,391.00,387.43,388.00,2024720
2025-02-13,ACN,388.61,390.91,384.73,389.53,3387284
2025-02-12,ACN,386.05,391.51,386.00,388.83,2251324
2025-02-11,ACN,385.00,390.35,383.89,390.01,2121376
2025-02-10,ACN,388.24,390.00,385.19,386.89,1771588
2025-02-07,ACN,389.00,390.53,385.36,385.98,2437376
2025-02-06,ACN,395.20,397.88,385.92,387.34,2828177
2025-02-05,ACN,390.82,398.35,390.42,398.25,3463369
2025-02-04,ACN,381.51,392.45,380.55,391.62,3166584
2025-02-03,ACN,381.14,386.66,378.54,385.21,2792940
2025-01-31,ACN,380.75,387.00,379.64,384.95,3106584
2025-01-30,ACN,378.00,385.91,376.72,380.75,2218868
2025-01-29,ACN,379.87,381.90,373.18,374.42,2345609
2025-01-28,ACN,372.00,382.02,370.75,378.39,4052934
2025-01-27,ACN,359.32,373.85,358.93,373.15,3855922
2025-01-24,ACN,362.14,364.00,360.15,362.41,1827829
2025-01-23,ACN,358.09,363.32,357.65,363.26,2111099
2025-01-22,ACN,358.24,360.17,354.84,359.11,3155962
2025-01-21,ACN,349.25,356.86,348.00,356.42,3098800
2025-01-17,ACN,354.92,357.00,351.91,352.59,4064786
2025-01-16,ACN,349.11,353.25,347.00,350.56,2025844
2025-01-15,ACN,352.35,355.20,349.06,349.73,2624034
2025-01-14,ACN,351.21,352.52,345.63,348.99,1825402
2025-01-13,ACN,345.13,350.91,344.37,349.14,2711293
2025-01-10,ACN,355.03,358.00,348.74,349.79,2830056
2025-01-08,ACN,361.00,363.60,355.35,357.73,2217337
2025-01-07,ACN,355.35,363.22,353.81,356.39,4663137
2025-01-06,ACN,352.81,354.49,349.65,351.33,2356428
2025-01-03,ACN,350.00,354.82,349.09,353.85,2029853
2025-01-02,ACN,353.10,354.81,346.11,348.82,2255167
2024-12-31,ACN,354.98,355.08,350.43,351.79,1748650
2024-12-30,ACN,352.61,354.63,349.23,352.49,1490172
2024-12-27,ACN,358.78,360.43,354.00,356.18,1195720
2024-12-26,ACN,360.35,361.95,359.07,360.43,910457
2024-12-24,ACN,359.95,361.95,358.54,361.63,1075396
2024-12-23,ACN,360.58,362.96,355.73,358.77,3549390
2024-12-20,ACN,370.70,372.07,362.00,366.37,7013200
2024-12-19,ACN,365.00,376.91,363.19,372.16,6075459
2024-12-18,ACN,357.30,359.40,347.12,347.61,3232909
2024-12-17,ACN,357.36,358.48,353.02,357.30,2479098
2024-12-16,ACN,359.55,361.02,356.45,357.06,2306717
2024-12-13,ACN,359.58,360.76,356.25,358.68,1808745
2024-12-12,ACN,361.31,362.00,355.40,360.18,1834173
2024-12-11,ACN,363.85,366.59,363.43,363.84,1541560
2024-12-10,ACN,358.52,366.35,357.09,362.90,2157906
2024-12-09,ACN,360.45,366.00,358.10,359.50,2185184
2024-12-06,ACN,365.30,371.88,361.55,362.70,2332307
2024-12-05,ACN,356.07,358.90,354.89,358.13,1821291
2024-12-04,ACN,353.67,362.11,353.11,360.03,2074025
