Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,AES,10.88,11.48,10.83,11.25,20482995
2025-03-06,AES,10.86,10.90,10.57,10.87,10358756
2025-03-05,AES,10.80,11.02,10.65,10.96,13399272
2025-03-04,AES,11.26,11.34,10.74,10.82,20308016
2025-03-03,AES,11.15,11.62,10.98,11.19,25025201
2025-02-28,AES,11.05,12.00,10.75,11.59,71508424
2025-02-27,AES,10.97,10.97,10.38,10.38,16285618
2025-02-26,AES,10.95,11.04,10.70,10.92,12192601
2025-02-25,AES,10.72,10.97,10.60,10.86,12791966
2025-02-24,AES,10.57,10.73,10.36,10.72,10345927
2025-02-21,AES,10.78,10.94,10.55,10.59,19722962
2025-02-20,AES,10.46,10.83,10.42,10.67,13167585
2025-02-19,AES,10.28,10.43,10.25,10.40,10035799
2025-02-18,AES,9.98,10.33,9.88,10.29,16920857
2025-02-14,AES,10.16,10.26,9.91,9.93,18458172
2025-02-13,AES,10.15,10.20,9.90,10.14,13016491
2025-02-12,AES,10.09,10.16,10.00,10.09,14970506
2025-02-11,AES,10.45,10.50,10.00,10.23,26357211
2025-02-10,AES,10.60,10.84,10.52,10.75,10232739
2025-02-07,AES,10.81,10.84,10.54,10.57,9380142
2025-02-06,AES,10.54,10.91,10.49,10.82,11712773
2025-02-05,AES,10.63,10.73,10.41,10.48,14480220
2025-02-04,AES,10.60,10.75,10.33,10.61,15267773
2025-02-03,AES,10.81,10.85,10.39,10.71,19129302
2025-01-31,AES,11.18,11.25,10.92,11.00,21785893
2025-01-30,AES,11.29,11.42,11.11,11.27,13074076
2025-01-29,AES,11.12,11.26,11.07,11.15,14872446
2025-01-28,AES,11.43,11.48,10.81,11.01,22668142
2025-01-27,AES,11.55,11.72,11.18,11.44,15476476
2025-01-24,AES,11.58,11.84,11.57,11.60,12143929
2025-01-23,AES,11.15,11.58,11.08,11.53,14042739
2025-01-22,AES,11.65,11.71,11.09,11.13,17876116
2025-01-21,AES,11.95,11.98,11.69,11.75,13194028
2025-01-17,AES,12.03,12.11,11.71,11.82,12469718
2025-01-16,AES,11.74,12.12,11.71,12.00,14562980
2025-01-15,AES,12.18,12.33,11.75,11.77,9278338
2025-01-14,AES,11.78,12.00,11.71,11.85,11151251
2025-01-13,AES,12.00,12.08,11.57,11.69,14181405
2025-01-10,AES,12.30,12.31,11.96,12.02,16108784
2025-01-08,AES,12.81,12.81,12.09,12.40,17785689
2025-01-07,AES,13.22,13.26,12.84,12.95,12871838
2025-01-06,AES,13.30,13.44,13.00,13.01,12320274
2025-01-03,AES,13.15,13.38,13.02,13.23,8762923
2025-01-02,AES,13.05,13.21,12.96,13.05,8670132
2024-12-31,AES,12.70,13.10,12.66,12.87,9508096
2024-12-30,AES,12.67,12.71,12.34,12.65,10800653
2024-12-27,AES,12.75,12.83,12.58,12.75,9280650
2024-12-26,AES,12.96,12.99,12.76,12.84,7272445
2024-12-24,AES,13.00,13.05,12.88,13.02,3967429
2024-12-23,AES,12.89,13.09,12.78,13.06,10108284
2024-12-20,AES,12.36,13.11,12.36,13.00,25105679
2024-12-19,AES,12.45,12.58,12.24,12.44,15220771
2024-12-18,AES,12.90,13.11,12.49,12.50,12404936
2024-12-17,AES,13.08,13.25,12.80,12.87,10465737
2024-12-16,AES,13.18,13.31,13.11,13.15,11369167
2024-12-13,AES,13.50,13.61,13.09,13.35,10761415
2024-12-12,AES,13.62,13.79,13.51,13.52,12058092
2024-12-11,AES,13.67,13.79,13.51,13.59,14140544
2024-12-10,AES,13.45,13.77,13.41,13.64,13348944
2024-12-09,AES,13.31,13.95,13.22,13.60,18021632
2024-12-06,AES,13.39,13.49,13.01,13.05,8687536
2024-12-05,AES,13.50,13.65,13.20,13.29,13809099
2024-12-04,AES,13.01,13.95,13.01,13.43,24649749
2024-12-03,AES,13.11,13.38,13.03,13.05,13176887
2024-12-02,AES,13.06,13.28,12.88,13.01,11820597
2024-11-29,AES,13.00,13.16,12.96,13.04,7963533
2024-11-27,AES,12.65,13.19,12.65,12.99,16716342
2024-11-26,AES,13.00,13.05,12.53,12.58,20868713
2024-11-25,AES,13.13,13.38,13.05,13.16,17646779
2024-11-22,AES,13.29,13.53,12.97,13.04,29753068
2024-11-21,AES,13.26,13.38,13.04,13.25,21346591
2024-11-20,AES,13.75,13.82,13.16,13.28,17947526
2024-11-19,AES,13.60,13.83,13.46,13.75,11811244
2024-11-18,AES,13.86,13.93,13.73,13.74,8500040
2024-11-15,AES,14.13,14.17,13.75,13.97,11948903
2024-11-14,AES,13.69,14.36,13.58,14.00,13488297
2024-11-13,AES,13.63,13.65,13.38,13.62,11706131
2024-11-12,AES,13.97,14.12,13.27,13.45,14508423
2024-11-11,AES,13.86,13.94,13.33,13.89,21883787
2024-11-08,AES,13.56,13.83,13.30,13.60,19844688
2024-11-07,AES,14.16,14.23,13.62,13.65,25879817
2024-11-06,AES,14.68,14.71,13.85,14.20,30290848
2024-11-05,AES,15.07,15.52,14.81,15.51,14503185
2024-11-04,AES,14.90,15.67,14.86,15.23,15466111
2024-11-01,AES,16.09,16.20,14.68,14.71,30895243
2024-10-31,AES,16.42,16.61,16.35,16.49,14759572
2024-10-30,AES,16.60,16.65,16.37,16.42,11624234
2024-10-29,AES,16.85,16.86,16.37,16.52,11215702
2024-10-28,AES,17.07,17.37,17.03,17.05,5239478
2024-10-25,AES,17.09,17.22,16.90,16.96,6808961
2024-10-24,AES,17.06,17.17,16.85,16.98,6478751
2024-10-23,AES,16.92,17.33,16.83,17.08,9463587
2024-10-22,AES,17.02,17.14,16.73,17.00,11199630
2024-10-21,AES,17.52,17.67,17.09,17.21,7460858
2024-10-18,AES,17.38,17.47,17.19,17.47,4422377
2024-10-17,AES,17.89,17.98,17.18,17.25,8137477
2024-10-16,AES,17.59,17.95,17.52,17.89,10226916
2024-10-15,AES,18.07,18.31,17.37,17.41,10491907
2024-10-14,AES,17.32,17.52,17.30,17.46,5815313
2024-10-11,AES,17.23,17.41,17.08,17.32,7074972
2024-10-10,AES,17.68,17.68,17.33,17.33,7463407
2024-10-09,AES,18.00,18.15,17.60,17.69,7439008
2024-10-08,AES,18.46,18.58,18.12,18.15,4914413
2024-10-07,AES,18.84,19.00,18.48,18.67,7918994
2024-10-04,AES,19.08,19.29,18.77,18.91,10668366
2024-10-03,AES,19.92,20.01,19.10,19.13,8837139
2024-10-02,AES,20.01,20.25,19.77,19.89,6538533
2024-10-01,AES,19.98,20.30,19.62,20.24,6086070
2024-09-30,AES,20.09,20.20,19.85,20.06,7123864
2024-09-27,AES,19.85,20.18,19.85,20.07,6670297
2024-09-26,AES,19.70,20.02,19.52,19.64,6737532
2024-09-25,AES,19.16,19.63,19.16,19.53,8380691
2024-09-24,AES,19.35,19.64,19.10,19.11,9284600
2024-09-23,AES,18.93,19.34,18.92,19.32,10068508
2024-09-20,AES,19.16,19.16,18.74,18.90,19704232
2024-09-19,AES,19.56,19.65,18.85,18.90,13603994
2024-09-18,AES,19.30,19.65,19.06,19.26,10658632
2024-09-17,AES,19.20,19.59,19.08,19.24,12312181
2024-09-16,AES,18.58,19.23,18.58,19.01,10000514
2024-09-13,AES,18.34,18.65,18.21,18.54,7082872
2024-09-12,AES,17.95,18.44,17.69,18.12,9276535
2024-09-11,AES,16.78,17.88,16.75,17.86,13642595
2024-09-10,AES,16.24,16.70,16.22,16.44,6992279
2024-09-09,AES,16.21,16.32,16.11,16.20,7817718
2024-09-06,AES,17.00,17.04,16.18,16.19,8732003
2024-09-05,AES,17.11,17.18,16.83,16.94,7326564
2024-09-04,AES,16.76,17.10,16.72,16.94,8587161
2024-09-03,AES,17.13,17.14,16.65,16.75,7982145
2024-08-30,AES,17.41,17.45,17.00,17.13,5713821
2024-08-29,AES,17.25,17.39,16.98,17.26,5947681
2024-08-28,AES,17.38,17.45,17.12,17.20,4646080
2024-08-27,AES,17.80,17.90,17.34,17.37,5240876
2024-08-26,AES,18.17,18.21,17.89,17.90,4255743
2024-08-23,AES,17.87,18.23,17.75,18.08,6788472
2024-08-22,AES,17.66,17.84,17.54,17.77,6082942
2024-08-21,AES,17.43,17.76,17.33,17.67,5766488
2024-08-20,AES,17.29,17.47,17.24,17.38,7780326
2024-08-19,AES,17.24,17.49,17.19,17.37,5804439
2024-08-16,AES,17.26,17.38,17.16,17.26,6108331
2024-08-15,AES,16.94,17.46,16.90,17.27,7799665
2024-08-14,AES,16.94,17.10,16.63,16.94,5670226
2024-08-13,AES,16.90,16.95,16.64,16.89,6322044
2024-08-12,AES,16.65,16.74,16.44,16.71,6236993
2024-08-09,AES,16.56,16.77,16.20,16.66,7689283
2024-08-08,AES,16.39,16.82,16.30,16.65,11742461
2024-08-07,AES,16.80,17.01,16.30,16.39,7055475
2024-08-06,AES,16.28,16.94,16.27,16.52,6182943
2024-08-05,AES,16.75,16.95,16.00,16.29,8794322
