Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,ALB,74.28,78.38,74.28,75.51,3451194
2025-03-06,ALB,72.73,76.90,72.73,76.48,3772896
2025-03-05,ALB,73.14,74.85,72.35,74.21,3400436
2025-03-04,ALB,69.00,74.17,67.23,72.16,3852244
2025-03-03,ALB,78.77,78.77,69.81,69.95,5055356
2025-02-28,ALB,77.37,78.00,75.71,77.03,2822235
2025-02-27,ALB,77.47,79.53,76.92,78.97,3500194
2025-02-26,ALB,78.90,79.15,77.01,77.53,2747863
2025-02-25,ALB,80.90,81.03,76.69,78.42,3200086
2025-02-24,ALB,80.86,82.25,79.69,81.03,1785573
2025-02-21,ALB,82.81,84.04,80.77,81.20,1677956
2025-02-20,ALB,83.30,84.73,81.98,82.51,1501141
2025-02-19,ALB,82.15,84.00,81.20,83.67,3143224
2025-02-18,ALB,80.50,84.11,79.36,83.58,2654830
2025-02-14,ALB,80.16,82.39,79.59,81.21,2744657
2025-02-13,ALB,79.90,83.03,74.95,79.25,5153986
2025-02-12,ALB,75.72,77.16,74.58,76.60,3431103
2025-02-11,ALB,73.41,75.80,72.88,75.70,3349066
2025-02-10,ALB,77.75,78.25,74.84,75.14,3077527
2025-02-07,ALB,79.00,79.21,76.70,77.37,2649725
2025-02-06,ALB,81.00,81.45,78.51,79.00,2240891
2025-02-05,ALB,80.01,81.75,79.06,79.88,2619677
2025-02-04,ALB,81.10,83.45,80.67,82.48,2446876
2025-02-03,ALB,81.51,82.28,79.66,80.45,3322043
2025-01-31,ALB,85.67,86.03,83.08,84.19,2786456
2025-01-30,ALB,87.11,87.19,84.90,85.65,1929681
2025-01-29,ALB,86.33,87.30,85.45,86.28,1678895
2025-01-28,ALB,88.21,88.36,85.13,85.90,1888633
2025-01-27,ALB,88.22,88.83,87.17,88.78,3132230
2025-01-24,ALB,90.84,91.41,88.47,88.76,2297499
2025-01-23,ALB,90.00,90.90,88.90,89.80,2775689
2025-01-22,ALB,93.41,93.50,90.21,90.25,2427222
2025-01-21,ALB,97.10,97.10,93.89,94.05,1921573
2025-01-17,ALB,95.41,99.07,95.21,97.49,2049476
2025-01-16,ALB,94.68,94.85,92.88,94.32,2082827
2025-01-15,ALB,94.66,96.75,94.09,95.15,2288953
2025-01-14,ALB,92.65,94.70,91.54,92.63,1890759
2025-01-13,ALB,86.04,91.51,85.74,91.51,2824571
2025-01-10,ALB,85.70,87.38,84.88,86.53,1691288
2025-01-08,ALB,88.81,88.81,86.65,87.38,1553841
2025-01-07,ALB,91.00,91.73,89.00,89.98,1653566
2025-01-06,ALB,89.99,93.06,89.50,90.19,2319636
2025-01-03,ALB,86.00,88.26,85.19,87.79,2626822
2025-01-02,ALB,86.44,87.99,84.41,85.23,1866236
2024-12-31,ALB,86.80,88.19,85.29,86.08,1609680
2024-12-30,ALB,87.00,87.19,85.14,86.14,1729322
