Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,APD,309.97,318.66,309.81,316.41,1383860
2025-03-06,APD,310.53,312.65,307.99,310.96,1378217
2025-03-05,APD,307.06,314.92,305.57,311.58,2285931
2025-03-04,APD,311.25,312.34,304.67,305.35,1618593
2025-03-03,APD,319.07,321.47,309.43,310.65,1222512
2025-02-28,APD,313.27,316.74,311.25,316.15,1375104
2025-02-27,APD,312.71,315.90,311.33,312.41,1048145
2025-02-26,APD,317.30,317.38,313.04,313.85,950041
2025-02-25,APD,309.75,318.25,309.75,317.36,1257338
2025-02-24,APD,308.87,311.32,305.69,309.39,933148
2025-02-21,APD,314.05,314.76,306.48,309.89,1392859
2025-02-20,APD,316.17,317.70,313.47,314.28,1073499
2025-02-19,APD,314.82,317.22,313.41,317.05,971619
2025-02-18,APD,316.00,317.35,311.68,317.00,1260183
2025-02-14,APD,316.40,318.41,315.07,316.12,1171498
2025-02-13,APD,312.26,316.12,310.25,315.16,900310
2025-02-12,APD,306.51,311.42,306.51,310.35,1372818
2025-02-11,APD,309.39,311.75,307.55,309.49,1265910
2025-02-10,APD,310.70,311.29,303.92,310.55,2782695
2025-02-07,APD,319.90,320.06,307.52,310.44,2902858
2025-02-06,APD,329.93,336.64,317.97,328.13,2662821
2025-02-05,APD,333.90,336.07,330.48,333.15,2117987
2025-02-04,APD,337.30,341.14,335.13,335.67,2022136
2025-02-03,APD,330.88,339.10,329.19,338.07,1789806
2025-01-31,APD,336.41,338.00,333.33,335.26,2367597
2025-01-30,APD,326.67,335.23,325.63,335.10,1381455
2025-01-29,APD,327.35,327.85,324.16,327.31,1650153
2025-01-28,APD,328.71,328.71,324.74,327.00,1699775
2025-01-27,APD,325.69,328.04,320.44,326.62,2109337
2025-01-24,APD,326.09,329.94,325.42,329.26,2052126
2025-01-23,APD,319.54,324.20,314.29,324.00,2270044
2025-01-22,APD,320.66,320.66,314.56,316.99,1621339
2025-01-21,APD,318.92,321.01,318.25,319.76,1975059
2025-01-17,APD,314.50,318.09,311.33,317.80,2315359
2025-01-16,APD,309.21,312.20,306.30,312.06,1237947
2025-01-15,APD,308.46,311.32,300.20,306.90,2212001
2025-01-14,APD,306.30,309.23,304.41,307.96,1949426
2025-01-13,APD,293.75,302.03,292.93,301.74,2290701
2025-01-10,APD,293.72,295.22,290.00,293.08,2423539
2025-01-08,APD,286.29,287.27,284.23,285.25,1041748
2025-01-07,APD,285.85,292.38,285.09,286.33,1260178
2025-01-06,APD,284.32,285.25,281.97,283.24,1458220
2025-01-03,APD,283.77,287.45,282.52,283.91,1581597
2025-01-02,APD,286.56,290.21,282.86,283.29,918147
2024-12-31,APD,289.91,290.93,288.18,290.04,777950
2024-12-30,APD,291.98,291.98,287.89,288.69,816159
2024-12-27,APD,293.17,295.83,291.42,292.81,456997
2024-12-26,APD,294.84,296.20,294.16,295.08,418518
2024-12-24,APD,293.12,296.02,292.30,296.02,296074
2024-12-23,APD,293.42,295.00,290.74,293.55,797315
2024-12-20,APD,292.91,297.35,292.51,294.99,2258717
2024-12-19,APD,296.15,297.81,292.62,293.17,1041343
2024-12-18,APD,304.69,305.23,294.67,295.31,1043244
2024-12-17,APD,305.77,307.10,303.78,304.71,924600
2024-12-16,APD,311.32,312.04,306.31,306.72,984852
2024-12-13,APD,310.87,312.41,307.39,312.30,1025347
2024-12-12,APD,312.20,313.16,310.22,310.89,653111
2024-12-11,APD,314.98,316.08,311.53,312.36,858303
2024-12-10,APD,315.63,316.28,311.48,315.21,742183
2024-12-09,APD,322.44,322.44,315.91,316.62,1215981
2024-12-06,APD,323.14,324.40,320.04,320.11,1020293
2024-12-05,APD,314.49,323.36,312.60,321.97,1730080
2024-12-04,APD,329.95,329.95,325.62,327.48,974890
2024-12-03,APD,336.72,337.00,329.17,330.64,1441903
2024-12-02,APD,335.90,335.90,331.40,335.62,766330
2024-11-29,APD,332.90,334.62,331.31,334.33,769798
2024-11-27,APD,333.91,336.22,332.78,333.22,1293809
2024-11-26,APD,333.89,335.68,330.38,334.78,1785068
2024-11-25,APD,333.00,336.42,333.00,333.97,2640608
2024-11-22,APD,329.73,332.69,328.95,331.83,2200243
2024-11-21,APD,326.86,330.19,325.91,328.88,1972041
2024-11-20,APD,328.32,330.65,325.52,327.85,1694307
2024-11-19,APD,325.92,328.04,322.46,328.00,1881544
2024-11-18,APD,320.58,328.09,319.59,327.89,1898376
2024-11-15,APD,315.47,317.42,314.06,317.10,1113047
2024-11-14,APD,312.61,318.40,311.13,315.88,1081170
2024-11-13,APD,310.50,313.04,308.86,312.89,955239
2024-11-12,APD,314.23,315.65,309.41,311.12,1021001
2024-11-11,APD,312.78,315.04,310.14,313.91,1940751
2024-11-08,APD,310.95,314.62,308.48,312.99,2585110
2024-11-07,APD,309.76,318.63,302.50,312.82,2141693
2024-11-06,APD,311.54,311.54,301.82,306.73,1871478
2024-11-05,APD,305.54,308.45,303.22,306.37,1502918
2024-11-04,APD,310.62,311.30,305.16,306.09,1608056
2024-11-01,APD,309.84,312.60,308.91,309.21,794696
2024-10-31,APD,308.75,314.31,307.13,310.53,2281026
2024-10-30,APD,315.57,315.57,311.92,312.77,1043061
2024-10-29,APD,316.78,317.11,314.58,315.30,1579491
2024-10-28,APD,319.96,319.96,315.48,318.26,1185671
2024-10-25,APD,322.75,322.75,317.89,318.02,1294777
2024-10-24,APD,325.40,325.80,320.39,322.10,1588528
2024-10-23,APD,329.73,330.37,325.05,326.62,1045136
2024-10-22,APD,330.09,330.59,326.92,330.37,1246877
2024-10-21,APD,330.42,332.43,328.98,331.56,857804
2024-10-18,APD,329.95,332.17,328.04,332.10,1074148
2024-10-17,APD,326.70,329.03,324.51,328.77,1182021
2024-10-16,APD,323.88,328.72,323.07,326.70,1886503
2024-10-15,APD,321.42,324.52,320.09,323.23,2092365
2024-10-14,APD,316.88,320.61,316.01,320.34,1058246
2024-10-11,APD,315.75,317.98,315.49,316.66,775755
2024-10-10,APD,313.98,323.87,313.18,314.61,2574170
2024-10-09,APD,311.54,318.32,310.21,313.97,2375242
2024-10-08,APD,309.26,312.43,305.80,310.36,1556656
2024-10-07,APD,306.00,313.00,301.30,312.69,4243205
2024-10-04,APD,286.05,287.15,283.97,285.50,924756
2024-10-03,APD,289.27,290.14,284.97,285.58,982175
2024-10-02,APD,291.00,292.33,288.62,290.00,1346960
2024-10-01,APD,295.72,295.72,291.12,291.43,1267403
2024-09-30,APD,300.00,301.60,296.59,297.74,1032492
2024-09-27,APD,301.01,302.03,298.50,300.36,1057098
2024-09-26,APD,296.04,300.45,296.03,299.46,1798690
2024-09-25,APD,297.13,297.13,293.50,295.72,1349407
2024-09-24,APD,293.49,297.53,293.49,295.59,1294602
2024-09-23,APD,289.14,293.09,288.21,292.05,1539129
2024-09-20,APD,286.79,288.94,285.73,287.98,4148385
2024-09-19,APD,290.23,291.54,287.52,287.72,958373
2024-09-18,APD,291.80,291.98,286.71,287.30,1016924
2024-09-17,APD,289.61,291.87,289.12,291.13,1056326
2024-09-16,APD,287.00,289.97,286.32,288.87,1311543
2024-09-13,APD,280.94,286.49,279.74,284.13,1044833
2024-09-12,APD,277.35,280.42,273.76,280.02,1400396
2024-09-11,APD,277.01,278.49,270.13,277.71,914435
2024-09-10,APD,274.36,275.98,271.96,275.23,771392
2024-09-09,APD,269.19,273.95,268.46,273.82,1244947
2024-09-06,APD,272.83,275.01,267.35,268.71,1066164
2024-09-05,APD,274.64,275.41,270.87,273.55,1008654
2024-09-04,APD,275.84,279.00,274.39,274.67,715214
2024-09-03,APD,276.53,278.49,273.86,275.19,1600075
2024-08-30,APD,277.89,279.27,274.38,278.85,919017
2024-08-29,APD,277.57,279.44,275.64,277.10,506747
2024-08-28,APD,278.15,279.73,275.40,276.79,670226
2024-08-27,APD,278.85,279.81,274.91,277.91,1595321
2024-08-26,APD,275.75,279.64,275.75,278.76,1058505
2024-08-23,APD,275.59,276.41,274.03,275.86,514167
2024-08-22,APD,275.71,276.04,273.34,274.43,545847
2024-08-21,APD,273.05,276.55,271.87,275.52,598614
2024-08-20,APD,273.27,275.40,272.12,273.42,564405
2024-08-19,APD,275.33,277.38,273.72,274.17,548014
2024-08-16,APD,274.36,276.10,273.32,276.04,764877
2024-08-15,APD,277.51,278.00,271.79,273.88,846419
2024-08-14,APD,276.22,277.25,273.30,276.49,706631
2024-08-13,APD,274.77,277.34,273.68,276.55,695254
2024-08-12,APD,277.64,277.76,273.00,273.93,1375661
2024-08-09,APD,278.99,280.12,276.77,278.23,1228661
2024-08-08,APD,277.00,280.10,276.91,279.21,940775
2024-08-07,APD,280.65,283.31,277.38,277.44,1167906
2024-08-06,APD,278.76,282.14,277.79,278.56,838543
2024-08-05,APD,275.62,281.06,275.41,278.47,1111470
2024-08-02,APD,282.80,285.97,277.39,281.74,1832140
2024-08-01,APD,288.61,296.00,282.00,287.47,3842782
2024-07-31,APD,265.90,268.05,263.44,263.85,1812979
2024-07-30,APD,264.66,267.33,263.96,264.23,964570
2024-07-29,APD,261.52,266.37,261.00,265.74,1539557
2024-07-26,APD,259.95,263.47,258.69,260.98,1042927
2024-07-25,APD,257.60,260.75,257.36,258.64,1760230
2024-07-24,APD,256.41,260.26,256.23,260.20,2826957
2024-07-23,APD,249.40,256.00,248.43,256.00,3224254
2024-07-22,APD,262.87,263.00,248.03,248.55,3865931
2024-07-19,APD,267.16,267.16,261.91,262.91,762658
2024-07-18,APD,267.72,272.77,266.49,266.59,696866
2024-07-17,APD,267.78,271.92,267.72,270.47,725308
2024-07-16,APD,260.32,269.28,259.23,267.53,1210761
2024-07-15,APD,260.16,261.47,258.86,259.84,998551
2024-07-12,APD,260.89,263.73,258.36,261.31,1054735
2024-07-11,APD,256.14,262.54,255.74,258.00,1410477
2024-07-10,APD,256.70,257.72,254.11,255.66,2172365
2024-07-09,APD,254.27,255.90,253.87,254.70,1740796
2024-07-08,APD,254.06,255.38,253.79,254.90,1182063
2024-07-05,APD,252.66,254.29,251.97,252.67,1381395
2024-07-03,APD,251.36,254.43,251.23,253.00,763687
2024-07-02,APD,248.57,251.88,246.00,251.00,2832488
2024-07-01,APD,256.53,257.91,246.69,247.34,1974740
2024-06-28,APD,261.57,262.45,257.39,258.05,2606874
2024-06-27,APD,264.98,265.00,261.37,263.07,2748179
2024-06-26,APD,265.92,266.02,258.94,263.70,6456145
2024-06-25,APD,270.14,270.29,265.39,267.09,3695936
2024-06-24,APD,273.93,273.93,270.47,270.90,2891078
2024-06-21,APD,268.81,275.28,268.35,272.91,2500376
2024-06-20,APD,273.92,275.37,272.00,272.07,1146600
2024-06-18,APD,272.70,276.23,271.56,274.70,1160553
2024-06-17,APD,273.43,275.14,271.13,273.11,1217464
2024-06-14,APD,283.53,284.57,274.86,275.14,1503360
2024-06-13,APD,282.91,286.61,282.46,285.31,2049417
2024-06-12,APD,282.63,283.60,280.71,283.05,1400193
2024-06-11,APD,281.04,283.16,280.02,280.81,1700703
2024-06-10,APD,280.95,282.81,278.43,282.31,1942041
2024-06-07,APD,270.32,281.20,268.44,279.53,2225324
2024-06-06,APD,269.77,270.10,267.18,269.72,1341339
2024-06-05,APD,270.97,271.98,268.95,270.33,804050
2024-06-04,APD,269.80,271.19,267.39,270.30,1453831
