Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,ARE,100.02,103.17,100.00,102.49,1016865
2025-03-06,ARE,101.49,101.49,98.56,99.80,1083223
2025-03-05,ARE,99.59,102.36,99.30,102.19,994689
2025-03-04,ARE,101.61,102.04,99.67,100.49,1216636
2025-03-03,ARE,102.53,103.49,100.87,101.50,1177156
2025-02-28,ARE,101.21,102.55,100.22,102.26,1910240
2025-02-27,ARE,99.15,101.79,99.07,100.94,986467
2025-02-26,ARE,101.00,101.01,98.95,99.08,883133
2025-02-25,ARE,97.66,101.57,97.50,100.93,1743605
2025-02-24,ARE,96.13,97.59,95.00,97.18,1025674
2025-02-21,ARE,95.50,96.06,94.82,95.57,1101349
2025-02-20,ARE,95.31,96.09,94.94,95.52,1285646
2025-02-19,ARE,95.11,95.91,94.80,95.31,1127906
2025-02-18,ARE,94.54,96.00,94.54,95.78,1335867
2025-02-14,ARE,96.25,97.74,94.81,94.85,684501
2025-02-13,ARE,95.50,95.85,94.91,95.82,860939
2025-02-12,ARE,93.56,95.32,93.25,95.23,1252963
2025-02-11,ARE,94.69,95.53,94.69,94.96,1265006
2025-02-10,ARE,95.90,96.36,94.74,95.51,1334107
2025-02-07,ARE,96.70,96.87,95.11,95.96,848195
2025-02-06,ARE,97.84,97.88,96.04,96.62,899885
2025-02-05,ARE,95.48,97.33,94.41,97.02,1057046
2025-02-04,ARE,94.50,94.97,93.80,94.47,983243
2025-02-03,ARE,96.24,96.81,94.36,94.58,1217549
2025-01-31,ARE,95.46,98.04,95.13,97.35,4073349
2025-01-30,ARE,97.50,98.41,95.02,95.85,1560611
2025-01-29,ARE,97.78,98.66,95.45,95.79,1585724
2025-01-28,ARE,101.57,101.68,96.06,97.25,2388778
2025-01-27,ARE,102.28,104.44,101.63,102.11,2659296
2025-01-24,ARE,100.18,102.18,100.12,101.63,859440
2025-01-23,ARE,100.87,101.10,99.11,100.45,1284003
2025-01-22,ARE,102.15,102.15,100.56,100.63,646596
2025-01-21,ARE,102.28,103.49,102.18,102.81,1164852
2025-01-17,ARE,100.46,102.74,99.99,101.79,1085203
2025-01-16,ARE,98.60,100.36,98.09,100.09,1020259
2025-01-15,ARE,100.56,100.77,97.80,98.43,920941
2025-01-14,ARE,97.66,98.49,97.48,97.81,967667
2025-01-13,ARE,95.11,97.80,94.35,97.67,1656064
2025-01-10,ARE,96.00,96.56,94.57,94.99,1780587
2025-01-08,ARE,97.00,97.59,96.25,97.39,1880718
2025-01-07,ARE,98.40,99.47,97.21,97.36,1849514
2025-01-06,ARE,99.23,100.33,97.63,97.73,1433990
2025-01-03,ARE,97.60,99.68,97.52,99.16,1096248
2025-01-02,ARE,97.87,98.01,96.33,97.50,1134799
2024-12-31,ARE,97.16,97.87,96.45,97.55,1326243
2024-12-30,ARE,98.00,98.22,96.44,97.80,1065520
2024-12-27,ARE,98.95,100.38,97.84,98.35,1305644
2024-12-26,ARE,98.78,100.27,98.60,99.64,641675
2024-12-24,ARE,98.35,99.48,97.81,99.44,425786
