Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,GOOGL,171.26,174.97,170.27,173.86,27385813
2025-03-06,GOOGL,170.53,174.81,170.50,172.35,28301953
2025-03-05,GOOGL,170.52,173.78,169.06,173.02,30954922
2025-03-04,GOOGL,166.24,173.29,165.80,170.92,45387996
2025-03-03,GOOGL,171.93,173.37,165.93,167.01,40770451
2025-02-28,GOOGL,168.68,170.61,166.77,170.28,48130565
2025-02-27,GOOGL,173.99,174.56,167.94,168.50,39991015
2025-02-26,GOOGL,175.07,176.08,171.58,172.73,35431268
2025-02-25,GOOGL,178.04,178.74,174.69,175.42,41913411
2025-02-24,GOOGL,181.99,183.12,178.89,179.25,29854206
2025-02-21,GOOGL,185.15,185.34,179.08,179.66,35199239
2025-02-20,GOOGL,184.80,185.31,182.72,184.56,20441462
2025-02-19,GOOGL,184.07,185.46,183.59,185.27,19549396
2025-02-18,GOOGL,185.60,185.96,181.74,183.77,29916675
2025-02-14,GOOGL,185.06,186.40,184.32,185.23,20448437
2025-02-13,GOOGL,184.32,186.28,183.14,186.14,21402523
2025-02-12,GOOGL,183.22,185.11,181.83,183.61,22072559
2025-02-11,GOOGL,185.03,186.94,184.28,185.32,21239519
2025-02-10,GOOGL,187.35,188.20,185.86,186.47,23105649
2025-02-07,GOOGL,191.05,191.18,183.24,185.34,49314961
2025-02-06,GOOGL,189.50,192.10,188.72,191.60,29297442
2025-02-05,GOOGL,191.07,192.75,188.03,191.33,70461770
2025-02-04,GOOGL,203.39,207.05,202.81,206.38,43856425
2025-02-03,GOOGL,200.69,203.75,200.10,201.23,27838348
2025-01-31,GOOGL,202.00,205.48,201.80,204.02,32041952
2025-01-30,GOOGL,198.00,201.40,197.67,200.87,24354684
2025-01-29,GOOGL,195.56,196.79,193.43,195.41,18218256
2025-01-28,GOOGL,192.75,195.48,190.68,195.30,24157929
2025-01-27,GOOGL,192.41,196.88,190.73,191.81,41728893
2025-01-24,GOOGL,198.10,200.90,198.00,200.21,23877521
2025-01-23,GOOGL,198.14,200.30,195.20,197.98,26951357
2025-01-22,GOOGL,199.06,200.48,197.53,198.37,26200617
2025-01-21,GOOGL,199.07,202.29,197.87,198.05,29971292
2025-01-17,GOOGL,196.53,197.23,193.75,196.00,27735089
2025-01-16,GOOGL,194.14,195.48,192.81,192.91,17815432
2025-01-15,GOOGL,193.09,196.36,191.86,195.55,21775969
2025-01-14,GOOGL,191.24,191.98,188.31,189.66,17174854
2025-01-13,GOOGL,190.07,191.18,187.36,191.01,21823699
2025-01-10,GOOGL,194.30,196.52,190.31,192.04,26665206
