Date,Symbol,Open,High,Low,Close,Volume
2025-03-07,GOOG,173.24,176.90,172.25,175.75,16395287
2025-03-06,GOOG,172.55,176.73,172.51,174.21,19082404
2025-03-05,GOOG,172.32,175.75,170.93,174.99,18848036
2025-03-04,GOOG,167.94,175.17,167.54,172.61,30711408
2025-03-03,GOOG,173.73,175.00,167.64,168.66,24121991
2025-02-28,GOOG,170.30,172.50,168.39,172.22,30049812
2025-02-27,GOOG,175.94,176.59,169.75,170.21,25930530
2025-02-26,GOOG,176.95,178.08,173.59,174.70,23693251
2025-02-25,GOOG,180.16,180.76,176.77,177.37,20832485
2025-02-24,GOOG,183.80,185.09,180.88,181.19,18734014
2025-02-21,GOOG,187.29,187.47,181.13,181.58,19520782
2025-02-20,GOOG,186.50,187.12,184.60,186.64,12063807
2025-02-19,GOOG,186.19,187.36,185.50,187.13,13120465
2025-02-18,GOOG,187.44,187.78,183.58,185.80,19796028
2025-02-14,GOOG,186.83,188.15,186.11,186.87,12714154
2025-02-13,GOOG,185.93,187.99,184.88,187.88,12729334
2025-02-12,GOOG,185.23,186.83,183.63,185.43,17632314
2025-02-11,GOOG,186.84,188.80,186.08,187.07,13028100
2025-02-10,GOOG,189.06,189.99,187.61,188.20,16606020
2025-02-07,GOOG,192.74,193.02,185.10,187.14,29565724
2025-02-06,GOOG,190.99,193.83,190.49,193.31,20816593
2025-02-05,GOOG,193.10,194.55,189.91,193.30,43719589
2025-02-04,GOOG,204.50,208.70,204.26,207.71,28285436
2025-02-03,GOOG,202.22,205.22,201.66,202.64,16719469
2025-01-31,GOOG,203.72,207.08,203.58,205.60,17087335
2025-01-30,GOOG,199.76,203.24,199.47,202.63,14571479
2025-01-29,GOOG,197.37,198.46,195.19,197.18,12287818
2025-01-28,GOOG,194.65,197.23,192.61,197.07,15939161
2025-01-27,GOOG,194.19,198.67,192.70,193.77,24970173
2025-01-24,GOOG,199.85,202.57,199.78,201.90,12732376
2025-01-23,GOOG,199.98,201.94,196.82,199.58,15170838
2025-01-22,GOOG,200.55,202.12,199.20,200.03,15477376
2025-01-21,GOOG,200.51,203.84,199.44,199.63,19005232
2025-01-17,GOOG,198.05,198.81,195.31,197.55,22109129
2025-01-16,GOOG,195.83,196.98,194.30,194.41,13449581
2025-01-15,GOOG,194.35,197.80,193.33,196.98,12894875
2025-01-14,GOOG,192.50,193.27,189.64,191.05,13651183
2025-01-13,GOOG,191.35,192.49,188.66,192.29,13169060
2025-01-10,GOOG,195.42,197.62,191.60,193.17,20753794
2025-01-08,GOOG,193.95,197.64,193.75,195.39,14335341
2025-01-07,GOOG,198.27,202.14,195.94,196.71,16966760
2025-01-06,GOOG,195.15,199.56,195.06,197.96,19483323
2025-01-03,GOOG,192.73,194.50,191.35,193.13,12874957
2025-01-02,GOOG,191.49,193.20,188.71,190.63,17545162
2024-12-31,GOOG,192.45,193.25,189.58,190.44,14355221
2024-12-30,GOOG,190.87,193.78,190.36,192.69,12209534
2024-12-27,GOOG,196.47,196.80,191.97,194.04,14692994
2024-12-26,GOOG,196.74,198.16,195.87,197.10,7918434
2024-12-24,GOOG,196.17,197.67,195.20,197.57,6809823
2024-12-23,GOOG,194.03,196.49,191.63,195.99,15235942
2024-12-20,GOOG,187.01,194.14,186.37,192.96,45319703
2024-12-19,GOOG,193.28,194.60,189.52,189.70,26981196
2024-12-18,GOOG,196.83,198.69,189.28,190.15,27638416
2024-12-17,GOOG,198.53,202.88,196.69,197.12,24129481
2024-12-16,GOOG,194.37,200.64,194.11,198.16,32248640
2024-12-13,GOOG,192.71,194.34,191.26,191.38,18883217
2024-12-12,GOOG,196.30,196.71,193.28,193.63,25197757
2024-12-11,GOOG,186.70,196.89,186.26,196.71,41664489
2024-12-10,GOOG,184.54,188.03,182.67,186.53,34317438
2024-12-09,GOOG,175.72,178.04,175.40,177.10,19887786
2024-12-06,GOOG,173.88,176.84,173.55,176.49,13319549
2024-12-05,GOOG,177.32,177.71,174.01,174.31,16145520
2024-12-04,GOOG,172.78,176.43,172.75,176.09,18239842
2024-12-03,GOOG,173.12,174.32,172.51,173.02,15721483
2024-12-02,GOOG,170.32,173.60,170.27,172.98,16593444
2024-11-29,GOOG,170.06,170.87,168.75,170.49,9250712
2024-11-27,GOOG,170.68,171.14,169.67,170.82,12433371
2024-11-26,GOOG,169.49,171.50,169.43,170.62,14937478
2024-11-25,GOOG,167.99,170.46,167.40,169.43,21395652
2024-11-22,GOOG,167.16,168.26,165.71,166.57,24497042
2024-11-21,GOOG,175.46,175.58,165.31,169.24,38839431
2024-11-20,GOOG,178.83,179.11,175.33,177.33,15729806
2024-11-19,GOOG,175.24,180.17,175.12,179.58,15392866
2024-11-18,GOOG,174.96,176.91,174.42,176.80,18725422
2024-11-15,GOOG,175.64,175.88,172.75,173.89,21708870
2024-11-14,GOOG,179.75,180.45,176.03,177.35,17925763
2024-11-13,GOOG,182.15,182.62,180.12,180.49,13969709
2024-11-12,GOOG,181.38,184.03,180.99,183.32,14065845
2024-11-11,GOOG,180.07,182.09,179.99,181.97,12503422
