symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADI,2020-03-12 04:00:00+00:00,89.79,95.355,87.25,90.01,9359872.0,99617.0,90.263077
ADI,2020-03-13 04:00:00+00:00,94.88,100.46,89.36,99.79,7149817.0,82103.0,95.85562
ADI,2020-03-16 04:00:00+00:00,89.84,92.855,83.02,83.21,8424001.0,74385.0,86.651314
ADI,2020-03-17 04:00:00+00:00,86.14,96.9,82.32,95.44,6219904.0,61228.0,92.041656
ADI,2020-03-18 04:00:00+00:00,87.44,92.49,79.075,82.23,6312863.0,63989.0,83.169236
ADI,2020-03-19 04:00:00+00:00,82.44,91.7,79.44,90.32,5014516.0,44309.0,88.339267
ADI,2020-03-20 04:00:00+00:00,92.41,93.37,84.88,85.02,5667480.0,41740.0,88.335938
ADI,2020-03-23 04:00:00+00:00,85.78,87.51,80.51,85.16,4630357.0,46732.0,84.475249
ADI,2020-03-24 04:00:00+00:00,89.78,94.0,87.44,93.73,4310409.0,40603.0,91.581253
ADI,2020-03-25 04:00:00+00:00,92.66,97.44,89.74,94.36,4321349.0,46429.0,94.272274
ADI,2020-03-26 04:00:00+00:00,94.53,96.5,90.86,92.62,5576311.0,54113.0,92.66074
ADI,2020-03-27 04:00:00+00:00,89.26,92.63,88.26,88.67,3688910.0,33565.0,89.542054
ADI,2020-03-30 04:00:00+00:00,89.54,91.47,87.6,90.97,3684567.0,36354.0,90.186254
ADI,2020-03-31 04:00:00+00:00,90.56,92.27,89.18,89.65,3848167.0,39818.0,90.33409
ADI,2020-04-01 04:00:00+00:00,86.04,88.11,83.67,84.09,3832702.0,37244.0,85.045895
ADI,2020-04-02 04:00:00+00:00,83.13,88.27,82.9,87.7,3993769.0,39250.0,86.532939
ADI,2020-04-03 04:00:00+00:00,87.39,88.8,85.335,86.56,2794390.0,21963.0,86.518232
ADI,2020-04-06 04:00:00+00:00,90.14,96.295,89.92,95.8,4358984.0,38060.0,94.513384
