symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADSK,2020-03-12 04:00:00+00:00,143.79,148.5,135.7,136.0,5399101.0,62886.0,141.331599
ADSK,2020-03-13 04:00:00+00:00,146.0,158.17,138.45,158.03,4307045.0,62084.0,148.789583
ADSK,2020-03-16 04:00:00+00:00,140.9892,153.49,135.24,148.08,4387543.0,52357.0,147.593273
ADSK,2020-03-17 04:00:00+00:00,149.69,157.95,140.0501,154.92,4488879.0,60408.0,151.141574
ADSK,2020-03-18 04:00:00+00:00,145.22,154.38,125.38,141.82,5064935.0,56485.0,137.448964
ADSK,2020-03-19 04:00:00+00:00,141.45,152.27,134.98,149.23,4031778.0,44911.0,144.485646
ADSK,2020-03-20 04:00:00+00:00,151.46,156.06,145.38,148.02,5134596.0,48472.0,149.57497
ADSK,2020-03-23 04:00:00+00:00,147.81,151.84,138.1,144.14,3567441.0,41363.0,144.636167
ADSK,2020-03-24 04:00:00+00:00,151.25,153.4,141.43,149.96,2981790.0,37181.0,148.049861
ADSK,2020-03-25 04:00:00+00:00,149.4,154.97,142.32,149.99,2752103.0,33504.0,149.387089
ADSK,2020-03-26 04:00:00+00:00,150.85,163.15,150.645,160.88,3056496.0,35221.0,159.840054
ADSK,2020-03-27 04:00:00+00:00,155.83,156.62,140.3206,141.57,3258645.0,40903.0,146.25351
ADSK,2020-03-30 04:00:00+00:00,142.74,157.18,141.29,155.91,3584284.0,38439.0,152.986803
ADSK,2020-03-31 04:00:00+00:00,154.0,158.91,152.83,156.1,4949716.0,36257.0,155.96768
ADSK,2020-04-01 04:00:00+00:00,147.53,150.47,137.86,139.22,3511013.0,38531.0,142.483318
ADSK,2020-04-02 04:00:00+00:00,136.97,142.14,135.52,137.05,2884621.0,35569.0,137.797029
ADSK,2020-04-03 04:00:00+00:00,136.89,141.54,136.28,139.0,2542560.0,26734.0,138.387847
ADSK,2020-04-06 04:00:00+00:00,146.12,153.52,144.61,152.32,3048774.0,31393.0,149.490063
ADSK,2020-04-07 04:00:00+00:00,157.73,157.8,147.265,148.7,2253236.0,27385.0,150.76861
ADSK,2020-04-08 04:00:00+00:00,150.79,161.78,149.46,159.21,3464357.0,31409.0,158.676306
ADSK,2020-04-09 04:00:00+00:00,160.71,170.8078,160.17,164.9,3896741.0,47962.0,166.010377
ADSK,2020-04-13 04:00:00+00:00,162.37,163.985,156.91,160.92,2271371.0,22569.0,160.141945
ADSK,2020-04-14 04:00:00+00:00,165.17,174.76,164.0,172.22,2084910.0,26651.0,171.661638
ADSK,2020-04-15 04:00:00+00:00,168.57,172.54,167.44,169.14,2203303.0,22716.0,170.188685
ADSK,2020-04-16 04:00:00+00:00,171.46,173.49,168.12,171.0,1993605.0,22658.0,170.808132
ADSK,2020-04-17 04:00:00+00:00,176.08,182.0,173.97,180.94,2747580.0,27951.0,179.650643
ADSK,2020-04-20 04:00:00+00:00,178.19,181.52,176.44,177.87,1362027.0,18276.0,178.94902
ADSK,2020-04-21 04:00:00+00:00,175.96,177.16,166.86,170.02,2552632.0,31073.0,170.066367
ADSK,2020-04-22 04:00:00+00:00,176.05,177.33,173.36,175.37,1141604.0,16320.0,175.154552
ADSK,2020-04-23 04:00:00+00:00,172.99,178.98,172.2222,175.55,1754122.0,20662.0,176.419667
ADSK,2020-04-24 04:00:00+00:00,177.2643,180.97,174.19,180.35,1330515.0,17523.0,179.236076
ADSK,2020-04-27 04:00:00+00:00,182.24,186.56,182.24,182.51,2061249.0,22898.0,183.22611
ADSK,2020-04-28 04:00:00+00:00,185.53,185.79,176.27,177.31,1930533.0,25834.0,178.457409
ADSK,2020-04-29 04:00:00+00:00,180.61,189.86,180.0,187.9,1735435.0,23392.0,187.229921
ADSK,2020-04-30 04:00:00+00:00,187.0,189.55,185.14,187.0,2449808.0,20796.0,187.297979
ADSK,2020-05-01 04:00:00+00:00,179.22,181.54,172.22,174.9,2246088.0,31890.0,175.337226
ADSK,2020-05-04 04:00:00+00:00,174.78,179.33,173.13,177.8,1256583.0,16615.0,177.148927
ADSK,2020-05-05 04:00:00+00:00,179.57,184.87,179.275,180.49,1072653.0,15065.0,181.822385
ADSK,2020-05-06 04:00:00+00:00,182.23,185.075,179.66,181.23,1086457.0,16363.0,182.306813
ADSK,2020-05-07 04:00:00+00:00,182.93,186.46,180.81,184.0,1755358.0,24685.0,183.890749
ADSK,2020-05-08 04:00:00+00:00,186.0,187.1575,183.25,184.29,1108950.0,19451.0,184.816345
ADSK,2020-05-11 04:00:00+00:00,183.14,186.14,182.92,184.4,1215728.0,18044.0,184.478501
ADSK,2020-05-12 04:00:00+00:00,184.37,187.12,180.97,180.97,1205858.0,17307.0,183.317597
ADSK,2020-05-13 04:00:00+00:00,180.6,182.68,173.83,176.86,1274340.0,19946.0,176.63152
ADSK,2020-05-14 04:00:00+00:00,174.53,177.98,170.57,177.87,1331129.0,17542.0,175.396058
ADSK,2020-05-15 04:00:00+00:00,176.49,181.125,175.44,180.72,1193935.0,17582.0,179.230029
ADSK,2020-05-18 04:00:00+00:00,183.84,190.81,183.04,190.1,1627565.0,23822.0,189.074283
ADSK,2020-05-19 04:00:00+00:00,190.13,198.9,190.13,194.71,1685705.0,23515.0,195.703044
ADSK,2020-05-20 04:00:00+00:00,197.97,199.59,194.32,196.64,1166355.0,17786.0,196.722572
ADSK,2020-05-21 04:00:00+00:00,196.08,197.58,193.65,194.75,1421391.0,19037.0,195.175103
ADSK,2020-05-22 04:00:00+00:00,194.03,196.9,192.51,195.78,1655034.0,18536.0,195.06973
ADSK,2020-05-26 04:00:00+00:00,199.32,203.83,198.62,199.53,1898412.0,25621.0,200.500307
ADSK,2020-05-27 04:00:00+00:00,198.65,199.82,192.51,199.81,2368828.0,36580.0,197.444009
ADSK,2020-05-28 04:00:00+00:00,196.38,208.3,194.6,202.63,4027408.0,45776.0,203.826886
ADSK,2020-05-29 04:00:00+00:00,203.6,210.71,200.34,210.38,3439999.0,32744.0,208.044743
ADSK,2020-06-01 04:00:00+00:00,210.0,221.51,209.0588,219.29,2896701.0,41239.0,216.828385
ADSK,2020-06-02 04:00:00+00:00,218.93,221.0,212.11,219.09,2692183.0,35981.0,216.96359
ADSK,2020-06-03 04:00:00+00:00,220.75,227.39,219.17,226.39,2161866.0,28790.0,224.823851
ADSK,2020-06-04 04:00:00+00:00,225.0,227.365,223.29,225.2,2332599.0,34906.0,225.260778
ADSK,2020-06-05 04:00:00+00:00,224.67,234.54,223.0,233.71,2163274.0,30607.0,232.560699
ADSK,2020-06-08 04:00:00+00:00,231.14,236.47,230.46,233.51,2470550.0,30076.0,232.826079
ADSK,2020-06-09 04:00:00+00:00,232.49,237.8,231.45,234.15,2028954.0,29494.0,234.152927
ADSK,2020-06-10 04:00:00+00:00,235.59,240.245,233.46,236.59,2018522.0,29303.0,237.338859
ADSK,2020-06-11 04:00:00+00:00,233.0,233.47,218.95,219.1,3032785.0,45198.0,224.238577
ADSK,2020-06-12 04:00:00+00:00,227.95,228.1325,218.95,222.96,2006502.0,30673.0,223.398588
ADSK,2020-06-15 04:00:00+00:00,218.96,229.75,218.76,229.0,1722292.0,24862.0,227.179856
ADSK,2020-06-16 04:00:00+00:00,234.95,241.77,234.0,240.93,2545907.0,34555.0,239.407753
ADSK,2020-06-17 04:00:00+00:00,242.29,243.76,236.42,237.04,1229751.0,21615.0,238.971492
ADSK,2020-06-18 04:00:00+00:00,237.95,239.2,236.048,238.07,1384326.0,17372.0,238.035589
ADSK,2020-06-19 04:00:00+00:00,242.11,242.98,235.4949,237.82,2629398.0,26344.0,239.19073
ADSK,2020-06-22 04:00:00+00:00,236.71,241.13,236.0,240.88,1423163.0,18318.0,239.653226
ADSK,2020-06-23 04:00:00+00:00,242.91,247.14,241.455,241.62,1630635.0,21197.0,243.784691
ADSK,2020-06-24 04:00:00+00:00,240.29,242.6747,231.4382,233.44,2035221.0,32961.0,234.328567
ADSK,2020-06-25 04:00:00+00:00,233.5,234.81,228.37,234.47,2079323.0,26754.0,233.360467
ADSK,2020-06-26 04:00:00+00:00,234.93,236.71,230.66,232.74,1814675.0,22137.0,233.101123
ADSK,2020-06-29 04:00:00+00:00,232.53,233.93,227.755,232.17,1069770.0,14885.0,231.420345
ADSK,2020-06-30 04:00:00+00:00,232.95,239.95,231.2,239.19,1866873.0,23203.0,238.181244
ADSK,2020-07-01 04:00:00+00:00,239.94,242.67,237.8,241.22,1368997.0,23069.0,240.641627
ADSK,2020-07-02 04:00:00+00:00,242.51,244.4,239.18,240.15,1328718.0,20425.0,240.795759
ADSK,2020-07-06 04:00:00+00:00,243.32,248.35,243.07,244.36,1263872.0,20249.0,245.099419
ADSK,2020-07-07 04:00:00+00:00,243.12,245.6,238.8,238.94,1179694.0,20127.0,240.619558
ADSK,2020-07-08 04:00:00+00:00,241.64,244.0,239.42,243.9,1114862.0,15065.0,242.541539
ADSK,2020-07-09 04:00:00+00:00,250.3,251.39,242.07,248.2,1730355.0,27473.0,246.980969
ADSK,2020-07-10 04:00:00+00:00,248.22,248.89,243.0038,244.24,1250658.0,20167.0,244.827709
ADSK,2020-07-13 04:00:00+00:00,246.17,246.73,231.26,231.86,2200463.0,30222.0,237.003358
ADSK,2020-07-14 04:00:00+00:00,228.86,234.68,226.55,234.6,2725936.0,35952.0,232.131715
ADSK,2020-07-15 04:00:00+00:00,236.0,237.16,231.5,235.58,1227341.0,21889.0,234.807863
ADSK,2020-07-16 04:00:00+00:00,233.86,235.385,229.25,234.03,1195021.0,19606.0,233.107553
ADSK,2020-07-17 04:00:00+00:00,235.8,238.06,232.67,237.7,1247242.0,14814.0,236.695066
ADSK,2020-07-20 04:00:00+00:00,239.05,246.96,237.425,246.04,1194770.0,17498.0,245.099347
ADSK,2020-07-21 04:00:00+00:00,246.64,247.3,237.34,239.69,1103362.0,18006.0,240.262011
ADSK,2020-07-22 04:00:00+00:00,241.4,243.91,239.06,240.74,588024.0,10457.0,240.912159
ADSK,2020-07-23 04:00:00+00:00,241.29,245.16,235.73,237.34,1310289.0,18189.0,239.822154
ADSK,2020-07-24 04:00:00+00:00,234.14,236.03,230.24,232.88,1148043.0,18302.0,233.110123
ADSK,2020-07-27 04:00:00+00:00,234.96,239.97,233.31,239.69,810469.0,13575.0,238.169494
ADSK,2020-07-28 04:00:00+00:00,238.53,240.6,234.14,234.58,688520.0,12965.0,235.919895
ADSK,2020-07-29 04:00:00+00:00,236.58,240.12,236.58,238.61,552623.0,11277.0,238.631509
ADSK,2020-07-30 04:00:00+00:00,235.29,237.65,231.42,236.1,779355.0,16348.0,235.55345
ADSK,2020-07-31 04:00:00+00:00,238.36,238.36,231.5006,236.43,1312493.0,20706.0,235.021321
ADSK,2020-08-03 04:00:00+00:00,239.42,240.46,235.84,239.48,1415901.0,22857.0,238.669178
ADSK,2020-08-04 04:00:00+00:00,239.29,241.87,236.73,239.9,1041461.0,18770.0,239.069924
ADSK,2020-08-05 04:00:00+00:00,240.07,246.36,235.24,243.2,1394600.0,23217.0,242.479377
ADSK,2020-08-06 04:00:00+00:00,243.64,244.5,239.235,243.57,830648.0,17139.0,242.275074
ADSK,2020-08-07 04:00:00+00:00,242.47,242.47,233.2,236.24,1132407.0,22398.0,236.580637
ADSK,2020-08-10 04:00:00+00:00,236.4,236.9291,227.52,231.88,1401431.0,26397.0,231.09587
ADSK,2020-08-11 04:00:00+00:00,231.17,232.79,227.55,228.79,1026899.0,21100.0,230.095233
ADSK,2020-08-12 04:00:00+00:00,229.3,233.87,229.3,231.57,1018634.0,17264.0,231.728169
ADSK,2020-08-13 04:00:00+00:00,232.88,243.25,232.57,238.19,1311822.0,23553.0,239.462835
ADSK,2020-08-14 04:00:00+00:00,237.92,239.63,233.46,234.35,916602.0,13649.0,234.693199
ADSK,2020-08-17 04:00:00+00:00,236.3,239.35,235.652,239.0,1079055.0,14036.0,238.767073
ADSK,2020-08-18 04:00:00+00:00,241.94,246.3269,240.26,242.69,1595707.0,25556.0,243.389057
ADSK,2020-08-19 04:00:00+00:00,244.4,244.98,239.17,241.42,1375724.0,18430.0,242.281312
ADSK,2020-08-20 04:00:00+00:00,240.44,250.62,239.45,249.15,1186951.0,21471.0,247.724692
ADSK,2020-08-21 04:00:00+00:00,249.33,249.9323,245.27,248.27,1232974.0,19474.0,247.900641
ADSK,2020-08-24 04:00:00+00:00,250.1,253.47,249.655,251.8,1362351.0,21595.0,251.339869
ADSK,2020-08-25 04:00:00+00:00,249.02,254.35,246.4,252.24,1680190.0,29404.0,251.774184
ADSK,2020-08-26 04:00:00+00:00,246.66,253.26,237.19,248.21,3242833.0,52272.0,245.655526
ADSK,2020-08-27 04:00:00+00:00,250.19,250.19,241.74,243.11,1250743.0,24690.0,244.748408
ADSK,2020-08-28 04:00:00+00:00,244.85,250.5,244.85,247.39,1096209.0,20734.0,246.866131
ADSK,2020-08-31 04:00:00+00:00,246.33,247.98,242.55,245.7,1427332.0,18699.0,245.508993
ADSK,2020-09-01 04:00:00+00:00,247.99,253.7,244.67,253.51,1568608.0,24636.0,251.778927
ADSK,2020-09-02 04:00:00+00:00,255.48,261.94,254.15,261.35,2505987.0,40611.0,258.441298
ADSK,2020-09-03 04:00:00+00:00,256.81,256.81,239.23,242.09,2705512.0,54205.0,245.957722
ADSK,2020-09-04 04:00:00+00:00,240.53,244.435,228.18,233.88,2871941.0,48409.0,234.386102
ADSK,2020-09-08 04:00:00+00:00,224.16,230.19,223.915,224.36,2085318.0,35073.0,225.838535
ADSK,2020-09-09 04:00:00+00:00,227.61,234.975,225.586,232.78,2219345.0,32187.0,232.196425
ADSK,2020-09-10 04:00:00+00:00,234.0,239.01,226.95,228.2,2291151.0,35186.0,231.316144
ADSK,2020-09-11 04:00:00+00:00,228.18,231.335,223.27,227.48,1135292.0,24303.0,227.485786
ADSK,2020-09-14 04:00:00+00:00,231.03,232.895,228.23,229.83,1403166.0,23060.0,230.551479
ADSK,2020-09-15 04:00:00+00:00,231.48,240.05,231.09,235.87,2119921.0,28165.0,236.307537
