symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AEP,2020-03-12 04:00:00+00:00,83.0,85.97,73.53,82.54,8354353.0,64233.0,82.476971
AEP,2020-03-13 04:00:00+00:00,86.43,87.15,81.71,86.47,5770336.0,57029.0,84.416807
AEP,2020-03-16 04:00:00+00:00,78.57,86.18,77.76,81.66,6018379.0,64925.0,82.544318
AEP,2020-03-17 04:00:00+00:00,83.63,95.77,83.49,91.2,7121235.0,81626.0,90.554148
AEP,2020-03-18 04:00:00+00:00,85.02,92.855,81.01,90.24,5948820.0,60595.0,87.668481
AEP,2020-03-19 04:00:00+00:00,88.02,88.06,79.57,80.81,5157327.0,51597.0,82.181746
AEP,2020-03-20 04:00:00+00:00,80.95,81.1,70.26,71.45,6649234.0,53359.0,74.577242
AEP,2020-03-23 04:00:00+00:00,71.02,71.84,65.135,70.0,5842011.0,61695.0,68.241354
AEP,2020-03-24 04:00:00+00:00,71.66,73.78,68.09,72.05,5289914.0,49365.0,71.205717
AEP,2020-03-25 04:00:00+00:00,71.38,76.31,69.35,73.29,6048115.0,54335.0,72.462191
AEP,2020-03-26 04:00:00+00:00,73.48,82.88,73.25,81.8,4315318.0,43690.0,80.225494
AEP,2020-03-27 04:00:00+00:00,79.79,86.59,79.1308,83.4,3633254.0,36511.0,83.163215
AEP,2020-03-30 04:00:00+00:00,84.87,86.45,79.83,83.71,5710759.0,53602.0,82.391421
AEP,2020-03-31 04:00:00+00:00,82.68,83.49,79.24,79.98,7923888.0,53489.0,80.36828
AEP,2020-04-01 04:00:00+00:00,77.4,78.91,73.815,74.57,3932864.0,43064.0,75.6243
AEP,2020-04-02 04:00:00+00:00,73.63,77.58,72.39,76.79,5282179.0,40042.0,76.240673
AEP,2020-04-03 04:00:00+00:00,76.0,76.72,71.2,72.5,4487435.0,43463.0,72.942156
AEP,2020-04-06 04:00:00+00:00,74.87,79.78,74.59,78.59,4480093.0,35234.0,78.498518
AEP,2020-04-07 04:00:00+00:00,80.68,81.16,77.94,78.75,4439579.0,42408.0,79.52482
AEP,2020-04-08 04:00:00+00:00,79.26,83.87,79.0,83.3,3190918.0,35854.0,81.767235
AEP,2020-04-09 04:00:00+00:00,83.99,88.29,83.99,86.31,4274249.0,56507.0,86.67414
AEP,2020-04-13 04:00:00+00:00,85.19,86.6,82.56,83.5,2399954.0,24826.0,83.811211
AEP,2020-04-14 04:00:00+00:00,85.53,86.38,84.65,86.25,2584782.0,21177.0,85.820162
AEP,2020-04-15 04:00:00+00:00,85.07,85.5,83.29,83.61,2841441.0,27152.0,83.892694
AEP,2020-04-16 04:00:00+00:00,84.3,84.7,82.78,84.05,2016709.0,21634.0,83.919793
AEP,2020-04-17 04:00:00+00:00,85.45,86.97,84.58,86.38,2699507.0,23396.0,85.767006
AEP,2020-04-20 04:00:00+00:00,87.32,87.32,82.83,82.91,2711515.0,27015.0,83.597367
AEP,2020-04-21 04:00:00+00:00,81.77,82.84,80.91,82.47,3319738.0,33947.0,81.999521
AEP,2020-04-22 04:00:00+00:00,83.55,85.67,83.07,85.0,2745373.0,27075.0,84.895406
AEP,2020-04-23 04:00:00+00:00,84.82,85.19,82.86,83.02,2619143.0,27350.0,83.536263
AEP,2020-04-24 04:00:00+00:00,82.77,83.617,82.5936,83.23,3029179.0,25694.0,82.985179
AEP,2020-04-27 04:00:00+00:00,83.78,84.3872,83.47,83.62,2207467.0,20116.0,83.787064
AEP,2020-04-28 04:00:00+00:00,84.72,86.565,84.2,84.63,2287285.0,24251.0,84.913793
AEP,2020-04-29 04:00:00+00:00,85.75,85.8,82.87,83.13,3895548.0,32442.0,83.54818
AEP,2020-04-30 04:00:00+00:00,83.1,83.58,81.87,83.11,3528408.0,31028.0,82.943585
AEP,2020-05-01 04:00:00+00:00,82.39,82.655,81.05,81.39,2974590.0,28884.0,81.66843
AEP,2020-05-04 04:00:00+00:00,81.19,83.265,80.46,83.05,2614269.0,26941.0,82.197189
AEP,2020-05-05 04:00:00+00:00,82.64,84.64,82.01,83.31,3306835.0,30074.0,83.755003
AEP,2020-05-06 04:00:00+00:00,84.26,84.325,78.45,78.82,5461078.0,41196.0,79.924826
AEP,2020-05-07 04:00:00+00:00,78.85,80.6607,78.27,78.6,4108515.0,36601.0,79.120517
AEP,2020-05-08 04:00:00+00:00,79.0,80.42,79.0,79.86,2611609.0,20982.0,79.693997
AEP,2020-05-11 04:00:00+00:00,79.35,79.94,78.01,79.17,2702667.0,27562.0,79.138331
AEP,2020-05-12 04:00:00+00:00,79.5,79.718,77.51,77.91,3913515.0,31098.0,78.340043
AEP,2020-05-13 04:00:00+00:00,77.49,77.85,76.71,77.73,3950945.0,31802.0,77.396905
AEP,2020-05-14 04:00:00+00:00,77.29,78.7,76.2335,78.1,3986162.0,37975.0,77.820981
AEP,2020-05-15 04:00:00+00:00,77.5,78.46,76.66,78.43,10437295.0,48468.0,77.967196
AEP,2020-05-18 04:00:00+00:00,79.28,80.7033,79.19,79.88,3831728.0,34705.0,79.934617
AEP,2020-05-19 04:00:00+00:00,79.29,79.37,77.13,77.14,2964638.0,31233.0,77.898278
AEP,2020-05-20 04:00:00+00:00,78.08,78.561,77.18,77.75,2459155.0,27216.0,77.866289
AEP,2020-05-21 04:00:00+00:00,77.59,77.82,76.89,77.37,2334786.0,21929.0,77.309586
AEP,2020-05-22 04:00:00+00:00,77.4,78.84,77.35,78.78,2360266.0,20407.0,78.223553
AEP,2020-05-26 04:00:00+00:00,79.5,80.78,79.31,79.92,3174574.0,29477.0,80.047419
AEP,2020-05-27 04:00:00+00:00,81.04,81.49,80.272,81.44,3742474.0,37885.0,80.937611
AEP,2020-05-28 04:00:00+00:00,82.62,85.62,82.62,85.1,4062575.0,34849.0,84.769075
AEP,2020-05-29 04:00:00+00:00,84.99,85.85,84.31,85.25,4081611.0,32731.0,85.193965
