symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AES,2020-03-12 04:00:00+00:00,13.06,13.14,11.7,12.18,8311524.0,46328.0,12.293722
AES,2020-03-13 04:00:00+00:00,12.99,13.23,11.98,13.0,8163945.0,42916.0,12.575346
AES,2020-03-16 04:00:00+00:00,11.55,12.7,10.99,10.99,7659933.0,48024.0,11.5592
AES,2020-03-17 04:00:00+00:00,11.3,11.72,9.835,11.56,8484388.0,52810.0,11.0553
AES,2020-03-18 04:00:00+00:00,11.15,11.15,8.11,9.56,9999950.0,52390.0,9.283768
AES,2020-03-19 04:00:00+00:00,9.53,11.27,9.0,10.99,9500453.0,50814.0,10.546367
AES,2020-03-20 04:00:00+00:00,11.21,12.13,10.84,11.87,13982973.0,64602.0,11.735253
AES,2020-03-23 04:00:00+00:00,11.98,12.99,11.53,11.87,11215134.0,80933.0,11.92526
AES,2020-03-24 04:00:00+00:00,12.65,13.42,12.15,12.66,8763285.0,51110.0,12.661572
AES,2020-03-25 04:00:00+00:00,12.71,13.585,11.81,12.82,8115988.0,52093.0,12.870516
AES,2020-03-26 04:00:00+00:00,12.93,13.68,12.7,13.5,8582427.0,56469.0,13.361577
AES,2020-03-27 04:00:00+00:00,12.85,13.83,12.68,13.45,6114286.0,40093.0,13.346977
AES,2020-03-30 04:00:00+00:00,13.75,13.96,13.28,13.66,8574745.0,51400.0,13.656674
AES,2020-03-31 04:00:00+00:00,13.5,13.925,13.18,13.6,8023934.0,48697.0,13.613744
AES,2020-04-01 04:00:00+00:00,13.0,13.27,12.34,12.8,7601681.0,44170.0,12.740934
AES,2020-04-02 04:00:00+00:00,12.66,13.57,12.48,13.04,7175235.0,48433.0,13.01356
AES,2020-04-03 04:00:00+00:00,12.75,13.08,12.125,12.24,7964839.0,37321.0,12.350977
AES,2020-04-06 04:00:00+00:00,12.89,13.775,12.8,13.62,6185983.0,32045.0,13.513405
AES,2020-04-07 04:00:00+00:00,14.33,14.61,13.2,13.23,7050276.0,46347.0,13.657709
AES,2020-04-08 04:00:00+00:00,13.21,14.27,13.16,14.13,4994229.0,35023.0,13.870528
AES,2020-04-09 04:00:00+00:00,14.45,14.99,14.4,14.72,7830763.0,49341.0,14.720874
AES,2020-04-13 04:00:00+00:00,14.63,14.63,13.92,14.19,4155419.0,26927.0,14.162744
