symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AFL,2020-03-12 04:00:00+00:00,33.41,34.69,31.41,31.42,7019183.0,48875.0,32.263433
AFL,2020-03-13 04:00:00+00:00,33.54,34.85,31.16,34.69,7554552.0,48010.0,33.593132
AFL,2020-03-16 04:00:00+00:00,31.0,32.5201,28.82,28.99,6995844.0,46521.0,29.760549
AFL,2020-03-17 04:00:00+00:00,29.47,30.35,27.01,30.15,7636013.0,59316.0,29.430029
AFL,2020-03-18 04:00:00+00:00,27.86,28.59,23.07,25.27,8170855.0,50941.0,25.543078
AFL,2020-03-19 04:00:00+00:00,25.17,28.45,24.19,26.9,7691955.0,57710.0,26.934087
AFL,2020-03-20 04:00:00+00:00,27.32,29.35,26.23,26.73,7913709.0,52568.0,27.399734
AFL,2020-03-23 04:00:00+00:00,26.43,26.99,25.13,25.69,7542504.0,53972.0,26.014124
AFL,2020-03-24 04:00:00+00:00,27.86,29.22,26.68,29.11,6823975.0,50680.0,28.559207
AFL,2020-03-25 04:00:00+00:00,29.45,38.23,29.19,36.73,15773870.0,99473.0,35.476694
AFL,2020-03-26 04:00:00+00:00,37.2,41.22,34.78,35.77,11704431.0,85657.0,37.272146
AFL,2020-03-27 04:00:00+00:00,34.18,37.155,33.74,35.4,6919519.0,49911.0,35.588167
AFL,2020-03-30 04:00:00+00:00,35.63,36.75,34.5,36.26,4741448.0,42279.0,35.796846
AFL,2020-03-31 04:00:00+00:00,35.74,36.0,34.06,34.24,9357562.0,58743.0,34.48142
AFL,2020-04-01 04:00:00+00:00,32.02,33.15,31.05,31.9,6095771.0,51262.0,32.046134
AFL,2020-04-02 04:00:00+00:00,31.63,33.12,31.105,31.83,5369455.0,47086.0,31.845648
AFL,2020-04-03 04:00:00+00:00,31.31,32.66,31.3,32.41,5309522.0,41642.0,32.170483
AFL,2020-04-06 04:00:00+00:00,34.64,36.11,34.08,35.22,6143877.0,51504.0,35.020165
AFL,2020-04-07 04:00:00+00:00,37.19,38.23,35.65,35.71,5264211.0,41838.0,36.568109
AFL,2020-04-08 04:00:00+00:00,36.01,38.09,35.75,37.77,4810211.0,40905.0,37.346312
AFL,2020-04-09 04:00:00+00:00,38.5,39.82,37.53,38.08,7707587.0,72226.0,38.643804
