symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AME,2020-03-12 04:00:00+00:00,70.74,74.69,66.75,67.52,3783770.0,35329.0,69.755743
AME,2020-03-13 04:00:00+00:00,71.49,74.7,67.47,74.6,2724777.0,29560.0,71.507137
AME,2020-03-16 04:00:00+00:00,65.84,67.21,61.59,62.54,3157804.0,30272.0,63.803114
AME,2020-03-17 04:00:00+00:00,64.04,66.77,60.25,65.9,3506972.0,29757.0,63.701035
AME,2020-03-18 04:00:00+00:00,60.55,67.32,54.82,65.65,3944856.0,36732.0,59.86389
AME,2020-03-19 04:00:00+00:00,64.81,70.21,61.84,69.01,3569019.0,32785.0,67.982087
AME,2020-03-20 04:00:00+00:00,70.71,70.71,63.1,63.37,3532356.0,31959.0,66.070739
AME,2020-03-23 04:00:00+00:00,62.5,62.9,56.69,58.21,2679739.0,26193.0,58.449638
AME,2020-03-24 04:00:00+00:00,62.01,69.46,61.15,67.94,3470479.0,32044.0,67.04255
AME,2020-03-25 04:00:00+00:00,68.15,74.49,65.6,71.0,3735091.0,31899.0,70.656385
AME,2020-03-26 04:00:00+00:00,72.37,74.44,69.72,72.41,2622318.0,25490.0,72.730586
AME,2020-03-27 04:00:00+00:00,68.75,73.64,67.88,71.01,2319113.0,24025.0,70.752836
AME,2020-03-30 04:00:00+00:00,70.97,74.1,69.81,73.72,1522041.0,20919.0,72.774636
AME,2020-03-31 04:00:00+00:00,73.02,73.71,70.57,72.02,3171322.0,26186.0,72.092685
AME,2020-04-01 04:00:00+00:00,68.45,70.42,68.02,69.81,2350534.0,25800.0,69.412007
AME,2020-04-02 04:00:00+00:00,69.31,71.68,68.61,71.09,1924122.0,19134.0,70.645177
AME,2020-04-03 04:00:00+00:00,70.8,72.36,69.715,71.29,2104460.0,16427.0,71.019882
AME,2020-04-06 04:00:00+00:00,75.44,76.28,74.41,75.43,2006679.0,19232.0,75.31289
AME,2020-04-07 04:00:00+00:00,80.11,81.5,75.6,75.79,1855226.0,18670.0,77.08142
AME,2020-04-08 04:00:00+00:00,75.23,77.74,75.23,77.23,1593986.0,18140.0,76.71672
AME,2020-04-09 04:00:00+00:00,77.81,80.64,77.335,78.23,1656355.0,17763.0,78.559215
AME,2020-04-13 04:00:00+00:00,76.99,77.425,75.27,76.97,1069718.0,12337.0,76.450304
AME,2020-04-14 04:00:00+00:00,78.89,81.01,77.44,78.08,1314414.0,14915.0,78.455068
AME,2020-04-15 04:00:00+00:00,75.45,76.52,74.51,76.05,1334470.0,14540.0,75.793699
AME,2020-04-16 04:00:00+00:00,76.02,77.41,73.11,76.0,1996844.0,22869.0,75.200234
AME,2020-04-17 04:00:00+00:00,78.41,80.55,78.39,80.31,2243114.0,18784.0,79.939353
AME,2020-04-20 04:00:00+00:00,78.67,79.95,77.16,77.75,2263825.0,20386.0,78.201026
AME,2020-04-21 04:00:00+00:00,75.86,76.58,73.83,73.91,2677203.0,23273.0,74.773914
AME,2020-04-22 04:00:00+00:00,75.78,76.59,74.01,75.89,1288288.0,16376.0,75.538665
AME,2020-04-23 04:00:00+00:00,76.75,77.03,75.06,75.68,1474127.0,15637.0,76.021123
AME,2020-04-24 04:00:00+00:00,76.6,77.295,75.26,77.06,1126669.0,13654.0,76.649754
AME,2020-04-27 04:00:00+00:00,77.53,79.83,77.26,79.28,1205238.0,11240.0,78.824679
AME,2020-04-28 04:00:00+00:00,81.22,82.39,80.14,80.76,1450029.0,15225.0,81.13726
AME,2020-04-29 04:00:00+00:00,82.31,84.96,82.0,84.5,1545750.0,18479.0,84.103646
AME,2020-04-30 04:00:00+00:00,83.31,84.63,82.47,83.87,1628486.0,18781.0,83.818628
AME,2020-05-01 04:00:00+00:00,81.97,82.34,79.93,80.49,1337917.0,15638.0,80.575807
AME,2020-05-04 04:00:00+00:00,79.68,79.94,78.27,79.67,2401659.0,20973.0,79.335311
AME,2020-05-05 04:00:00+00:00,81.48,83.62,80.56,81.19,2389904.0,21115.0,81.87667
AME,2020-05-06 04:00:00+00:00,81.38,82.465,80.83,81.72,1414291.0,15987.0,81.850352
AME,2020-05-07 04:00:00+00:00,82.96,84.13,82.55,83.31,1514969.0,17541.0,83.440224
AME,2020-05-08 04:00:00+00:00,84.73,85.09,83.64,84.32,1334248.0,13518.0,84.250133
AME,2020-05-11 04:00:00+00:00,83.61,83.95,82.55,83.24,1006372.0,11019.0,83.266461
AME,2020-05-12 04:00:00+00:00,83.51,83.76,80.62,80.82,1566055.0,16035.0,81.312294
AME,2020-05-13 04:00:00+00:00,80.57,80.73,77.52,77.97,1735427.0,18216.0,78.601925
AME,2020-05-14 04:00:00+00:00,76.45,79.1,75.22,78.75,2097177.0,20317.0,77.612513
AME,2020-05-15 04:00:00+00:00,77.99,80.13,77.37,79.59,4052348.0,16038.0,79.45516
AME,2020-05-18 04:00:00+00:00,83.0,83.96,82.51,83.28,1383614.0,16601.0,83.361233
AME,2020-05-19 04:00:00+00:00,82.79,84.805,82.64,84.01,1673249.0,16663.0,84.143173
AME,2020-05-20 04:00:00+00:00,85.14,85.85,84.73,84.83,1115561.0,12725.0,85.025328
AME,2020-05-21 04:00:00+00:00,84.85,85.39,84.27,84.86,1081796.0,11247.0,84.830234
AME,2020-05-22 04:00:00+00:00,84.9,86.0,84.46,85.9,1390117.0,14911.0,85.438015
AME,2020-05-26 04:00:00+00:00,89.01,90.325,88.23,88.41,2135568.0,21620.0,88.796837
AME,2020-05-27 04:00:00+00:00,90.0,91.83,89.5,91.69,1232338.0,16198.0,90.969712
AME,2020-05-28 04:00:00+00:00,92.5,93.2,91.2,91.88,1643328.0,14061.0,92.334421
AME,2020-05-29 04:00:00+00:00,91.5,92.14,89.91,91.71,2003993.0,18349.0,91.383945
AME,2020-06-01 04:00:00+00:00,91.31,92.87,90.4879,92.02,1225743.0,14135.0,92.151644
AME,2020-06-02 04:00:00+00:00,92.35,93.84,91.5,92.94,1230696.0,13951.0,92.904232
AME,2020-06-03 04:00:00+00:00,94.37,95.55,93.98,95.01,1662314.0,15641.0,94.982569
AME,2020-06-04 04:00:00+00:00,94.17,94.69,93.49,94.21,911213.0,13024.0,94.1336
AME,2020-06-05 04:00:00+00:00,97.61,97.74,95.73,96.99,1548229.0,15239.0,96.917799
AME,2020-06-08 04:00:00+00:00,97.1,98.0,95.6,95.95,1535056.0,15728.0,96.331336
AME,2020-06-09 04:00:00+00:00,94.42,95.87,93.8,94.79,1160908.0,13096.0,94.893336
AME,2020-06-10 04:00:00+00:00,94.82,94.87,92.63,93.15,1037833.0,12538.0,93.270943
AME,2020-06-11 04:00:00+00:00,90.12,90.43,87.825,88.09,1650298.0,19980.0,88.619019
AME,2020-06-12 04:00:00+00:00,90.06,90.18,85.26,87.66,1912743.0,21117.0,87.335317
AME,2020-06-15 04:00:00+00:00,85.33,89.23,84.64,88.28,1557492.0,14298.0,87.832214
AME,2020-06-16 04:00:00+00:00,91.62,91.96,89.23,90.74,1309715.0,16072.0,90.7557
AME,2020-06-17 04:00:00+00:00,91.4,91.58,89.73,89.98,908653.0,7937.0,90.231609
AME,2020-06-18 04:00:00+00:00,89.43,90.36,88.89,89.2,936748.0,9967.0,89.355235
AME,2020-06-19 04:00:00+00:00,91.09,91.1,88.06,88.53,2550030.0,14002.0,88.845534
AME,2020-06-22 04:00:00+00:00,88.3,89.555,87.33,89.33,894599.0,11030.0,89.095042
AME,2020-06-23 04:00:00+00:00,90.57,90.57,88.93,89.08,1134782.0,10558.0,89.439415
AME,2020-06-24 04:00:00+00:00,88.17,88.26,85.69,85.84,2057756.0,19907.0,86.348684
AME,2020-06-25 04:00:00+00:00,85.55,87.25,84.53,87.14,1643790.0,15939.0,86.333597
AME,2020-06-26 04:00:00+00:00,86.85,86.87,85.06,85.79,7494164.0,18897.0,85.804514
AME,2020-06-29 04:00:00+00:00,87.25,88.14,86.16,88.11,1412281.0,15598.0,87.609661
AME,2020-06-30 04:00:00+00:00,88.03,89.7,87.71,89.37,1243008.0,12272.0,89.109321
AME,2020-07-01 04:00:00+00:00,89.74,89.98,87.36,87.59,1284841.0,13600.0,87.889904
AME,2020-07-02 04:00:00+00:00,88.92,90.09,88.54,88.96,1252411.0,12218.0,89.077796
AME,2020-07-06 04:00:00+00:00,90.53,91.2773,89.18,89.76,980659.0,11310.0,89.821187
AME,2020-07-07 04:00:00+00:00,89.15,89.95,88.16,88.38,902679.0,10012.0,88.618234
AME,2020-07-08 04:00:00+00:00,88.61,89.22,87.095,87.99,1158134.0,13058.0,87.879812
AME,2020-07-09 04:00:00+00:00,87.84,88.0,85.76,86.26,1393040.0,16562.0,86.581004
AME,2020-07-10 04:00:00+00:00,86.19,86.97,85.74,86.9,881631.0,10710.0,86.620276
AME,2020-07-13 04:00:00+00:00,87.58,89.59,87.22,88.47,1887358.0,19719.0,88.679994
AME,2020-07-14 04:00:00+00:00,88.76,91.88,88.59,91.79,1742980.0,18925.0,90.957833
AME,2020-07-15 04:00:00+00:00,93.21,93.9,92.68,93.22,1540552.0,17967.0,93.219083
AME,2020-07-16 04:00:00+00:00,92.86,94.21,92.34,92.73,1248627.0,13787.0,92.897792
AME,2020-07-17 04:00:00+00:00,93.27,93.71,92.77,92.95,4410152.0,17285.0,93.008607
AME,2020-07-20 04:00:00+00:00,92.31,92.79,91.11,91.43,1079839.0,12783.0,91.523305
AME,2020-07-21 04:00:00+00:00,91.7,92.96,91.51,92.06,1418204.0,16273.0,92.200061
AME,2020-07-22 04:00:00+00:00,92.01,93.71,92.0,93.62,1292974.0,12234.0,93.455611
AME,2020-07-23 04:00:00+00:00,93.59,94.165,92.89,93.32,1007604.0,10505.0,93.485144
AME,2020-07-24 04:00:00+00:00,93.49,93.77,92.39,92.9,1131942.0,11425.0,93.000398
AME,2020-07-27 04:00:00+00:00,92.63,93.86,92.17,93.05,1207870.0,12109.0,93.234786
AME,2020-07-28 04:00:00+00:00,92.62,93.01,92.02,92.08,768937.0,9128.0,92.434571
AME,2020-07-29 04:00:00+00:00,92.43,94.66,92.43,94.35,1538985.0,13890.0,93.925143
AME,2020-07-30 04:00:00+00:00,93.21,94.11,92.29,93.9,935799.0,13040.0,93.656623
AME,2020-07-31 04:00:00+00:00,93.32,93.53,91.48,93.25,1418511.0,13826.0,92.79785
AME,2020-08-03 04:00:00+00:00,93.83,95.85,93.27,94.95,1441942.0,17301.0,95.07892
AME,2020-08-04 04:00:00+00:00,93.13,95.99,93.13,94.49,1278915.0,15398.0,94.359383
AME,2020-08-05 04:00:00+00:00,95.81,97.05,94.9605,96.42,1118351.0,14287.0,96.465148
AME,2020-08-06 04:00:00+00:00,96.51,97.54,96.14,97.52,888127.0,11821.0,97.080172
AME,2020-08-07 04:00:00+00:00,97.55,98.85,96.6,97.79,1674572.0,16977.0,98.010476
AME,2020-08-10 04:00:00+00:00,97.98,99.27,97.84,99.04,1853719.0,16089.0,98.700309
AME,2020-08-11 04:00:00+00:00,100.0,101.68,99.23,99.25,1491062.0,14229.0,100.025269
AME,2020-08-12 04:00:00+00:00,100.23,101.545,99.98,101.23,941960.0,11463.0,101.036997
AME,2020-08-13 04:00:00+00:00,100.74,101.34,100.51,100.96,954292.0,12401.0,100.983269
AME,2020-08-14 04:00:00+00:00,100.36,102.03,100.36,101.28,1125192.0,12107.0,101.197825
AME,2020-08-17 04:00:00+00:00,101.28,101.935,101.17,101.4,1032300.0,10958.0,101.410584
AME,2020-08-18 04:00:00+00:00,101.35,101.8,101.31,101.58,1071273.0,13243.0,101.545775
AME,2020-08-19 04:00:00+00:00,101.48,101.53,100.82,101.01,805121.0,9771.0,101.096825
AME,2020-08-20 04:00:00+00:00,100.07,100.6,99.61,100.16,714389.0,11739.0,100.27975
AME,2020-08-21 04:00:00+00:00,99.98,100.7,99.83,100.24,724732.0,9174.0,100.173024
AME,2020-08-24 04:00:00+00:00,100.85,100.97,99.77,100.8,770914.0,9545.0,100.55634
AME,2020-08-25 04:00:00+00:00,101.42,101.6,100.27,100.92,633646.0,8732.0,100.756798
AME,2020-08-26 04:00:00+00:00,100.48,101.2,99.97,101.01,738273.0,6867.0,100.793104
AME,2020-08-27 04:00:00+00:00,101.5,101.57,100.48,100.91,704401.0,9173.0,100.950867
AME,2020-08-28 04:00:00+00:00,101.17,101.98,100.67,101.93,824708.0,8818.0,101.570118
AME,2020-08-31 04:00:00+00:00,101.78,101.78,100.37,100.7,866357.0,7935.0,100.738365
AME,2020-09-01 04:00:00+00:00,100.42,102.205,100.19,102.02,613173.0,8222.0,101.689024
AME,2020-09-02 04:00:00+00:00,101.98,103.945,101.61,103.08,1758868.0,15950.0,103.181736
AME,2020-09-03 04:00:00+00:00,103.4,103.58,99.045,99.89,977008.0,11861.0,100.25142
