symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AOS,2020-03-12 04:00:00+00:00,38.03,40.49,38.0,38.73,7270577.0,40401.0,38.887591
AOS,2020-03-13 04:00:00+00:00,40.18,41.57,38.69,41.49,5578941.0,43427.0,39.951267
AOS,2020-03-16 04:00:00+00:00,37.16,39.57,37.16,37.99,3604755.0,38374.0,38.80928
AOS,2020-03-17 04:00:00+00:00,38.65,39.435,36.82,39.13,3087316.0,29122.0,38.431579
AOS,2020-03-18 04:00:00+00:00,37.13,39.46,34.77,38.43,2431408.0,25592.0,37.173945
AOS,2020-03-19 04:00:00+00:00,37.78,38.03,35.63,36.85,2973792.0,26339.0,36.799894
AOS,2020-03-20 04:00:00+00:00,37.13,37.15,34.12,34.75,2576346.0,23308.0,35.283641
AOS,2020-03-23 04:00:00+00:00,34.38,35.98,33.805,35.6,3358420.0,30396.0,35.127468
AOS,2020-03-24 04:00:00+00:00,36.83,37.47,35.69,36.49,2901838.0,25027.0,36.398754
AOS,2020-03-25 04:00:00+00:00,36.65,37.81,35.04,36.89,3286253.0,24765.0,36.675588
AOS,2020-03-26 04:00:00+00:00,37.24,38.17,36.76,37.28,1893021.0,20578.0,37.337271
AOS,2020-03-27 04:00:00+00:00,36.29,37.7,35.64,36.85,2101849.0,15488.0,36.810747
AOS,2020-03-30 04:00:00+00:00,36.84,38.89,36.4,38.6,1905183.0,19379.0,38.211089
AOS,2020-03-31 04:00:00+00:00,38.25,39.06,37.58,37.81,2446196.0,18758.0,38.106639
AOS,2020-04-01 04:00:00+00:00,36.81,36.99,35.22,35.61,2400318.0,19361.0,35.862246
AOS,2020-04-02 04:00:00+00:00,35.59,37.07,35.18,35.94,2174858.0,20297.0,36.065534
AOS,2020-04-03 04:00:00+00:00,36.1,36.93,35.56,35.87,1398343.0,14852.0,36.034853
AOS,2020-04-06 04:00:00+00:00,37.0,38.51,36.52,38.22,3433974.0,28546.0,37.867014
AOS,2020-04-07 04:00:00+00:00,39.0,40.44,38.41,39.66,4145680.0,27560.0,39.555006
AOS,2020-04-08 04:00:00+00:00,39.89,40.91,39.45,40.22,1648631.0,16496.0,40.28067
AOS,2020-04-09 04:00:00+00:00,40.52,41.42,39.64,40.21,2022036.0,19724.0,40.344881
AOS,2020-04-13 04:00:00+00:00,39.97,40.44,39.09,39.63,1262926.0,13571.0,39.575442
AOS,2020-04-14 04:00:00+00:00,40.19,41.14,40.04,40.67,1614589.0,14298.0,40.710388
AOS,2020-04-15 04:00:00+00:00,40.04,40.5,39.54,40.08,1659331.0,13721.0,39.964828
AOS,2020-04-16 04:00:00+00:00,40.05,40.21,39.21,39.9,1626224.0,16819.0,39.682167
AOS,2020-04-17 04:00:00+00:00,40.81,41.38,40.31,41.08,1555380.0,12753.0,40.93675
AOS,2020-04-20 04:00:00+00:00,40.45,40.99,39.75,40.35,1161853.0,11039.0,40.531701
AOS,2020-04-21 04:00:00+00:00,39.68,39.95,38.62,38.72,1349405.0,13488.0,38.970699
AOS,2020-04-22 04:00:00+00:00,39.35,39.52,37.92,38.77,1507584.0,16019.0,38.624616
AOS,2020-04-23 04:00:00+00:00,39.18,40.12,39.18,39.64,1787397.0,13998.0,39.685135
