symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ARE,2020-03-12 04:00:00+00:00,142.0,145.67,136.13,141.11,1474652.0,25210.0,138.666745
ARE,2020-03-13 04:00:00+00:00,142.21,148.355,133.45,147.74,3131389.0,20674.0,146.193337
ARE,2020-03-16 04:00:00+00:00,132.98,134.33,121.7501,122.31,1746946.0,22025.0,126.202674
ARE,2020-03-17 04:00:00+00:00,125.39,135.5,120.06,135.18,1614975.0,25377.0,131.168961
ARE,2020-03-18 04:00:00+00:00,126.7,134.3,124.03,132.95,1670059.0,19009.0,129.939457
ARE,2020-03-19 04:00:00+00:00,130.94,136.365,128.44,132.0,1208765.0,20116.0,132.041808
ARE,2020-03-20 04:00:00+00:00,133.58,134.65,121.09,123.31,3233194.0,21001.0,125.114031
ARE,2020-03-23 04:00:00+00:00,122.0,122.0,109.22,114.92,1317321.0,20055.0,114.857892
ARE,2020-03-24 04:00:00+00:00,119.66,129.7,117.23,129.51,1301127.0,16061.0,126.3153
ARE,2020-03-25 04:00:00+00:00,128.27,139.75,127.0,133.4,1532064.0,19035.0,134.068821
ARE,2020-03-26 04:00:00+00:00,134.4,142.39,130.8,141.8,3392200.0,19675.0,140.283487
ARE,2020-03-27 04:00:00+00:00,137.16,146.55,135.6003,143.47,1760502.0,19364.0,142.23452
ARE,2020-03-30 04:00:00+00:00,143.98,145.74,138.75,144.65,1223309.0,17108.0,142.933898
ARE,2020-03-31 04:00:00+00:00,140.0,142.74,133.02,137.06,2285436.0,25131.0,136.82394
ARE,2020-04-01 04:00:00+00:00,131.67,133.21,127.57,131.24,1100423.0,18132.0,130.829995
ARE,2020-04-02 04:00:00+00:00,129.0,132.43,127.42,131.38,1424923.0,16244.0,130.400582
ARE,2020-04-03 04:00:00+00:00,129.41,133.02,128.54,129.99,873227.0,13712.0,130.050646
ARE,2020-04-06 04:00:00+00:00,137.09,141.37,134.7,137.68,1136820.0,16763.0,137.955376
ARE,2020-04-07 04:00:00+00:00,143.38,145.78,137.95,138.27,902481.0,15103.0,141.095507
ARE,2020-04-08 04:00:00+00:00,139.81,148.9,137.64,147.44,985424.0,15476.0,145.181127
ARE,2020-04-09 04:00:00+00:00,149.25,158.47,149.25,157.8,1494336.0,20859.0,156.124684
