symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AVY,2020-03-12 04:00:00+00:00,104.42,108.08,100.2,104.22,1280077.0,14674.0,104.309872
AVY,2020-03-13 04:00:00+00:00,109.43,110.43,99.3499,106.08,922018.0,13637.0,104.480022
AVY,2020-03-16 04:00:00+00:00,93.5,104.05,93.5,97.01,968107.0,13398.0,98.419216
AVY,2020-03-17 04:00:00+00:00,99.34,107.96,95.85,106.71,1012401.0,13140.0,104.413051
AVY,2020-03-18 04:00:00+00:00,97.74,105.85,97.59,105.46,822188.0,11887.0,102.824706
AVY,2020-03-19 04:00:00+00:00,104.45,105.72,97.09,103.05,712248.0,10233.0,102.443938
AVY,2020-03-20 04:00:00+00:00,103.41,103.41,88.01,90.8,1048806.0,12215.0,93.503985
AVY,2020-03-23 04:00:00+00:00,89.6,90.105,76.96,78.75,981802.0,15055.0,81.709788
AVY,2020-03-24 04:00:00+00:00,82.47,98.95,81.075,96.76,1102204.0,15302.0,92.988501
AVY,2020-03-25 04:00:00+00:00,96.27,99.95,93.28,97.76,1248750.0,16687.0,97.067855
AVY,2020-03-26 04:00:00+00:00,98.77,107.24,98.13,101.99,806995.0,10916.0,101.975045
AVY,2020-03-27 04:00:00+00:00,98.35,102.3,96.76,100.31,594361.0,9142.0,99.827859
AVY,2020-03-30 04:00:00+00:00,100.97,105.09,97.63,104.77,736496.0,11783.0,103.687554
AVY,2020-03-31 04:00:00+00:00,102.96,104.45,100.94,101.87,1601155.0,14307.0,102.006914
AVY,2020-04-01 04:00:00+00:00,98.02,99.84,95.18,95.93,923802.0,12088.0,96.87
AVY,2020-04-02 04:00:00+00:00,94.99,100.83,93.985,95.9,899816.0,11324.0,95.938162
AVY,2020-04-03 04:00:00+00:00,94.8,98.5876,93.29,93.61,1023342.0,10307.0,94.074417
AVY,2020-04-06 04:00:00+00:00,98.96,102.15,97.665,100.42,747441.0,11244.0,100.287867
AVY,2020-04-07 04:00:00+00:00,103.5,107.62,100.7,104.16,766192.0,10289.0,104.391068
AVY,2020-04-08 04:00:00+00:00,105.56,110.71,104.37,110.21,605773.0,9828.0,109.239509
AVY,2020-04-09 04:00:00+00:00,110.94,116.67,110.94,115.03,742296.0,14276.0,114.420247
AVY,2020-04-13 04:00:00+00:00,114.15,114.98,108.03,108.78,659132.0,10268.0,109.134255
AVY,2020-04-14 04:00:00+00:00,111.0,112.87,109.89,110.53,406714.0,6958.0,110.840157
AVY,2020-04-15 04:00:00+00:00,106.82,108.63,105.71,106.98,476257.0,7853.0,107.101221
AVY,2020-04-16 04:00:00+00:00,107.66,108.3502,101.66,104.68,606671.0,9250.0,104.347101
AVY,2020-04-17 04:00:00+00:00,107.24,110.0,106.36,109.36,490063.0,8662.0,109.014566
AVY,2020-04-20 04:00:00+00:00,107.85,107.85,104.41,104.9,406166.0,6297.0,105.486767
AVY,2020-04-21 04:00:00+00:00,102.76,103.73,101.8217,103.26,632828.0,7362.0,103.104475
AVY,2020-04-22 04:00:00+00:00,104.46,106.2768,103.475,105.37,494988.0,7303.0,105.277716
AVY,2020-04-23 04:00:00+00:00,106.5,108.94,106.17,106.73,535650.0,9390.0,107.295443
AVY,2020-04-24 04:00:00+00:00,108.04,109.19,106.13,108.54,449912.0,7851.0,108.233002
AVY,2020-04-27 04:00:00+00:00,108.97,114.245,107.76,114.0,504711.0,8193.0,113.069938
AVY,2020-04-28 04:00:00+00:00,116.38,119.41,114.55,114.68,682405.0,9541.0,115.91706
AVY,2020-04-29 04:00:00+00:00,116.37,119.55,112.18,114.16,924565.0,13580.0,114.540284
AVY,2020-04-30 04:00:00+00:00,111.02,112.06,108.54,110.39,724759.0,9893.0,110.593742
AVY,2020-05-01 04:00:00+00:00,108.4,108.595,105.145,108.07,511699.0,9042.0,107.280231
AVY,2020-05-04 04:00:00+00:00,107.65,107.99,105.61,106.92,427720.0,6318.0,106.698113
AVY,2020-05-05 04:00:00+00:00,107.57,108.37,106.14,106.49,476779.0,8697.0,107.193162
AVY,2020-05-06 04:00:00+00:00,107.1,107.93,105.345,105.75,380999.0,5567.0,106.163666
AVY,2020-05-07 04:00:00+00:00,107.03,107.72,103.802,104.32,667802.0,10861.0,105.283236
AVY,2020-05-08 04:00:00+00:00,106.35,109.53,105.93,109.26,412757.0,7803.0,108.18251
AVY,2020-05-11 04:00:00+00:00,108.16,109.3,105.455,108.81,458760.0,7632.0,108.305922
AVY,2020-05-12 04:00:00+00:00,109.18,109.88,104.42,104.46,470942.0,7217.0,105.325507
AVY,2020-05-13 04:00:00+00:00,103.36,105.19,101.12,102.26,607269.0,10677.0,102.672696
AVY,2020-05-14 04:00:00+00:00,101.23,102.26,98.84,102.22,543377.0,9673.0,101.316615
AVY,2020-05-15 04:00:00+00:00,101.18,101.84,99.26,100.48,536924.0,7732.0,100.163058
AVY,2020-05-18 04:00:00+00:00,104.28,106.46,104.28,104.49,647095.0,9663.0,104.94959
AVY,2020-05-19 04:00:00+00:00,103.79,104.51,102.56,102.81,413972.0,7341.0,103.537324
AVY,2020-05-20 04:00:00+00:00,103.9,106.83,103.9,105.75,537905.0,8108.0,105.521914
AVY,2020-05-21 04:00:00+00:00,105.02,106.05,103.12,105.91,539796.0,7671.0,105.411462
AVY,2020-05-22 04:00:00+00:00,105.8,107.63,105.67,106.45,656874.0,8991.0,106.714071
AVY,2020-05-26 04:00:00+00:00,109.39,112.04,108.42,111.45,695540.0,11224.0,111.051302
AVY,2020-05-27 04:00:00+00:00,113.52,114.84,111.325,113.42,729936.0,10836.0,113.048363
AVY,2020-05-28 04:00:00+00:00,114.59,114.59,112.0,112.19,453579.0,7193.0,112.72731
AVY,2020-05-29 04:00:00+00:00,111.67,112.53,109.26,110.67,1535342.0,11947.0,110.767423
AVY,2020-06-01 04:00:00+00:00,111.3,113.78,111.16,112.97,526660.0,10032.0,112.895121
AVY,2020-06-02 04:00:00+00:00,112.59,116.51,112.59,115.57,705147.0,11418.0,115.414233
AVY,2020-06-03 04:00:00+00:00,117.25,120.22,116.35,119.75,716697.0,10772.0,119.340072
AVY,2020-06-04 04:00:00+00:00,118.52,120.0,117.5,118.74,506016.0,8023.0,118.755756
AVY,2020-06-05 04:00:00+00:00,122.7,125.67,121.8,123.32,810260.0,11499.0,124.023153
AVY,2020-06-08 04:00:00+00:00,122.95,125.64,122.84,124.61,501678.0,6931.0,124.39779
AVY,2020-06-09 04:00:00+00:00,123.29,123.58,121.38,122.42,414983.0,6608.0,122.696622
