symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AXON,2020-03-12 04:00:00+00:00,54.19,59.98,51.86,56.72,1331434.0,15347.0,56.345394
AXON,2020-03-13 04:00:00+00:00,60.33,62.79,54.696,62.43,1120588.0,12232.0,59.538865
AXON,2020-03-16 04:00:00+00:00,54.32,58.65,52.7575,53.92,1105582.0,14222.0,55.381042
AXON,2020-03-17 04:00:00+00:00,54.42,57.3754,51.3,57.15,1099420.0,12135.0,55.151057
AXON,2020-03-18 04:00:00+00:00,53.2,55.87,50.051,52.61,1043797.0,12577.0,52.424355
AXON,2020-03-19 04:00:00+00:00,52.89,64.2514,52.2397,62.01,1312772.0,14940.0,60.425742
AXON,2020-03-20 04:00:00+00:00,62.15,65.22,59.8,60.78,1509897.0,14346.0,62.172969
AXON,2020-03-23 04:00:00+00:00,60.53,65.01,58.06,63.41,889095.0,12538.0,62.043779
AXON,2020-03-24 04:00:00+00:00,66.66,70.96,66.5,69.83,898744.0,12037.0,69.101704
AXON,2020-03-25 04:00:00+00:00,69.84,74.09,66.59,71.15,888055.0,11445.0,71.248786
AXON,2020-03-26 04:00:00+00:00,72.64,77.86,72.305,76.52,822924.0,9692.0,75.64006
AXON,2020-03-27 04:00:00+00:00,73.08,77.23,71.87,74.41,947530.0,10187.0,74.343639
AXON,2020-03-30 04:00:00+00:00,74.3,76.36,69.1,69.46,1175637.0,12948.0,71.371409
AXON,2020-03-31 04:00:00+00:00,69.03,72.72,67.96,70.77,1474895.0,14592.0,70.494258
AXON,2020-04-01 04:00:00+00:00,67.58,69.67,63.7,64.72,769159.0,9997.0,65.745756
AXON,2020-04-02 04:00:00+00:00,64.99,67.29,61.23,62.64,554894.0,7981.0,63.08154
AXON,2020-04-03 04:00:00+00:00,61.99,62.415,60.55,61.51,658373.0,7080.0,61.504966
AXON,2020-04-06 04:00:00+00:00,64.56,68.65,63.76,68.0,843191.0,11211.0,66.584366
AXON,2020-04-07 04:00:00+00:00,70.67,71.99,68.1,68.96,839874.0,10444.0,69.467178
AXON,2020-04-08 04:00:00+00:00,70.27,73.4,69.3973,72.48,615786.0,8677.0,71.891827
AXON,2020-04-09 04:00:00+00:00,73.74,76.25,72.6,74.7,495497.0,6775.0,74.577185
AXON,2020-04-13 04:00:00+00:00,73.76,74.38,71.67,73.49,381480.0,5232.0,73.369887
AXON,2020-04-14 04:00:00+00:00,75.1,77.54,74.9,76.62,481353.0,5967.0,76.440681
AXON,2020-04-15 04:00:00+00:00,73.89,75.49,72.34,74.13,510171.0,7534.0,74.151033
AXON,2020-04-16 04:00:00+00:00,74.52,75.0,70.65,72.77,684404.0,9557.0,72.750286
AXON,2020-04-17 04:00:00+00:00,75.85,77.23,75.1,76.72,601825.0,7217.0,76.444229
