symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AZO,2020-03-12 04:00:00+00:00,1040.13,1045.8,976.9,978.19,448384.0,13627.0,1002.992634
AZO,2020-03-13 04:00:00+00:00,1020.66,1020.66,939.635,1012.73,487889.0,12516.0,989.91272
AZO,2020-03-16 04:00:00+00:00,910.0,945.15,840.91,851.33,455224.0,14875.0,876.262803
AZO,2020-03-17 04:00:00+00:00,870.51,927.02,846.68,913.92,483209.0,13889.0,899.503457
AZO,2020-03-18 04:00:00+00:00,867.0,873.7543,756.03,808.5,442533.0,11403.0,808.369308
AZO,2020-03-19 04:00:00+00:00,799.47,834.78,730.0,827.29,483998.0,11109.0,804.589712
AZO,2020-03-20 04:00:00+00:00,830.25,831.65,720.88,728.13,503620.0,10914.0,758.758871
AZO,2020-03-23 04:00:00+00:00,711.65,741.865,684.91,723.22,453357.0,10902.0,720.114353
AZO,2020-03-24 04:00:00+00:00,755.64,824.99,751.85,808.43,437911.0,13048.0,800.079528
AZO,2020-03-25 04:00:00+00:00,821.36,884.06,805.24,844.43,397522.0,9502.0,849.396409
AZO,2020-03-26 04:00:00+00:00,870.18,895.42,857.03,884.99,399165.0,9825.0,883.166085
AZO,2020-03-27 04:00:00+00:00,852.27,882.1252,827.5,851.63,268726.0,7962.0,850.85629
AZO,2020-03-30 04:00:00+00:00,834.9,883.64,832.92,873.99,296723.0,9652.0,866.168609
AZO,2020-03-31 04:00:00+00:00,861.07,878.03,835.36,846.0,623167.0,12012.0,850.430227
AZO,2020-04-01 04:00:00+00:00,809.78,834.18,774.91,776.86,441519.0,11180.0,794.400428
AZO,2020-04-02 04:00:00+00:00,776.86,797.13,757.1842,794.65,391591.0,10380.0,785.848715
AZO,2020-04-03 04:00:00+00:00,783.49,793.98,764.44,790.56,391513.0,8790.0,782.187429
AZO,2020-04-06 04:00:00+00:00,826.14,892.35,811.01,875.1,656096.0,17192.0,867.022788
AZO,2020-04-07 04:00:00+00:00,933.43,937.58,874.3,899.64,498161.0,11247.0,906.494233
AZO,2020-04-08 04:00:00+00:00,893.57,944.52,891.19,915.22,314814.0,9329.0,922.923344
AZO,2020-04-09 04:00:00+00:00,940.0,963.72,924.0,940.83,310421.0,7686.0,945.761073
AZO,2020-04-13 04:00:00+00:00,940.0,950.0,906.38,942.19,232712.0,6088.0,935.671197
AZO,2020-04-14 04:00:00+00:00,953.04,990.0,945.08,977.14,288699.0,7470.0,975.687651
AZO,2020-04-15 04:00:00+00:00,934.26,967.93,932.0,932.66,282259.0,8127.0,940.47702
AZO,2020-04-16 04:00:00+00:00,944.85,997.93,937.21,978.52,499859.0,10715.0,973.767545
AZO,2020-04-17 04:00:00+00:00,1006.14,1026.05,965.25,991.8,315361.0,10704.0,990.319913
AZO,2020-04-20 04:00:00+00:00,994.44,1001.91,972.93,988.15,198511.0,6051.0,989.866487
AZO,2020-04-21 04:00:00+00:00,975.0,990.0,973.06,978.85,210607.0,6485.0,977.675313
AZO,2020-04-22 04:00:00+00:00,988.68,1004.99,980.01,999.55,242141.0,6645.0,997.854638
AZO,2020-04-23 04:00:00+00:00,1012.32,1024.0,1005.02,1005.71,274955.0,7850.0,1013.286087
AZO,2020-04-24 04:00:00+00:00,1017.64,1050.57,1008.59,1047.04,214516.0,7584.0,1039.929296
AZO,2020-04-27 04:00:00+00:00,1054.76,1067.27,1049.31,1060.52,188312.0,5895.0,1059.153395
AZO,2020-04-28 04:00:00+00:00,1063.77,1080.0,1051.8,1055.45,217317.0,6715.0,1060.503717
AZO,2020-04-29 04:00:00+00:00,1078.0,1082.31,1051.27,1054.15,245498.0,7529.0,1060.459441
AZO,2020-04-30 04:00:00+00:00,1040.84,1049.795,1017.95,1020.32,360634.0,7917.0,1026.89435
AZO,2020-05-01 04:00:00+00:00,1001.05,1017.41,984.0,994.45,261448.0,8632.0,993.740987
AZO,2020-05-04 04:00:00+00:00,985.71,1023.13,982.3001,1009.94,245980.0,7350.0,1008.615446
AZO,2020-05-05 04:00:00+00:00,1021.52,1032.14,1014.88,1023.16,241095.0,6932.0,1024.316622
AZO,2020-05-06 04:00:00+00:00,1029.09,1049.3,1007.917,1032.36,206977.0,5816.0,1032.794066
AZO,2020-05-07 04:00:00+00:00,1042.56,1063.76,1007.17,1012.16,376574.0,8248.0,1019.081534
AZO,2020-05-08 04:00:00+00:00,1032.34,1059.693,1017.26,1057.9,217427.0,7293.0,1048.408559
AZO,2020-05-11 04:00:00+00:00,1051.39,1062.8,1036.495,1053.88,337107.0,6938.0,1049.893753
AZO,2020-05-12 04:00:00+00:00,1061.0,1068.99,1044.635,1046.58,303779.0,6262.0,1052.620946
AZO,2020-05-13 04:00:00+00:00,1048.76,1058.02,1024.24,1044.1,335381.0,8636.0,1039.706634
AZO,2020-05-14 04:00:00+00:00,1029.69,1061.65,1023.06,1055.58,242695.0,6700.0,1042.891902
AZO,2020-05-15 04:00:00+00:00,1049.25,1083.06,1049.25,1074.98,257769.0,6468.0,1069.859305
AZO,2020-05-18 04:00:00+00:00,1097.51,1124.08,1083.0,1083.0,330246.0,7849.0,1093.910331
AZO,2020-05-19 04:00:00+00:00,1117.67,1117.67,1091.83,1104.41,296532.0,7838.0,1106.878384
AZO,2020-05-20 04:00:00+00:00,1116.37,1142.99,1105.02,1113.01,330579.0,8953.0,1123.291319
AZO,2020-05-21 04:00:00+00:00,1111.83,1113.2483,1094.76,1104.47,200561.0,7067.0,1102.718347
AZO,2020-05-22 04:00:00+00:00,1106.69,1124.94,1088.13,1122.94,267992.0,8783.0,1114.388957
AZO,2020-05-26 04:00:00+00:00,1175.0,1178.19,1115.0,1123.2,556422.0,14772.0,1134.33144
AZO,2020-05-27 04:00:00+00:00,1140.0,1165.67,1110.01,1164.42,343855.0,9734.0,1151.451659
AZO,2020-05-28 04:00:00+00:00,1171.4,1171.4,1138.42,1147.55,302548.0,9380.0,1152.883667
AZO,2020-05-29 04:00:00+00:00,1141.28,1160.0,1137.195,1147.86,404695.0,9329.0,1148.144244
