symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BALL,2020-03-12 04:00:00+00:00,66.49,68.845,61.67,64.53,3520577.0,36272.0,64.47366
BALL,2020-03-13 04:00:00+00:00,65.24,65.72,59.58,63.84,5913050.0,54005.0,62.238732
BALL,2020-03-16 04:00:00+00:00,59.25,59.9,53.91,57.9,3970948.0,36658.0,57.758458
BALL,2020-03-17 04:00:00+00:00,59.7,67.63,57.85,64.63,5539629.0,45599.0,64.012476
BALL,2020-03-18 04:00:00+00:00,60.45,64.78,58.73,64.45,3469845.0,35246.0,61.865149
BALL,2020-03-19 04:00:00+00:00,63.92,64.575,55.15,60.11,4008070.0,38210.0,59.803177
BALL,2020-03-20 04:00:00+00:00,59.67,59.77,54.33,54.89,4473592.0,37395.0,56.031473
BALL,2020-03-23 04:00:00+00:00,54.11,54.79,51.26,51.94,4707994.0,40835.0,52.734451
BALL,2020-03-24 04:00:00+00:00,54.17,59.58,53.79,58.22,3747375.0,37984.0,56.908155
BALL,2020-03-25 04:00:00+00:00,58.06,59.89,55.73,56.02,3410117.0,36874.0,57.082181
BALL,2020-03-26 04:00:00+00:00,59.8,63.37,58.0,62.56,3693299.0,39679.0,61.421038
BALL,2020-03-27 04:00:00+00:00,61.08,65.79,60.686,64.38,4186359.0,36874.0,64.176751
BALL,2020-03-30 04:00:00+00:00,64.83,66.9,64.13,65.99,4008937.0,36806.0,65.413011
BALL,2020-03-31 04:00:00+00:00,65.55,66.425,63.74,64.66,6255881.0,39017.0,64.792903
BALL,2020-04-01 04:00:00+00:00,61.74,65.34,61.57,64.17,3686666.0,31382.0,64.091399
BALL,2020-04-02 04:00:00+00:00,63.73,66.88,63.73,64.56,4047289.0,34380.0,64.8136
BALL,2020-04-03 04:00:00+00:00,63.83,66.48,61.81,62.17,3144995.0,21501.0,62.754065
BALL,2020-04-06 04:00:00+00:00,64.1,66.66,64.01,65.62,2790992.0,21898.0,65.684571
BALL,2020-04-07 04:00:00+00:00,67.17,69.25,65.7,65.86,3089408.0,24882.0,66.820324
BALL,2020-04-08 04:00:00+00:00,66.04,68.08,64.98,67.59,3394917.0,22301.0,67.393368
BALL,2020-04-09 04:00:00+00:00,68.14,70.47,67.72,69.94,5142580.0,33283.0,69.673226
BALL,2020-04-13 04:00:00+00:00,69.27,69.75,66.49,67.32,1913999.0,19366.0,67.39702
BALL,2020-04-14 04:00:00+00:00,68.54,68.94,66.38,67.96,3442657.0,25108.0,67.484341
BALL,2020-04-15 04:00:00+00:00,66.99,68.38,66.46,67.64,2072674.0,20123.0,67.580163
BALL,2020-04-16 04:00:00+00:00,67.54,68.61,66.26,67.8,1912474.0,20046.0,67.60732
BALL,2020-04-17 04:00:00+00:00,69.04,70.34,68.18,70.2,1699969.0,16326.0,69.662139
BALL,2020-04-20 04:00:00+00:00,69.9,70.0,68.34,68.54,986331.0,11276.0,68.9768
BALL,2020-04-21 04:00:00+00:00,67.54,68.53,65.4,65.54,2336669.0,21271.0,66.171732
BALL,2020-04-22 04:00:00+00:00,66.6,67.22,64.5001,66.62,1260844.0,13239.0,66.374277
BALL,2020-04-23 04:00:00+00:00,66.77,67.93,64.77,64.9,2786612.0,17017.0,65.365103
BALL,2020-04-24 04:00:00+00:00,65.67,65.78,63.73,65.27,1914059.0,15312.0,65.123798
BALL,2020-04-27 04:00:00+00:00,65.5,68.2,65.5,67.57,1539851.0,13259.0,66.996703
BALL,2020-04-28 04:00:00+00:00,68.7,68.9,66.54,67.01,1713684.0,18117.0,67.132273
BALL,2020-04-29 04:00:00+00:00,67.82,68.41,66.69,66.81,1504616.0,15455.0,67.160642
BALL,2020-04-30 04:00:00+00:00,65.48,66.465,65.17,65.59,1737956.0,13304.0,65.698006
BALL,2020-05-01 04:00:00+00:00,64.81,65.71,63.81,65.61,1755282.0,18149.0,64.994583
BALL,2020-05-04 04:00:00+00:00,65.91,66.24,64.75,66.15,1910612.0,16455.0,65.891221
BALL,2020-05-05 04:00:00+00:00,66.44,67.37,65.44,66.26,1166362.0,14075.0,66.42183
BALL,2020-05-06 04:00:00+00:00,66.74,67.56,65.72,65.72,1553856.0,15304.0,66.310042
BALL,2020-05-07 04:00:00+00:00,65.4,67.415,62.32,65.89,4019868.0,42501.0,65.197952
BALL,2020-05-08 04:00:00+00:00,66.07,66.66,63.56,64.56,4406449.0,31507.0,64.73968
BALL,2020-05-11 04:00:00+00:00,64.11,64.52,62.94,63.37,2815823.0,18635.0,63.495889
BALL,2020-05-12 04:00:00+00:00,63.52,63.84,61.9,61.93,2060785.0,18894.0,62.669799
BALL,2020-05-13 04:00:00+00:00,61.54,61.93,60.52,61.17,2930360.0,22848.0,61.117171
BALL,2020-05-14 04:00:00+00:00,60.86,62.18,59.79,62.04,1728336.0,19309.0,61.403466
BALL,2020-05-15 04:00:00+00:00,61.52,62.29,60.85,62.23,2043328.0,17248.0,61.783497
BALL,2020-05-18 04:00:00+00:00,63.75,65.0,63.41,64.35,2515364.0,17171.0,64.293924
BALL,2020-05-19 04:00:00+00:00,64.35,66.08,64.05,64.28,2380606.0,23008.0,64.859422
BALL,2020-05-20 04:00:00+00:00,64.93,65.68,64.06,64.19,1333327.0,13013.0,64.518927
BALL,2020-05-21 04:00:00+00:00,64.21,64.765,63.55,64.04,1538813.0,13041.0,63.989597
BALL,2020-05-22 04:00:00+00:00,64.17,64.72,63.61,64.51,1025892.0,11903.0,64.186207
BALL,2020-05-26 04:00:00+00:00,65.44,66.82,65.34,66.54,2366048.0,19317.0,66.307898
BALL,2020-05-27 04:00:00+00:00,67.59,68.71,66.96,68.6,2120794.0,21827.0,67.966684
BALL,2020-05-28 04:00:00+00:00,69.3,70.68,69.1,70.55,2671802.0,20636.0,70.281619
