symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BAX,2020-03-12 04:00:00+00:00,73.1,77.26,71.28,75.47,7913604.0,59466.0,74.582741
BAX,2020-03-13 04:00:00+00:00,78.55,81.32,73.59,80.99,6385237.0,60887.0,78.356858
BAX,2020-03-16 04:00:00+00:00,72.66,77.14,69.1,71.57,4738828.0,42935.0,73.552324
BAX,2020-03-17 04:00:00+00:00,73.36,81.28,72.8795,80.51,6443107.0,56728.0,78.513829
BAX,2020-03-18 04:00:00+00:00,76.2,85.22,75.95,84.59,8796029.0,59023.0,80.754028
BAX,2020-03-19 04:00:00+00:00,85.18,85.2,77.16,78.17,6922491.0,61248.0,79.721223
BAX,2020-03-20 04:00:00+00:00,76.85,78.74,74.04,75.75,7358271.0,44675.0,76.196895
BAX,2020-03-23 04:00:00+00:00,74.85,75.09,69.69,71.81,5125386.0,45625.0,71.957315
BAX,2020-03-24 04:00:00+00:00,73.07,75.73,72.1,73.91,5171297.0,37292.0,73.935129
BAX,2020-03-25 04:00:00+00:00,72.78,74.86,72.21,73.57,6484464.0,53140.0,73.473617
BAX,2020-03-26 04:00:00+00:00,74.43,80.74,73.91,80.17,4884329.0,38749.0,78.663238
BAX,2020-03-27 04:00:00+00:00,77.78,80.67,76.37,79.79,5274379.0,41353.0,79.079548
BAX,2020-03-30 04:00:00+00:00,80.87,82.985,80.31,82.19,2653554.0,26238.0,81.815409
BAX,2020-03-31 04:00:00+00:00,81.66,84.355,80.755,81.19,3236552.0,28795.0,81.692448
BAX,2020-04-01 04:00:00+00:00,78.77,80.85,77.82,78.66,3326261.0,30664.0,79.172965
BAX,2020-04-02 04:00:00+00:00,78.35,82.361,77.98,82.22,3322804.0,29821.0,80.776145
BAX,2020-04-03 04:00:00+00:00,81.43,82.69,80.2,81.42,3903575.0,27553.0,81.348071
BAX,2020-04-06 04:00:00+00:00,84.04,85.43,82.79,84.93,3419914.0,29170.0,84.45858
BAX,2020-04-07 04:00:00+00:00,86.74,87.0,82.48,82.51,3162854.0,29563.0,83.95213
BAX,2020-04-08 04:00:00+00:00,83.14,85.18,82.155,84.48,3304215.0,33734.0,84.178154
BAX,2020-04-09 04:00:00+00:00,84.43,87.8,83.5,86.89,4176686.0,43398.0,86.36058
BAX,2020-04-13 04:00:00+00:00,85.61,86.6,84.57,86.0,2882368.0,24864.0,85.718797
BAX,2020-04-14 04:00:00+00:00,87.81,88.58,87.03,88.25,4115706.0,35396.0,87.858845
BAX,2020-04-15 04:00:00+00:00,87.39,88.33,86.52,86.89,2251639.0,24430.0,87.183349
BAX,2020-04-16 04:00:00+00:00,87.73,90.86,86.5701,90.53,5021017.0,36974.0,89.182122
BAX,2020-04-17 04:00:00+00:00,91.83,93.0,91.08,92.95,2724478.0,25089.0,92.146537
BAX,2020-04-20 04:00:00+00:00,92.9,95.19,92.28,94.14,4464838.0,41791.0,94.325553
BAX,2020-04-21 04:00:00+00:00,92.51,92.84,89.9,90.1,3118969.0,27632.0,90.718605
BAX,2020-04-22 04:00:00+00:00,91.48,91.48,89.98,90.54,4254621.0,31124.0,90.562263
BAX,2020-04-23 04:00:00+00:00,90.98,92.39,90.03,91.32,3503440.0,31683.0,91.36405
BAX,2020-04-24 04:00:00+00:00,92.26,92.98,90.61,92.92,2619723.0,19599.0,92.231589
BAX,2020-04-27 04:00:00+00:00,94.0,94.005,92.465,92.67,2485695.0,24226.0,93.055333
BAX,2020-04-28 04:00:00+00:00,93.0,93.01,90.84,91.0,2371276.0,24032.0,91.543327
BAX,2020-04-29 04:00:00+00:00,91.55,92.41,90.58,91.49,3244162.0,24981.0,91.728491
BAX,2020-04-30 04:00:00+00:00,92.14,93.26,88.53,88.78,3955441.0,34200.0,89.822178
BAX,2020-05-01 04:00:00+00:00,88.51,88.51,86.6,87.84,2866451.0,24761.0,87.665061
BAX,2020-05-04 04:00:00+00:00,88.17,88.345,86.57,87.27,2841298.0,22009.0,87.23671
BAX,2020-05-05 04:00:00+00:00,88.21,89.68,87.825,88.74,2775405.0,24322.0,88.936022
BAX,2020-05-06 04:00:00+00:00,89.13,89.57,87.87,87.92,2157265.0,15176.0,88.467853
BAX,2020-05-07 04:00:00+00:00,88.88,89.03,87.75,88.44,1734878.0,16487.0,88.361046
BAX,2020-05-08 04:00:00+00:00,89.49,89.655,87.83,88.08,1490490.0,16285.0,88.322849
BAX,2020-05-11 04:00:00+00:00,87.76,89.45,87.41,88.93,2608840.0,25084.0,88.873616
BAX,2020-05-12 04:00:00+00:00,89.41,89.77,85.8,85.89,2765553.0,25570.0,87.063292
BAX,2020-05-13 04:00:00+00:00,85.89,86.99,84.61,85.55,3720617.0,23643.0,85.671987
BAX,2020-05-14 04:00:00+00:00,84.49,87.24,84.29,86.92,4787317.0,34584.0,86.090379
BAX,2020-05-15 04:00:00+00:00,86.82,88.32,85.95,87.16,4760181.0,24434.0,87.08683
BAX,2020-05-18 04:00:00+00:00,88.5,89.24,86.5,86.82,5357411.0,26166.0,87.034061
BAX,2020-05-19 04:00:00+00:00,86.63,87.67,86.17,86.52,2625512.0,24430.0,86.777539
BAX,2020-05-20 04:00:00+00:00,87.43,89.39,87.02,87.42,3989515.0,23685.0,87.81972
BAX,2020-05-21 04:00:00+00:00,87.19,87.58,85.82,86.56,1663337.0,17802.0,86.670166
BAX,2020-05-22 04:00:00+00:00,86.88,87.1,86.27,86.93,1481506.0,15208.0,86.779858
BAX,2020-05-26 04:00:00+00:00,87.97,87.97,85.29,85.51,3260767.0,31088.0,86.042767
BAX,2020-05-27 04:00:00+00:00,85.14,86.5,83.6601,86.44,4199265.0,37964.0,85.504415
BAX,2020-05-28 04:00:00+00:00,87.75,88.8,86.66,88.2,4763199.0,41702.0,87.920925
BAX,2020-05-29 04:00:00+00:00,88.6,90.11,87.85,90.01,6932319.0,31583.0,89.681896
BAX,2020-06-01 04:00:00+00:00,89.68,90.925,89.37,90.39,1909725.0,22650.0,90.355097
BAX,2020-06-02 04:00:00+00:00,90.3,90.98,89.78,90.98,2252257.0,24693.0,90.529239
BAX,2020-06-03 04:00:00+00:00,91.0,91.58,90.02,90.48,1943765.0,21314.0,90.518037
BAX,2020-06-04 04:00:00+00:00,89.23,90.05,88.17,88.63,2050876.0,21087.0,88.850282
BAX,2020-06-05 04:00:00+00:00,89.0,89.89,88.18,89.19,3125856.0,27989.0,89.124959
BAX,2020-06-08 04:00:00+00:00,87.59,89.15,86.74,88.78,5775406.0,29666.0,88.423272
BAX,2020-06-09 04:00:00+00:00,89.07,89.46,87.01,87.01,3137128.0,22405.0,87.711225
BAX,2020-06-10 04:00:00+00:00,87.42,87.755,86.19,86.84,3425830.0,29134.0,87.00402
BAX,2020-06-11 04:00:00+00:00,85.93,86.23,83.24,83.57,4417705.0,42655.0,84.144947
BAX,2020-06-12 04:00:00+00:00,85.32,85.34,82.77,83.97,4968325.0,43271.0,84.051639
BAX,2020-06-15 04:00:00+00:00,82.95,84.3,82.46,83.78,4967704.0,31774.0,83.640254
BAX,2020-06-16 04:00:00+00:00,85.32,86.01,83.92,84.99,4075981.0,34947.0,85.133899
BAX,2020-06-17 04:00:00+00:00,85.33,85.785,84.57,85.1,2212992.0,20621.0,85.138976
BAX,2020-06-18 04:00:00+00:00,84.51,84.93,83.53,83.85,2079194.0,17915.0,83.959477
BAX,2020-06-19 04:00:00+00:00,85.0,85.29,84.03,84.49,6019722.0,27422.0,84.611924
BAX,2020-06-22 04:00:00+00:00,84.42,84.66,83.37,83.96,2164663.0,20517.0,84.02837
BAX,2020-06-23 04:00:00+00:00,84.34,84.67,83.38,83.49,2835899.0,27081.0,83.9639
BAX,2020-06-24 04:00:00+00:00,83.13,83.46,81.35,82.47,3558309.0,34825.0,82.311091
BAX,2020-06-25 04:00:00+00:00,82.6,85.48,82.35,85.33,4226218.0,37079.0,84.286581
BAX,2020-06-26 04:00:00+00:00,85.19,85.5,83.81,84.31,4486059.0,31924.0,84.41552
BAX,2020-06-29 04:00:00+00:00,84.85,84.96,83.655,84.23,3711281.0,32189.0,84.169617
BAX,2020-06-30 04:00:00+00:00,84.16,86.32,84.1,86.1,3872759.0,26067.0,85.295611
BAX,2020-07-01 04:00:00+00:00,86.47,87.65,86.2443,87.31,3002978.0,28010.0,87.160733
BAX,2020-07-02 04:00:00+00:00,87.64,87.655,86.93,87.21,3132463.0,22828.0,87.236477
BAX,2020-07-06 04:00:00+00:00,87.77,88.5,87.5625,88.11,3165695.0,25202.0,88.09552
BAX,2020-07-07 04:00:00+00:00,86.73,87.23,84.96,85.5,4738711.0,36614.0,85.976005
BAX,2020-07-08 04:00:00+00:00,85.8,85.935,83.73,84.18,4194153.0,32361.0,84.375269
BAX,2020-07-09 04:00:00+00:00,84.2,86.01,84.2,85.69,2690392.0,28025.0,85.349863
BAX,2020-07-10 04:00:00+00:00,85.54,85.93,84.78,85.23,2481014.0,22451.0,85.350592
BAX,2020-07-13 04:00:00+00:00,85.51,86.0,83.24,83.46,3334673.0,30252.0,84.463094
BAX,2020-07-14 04:00:00+00:00,82.97,84.67,82.88,84.65,4371413.0,33297.0,83.835015
BAX,2020-07-15 04:00:00+00:00,85.91,87.52,85.38,87.09,2757941.0,25637.0,86.871075
