symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BR,2020-03-12 04:00:00+00:00,90.6,99.1,90.46,92.05,2946272.0,31316.0,95.313413
BR,2020-03-13 04:00:00+00:00,99.61,103.74,95.12,103.68,2042040.0,23617.0,100.062937
BR,2020-03-16 04:00:00+00:00,92.34,103.4255,91.4,99.63,1694700.0,22312.0,99.776849
BR,2020-03-17 04:00:00+00:00,101.61,107.14,97.63,104.82,2281753.0,26595.0,102.634214
BR,2020-03-18 04:00:00+00:00,99.52,104.7728,95.79,100.9,1669900.0,17813.0,100.317432
BR,2020-03-19 04:00:00+00:00,100.08,100.275,92.54,93.44,1432741.0,16925.0,95.482065
BR,2020-03-20 04:00:00+00:00,93.84,97.675,89.81,90.77,1382937.0,13081.0,92.067183
BR,2020-03-23 04:00:00+00:00,89.86,89.86,81.9,84.26,1348713.0,17623.0,85.064055
BR,2020-03-24 04:00:00+00:00,87.84,94.88,87.0,94.83,991933.0,12132.0,92.545941
BR,2020-03-25 04:00:00+00:00,94.17,96.35,88.89,93.94,2414486.0,19131.0,93.249501
BR,2020-03-26 04:00:00+00:00,94.92,97.8,93.47,96.93,1447487.0,17451.0,96.015393
BR,2020-03-27 04:00:00+00:00,94.9,95.0,91.31,91.57,1061759.0,13700.0,92.426682
BR,2020-03-30 04:00:00+00:00,92.31,97.38,90.58,96.94,1117408.0,12506.0,95.05341
BR,2020-03-31 04:00:00+00:00,95.55,97.26,93.63,94.83,1200572.0,12447.0,95.188536
BR,2020-04-01 04:00:00+00:00,91.66,93.0,90.08,91.32,1341687.0,11287.0,91.378953
BR,2020-04-02 04:00:00+00:00,90.4,93.94,90.38,92.1,855520.0,10709.0,91.86016
BR,2020-04-03 04:00:00+00:00,91.36,94.46,91.12,92.39,654973.0,8162.0,92.379773
BR,2020-04-06 04:00:00+00:00,96.63,99.31,95.545,98.61,1325851.0,10696.0,97.962125
BR,2020-04-07 04:00:00+00:00,101.06,103.51,99.43,100.76,1062429.0,11227.0,101.416638
BR,2020-04-08 04:00:00+00:00,101.41,103.34,99.575,102.1,1082524.0,13404.0,101.568137
BR,2020-04-09 04:00:00+00:00,102.53,106.37,101.4,105.91,1483281.0,11293.0,104.60355
BR,2020-04-13 04:00:00+00:00,105.27,105.9,101.32,102.59,613860.0,7153.0,102.884083
BR,2020-04-14 04:00:00+00:00,105.0,107.19,102.98,106.95,1110421.0,9569.0,106.376552
