symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BWA,2020-03-12 04:00:00+00:00,24.43,27.8,23.25,24.62,5034485.0,43307.0,24.881174
BWA,2020-03-13 04:00:00+00:00,25.7,26.38,23.72,25.66,5361452.0,47725.0,24.831229
BWA,2020-03-16 04:00:00+00:00,23.26,24.59,22.755,23.05,4559405.0,39418.0,23.429498
BWA,2020-03-17 04:00:00+00:00,23.37,23.7065,20.7,22.29,6351285.0,49919.0,21.720427
BWA,2020-03-18 04:00:00+00:00,20.84,21.88,17.0,19.73,4293343.0,34893.0,19.26973
BWA,2020-03-19 04:00:00+00:00,18.98,22.08,18.26,21.01,5180715.0,43363.0,20.64407
BWA,2020-03-20 04:00:00+00:00,21.41,22.51,19.53,20.5,4850417.0,37199.0,20.757417
BWA,2020-03-23 04:00:00+00:00,20.44,21.69,19.58,21.15,4065208.0,38311.0,20.736071
BWA,2020-03-24 04:00:00+00:00,22.86,23.565,21.22,22.79,5188586.0,46708.0,22.60179
BWA,2020-03-25 04:00:00+00:00,23.48,24.675,21.19,23.72,5665897.0,45029.0,23.477193
BWA,2020-03-26 04:00:00+00:00,23.92,25.05,23.13,24.94,4467737.0,41226.0,24.503786
BWA,2020-03-27 04:00:00+00:00,23.59,24.18,22.51,23.7,3440390.0,25739.0,23.341415
BWA,2020-03-30 04:00:00+00:00,23.4,24.74,22.61,24.58,4160080.0,34411.0,24.266637
BWA,2020-03-31 04:00:00+00:00,25.58,26.73,24.25,24.37,8303333.0,76937.0,24.919148
BWA,2020-04-01 04:00:00+00:00,23.01,23.62,22.45,22.66,4811247.0,41948.0,22.926442
BWA,2020-04-02 04:00:00+00:00,22.35,23.49,21.8,22.28,4351627.0,32032.0,22.437204
BWA,2020-04-03 04:00:00+00:00,22.4,22.7,21.15,21.29,4371106.0,48335.0,21.63391
BWA,2020-04-06 04:00:00+00:00,22.56,24.94,21.93,24.73,4341523.0,39364.0,24.005212
BWA,2020-04-07 04:00:00+00:00,26.26,26.57,24.46,24.67,3427536.0,32116.0,25.390458
BWA,2020-04-08 04:00:00+00:00,25.1,25.86,24.49,25.53,3136323.0,27202.0,25.407986
BWA,2020-04-09 04:00:00+00:00,26.24,27.1,25.56,25.74,4356527.0,43473.0,26.265185
BWA,2020-04-13 04:00:00+00:00,26.06,26.48,24.5,26.16,2330779.0,21784.0,25.682913
BWA,2020-04-14 04:00:00+00:00,26.31,27.29,26.25,27.19,3390558.0,30496.0,26.912333
BWA,2020-04-15 04:00:00+00:00,25.61,26.64,25.45,26.47,2648700.0,28328.0,26.258563
BWA,2020-04-16 04:00:00+00:00,26.24,26.59,25.48,26.05,3425958.0,29902.0,26.0062
BWA,2020-04-17 04:00:00+00:00,27.25,28.05,26.64,26.98,4256667.0,31149.0,27.06935
BWA,2020-04-20 04:00:00+00:00,26.09,26.615,25.46,25.52,3065903.0,28208.0,25.823616
BWA,2020-04-21 04:00:00+00:00,24.55,25.685,24.27,25.51,2384901.0,22272.0,25.394283
BWA,2020-04-22 04:00:00+00:00,26.39,26.39,25.28,25.65,2536027.0,25873.0,25.558308
BWA,2020-04-23 04:00:00+00:00,25.77,27.11,25.67,26.65,3027106.0,30758.0,26.592173
BWA,2020-04-24 04:00:00+00:00,27.32,27.32,26.29,27.08,2962593.0,20306.0,26.95752
BWA,2020-04-27 04:00:00+00:00,27.2,28.305,26.91,28.06,3227757.0,30057.0,27.844747
BWA,2020-04-28 04:00:00+00:00,29.06,29.31,28.225,28.55,2719591.0,27677.0,28.720241
