symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BX,2020-03-12 04:00:00+00:00,40.13,44.45,37.46,41.32,18137025.0,102654.0,41.157671
BX,2020-03-13 04:00:00+00:00,43.94,46.93,40.3101,46.72,12307254.0,67706.0,43.29908
BX,2020-03-16 04:00:00+00:00,38.0,42.56,37.8,40.53,14754557.0,84197.0,40.525352
BX,2020-03-17 04:00:00+00:00,40.72,42.35,35.56,41.44,19071354.0,121020.0,38.590136
BX,2020-03-18 04:00:00+00:00,37.5,40.81,33.0,40.76,17104172.0,99759.0,36.083132
BX,2020-03-19 04:00:00+00:00,38.82,42.0,36.12,41.99,10904178.0,67765.0,39.965199
BX,2020-03-20 04:00:00+00:00,42.05,42.38,36.1014,37.67,11408070.0,74313.0,38.002553
BX,2020-03-23 04:00:00+00:00,36.07,37.19,33.25,36.04,12676528.0,79902.0,35.249372
BX,2020-03-24 04:00:00+00:00,39.0,41.84,38.2,39.92,10804099.0,70724.0,40.26335
BX,2020-03-25 04:00:00+00:00,40.53,46.7,39.5,42.82,12509211.0,84994.0,43.173182
BX,2020-03-26 04:00:00+00:00,43.94,49.35,43.76,48.0,12912302.0,86637.0,47.805304
BX,2020-03-27 04:00:00+00:00,45.47,47.99,44.32,46.09,7622866.0,56921.0,46.318001
BX,2020-03-30 04:00:00+00:00,46.06,47.75,44.26,47.28,5261068.0,41309.0,46.479963
BX,2020-03-31 04:00:00+00:00,46.9,47.15,44.15,45.57,7896848.0,47841.0,45.487472
BX,2020-04-01 04:00:00+00:00,42.5,42.68,40.45,40.8,9841335.0,72177.0,41.566812
BX,2020-04-02 04:00:00+00:00,40.41,42.65,39.25,41.19,7720878.0,47307.0,41.340062
BX,2020-04-03 04:00:00+00:00,41.25,42.185,41.04,41.74,7424152.0,55371.0,41.712915
BX,2020-04-06 04:00:00+00:00,43.69,46.89,43.61,46.57,9532704.0,72556.0,45.463395
BX,2020-04-07 04:00:00+00:00,50.0,52.69,45.44,45.63,9203410.0,73006.0,48.239065
BX,2020-04-08 04:00:00+00:00,46.49,48.64,45.91,46.97,5731232.0,45421.0,47.035866
BX,2020-04-09 04:00:00+00:00,49.01,51.59,48.5,49.17,9690695.0,62004.0,49.686438
BX,2020-04-13 04:00:00+00:00,49.15,49.48,45.39,47.58,7717523.0,51673.0,47.029236
BX,2020-04-14 04:00:00+00:00,49.12,50.3,47.94,47.96,7538834.0,50268.0,49.126236
BX,2020-04-15 04:00:00+00:00,46.45,47.26,45.1477,45.5,8998775.0,58961.0,45.659323
BX,2020-04-16 04:00:00+00:00,46.2,48.15,45.51,47.96,5873514.0,40842.0,47.234138
BX,2020-04-17 04:00:00+00:00,49.45,50.26,47.73,50.01,8859631.0,66693.0,49.463005
BX,2020-04-20 04:00:00+00:00,48.58,48.9,47.4,48.18,5454099.0,36462.0,48.066
BX,2020-04-21 04:00:00+00:00,45.84,46.54,45.05,45.5,6718017.0,49184.0,45.695161
BX,2020-04-22 04:00:00+00:00,46.67,47.2478,46.11,46.33,3585837.0,25518.0,46.684297
BX,2020-04-23 04:00:00+00:00,47.22,49.77,46.57,48.43,6970955.0,43321.0,48.616227
BX,2020-04-24 04:00:00+00:00,49.46,49.46,47.75,48.43,4909589.0,35153.0,48.369966
BX,2020-04-27 04:00:00+00:00,48.92,51.56,48.84,51.39,5982177.0,41323.0,50.695399
BX,2020-04-28 04:00:00+00:00,52.5,53.34,50.91,51.4,4395834.0,31298.0,51.887132
BX,2020-04-29 04:00:00+00:00,52.53,55.11,52.48,54.12,6822757.0,56425.0,54.267611
BX,2020-04-30 04:00:00+00:00,53.18,54.02,51.43,52.24,5150275.0,32080.0,52.42878
BX,2020-05-01 04:00:00+00:00,50.3,50.84,49.66,50.42,4082969.0,32891.0,50.237759
