symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CHRW,2020-03-12 04:00:00+00:00,60.54,62.96,57.25,60.105,3352899.0,37106.0,59.636542
CHRW,2020-03-13 04:00:00+00:00,62.41,64.28,59.18,62.37,2410686.0,27165.0,61.583623
CHRW,2020-03-16 04:00:00+00:00,58.18,61.82,56.9393,61.06,3145368.0,35623.0,60.333075
CHRW,2020-03-17 04:00:00+00:00,62.0,66.91,58.25,64.6,3611983.0,36280.0,64.002948
CHRW,2020-03-18 04:00:00+00:00,62.24,66.26,61.01,64.85,3908309.0,46583.0,63.861379
CHRW,2020-03-19 04:00:00+00:00,64.69,67.29,60.56,64.06,3465636.0,34499.0,64.22983
CHRW,2020-03-20 04:00:00+00:00,64.57,69.93,63.75,63.91,3466302.0,33037.0,64.982197
CHRW,2020-03-23 04:00:00+00:00,64.58,64.92,60.92,63.24,3131778.0,38943.0,63.03389
CHRW,2020-03-24 04:00:00+00:00,65.45,67.048,62.24,63.55,2613629.0,28326.0,64.275072
CHRW,2020-03-25 04:00:00+00:00,63.89,64.63,60.37,62.29,4230056.0,45006.0,62.754753
CHRW,2020-03-26 04:00:00+00:00,62.49,66.95,62.005,65.89,3254908.0,28160.0,65.370704
CHRW,2020-03-27 04:00:00+00:00,63.0,65.37,62.21,62.51,2764841.0,27568.0,63.770534
CHRW,2020-03-30 04:00:00+00:00,62.57,65.36,61.94,65.19,1797326.0,19916.0,64.61964
CHRW,2020-03-31 04:00:00+00:00,64.79,66.72,64.23,66.2,2811478.0,28276.0,65.97646
CHRW,2020-04-01 04:00:00+00:00,64.92,68.85,64.7,66.57,3066132.0,32620.0,67.175015
CHRW,2020-04-02 04:00:00+00:00,65.79,69.56,65.79,68.92,3045421.0,27194.0,67.934367
CHRW,2020-04-03 04:00:00+00:00,68.63,69.77,67.63,68.175,2350631.0,23409.0,68.400774
CHRW,2020-04-06 04:00:00+00:00,69.73,73.08,69.45,72.39,2444614.0,30765.0,71.871863
CHRW,2020-04-07 04:00:00+00:00,73.5,74.76,71.45,71.84,2471875.0,29519.0,72.443464
CHRW,2020-04-08 04:00:00+00:00,72.3,73.45,71.05,72.82,1982844.0,23167.0,72.454604
CHRW,2020-04-09 04:00:00+00:00,72.93,74.32,71.95,73.22,1756395.0,20865.0,73.069321
CHRW,2020-04-13 04:00:00+00:00,72.93,73.95,70.535,71.27,1777157.0,21045.0,71.478455
CHRW,2020-04-14 04:00:00+00:00,72.24,73.34,70.4,70.99,2267619.0,25601.0,71.480058
CHRW,2020-04-15 04:00:00+00:00,69.94,71.09,68.61,70.92,2873206.0,25397.0,70.365579
CHRW,2020-04-16 04:00:00+00:00,71.07,74.26,70.93,74.22,2344643.0,21779.0,73.469979
CHRW,2020-04-17 04:00:00+00:00,73.98,74.725,72.3,74.23,2222965.0,24576.0,73.773624
CHRW,2020-04-20 04:00:00+00:00,73.71,74.97,72.15,72.32,1939126.0,19953.0,72.969137
CHRW,2020-04-21 04:00:00+00:00,71.52,72.25,70.3686,70.96,1718723.0,21602.0,70.964093
CHRW,2020-04-22 04:00:00+00:00,72.06,72.465,71.24,71.58,1468433.0,15843.0,71.670588
CHRW,2020-04-23 04:00:00+00:00,71.63,72.43,70.17,70.48,1697072.0,18619.0,70.825442
CHRW,2020-04-24 04:00:00+00:00,71.01,72.33,70.61,72.28,2022655.0,19287.0,71.699125
CHRW,2020-04-27 04:00:00+00:00,72.85,74.64,72.12,74.04,1328349.0,16098.0,73.830839
CHRW,2020-04-28 04:00:00+00:00,74.06,75.49,73.56,74.01,1820365.0,20948.0,74.563165
CHRW,2020-04-29 04:00:00+00:00,73.4,73.49,68.46,71.26,4014681.0,43725.0,70.822059
CHRW,2020-04-30 04:00:00+00:00,72.03,72.16,70.74,70.9,4167632.0,25838.0,71.110048
CHRW,2020-05-01 04:00:00+00:00,70.11,70.89,69.41,70.83,1889870.0,21415.0,70.250475
CHRW,2020-05-04 04:00:00+00:00,71.54,71.69,69.13,69.94,2025882.0,24178.0,69.858008
CHRW,2020-05-05 04:00:00+00:00,70.62,71.91,70.34,71.13,1352759.0,16577.0,71.147079
CHRW,2020-05-06 04:00:00+00:00,71.7,71.75,69.85,70.43,1366360.0,17961.0,70.677646
CHRW,2020-05-07 04:00:00+00:00,71.1,72.31,70.8,71.95,1580369.0,16675.0,71.775788
CHRW,2020-05-08 04:00:00+00:00,72.5,74.04,72.23,73.8,1634948.0,19190.0,73.683626
CHRW,2020-05-11 04:00:00+00:00,73.45,75.17,73.23,74.4,1512901.0,19142.0,74.519961
CHRW,2020-05-12 04:00:00+00:00,74.92,75.28,72.51,72.72,2420045.0,20769.0,73.480253
CHRW,2020-05-13 04:00:00+00:00,72.98,73.36,71.01,71.79,2472791.0,27865.0,71.773443
CHRW,2020-05-14 04:00:00+00:00,71.23,72.265,70.42,72.18,2306660.0,27090.0,71.379442
CHRW,2020-05-15 04:00:00+00:00,72.65,73.5,71.98,72.5,5151498.0,26006.0,72.602421
CHRW,2020-05-18 04:00:00+00:00,74.12,78.25,73.91,77.84,3475583.0,40675.0,76.910115
CHRW,2020-05-19 04:00:00+00:00,77.82,78.28,75.69,75.96,1991737.0,22572.0,76.805343
CHRW,2020-05-20 04:00:00+00:00,76.89,79.86,76.59,77.62,2273590.0,28744.0,78.346408
CHRW,2020-05-21 04:00:00+00:00,77.23,78.3,77.0,77.9,1601887.0,17949.0,77.833904
CHRW,2020-05-22 04:00:00+00:00,77.74,78.19,77.37,77.855,1236801.0,16265.0,77.847165
CHRW,2020-05-26 04:00:00+00:00,78.87,79.78,78.125,78.25,1657729.0,21657.0,78.597443
CHRW,2020-05-27 04:00:00+00:00,78.31,80.25,78.1,80.16,2477454.0,28034.0,79.567456
CHRW,2020-05-28 04:00:00+00:00,80.22,81.85,80.22,80.86,2180648.0,27111.0,81.05758
CHRW,2020-05-29 04:00:00+00:00,80.92,82.88,79.5613,81.13,11996881.0,30539.0,81.145307
CHRW,2020-06-01 04:00:00+00:00,80.9,81.12,80.05,80.66,1222912.0,17829.0,80.599586
CHRW,2020-06-02 04:00:00+00:00,78.935,82.32,78.935,82.18,1498947.0,17132.0,81.944296
CHRW,2020-06-03 04:00:00+00:00,83.0,84.06,82.5,83.81,1853127.0,22734.0,83.50392
CHRW,2020-06-04 04:00:00+00:00,82.88,83.33,81.725,82.3,1780464.0,20148.0,82.399236
CHRW,2020-06-05 04:00:00+00:00,83.12,84.66,82.78,83.06,1640686.0,21928.0,83.537708
CHRW,2020-06-08 04:00:00+00:00,82.92,85.24,82.92,85.1,1580646.0,19388.0,84.75029
CHRW,2020-06-09 04:00:00+00:00,84.87,84.87,82.94,83.09,1412538.0,17658.0,83.328421
CHRW,2020-06-10 04:00:00+00:00,83.5,83.62,82.06,82.2,1682310.0,19634.0,82.459052
CHRW,2020-06-11 04:00:00+00:00,81.5,81.87,78.03,78.77,1808296.0,26303.0,79.011128
CHRW,2020-06-12 04:00:00+00:00,80.31,80.58,76.94,77.73,1457909.0,18852.0,78.094045
CHRW,2020-06-15 04:00:00+00:00,76.27,78.39,75.645,78.13,1570016.0,19396.0,77.614854
CHRW,2020-06-16 04:00:00+00:00,80.0,80.54,77.71,78.09,1640082.0,21365.0,78.525701
CHRW,2020-06-17 04:00:00+00:00,78.65,79.47,78.18,78.64,1337301.0,16723.0,78.866611
CHRW,2020-06-18 04:00:00+00:00,78.27,78.86,77.05,77.86,1967760.0,16634.0,77.725537
CHRW,2020-06-19 04:00:00+00:00,78.82,78.82,77.165,77.75,4729727.0,19719.0,77.828247
CHRW,2020-06-22 04:00:00+00:00,77.22,77.31,75.58,77.04,1428720.0,17185.0,76.712457
CHRW,2020-06-23 04:00:00+00:00,78.0,78.0,77.0,77.31,2031600.0,17887.0,77.293599
CHRW,2020-06-24 04:00:00+00:00,77.0,79.11,76.6297,78.54,1473341.0,19358.0,78.341094
CHRW,2020-06-25 04:00:00+00:00,78.54,78.6,76.4401,77.32,1431919.0,17020.0,77.205143
CHRW,2020-06-26 04:00:00+00:00,77.12,77.78,75.95,76.66,4318598.0,23727.0,76.63804
CHRW,2020-06-29 04:00:00+00:00,77.21,77.99,76.835,77.76,2002428.0,21359.0,77.547919
CHRW,2020-06-30 04:00:00+00:00,77.79,79.4,77.535,79.06,1863209.0,22929.0,78.856264
CHRW,2020-07-01 04:00:00+00:00,79.31,80.17,78.29,79.09,1738414.0,22990.0,79.017586
CHRW,2020-07-02 04:00:00+00:00,79.84,79.84,78.47,79.18,2708146.0,33659.0,79.13171
CHRW,2020-07-06 04:00:00+00:00,80.99,81.2,79.9,80.21,2216618.0,21687.0,80.348299
CHRW,2020-07-07 04:00:00+00:00,78.6,80.65,78.56,80.2,1667621.0,20548.0,80.080715
CHRW,2020-07-08 04:00:00+00:00,80.11,80.9,79.91,80.5,1685030.0,22268.0,80.496173
CHRW,2020-07-09 04:00:00+00:00,80.4,81.505,80.4,80.87,1473389.0,18541.0,80.925887
CHRW,2020-07-10 04:00:00+00:00,81.28,82.58,81.28,82.21,1291313.0,17423.0,82.164959
CHRW,2020-07-13 04:00:00+00:00,82.67,82.68,81.78,82.06,1910310.0,18019.0,82.236459
CHRW,2020-07-14 04:00:00+00:00,82.48,83.94,82.11,83.79,1588148.0,19692.0,83.399868
CHRW,2020-07-15 04:00:00+00:00,84.24,85.59,84.0,84.91,1529839.0,19930.0,84.975649
CHRW,2020-07-16 04:00:00+00:00,84.35,86.08,84.23,85.91,1518677.0,18089.0,85.513603
