symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CHTR,2020-03-12 04:00:00+00:00,434.0,446.74,421.86,427.54,3721908.0,52562.0,431.260982
CHTR,2020-03-13 04:00:00+00:00,446.48,454.52,413.66,454.19,3429619.0,49859.0,437.944493
CHTR,2020-03-16 04:00:00+00:00,414.98,418.38,388.13,389.11,3652247.0,48008.0,402.169162
CHTR,2020-03-17 04:00:00+00:00,397.47,406.63,388.23,393.02,3918957.0,60924.0,396.856106
CHTR,2020-03-18 04:00:00+00:00,374.78,390.75,345.67,381.52,5113602.0,61907.0,364.014615
CHTR,2020-03-19 04:00:00+00:00,379.57,414.4,372.94,393.06,2646926.0,37575.0,393.326714
CHTR,2020-03-20 04:00:00+00:00,394.81,404.555,370.0,371.7,4441410.0,41975.0,379.241832
CHTR,2020-03-23 04:00:00+00:00,371.0,399.99,364.6747,381.78,2616585.0,39256.0,381.693218
CHTR,2020-03-24 04:00:00+00:00,396.52,421.21,396.52,419.4,3582435.0,37063.0,414.99449
CHTR,2020-03-25 04:00:00+00:00,416.01,441.0,408.54,420.77,2498103.0,36241.0,422.570015
CHTR,2020-03-26 04:00:00+00:00,424.47,460.54,422.05,454.17,2411205.0,34311.0,447.742352
CHTR,2020-03-27 04:00:00+00:00,439.01,456.395,434.9,439.7,2075495.0,32533.0,443.636177
CHTR,2020-03-30 04:00:00+00:00,440.74,454.51,440.74,450.78,2360192.0,28611.0,448.962113
CHTR,2020-03-31 04:00:00+00:00,443.77,449.17,432.06,436.31,2338941.0,29611.0,439.438918
CHTR,2020-04-01 04:00:00+00:00,418.3,434.83,413.39,424.03,1488378.0,24140.0,425.087115
CHTR,2020-04-02 04:00:00+00:00,420.26,436.88,418.01,435.66,1466824.0,21613.0,430.867863
CHTR,2020-04-03 04:00:00+00:00,433.24,440.615,425.99,433.8,1109890.0,18969.0,432.009687
CHTR,2020-04-06 04:00:00+00:00,451.97,464.5,442.75,459.55,1825955.0,28008.0,457.751376
CHTR,2020-04-07 04:00:00+00:00,472.83,475.15,449.83,451.75,1791737.0,28250.0,459.518555
CHTR,2020-04-08 04:00:00+00:00,461.62,466.14,450.97,463.93,1202640.0,19664.0,461.532454
CHTR,2020-04-09 04:00:00+00:00,465.65,476.145,456.19,466.64,1819101.0,22988.0,465.185016
