symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CINF,2020-03-12 04:00:00+00:00,83.06,85.14,79.35,80.56,1506020.0,21484.0,81.158315
CINF,2020-03-13 04:00:00+00:00,84.99,90.6,84.09,90.58,1719903.0,23485.0,88.180877
CINF,2020-03-16 04:00:00+00:00,83.22,88.69,78.05,78.52,1583078.0,22463.0,81.500263
CINF,2020-03-17 04:00:00+00:00,79.97,85.46,73.11,84.98,1754909.0,23041.0,81.859317
CINF,2020-03-18 04:00:00+00:00,79.69,85.7,77.04,85.37,1403238.0,17802.0,82.155282
CINF,2020-03-19 04:00:00+00:00,84.05,85.45,77.0,81.93,1593708.0,17362.0,82.004644
CINF,2020-03-20 04:00:00+00:00,81.96,81.96,73.08,75.03,1965170.0,15776.0,76.381283
CINF,2020-03-23 04:00:00+00:00,73.1,75.26,65.69,66.78,1628113.0,22464.0,69.232058
CINF,2020-03-24 04:00:00+00:00,69.53,79.2,69.53,78.02,1648472.0,21352.0,76.352056
CINF,2020-03-25 04:00:00+00:00,78.73,79.92,73.04,74.23,1476995.0,16313.0,75.46947
CINF,2020-03-26 04:00:00+00:00,75.32,79.57,72.33,78.72,1262683.0,13985.0,77.734651
CINF,2020-03-27 04:00:00+00:00,75.34,79.07,74.4217,75.95,1009970.0,11983.0,76.089987
CINF,2020-03-30 04:00:00+00:00,75.85,80.56,74.01,79.74,1132782.0,13195.0,78.429292
CINF,2020-03-31 04:00:00+00:00,78.75,82.65,74.55,75.45,2722920.0,20269.0,75.595782
CINF,2020-04-01 04:00:00+00:00,71.94,76.26,71.2635,73.57,1322593.0,19230.0,74.373924
CINF,2020-04-02 04:00:00+00:00,72.52,76.25,71.48,72.92,1074326.0,13881.0,73.236281
CINF,2020-04-03 04:00:00+00:00,72.17,74.52,70.55,71.03,1163343.0,11803.0,71.687697
CINF,2020-04-06 04:00:00+00:00,74.48,78.46,73.76,77.41,1134907.0,14902.0,76.485545
CINF,2020-04-07 04:00:00+00:00,80.6,82.93,79.49,79.88,1241369.0,13956.0,80.513
CINF,2020-04-08 04:00:00+00:00,79.31,81.7983,78.06,81.08,915650.0,12349.0,80.643546
CINF,2020-04-09 04:00:00+00:00,82.3,84.25,81.6,83.58,1439792.0,18452.0,83.186664
CINF,2020-04-13 04:00:00+00:00,84.02,84.02,81.39,82.64,764120.0,9987.0,82.569393
CINF,2020-04-14 04:00:00+00:00,84.94,87.6,84.2,87.1,1748873.0,18164.0,86.622298
CINF,2020-04-15 04:00:00+00:00,84.8,85.5,82.57,82.94,1486246.0,16128.0,83.550214
CINF,2020-04-16 04:00:00+00:00,83.33,83.86,81.31,82.47,1051393.0,15992.0,82.327692
CINF,2020-04-17 04:00:00+00:00,85.12,86.21,83.34,85.8,947401.0,11906.0,85.251109
CINF,2020-04-20 04:00:00+00:00,84.87,84.905,81.41,82.48,747785.0,8349.0,82.848822
CINF,2020-04-21 04:00:00+00:00,80.33,81.88,79.54,80.17,643335.0,9528.0,80.490191
CINF,2020-04-22 04:00:00+00:00,82.63,82.63,79.54,79.69,693915.0,8379.0,80.124832
CINF,2020-04-23 04:00:00+00:00,79.9,80.88,77.89,78.4,566298.0,9634.0,79.089913
CINF,2020-04-24 04:00:00+00:00,79.53,79.53,77.22,78.53,633489.0,8266.0,78.383054
CINF,2020-04-27 04:00:00+00:00,79.82,82.5,79.04,82.03,754746.0,9828.0,81.630865
CINF,2020-04-28 04:00:00+00:00,76.28,77.26,71.27,71.81,4055937.0,43730.0,72.738537
CINF,2020-04-29 04:00:00+00:00,73.14,73.2457,70.39,70.42,1739261.0,26526.0,71.458303
CINF,2020-04-30 04:00:00+00:00,69.51,69.83,65.55,65.8,2852857.0,31081.0,66.372129
CINF,2020-05-01 04:00:00+00:00,64.44,64.94,60.0,60.95,3237479.0,40713.0,61.305594
CINF,2020-05-04 04:00:00+00:00,60.6,60.67,58.67,60.145,2187517.0,28643.0,59.694737
CINF,2020-05-05 04:00:00+00:00,60.0,61.26,58.35,59.0,1747039.0,19520.0,59.28921
CINF,2020-05-06 04:00:00+00:00,58.21,58.99,53.06,53.12,2193477.0,25007.0,54.706394
CINF,2020-05-07 04:00:00+00:00,53.51,56.39,53.5,55.01,1511721.0,21195.0,55.133878
CINF,2020-05-08 04:00:00+00:00,56.0,56.2765,54.17,55.73,1333473.0,18299.0,55.503979
CINF,2020-05-11 04:00:00+00:00,55.4919,55.5259,53.39,53.85,1602567.0,13934.0,54.219426
CINF,2020-05-12 04:00:00+00:00,54.0,54.15,51.45,51.45,1584997.0,19337.0,52.277554
CINF,2020-05-13 04:00:00+00:00,51.0,51.14,48.23,48.54,1881755.0,20675.0,49.143673
CINF,2020-05-14 04:00:00+00:00,47.67,51.19,46.07,50.48,1860140.0,22699.0,49.682702
CINF,2020-05-15 04:00:00+00:00,49.81,50.29,48.19,49.25,3921906.0,19013.0,49.224075
CINF,2020-05-18 04:00:00+00:00,50.97,53.78,50.97,53.17,1956121.0,18521.0,53.088713
CINF,2020-05-19 04:00:00+00:00,53.1,53.28,51.21,52.09,2161091.0,19506.0,52.139316
CINF,2020-05-20 04:00:00+00:00,52.53,54.415,51.98,53.56,1544353.0,15253.0,53.622546
CINF,2020-05-21 04:00:00+00:00,53.57,57.87,53.13,57.45,2505299.0,24389.0,56.975485
CINF,2020-05-22 04:00:00+00:00,57.58,57.58,55.7535,57.32,1451593.0,17668.0,56.871583
CINF,2020-05-26 04:00:00+00:00,59.86,61.16,59.07,59.24,1729242.0,20487.0,59.803074
CINF,2020-05-27 04:00:00+00:00,62.0,62.6,60.01,61.4,2923850.0,28233.0,61.164758
CINF,2020-05-28 04:00:00+00:00,62.0,62.31,59.84,60.57,1949137.0,17215.0,60.590177
CINF,2020-05-29 04:00:00+00:00,59.51,59.7,57.64,58.95,2089224.0,20193.0,58.792255
CINF,2020-06-01 04:00:00+00:00,58.5919,60.17,58.0825,59.64,1099350.0,12921.0,59.518363
CINF,2020-06-02 04:00:00+00:00,60.58,61.68,59.43,60.79,1056744.0,10965.0,60.795594
CINF,2020-06-03 04:00:00+00:00,62.78,64.63,62.08,63.87,1564073.0,18233.0,63.780573
CINF,2020-06-04 04:00:00+00:00,63.25,64.66,62.32,64.63,1072616.0,15365.0,64.206973
CINF,2020-06-05 04:00:00+00:00,68.51,69.815,66.59,68.78,1928592.0,22134.0,68.560381
CINF,2020-06-08 04:00:00+00:00,70.75,71.47,69.2803,71.45,1597282.0,17809.0,70.695231
CINF,2020-06-09 04:00:00+00:00,69.71,70.38,68.04,68.81,1149159.0,14276.0,68.893742
CINF,2020-06-10 04:00:00+00:00,68.14,68.3956,65.19,65.23,1819792.0,19830.0,66.278961
CINF,2020-06-11 04:00:00+00:00,61.84,62.95,58.2701,58.66,1844972.0,23245.0,59.737166
CINF,2020-06-12 04:00:00+00:00,61.06,62.1844,59.62,61.03,1259921.0,18838.0,60.837876
CINF,2020-06-15 04:00:00+00:00,59.25,62.59,58.62,61.94,1508894.0,20098.0,61.421654
CINF,2020-06-16 04:00:00+00:00,64.99,65.47,61.97,63.22,1386541.0,17228.0,63.647067
CINF,2020-06-17 04:00:00+00:00,63.49,63.635,61.8,62.06,1253072.0,11411.0,62.285983
CINF,2020-06-18 04:00:00+00:00,61.44,64.51,61.4,63.13,1471029.0,13254.0,63.196753
CINF,2020-06-19 04:00:00+00:00,63.0,64.49,61.86,63.17,10005969.0,23466.0,63.183319
CINF,2020-06-22 04:00:00+00:00,62.34,63.0,60.99,62.8,2500360.0,16143.0,62.646969
CINF,2020-06-23 04:00:00+00:00,63.28,64.37,63.12,63.79,1649081.0,16886.0,63.811688
CINF,2020-06-24 04:00:00+00:00,62.95,63.0,60.61,62.01,1733199.0,18672.0,61.969171
CINF,2020-06-25 04:00:00+00:00,61.45,63.85,61.17,63.74,1158205.0,15256.0,63.123023
CINF,2020-06-26 04:00:00+00:00,62.66,63.41,61.65,62.0,2616901.0,17946.0,62.030929
CINF,2020-06-29 04:00:00+00:00,63.03,63.86,62.0,63.75,1379595.0,13654.0,63.500729
CINF,2020-06-30 04:00:00+00:00,62.96,64.39,62.96,64.03,1533452.0,18156.0,63.915151
CINF,2020-07-01 04:00:00+00:00,63.95,64.51,63.07,64.1,1115014.0,15968.0,63.939229
CINF,2020-07-02 04:00:00+00:00,65.41,66.81,64.34,64.87,1625714.0,18591.0,65.065493
