symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CL,2020-03-12 04:00:00+00:00,64.85,67.45,63.2,63.89,11151143.0,84343.0,64.429593
CL,2020-03-13 04:00:00+00:00,66.43,69.21,64.2,69.1,12998828.0,96780.0,67.476956
CL,2020-03-16 04:00:00+00:00,62.16,66.31,62.04,62.34,9435327.0,84401.0,64.243348
CL,2020-03-17 04:00:00+00:00,64.19,70.43,63.31,70.2,10424545.0,82196.0,68.060509
CL,2020-03-18 04:00:00+00:00,67.8,72.14,65.35,67.69,10232895.0,75918.0,67.988635
CL,2020-03-19 04:00:00+00:00,67.81,68.99,65.06,66.65,10554608.0,68091.0,67.035728
CL,2020-03-20 04:00:00+00:00,66.74,66.8525,61.39,62.08,10311209.0,69638.0,64.096872
CL,2020-03-23 04:00:00+00:00,62.09,63.47,58.49,60.47,9210130.0,75615.0,60.875211
CL,2020-03-24 04:00:00+00:00,61.11,65.88,59.61,61.18,11355708.0,72267.0,61.474502
CL,2020-03-25 04:00:00+00:00,60.76,62.22,59.01,59.89,11681605.0,90595.0,60.776016
CL,2020-03-26 04:00:00+00:00,60.36,64.34,60.19,63.82,10666514.0,76285.0,62.956501
CL,2020-03-27 04:00:00+00:00,64.03,66.63,63.36,65.26,7034347.0,59209.0,65.254134
CL,2020-03-30 04:00:00+00:00,65.8,66.93,64.97,66.58,5460692.0,50758.0,66.022526
CL,2020-03-31 04:00:00+00:00,66.01,66.49,64.96,66.36,6482089.0,58884.0,66.086138
CL,2020-04-01 04:00:00+00:00,64.75,65.85,64.09,65.55,4663351.0,41399.0,65.253185
CL,2020-04-02 04:00:00+00:00,64.78,68.69,64.71,68.17,6384545.0,47667.0,67.552448
CL,2020-04-03 04:00:00+00:00,67.95,68.69,66.75,67.62,5343350.0,46407.0,67.555202
CL,2020-04-06 04:00:00+00:00,69.6,71.73,69.13,70.5,6265157.0,47039.0,70.156619
CL,2020-04-07 04:00:00+00:00,70.28,71.79,68.835,69.04,6672035.0,50051.0,70.023369
CL,2020-04-08 04:00:00+00:00,69.64,70.75,68.85,70.22,5140264.0,33612.0,69.970415
CL,2020-04-09 04:00:00+00:00,70.66,71.47,69.76,69.91,3872877.0,40922.0,70.445545
CL,2020-04-13 04:00:00+00:00,69.63,70.21,69.21,69.49,3798097.0,32700.0,69.603523
CL,2020-04-14 04:00:00+00:00,71.33,73.89,70.61,73.11,5553156.0,45951.0,72.592367
CL,2020-04-15 04:00:00+00:00,72.2,72.94,71.685,72.65,3856807.0,35983.0,72.521255
CL,2020-04-16 04:00:00+00:00,72.8,73.275,71.74,72.84,3975576.0,40128.0,72.607573
CL,2020-04-17 04:00:00+00:00,73.3,73.7,71.53,73.42,4314843.0,38304.0,72.78391
CL,2020-04-20 04:00:00+00:00,72.93,73.31,72.13,72.16,3891185.0,23586.0,72.413894
CL,2020-04-21 04:00:00+00:00,71.5,71.75,70.25,70.61,3607807.0,32767.0,70.863246
CL,2020-04-22 04:00:00+00:00,71.2,71.73,70.555,71.21,3862196.0,31294.0,71.131916
CL,2020-04-23 04:00:00+00:00,71.05,71.6,70.7,71.23,4394950.0,33334.0,71.217795
