symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COF,2020-03-12 04:00:00+00:00,65.96,68.32,61.08,65.36,7582372.0,68155.0,63.66771
COF,2020-03-13 04:00:00+00:00,69.0,72.99,66.29,72.84,6356004.0,64823.0,70.168519
COF,2020-03-16 04:00:00+00:00,61.01,64.15,55.44,55.45,7107307.0,63491.0,59.011544
COF,2020-03-17 04:00:00+00:00,56.44,57.15,51.3101,53.92,11106985.0,93539.0,53.706509
COF,2020-03-18 04:00:00+00:00,49.74,50.34,38.0,44.3,12797222.0,98571.0,43.113492
COF,2020-03-19 04:00:00+00:00,43.08,47.83,39.78,46.26,9492891.0,78919.0,45.294008
COF,2020-03-20 04:00:00+00:00,48.0,48.3,43.59,45.01,8944754.0,68852.0,45.574574
COF,2020-03-23 04:00:00+00:00,43.39,44.94,42.03,42.87,7061751.0,61117.0,43.210839
COF,2020-03-24 04:00:00+00:00,46.46,51.34,46.01,50.91,6034215.0,56372.0,49.64077
COF,2020-03-25 04:00:00+00:00,52.6,55.0,50.0494,52.34,5907638.0,55011.0,52.976159
COF,2020-03-26 04:00:00+00:00,55.57,61.4,54.46,57.87,6449260.0,65296.0,58.426161
COF,2020-03-27 04:00:00+00:00,54.62,57.08,52.69,55.3,4722047.0,46574.0,55.147687
COF,2020-03-30 04:00:00+00:00,54.99,54.99,52.3168,53.87,4203731.0,39610.0,53.442198
COF,2020-03-31 04:00:00+00:00,52.97,53.77,50.0,50.42,5993601.0,57934.0,51.393491
COF,2020-04-01 04:00:00+00:00,46.63,46.63,44.0,44.68,7819589.0,66537.0,44.962538
COF,2020-04-02 04:00:00+00:00,43.58,45.86,43.075,43.93,5850390.0,50160.0,44.273997
COF,2020-04-03 04:00:00+00:00,43.78,43.89,39.9,42.27,6761900.0,65120.0,41.595883
COF,2020-04-06 04:00:00+00:00,46.28,50.17,45.79,49.42,6245328.0,60777.0,48.934527
COF,2020-04-07 04:00:00+00:00,54.69,58.37,52.75,52.91,6420493.0,66824.0,54.664629
COF,2020-04-08 04:00:00+00:00,54.41,57.08,53.63,56.72,5593734.0,53645.0,56.114906
COF,2020-04-09 04:00:00+00:00,60.76,62.98,59.22,60.11,8036914.0,71313.0,60.966585
COF,2020-04-13 04:00:00+00:00,60.0,60.05,55.68,56.5,4882454.0,53685.0,56.832538
COF,2020-04-14 04:00:00+00:00,58.0,58.65,54.25,55.34,5052246.0,49413.0,55.853116
COF,2020-04-15 04:00:00+00:00,51.51,52.85,49.77,52.6,6267259.0,53348.0,52.141912
COF,2020-04-16 04:00:00+00:00,52.34,52.34,49.41,50.01,5256231.0,49214.0,50.240134
COF,2020-04-17 04:00:00+00:00,52.97,55.16,52.8,54.63,5536289.0,52861.0,54.18882
COF,2020-04-20 04:00:00+00:00,52.38,55.51,51.44,53.87,4295050.0,41258.0,53.836786
COF,2020-04-21 04:00:00+00:00,51.65,53.43,50.8406,51.16,5515269.0,57311.0,51.659458
