symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COP,2020-03-12 04:00:00+00:00,30.34,31.41,27.82,28.2,18310637.0,109221.0,29.078402
COP,2020-03-13 04:00:00+00:00,30.6,31.74,27.585,31.38,19847941.0,104650.0,29.958102
COP,2020-03-16 04:00:00+00:00,27.49,31.15,25.91,26.08,15254767.0,95942.0,27.734055
COP,2020-03-17 04:00:00+00:00,26.7,26.85,24.39,26.25,20636845.0,120564.0,25.970063
COP,2020-03-18 04:00:00+00:00,24.25,25.6,20.84,23.03,18358737.0,111630.0,23.150767
COP,2020-03-19 04:00:00+00:00,23.13,25.99,21.0,25.59,17072369.0,103537.0,24.521496
COP,2020-03-20 04:00:00+00:00,27.06,28.39,25.89,26.84,29078843.0,157206.0,27.080096
COP,2020-03-23 04:00:00+00:00,26.72,26.97,23.35,24.55,17378930.0,118293.0,24.800532
COP,2020-03-24 04:00:00+00:00,26.86,30.87,26.45,30.74,19181899.0,102996.0,29.671718
COP,2020-03-25 04:00:00+00:00,31.23,32.56,29.49,30.94,15722935.0,97839.0,31.122089
COP,2020-03-26 04:00:00+00:00,31.12,32.4582,30.3978,32.09,14864334.0,92509.0,31.396939
COP,2020-03-27 04:00:00+00:00,30.12,30.27,28.8,29.25,11449913.0,73049.0,29.294822
COP,2020-03-30 04:00:00+00:00,28.5,30.14,27.52,29.29,12170253.0,91242.0,29.02213
COP,2020-03-31 04:00:00+00:00,30.08,31.92,29.71,30.8,15292790.0,106222.0,30.689762
COP,2020-04-01 04:00:00+00:00,29.33,30.53,28.825,29.62,12024035.0,92188.0,29.694813
COP,2020-04-02 04:00:00+00:00,31.25,35.42,30.71,33.86,15479028.0,120013.0,33.341205
COP,2020-04-03 04:00:00+00:00,34.61,34.98,31.6144,32.91,12333582.0,111734.0,32.977543
COP,2020-04-06 04:00:00+00:00,33.48,33.8,31.79,32.8,14956860.0,107959.0,32.802555
COP,2020-04-07 04:00:00+00:00,34.88,35.94,33.02,33.27,12533680.0,96732.0,34.418625
COP,2020-04-08 04:00:00+00:00,34.1,35.89,33.865,35.68,8798789.0,73118.0,35.025626
COP,2020-04-09 04:00:00+00:00,37.93,37.98,33.2879,34.73,14843399.0,126124.0,35.230864
COP,2020-04-13 04:00:00+00:00,35.94,35.98,33.77,34.3,11327725.0,81694.0,34.333862
COP,2020-04-14 04:00:00+00:00,34.37,34.47,33.67,34.08,12189472.0,76863.0,34.110672
COP,2020-04-15 04:00:00+00:00,32.17,33.0,30.73,32.2,11885497.0,94484.0,31.681667
COP,2020-04-16 04:00:00+00:00,32.0,32.23,30.52,31.07,14176686.0,100303.0,31.155524
COP,2020-04-17 04:00:00+00:00,31.98,35.365,31.85,35.26,14605018.0,82727.0,34.359435
COP,2020-04-20 04:00:00+00:00,32.47,35.67,32.4,34.57,13753376.0,96623.0,34.654997
COP,2020-04-21 04:00:00+00:00,32.95,34.13,32.61,33.19,14480022.0,109830.0,33.33697
COP,2020-04-22 04:00:00+00:00,35.25,35.53,34.54,34.98,13229175.0,89210.0,35.009507
COP,2020-04-23 04:00:00+00:00,36.61,37.1966,35.37,36.18,10291519.0,82603.0,36.449912
COP,2020-04-24 04:00:00+00:00,36.97,37.3,35.78,36.09,9678084.0,64751.0,36.303363
COP,2020-04-27 04:00:00+00:00,35.87,37.41,34.68,37.15,8770541.0,63617.0,36.444458
COP,2020-04-28 04:00:00+00:00,37.89,38.99,37.56,38.48,10055720.0,71036.0,38.393467
COP,2020-04-29 04:00:00+00:00,39.99,42.545,39.64,42.21,13671432.0,93381.0,41.522933
COP,2020-04-30 04:00:00+00:00,42.58,43.58,40.84,42.1,12811034.0,87251.0,42.227058
COP,2020-05-01 04:00:00+00:00,40.54,41.3,38.71,39.14,9953803.0,74710.0,39.430857
COP,2020-05-04 04:00:00+00:00,38.6,40.4,38.15,40.36,13865256.0,76353.0,39.782394
COP,2020-05-05 04:00:00+00:00,43.1,43.57,40.655,40.92,11204074.0,77403.0,41.635245
COP,2020-05-06 04:00:00+00:00,41.09,41.83,39.82,40.49,9460546.0,55468.0,40.624946
COP,2020-05-07 04:00:00+00:00,42.0,43.35,41.91,42.42,10139895.0,78295.0,42.496873
COP,2020-05-08 04:00:00+00:00,43.12,43.35,42.06,43.08,7580943.0,56982.0,42.775099
COP,2020-05-11 04:00:00+00:00,42.35,43.28,42.08,42.27,8310904.0,49963.0,42.515452
COP,2020-05-12 04:00:00+00:00,42.65,43.1487,41.53,41.58,8315200.0,55913.0,42.148358
COP,2020-05-13 04:00:00+00:00,41.02,41.18,39.54,39.89,8166777.0,70167.0,40.058398
COP,2020-05-14 04:00:00+00:00,38.93,40.46,37.78,39.93,7311260.0,55648.0,39.518366
COP,2020-05-15 04:00:00+00:00,39.87,41.55,39.72,40.87,7939486.0,56352.0,40.896774
COP,2020-05-18 04:00:00+00:00,43.26,44.61,43.165,43.6,10108091.0,64653.0,43.76643
COP,2020-05-19 04:00:00+00:00,43.7,43.8798,42.61,42.67,6465219.0,51654.0,43.028131
COP,2020-05-20 04:00:00+00:00,43.59,44.8,43.3,44.15,8131048.0,50753.0,44.168973
COP,2020-05-21 04:00:00+00:00,44.39,44.87,43.62,43.72,7276857.0,54471.0,44.052785
COP,2020-05-22 04:00:00+00:00,42.9,43.36,42.3,43.28,5159087.0,40607.0,42.966718
COP,2020-05-26 04:00:00+00:00,44.72,45.12,43.495,43.67,8450903.0,55499.0,44.155199
COP,2020-05-27 04:00:00+00:00,44.34,44.6814,42.96,44.67,6230499.0,52185.0,44.168034
COP,2020-05-28 04:00:00+00:00,44.72,44.72,42.775,43.01,6647054.0,47597.0,43.601387
COP,2020-05-29 04:00:00+00:00,42.61,42.775,41.67,42.18,12644765.0,71302.0,42.165084
COP,2020-06-01 04:00:00+00:00,42.27,43.7,41.64,43.39,6646989.0,57634.0,42.987721
COP,2020-06-02 04:00:00+00:00,44.02,44.685,43.7,44.2,6450381.0,48788.0,44.154304
COP,2020-06-03 04:00:00+00:00,45.11,45.23,44.02,45.12,8869111.0,51386.0,44.829642
