symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COR,2020-03-12 04:00:00+00:00,80.46,84.28,79.0861,80.49,7941885.0,49532.0,81.021056
COR,2020-03-13 04:00:00+00:00,83.7,90.17,80.66,90.0,3178969.0,37164.0,86.623254
COR,2020-03-16 04:00:00+00:00,76.21,87.42,76.0,80.5,2988076.0,29587.0,83.297299
COR,2020-03-17 04:00:00+00:00,82.79,89.73,82.2,89.5,4037849.0,34432.0,86.901529
COR,2020-03-18 04:00:00+00:00,84.9,90.76,78.14,84.97,3465091.0,36112.0,83.866162
COR,2020-03-19 04:00:00+00:00,83.09,86.74,80.37,86.0,2310251.0,22521.0,84.642712
COR,2020-03-20 04:00:00+00:00,86.84,87.63,79.32,80.61,4131076.0,27230.0,82.060649
COR,2020-03-23 04:00:00+00:00,80.29,80.29,72.0583,73.93,2362307.0,28509.0,74.871931
COR,2020-03-24 04:00:00+00:00,77.71,80.62,76.1625,79.85,2108018.0,21819.0,79.150471
COR,2020-03-25 04:00:00+00:00,79.54,81.47,75.11,75.35,2488921.0,27451.0,77.774504
COR,2020-03-26 04:00:00+00:00,75.87,85.179,75.595,84.16,3460319.0,33434.0,80.252636
COR,2020-03-27 04:00:00+00:00,80.94,84.06,80.18,81.78,1782662.0,20407.0,82.175671
COR,2020-03-30 04:00:00+00:00,83.53,88.55,82.44,88.1,1934030.0,19294.0,86.973152
COR,2020-03-31 04:00:00+00:00,88.24,90.73,87.11,88.5,2252974.0,28928.0,88.840101
COR,2020-04-01 04:00:00+00:00,88.21,88.7125,84.185,86.23,1464207.0,16568.0,86.075032
COR,2020-04-02 04:00:00+00:00,84.64,86.53,80.0,83.89,2751330.0,26104.0,83.015065
COR,2020-04-03 04:00:00+00:00,83.27,84.625,80.39,81.34,1762981.0,17990.0,81.659842
COR,2020-04-06 04:00:00+00:00,85.32,86.83,83.07,86.29,1679299.0,16713.0,85.564528
COR,2020-04-07 04:00:00+00:00,88.75,89.43,86.62,87.2,1455258.0,16381.0,87.851489
COR,2020-04-08 04:00:00+00:00,86.94,89.125,85.16,88.33,1933922.0,22113.0,87.507236
COR,2020-04-09 04:00:00+00:00,88.18,89.41,86.6621,87.81,1536549.0,15879.0,87.958782
COR,2020-04-13 04:00:00+00:00,87.56,87.56,84.215,85.45,2575646.0,18177.0,85.35564
COR,2020-04-14 04:00:00+00:00,87.59,89.9,87.07,89.42,1074142.0,13489.0,88.878495
COR,2020-04-15 04:00:00+00:00,87.94,89.71,85.59,88.33,1082108.0,12739.0,88.087062
COR,2020-04-16 04:00:00+00:00,88.26,89.26,85.54,86.28,2004523.0,18070.0,86.518011
COR,2020-04-17 04:00:00+00:00,88.76,89.89,87.28,89.19,1997379.0,14752.0,88.941092
COR,2020-04-20 04:00:00+00:00,87.99,90.11,87.1,89.62,1182445.0,11263.0,89.4882
COR,2020-04-21 04:00:00+00:00,88.44,88.62,84.43,85.57,1455663.0,14136.0,85.924886
COR,2020-04-22 04:00:00+00:00,86.98,88.13,86.19,86.5,999969.0,12873.0,86.98073
COR,2020-04-23 04:00:00+00:00,87.39,89.14,86.88,87.26,1284724.0,11367.0,87.649419
COR,2020-04-24 04:00:00+00:00,87.43,89.45,85.74,88.7,1552555.0,12534.0,88.027185
COR,2020-04-27 04:00:00+00:00,89.59,91.35,88.76,90.78,2002560.0,14125.0,90.167042
COR,2020-04-28 04:00:00+00:00,92.0,92.0782,89.24,89.53,1574144.0,12552.0,89.927722
COR,2020-04-29 04:00:00+00:00,90.04,91.28,88.35,89.34,2393549.0,14398.0,89.566964
COR,2020-04-30 04:00:00+00:00,88.71,91.03,88.61,89.66,2147668.0,15684.0,89.750227
COR,2020-05-01 04:00:00+00:00,88.35,88.35,85.11,86.38,1223344.0,16256.0,86.164471
COR,2020-05-04 04:00:00+00:00,85.97,87.05,85.31,86.42,1472880.0,17063.0,86.250849
COR,2020-05-05 04:00:00+00:00,87.5,89.45,85.61,87.97,1471042.0,18894.0,88.042449
COR,2020-05-06 04:00:00+00:00,88.35,88.56,85.2,85.5,1443549.0,18840.0,86.283894
COR,2020-05-07 04:00:00+00:00,86.6,89.83,86.6,88.74,1891346.0,19324.0,88.762406
COR,2020-05-08 04:00:00+00:00,90.55,92.4,87.09,88.09,1278965.0,15220.0,88.472669
COR,2020-05-11 04:00:00+00:00,89.07,91.86,88.52,90.64,1416193.0,15047.0,90.58814
COR,2020-05-12 04:00:00+00:00,91.46,91.99,88.53,88.58,1276874.0,14673.0,89.535479
COR,2020-05-13 04:00:00+00:00,88.17,89.0,83.67,84.15,1631382.0,20977.0,85.242858
COR,2020-05-14 04:00:00+00:00,83.01,84.15,81.51,84.03,1591067.0,19730.0,83.160177
COR,2020-05-15 04:00:00+00:00,83.36,85.82,83.05,85.75,2151912.0,18496.0,85.202158
COR,2020-05-18 04:00:00+00:00,88.03,90.0,87.85,89.2,1187797.0,13391.0,89.221859
COR,2020-05-19 04:00:00+00:00,88.81,90.39,88.5,89.63,1053463.0,12482.0,89.755099
COR,2020-05-20 04:00:00+00:00,90.0,95.13,89.02,92.73,2442224.0,26471.0,93.096762
COR,2020-05-21 04:00:00+00:00,92.17,93.27,91.19,92.25,1140316.0,14838.0,92.16289
COR,2020-05-22 04:00:00+00:00,92.16,93.69,92.16,93.14,1126829.0,13213.0,93.141791
COR,2020-05-26 04:00:00+00:00,95.0,95.0,90.59,90.78,1181317.0,14553.0,91.578654
COR,2020-05-27 04:00:00+00:00,90.96,93.45,90.745,93.33,1291304.0,14179.0,92.619732
COR,2020-05-28 04:00:00+00:00,94.36,96.49,93.83,94.4,1485960.0,15667.0,95.03834
COR,2020-05-29 04:00:00+00:00,94.7,95.6,93.61,95.34,1837680.0,13919.0,94.938917
COR,2020-06-01 04:00:00+00:00,94.84,95.87,94.84,95.15,1094490.0,13503.0,95.318783
COR,2020-06-02 04:00:00+00:00,94.85,98.74,94.31,98.66,2233186.0,17001.0,97.232193
COR,2020-06-03 04:00:00+00:00,99.08,99.99,98.65,99.49,1274304.0,14847.0,99.454502
COR,2020-06-04 04:00:00+00:00,98.65,99.99,98.2,99.45,1626929.0,17121.0,99.319111
COR,2020-06-05 04:00:00+00:00,99.67,102.21,98.51,98.97,1571075.0,17425.0,100.027593
COR,2020-06-08 04:00:00+00:00,98.0,102.99,97.76,102.3,1460790.0,15237.0,101.760987
COR,2020-06-09 04:00:00+00:00,101.0,101.6,99.55,99.9,1091402.0,12049.0,100.364913
