symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CPT,2020-03-12 04:00:00+00:00,88.65,92.76,80.81,87.5,2679000.0,26653.0,86.464529
CPT,2020-03-13 04:00:00+00:00,92.0,96.75,86.29,95.97,1758546.0,21072.0,92.385718
CPT,2020-03-16 04:00:00+00:00,87.42,87.54,78.79,78.8,1415060.0,17760.0,83.201889
CPT,2020-03-17 04:00:00+00:00,80.21,86.46,77.03,86.2,1807302.0,21350.0,83.579598
CPT,2020-03-18 04:00:00+00:00,80.93,83.23,70.75,77.14,1529227.0,18319.0,76.254056
CPT,2020-03-19 04:00:00+00:00,76.97,80.45,75.095,77.65,1753989.0,18680.0,77.864531
CPT,2020-03-20 04:00:00+00:00,77.73,78.41,69.37,71.04,1165408.0,10910.0,73.442826
CPT,2020-03-23 04:00:00+00:00,70.76,70.76,62.48,67.3,1294126.0,16089.0,66.010127
CPT,2020-03-24 04:00:00+00:00,69.87,71.67,66.81,70.23,1330948.0,14093.0,69.291167
CPT,2020-03-25 04:00:00+00:00,70.03,78.0799,69.11,74.25,1423803.0,13383.0,74.710499
CPT,2020-03-26 04:00:00+00:00,75.19,81.92,73.12,81.66,1343622.0,13966.0,79.72359
CPT,2020-03-27 04:00:00+00:00,78.52,89.28,77.635,85.69,1338845.0,13922.0,85.033755
CPT,2020-03-30 04:00:00+00:00,85.98,87.42,77.74,83.34,1597169.0,21504.0,81.662222
CPT,2020-03-31 04:00:00+00:00,82.85,82.85,76.85,79.24,1952497.0,22110.0,79.159091
CPT,2020-04-01 04:00:00+00:00,75.78,76.215,71.28,74.97,1180789.0,14613.0,73.589204
CPT,2020-04-02 04:00:00+00:00,73.19,77.65,71.37,72.31,1084374.0,11976.0,72.962932
CPT,2020-04-03 04:00:00+00:00,71.49,74.2,70.37,71.95,1843607.0,13532.0,71.907305
CPT,2020-04-06 04:00:00+00:00,76.53,81.23,74.92,79.94,2075278.0,13145.0,79.473659
CPT,2020-04-07 04:00:00+00:00,84.76,85.86,80.16,80.49,1164246.0,14456.0,82.458448
CPT,2020-04-08 04:00:00+00:00,80.98,86.45,79.71,85.7,977649.0,12896.0,83.681077
CPT,2020-04-09 04:00:00+00:00,87.8,91.08,87.64,89.09,851148.0,13165.0,89.207117
CPT,2020-04-13 04:00:00+00:00,88.38,89.77,85.01,85.18,716070.0,9273.0,85.637866
CPT,2020-04-14 04:00:00+00:00,87.98,88.835,85.715,87.01,915097.0,11194.0,86.872931
CPT,2020-04-15 04:00:00+00:00,83.19,86.67,83.01,85.3,1050260.0,13085.0,85.078411
CPT,2020-04-16 04:00:00+00:00,85.73,85.73,82.2,83.82,942236.0,9794.0,83.647379
CPT,2020-04-17 04:00:00+00:00,86.93,88.48,86.47,87.82,819275.0,10193.0,87.658957
CPT,2020-04-20 04:00:00+00:00,86.12,86.335,83.09,83.34,1051154.0,11342.0,84.193772
CPT,2020-04-21 04:00:00+00:00,80.5,82.61,80.055,81.85,1029927.0,12938.0,81.593949
CPT,2020-04-22 04:00:00+00:00,83.67,84.77,82.0,84.26,845677.0,10000.0,83.942569
CPT,2020-04-23 04:00:00+00:00,84.46,84.82,82.15,83.04,998508.0,10716.0,83.313024
CPT,2020-04-24 04:00:00+00:00,83.66,84.41,81.9,83.69,745589.0,9949.0,83.556439
CPT,2020-04-27 04:00:00+00:00,84.64,87.17,84.225,86.34,562130.0,7152.0,86.161652
CPT,2020-04-28 04:00:00+00:00,88.96,89.99,85.01,86.42,746549.0,8334.0,87.019106
CPT,2020-04-29 04:00:00+00:00,88.84,90.19,86.65,88.88,992425.0,12340.0,88.96627
CPT,2020-04-30 04:00:00+00:00,87.65,88.5,85.81,88.07,2012912.0,11922.0,87.94034
CPT,2020-05-01 04:00:00+00:00,85.66,86.93,84.68,85.13,637769.0,9056.0,85.473869
CPT,2020-05-04 04:00:00+00:00,83.85,85.97,83.24,85.86,675882.0,10324.0,84.938874
CPT,2020-05-05 04:00:00+00:00,87.09,87.7,85.8,86.01,504058.0,7962.0,86.555978
CPT,2020-05-06 04:00:00+00:00,86.33,87.46,83.92,84.09,589631.0,7595.0,85.220838
CPT,2020-05-07 04:00:00+00:00,85.37,89.44,84.91,87.26,747024.0,9559.0,87.399804
CPT,2020-05-08 04:00:00+00:00,88.6,91.31,86.815,88.46,768449.0,11233.0,88.451739
CPT,2020-05-11 04:00:00+00:00,87.91,89.75,86.85,87.27,1165119.0,9073.0,87.614732
CPT,2020-05-12 04:00:00+00:00,87.44,87.53,83.55,84.18,1001779.0,11692.0,84.468877
CPT,2020-05-13 04:00:00+00:00,83.22,84.695,82.29,83.89,905296.0,12947.0,83.678606
CPT,2020-05-14 04:00:00+00:00,82.47,83.5,80.79,83.22,1061848.0,13748.0,82.405297
CPT,2020-05-15 04:00:00+00:00,82.41,84.05,81.2,83.8,1157675.0,12716.0,83.145602
CPT,2020-05-18 04:00:00+00:00,87.5,91.58,87.38,90.92,948122.0,10556.0,90.500369
CPT,2020-05-19 04:00:00+00:00,90.42,91.81,88.75,88.89,1341384.0,18260.0,89.86917
CPT,2020-05-20 04:00:00+00:00,89.59,90.05,88.28,89.43,1018441.0,10877.0,89.240287
CPT,2020-05-21 04:00:00+00:00,88.86,90.91,88.51,88.78,1042208.0,10510.0,89.078406
CPT,2020-05-22 04:00:00+00:00,88.57,88.92,87.96,88.58,476366.0,7749.0,88.499801
CPT,2020-05-26 04:00:00+00:00,92.31,93.85,91.6,92.15,954990.0,10978.0,92.442676
CPT,2020-05-27 04:00:00+00:00,94.35,94.61,89.75,91.44,1015507.0,13065.0,91.179966
CPT,2020-05-28 04:00:00+00:00,92.52,92.97,90.2701,92.55,880419.0,10052.0,91.785539
CPT,2020-05-29 04:00:00+00:00,91.75,93.785,90.93,91.57,2713782.0,17689.0,91.98638
CPT,2020-06-01 04:00:00+00:00,91.4,94.49,91.4,93.31,734732.0,10373.0,93.397468
CPT,2020-06-02 04:00:00+00:00,94.19,94.69,92.19,92.71,701850.0,9965.0,93.039902
CPT,2020-06-03 04:00:00+00:00,93.78,97.28,93.78,96.84,996087.0,9766.0,96.624838
CPT,2020-06-04 04:00:00+00:00,96.16,96.7,94.87,95.62,957110.0,13217.0,95.674761
CPT,2020-06-05 04:00:00+00:00,99.74,101.52,97.59,97.63,1037415.0,15622.0,98.645062
CPT,2020-06-08 04:00:00+00:00,99.25,101.71,99.13,101.56,983265.0,11400.0,100.977632
CPT,2020-06-09 04:00:00+00:00,99.33,100.98,98.7902,99.8,560055.0,10111.0,99.988437
CPT,2020-06-10 04:00:00+00:00,99.28,99.28,95.84,96.81,823095.0,9853.0,97.219931
CPT,2020-06-11 04:00:00+00:00,92.52,94.85,91.69,92.98,1319875.0,16462.0,93.388975
CPT,2020-06-12 04:00:00+00:00,96.43,96.69,93.31,95.31,2066289.0,24286.0,94.44302
CPT,2020-06-15 04:00:00+00:00,91.88,95.1,91.88,93.79,997644.0,12073.0,93.520244
CPT,2020-06-16 04:00:00+00:00,97.49,98.9,95.97,96.86,755763.0,8294.0,97.114117
CPT,2020-06-17 04:00:00+00:00,97.5,97.96,94.142,94.68,881438.0,9633.0,94.763653
CPT,2020-06-18 04:00:00+00:00,93.38,94.98,93.36,94.32,661214.0,8853.0,94.324381
CPT,2020-06-19 04:00:00+00:00,95.57,95.7286,93.51,93.51,2753105.0,12819.0,93.813875
CPT,2020-06-22 04:00:00+00:00,93.17,93.68,91.25,92.63,951586.0,11862.0,92.65703
CPT,2020-06-23 04:00:00+00:00,93.31,93.72,90.66,90.67,754530.0,9321.0,91.259647
CPT,2020-06-24 04:00:00+00:00,89.32,90.6,86.66,89.02,1034651.0,12873.0,88.789054
CPT,2020-06-25 04:00:00+00:00,88.64,89.84,88.09,89.71,524897.0,6576.0,89.236363
CPT,2020-06-26 04:00:00+00:00,88.98,90.04,88.08,88.69,1265148.0,9320.0,88.819336
CPT,2020-06-29 04:00:00+00:00,88.65,90.06,87.04,89.89,622218.0,8925.0,89.450548
CPT,2020-06-30 04:00:00+00:00,89.85,92.08,89.85,91.22,882430.0,10152.0,91.219048
CPT,2020-07-01 04:00:00+00:00,91.51,94.19,90.5,93.81,546348.0,7964.0,93.398162
CPT,2020-07-02 04:00:00+00:00,95.37,95.64,93.08,93.57,986820.0,7457.0,93.741548
CPT,2020-07-06 04:00:00+00:00,95.6,95.6,91.82,91.97,497844.0,6983.0,92.402752
CPT,2020-07-07 04:00:00+00:00,90.6,91.44,89.59,89.71,721642.0,8233.0,90.078972
CPT,2020-07-08 04:00:00+00:00,89.74,90.45,89.08,89.48,459633.0,5944.0,89.568861
CPT,2020-07-09 04:00:00+00:00,88.98,89.32,88.21,88.64,451537.0,6336.0,88.721635
CPT,2020-07-10 04:00:00+00:00,88.74,90.145,88.56,89.37,458241.0,5906.0,89.214918
CPT,2020-07-13 04:00:00+00:00,89.82,91.14,88.6,89.79,632492.0,8569.0,89.9558
CPT,2020-07-14 04:00:00+00:00,89.78,91.0989,89.3,90.7,590165.0,7322.0,90.491936
CPT,2020-07-15 04:00:00+00:00,91.82,92.36,90.8,91.44,871018.0,7592.0,91.461144
CPT,2020-07-16 04:00:00+00:00,91.14,91.35,89.86,89.97,636882.0,7496.0,90.240549
CPT,2020-07-17 04:00:00+00:00,90.93,90.93,89.165,90.71,822516.0,6445.0,90.315972
CPT,2020-07-20 04:00:00+00:00,90.04,90.81,88.37,88.85,753759.0,8662.0,89.022439
CPT,2020-07-21 04:00:00+00:00,88.29,89.6,87.81,88.14,583236.0,7328.0,88.589728
CPT,2020-07-22 04:00:00+00:00,87.74,90.57,87.55,90.57,688324.0,7094.0,90.193314
CPT,2020-07-23 04:00:00+00:00,90.08,90.955,88.82,89.93,564466.0,7440.0,89.893045
CPT,2020-07-24 04:00:00+00:00,90.16,90.16,88.975,89.53,690399.0,8596.0,89.539437
CPT,2020-07-27 04:00:00+00:00,89.17,89.42,87.69,89.25,553073.0,8646.0,88.789223
