symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRWD,2020-03-12 04:00:00+00:00,38.6,40.2,35.98,37.82,6807440.0,52062.0,38.590566
CRWD,2020-03-13 04:00:00+00:00,39.9,40.08,36.59,39.55,5152599.0,36727.0,38.382639
CRWD,2020-03-16 04:00:00+00:00,36.0,36.0,32.12,33.01,6915728.0,54402.0,34.035977
CRWD,2020-03-17 04:00:00+00:00,33.93,38.3,31.95,38.01,5793149.0,43973.0,35.932216
CRWD,2020-03-18 04:00:00+00:00,35.76,41.47,35.5,38.63,6532795.0,53383.0,39.01133
CRWD,2020-03-19 04:00:00+00:00,40.43,44.49,38.2,41.74,7620001.0,50797.0,42.095915
CRWD,2020-03-20 04:00:00+00:00,49.955,51.97,46.81,49.01,14728834.0,93350.0,48.922592
CRWD,2020-03-23 04:00:00+00:00,46.24,53.0,46.01,51.45,11495212.0,89221.0,49.066123
CRWD,2020-03-24 04:00:00+00:00,54.62,58.65,54.28,57.33,8363755.0,60835.0,56.647862
CRWD,2020-03-25 04:00:00+00:00,56.0,59.5,55.6,55.78,5711582.0,49660.0,57.71321
CRWD,2020-03-26 04:00:00+00:00,55.84,59.1,55.04,58.64,5970149.0,49108.0,57.84962
CRWD,2020-03-27 04:00:00+00:00,57.02,59.87,56.02,58.79,3965643.0,32879.0,58.501868
CRWD,2020-03-30 04:00:00+00:00,58.81,59.83,56.27,57.72,4630594.0,38110.0,58.099091
CRWD,2020-03-31 04:00:00+00:00,57.03,60.03,55.26,55.68,5096657.0,37049.0,57.305126
CRWD,2020-04-01 04:00:00+00:00,54.0,56.55,53.53,54.58,3252960.0,25282.0,54.787066
CRWD,2020-04-02 04:00:00+00:00,54.51,56.92,54.11,56.69,3258887.0,24347.0,56.090228
CRWD,2020-04-03 04:00:00+00:00,55.85,59.25,55.85,57.82,4645765.0,31046.0,58.010993
CRWD,2020-04-06 04:00:00+00:00,59.08,60.53,58.66,59.07,5120431.0,39889.0,59.639811
CRWD,2020-04-07 04:00:00+00:00,59.45,61.3,57.75,59.6,7604669.0,53734.0,59.364696
CRWD,2020-04-08 04:00:00+00:00,59.65,60.88,59.05,60.32,4442551.0,34000.0,60.236256
CRWD,2020-04-09 04:00:00+00:00,60.48,60.79,57.5,58.15,3855877.0,32995.0,59.109488
CRWD,2020-04-13 04:00:00+00:00,58.0,59.37,57.36,58.77,2982147.0,28422.0,58.522161
CRWD,2020-04-14 04:00:00+00:00,59.99,62.0,58.5,60.89,6586192.0,45422.0,60.729363
CRWD,2020-04-15 04:00:00+00:00,59.34,62.64,58.73,61.82,4609844.0,31439.0,61.446623
CRWD,2020-04-16 04:00:00+00:00,62.0,64.45,61.54,63.45,5182775.0,44790.0,63.011572
CRWD,2020-04-17 04:00:00+00:00,64.46,65.62,63.25,64.74,4577736.0,34216.0,64.566511
CRWD,2020-04-20 04:00:00+00:00,64.87,70.2,64.39,68.43,6652125.0,57333.0,68.560631
CRWD,2020-04-21 04:00:00+00:00,68.66,70.5,62.77,66.07,7164724.0,62004.0,66.953951
CRWD,2020-04-22 04:00:00+00:00,67.67,69.31,67.23,68.07,3873906.0,26919.0,68.278419
CRWD,2020-04-23 04:00:00+00:00,68.06,69.96,68.0,68.91,3152898.0,30867.0,69.100623
CRWD,2020-04-24 04:00:00+00:00,69.0,74.65,68.895,72.0,10353194.0,68087.0,72.406687
CRWD,2020-04-27 04:00:00+00:00,73.0,75.0,72.02,73.6,4491163.0,43741.0,73.827559
CRWD,2020-04-28 04:00:00+00:00,74.0,74.71,68.39,70.13,4763572.0,46458.0,70.973107
CRWD,2020-04-29 04:00:00+00:00,71.0,71.6,68.19,69.28,8060100.0,45473.0,69.455298
CRWD,2020-04-30 04:00:00+00:00,69.28,69.28,67.12,67.66,2314281.0,25381.0,68.021425
CRWD,2020-05-01 04:00:00+00:00,66.28,70.19,65.8,69.21,3101813.0,30012.0,68.849138
CRWD,2020-05-04 04:00:00+00:00,68.35,73.67,67.81,73.43,4033841.0,34667.0,71.978775
CRWD,2020-05-05 04:00:00+00:00,74.27,75.0,70.88,71.59,3827376.0,33428.0,72.906886
CRWD,2020-05-06 04:00:00+00:00,71.94,73.62,69.32,72.44,4562488.0,39265.0,72.078945
CRWD,2020-05-07 04:00:00+00:00,74.0,76.75,73.66,75.49,5808664.0,59769.0,75.563417
CRWD,2020-05-08 04:00:00+00:00,76.55,77.96,75.0,76.7,3603268.0,40921.0,76.907741
CRWD,2020-05-11 04:00:00+00:00,77.05,78.35,76.15,76.23,2546141.0,30845.0,76.988179
CRWD,2020-05-12 04:00:00+00:00,77.0,80.63,75.31,76.15,4675556.0,51261.0,77.930186
CRWD,2020-05-13 04:00:00+00:00,77.86,79.3,73.12,76.57,4436772.0,48873.0,76.403892
CRWD,2020-05-14 04:00:00+00:00,76.0,77.4,74.53,77.14,3617614.0,34794.0,76.334509
CRWD,2020-05-15 04:00:00+00:00,77.5,80.29,76.33,77.14,3394908.0,35898.0,77.877927
CRWD,2020-05-18 04:00:00+00:00,78.11,78.99,75.78,76.1,2957320.0,35573.0,76.957946
CRWD,2020-05-19 04:00:00+00:00,76.53,79.58,76.5,78.55,2759195.0,32361.0,78.513948
CRWD,2020-05-20 04:00:00+00:00,80.72,81.74,79.1503,80.97,3750580.0,41040.0,80.549351
CRWD,2020-05-21 04:00:00+00:00,81.62,81.87,78.8148,80.6,2174658.0,25879.0,80.422742
CRWD,2020-05-22 04:00:00+00:00,81.0,82.7,80.0,82.22,2897651.0,37336.0,81.498613
CRWD,2020-05-26 04:00:00+00:00,83.39,83.4,77.95,79.35,4290848.0,50439.0,80.074416
CRWD,2020-05-27 04:00:00+00:00,79.0,79.0,71.5101,77.99,7314639.0,70921.0,75.468316
CRWD,2020-05-28 04:00:00+00:00,78.2,82.28,78.0,79.5,3976812.0,39530.0,80.276737
CRWD,2020-05-29 04:00:00+00:00,83.19,88.0,81.2,87.81,17810520.0,93870.0,86.509111
CRWD,2020-06-01 04:00:00+00:00,90.56,95.8,90.21,94.84,12583683.0,119920.0,94.009967
