symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTSH,2020-03-12 04:00:00+00:00,49.69,52.23,47.75,48.98,8523841.0,70290.0,49.673799
CTSH,2020-03-13 04:00:00+00:00,51.61,52.7,48.69,52.62,6672967.0,58064.0,51.037739
CTSH,2020-03-16 04:00:00+00:00,46.73,47.72,43.01,43.58,7354582.0,52687.0,45.484133
CTSH,2020-03-17 04:00:00+00:00,44.54,50.65,43.6675,50.1,7667919.0,70235.0,48.580151
CTSH,2020-03-18 04:00:00+00:00,47.15,49.93,45.79,47.47,8003047.0,62092.0,47.950974
CTSH,2020-03-19 04:00:00+00:00,46.63,47.77,44.23,46.49,6480497.0,47869.0,46.376696
CTSH,2020-03-20 04:00:00+00:00,46.32,48.46,43.67,44.1,7962658.0,52824.0,44.999544
CTSH,2020-03-23 04:00:00+00:00,44.27,44.74,40.01,41.555,8670755.0,79712.0,41.976482
CTSH,2020-03-24 04:00:00+00:00,43.68,46.5,43.08,46.41,6779568.0,50134.0,45.677847
CTSH,2020-03-25 04:00:00+00:00,46.0,49.36,45.49,47.69,5525760.0,44662.0,47.5247
CTSH,2020-03-26 04:00:00+00:00,48.0,50.45,47.43,49.82,6030991.0,40932.0,49.372265
CTSH,2020-03-27 04:00:00+00:00,47.62,48.49,46.28,46.66,5836565.0,44610.0,47.036427
CTSH,2020-03-30 04:00:00+00:00,47.4,47.93,46.33,47.38,6805634.0,51308.0,47.142467
CTSH,2020-03-31 04:00:00+00:00,47.02,48.46,46.16,46.47,5850472.0,51314.0,46.995911
CTSH,2020-04-01 04:00:00+00:00,44.68,45.08,42.14,42.51,6102270.0,52812.0,43.239295
CTSH,2020-04-02 04:00:00+00:00,42.3,45.0,42.2,44.29,4240531.0,35242.0,44.003595
CTSH,2020-04-03 04:00:00+00:00,43.97,44.72,43.01,43.4,3656241.0,30496.0,43.50187
CTSH,2020-04-06 04:00:00+00:00,45.81,48.7,45.39,48.45,6412507.0,47421.0,47.74587
CTSH,2020-04-07 04:00:00+00:00,49.76,50.4,47.61,47.8,4560819.0,38373.0,48.773928
CTSH,2020-04-08 04:00:00+00:00,48.45,51.79,47.76,51.39,5899374.0,48733.0,50.618151
CTSH,2020-04-09 04:00:00+00:00,51.92,55.25,51.92,54.28,6605759.0,56462.0,54.218333
CTSH,2020-04-13 04:00:00+00:00,53.51,53.715,52.05,52.7,4714274.0,31236.0,52.67102
CTSH,2020-04-14 04:00:00+00:00,53.9,54.15,53.03,54.07,7197079.0,35075.0,53.918474
CTSH,2020-04-15 04:00:00+00:00,52.69,52.79,51.13,51.94,3879831.0,31860.0,51.89627
CTSH,2020-04-16 04:00:00+00:00,52.06,52.89,50.54,51.47,4129805.0,32372.0,51.208008
CTSH,2020-04-17 04:00:00+00:00,52.7,53.91,52.59,53.81,7410672.0,29654.0,53.608804
CTSH,2020-04-20 04:00:00+00:00,52.36,53.42,51.14,52.53,5855737.0,28647.0,52.608017
CTSH,2020-04-21 04:00:00+00:00,51.3,52.51,50.67,50.99,4618891.0,32687.0,51.304085
CTSH,2020-04-22 04:00:00+00:00,52.04,52.59,51.33,52.26,4216857.0,22984.0,52.080348
CTSH,2020-04-23 04:00:00+00:00,52.41,53.72,52.41,52.65,2989474.0,25842.0,52.98684
CTSH,2020-04-24 04:00:00+00:00,52.6,54.12,52.4,53.81,4672110.0,26574.0,53.246199
CTSH,2020-04-27 04:00:00+00:00,54.39,56.17,54.36,56.04,4797323.0,33391.0,55.638636
CTSH,2020-04-28 04:00:00+00:00,57.14,58.02,56.48,56.53,4250229.0,36362.0,56.917173
CTSH,2020-04-29 04:00:00+00:00,58.13,59.7,57.7828,59.23,4244341.0,27000.0,58.920067
CTSH,2020-04-30 04:00:00+00:00,58.41,58.77,57.3,58.02,4772749.0,31627.0,57.858485
CTSH,2020-05-01 04:00:00+00:00,56.89,57.05,56.11,56.5,3354733.0,27539.0,56.487181
CTSH,2020-05-04 04:00:00+00:00,55.77,56.58,55.13,56.39,3982287.0,30188.0,55.983316
CTSH,2020-05-05 04:00:00+00:00,56.8,57.46,56.36,57.14,3904248.0,25967.0,57.100026
CTSH,2020-05-06 04:00:00+00:00,57.73,58.26,56.66,57.59,4477793.0,32006.0,57.622584
CTSH,2020-05-07 04:00:00+00:00,58.31,59.23,58.31,58.76,4255618.0,36289.0,58.800019
CTSH,2020-05-08 04:00:00+00:00,55.0,57.56,54.24,57.16,8234979.0,67016.0,56.548828
CTSH,2020-05-11 04:00:00+00:00,56.32,56.36,54.62,55.55,4371896.0,31469.0,55.564861
CTSH,2020-05-12 04:00:00+00:00,55.25,55.74,53.21,53.21,3989460.0,35463.0,54.054413
CTSH,2020-05-13 04:00:00+00:00,52.64,52.665,48.975,49.48,6454155.0,54798.0,50.230058
CTSH,2020-05-14 04:00:00+00:00,49.14,50.78,47.39,50.74,5826865.0,44241.0,49.605809
CTSH,2020-05-15 04:00:00+00:00,49.86,50.28,48.98,50.18,5329513.0,36256.0,49.812092
CTSH,2020-05-18 04:00:00+00:00,52.09,53.46,51.91,53.14,4304172.0,34136.0,53.026581
CTSH,2020-05-19 04:00:00+00:00,52.51,52.9,51.32,51.48,3873076.0,31307.0,52.035579
CTSH,2020-05-20 04:00:00+00:00,52.17,53.59,52.0,52.56,3442371.0,25060.0,52.667965
CTSH,2020-05-21 04:00:00+00:00,52.44,52.79,51.71,51.74,2912511.0,20181.0,51.947755
CTSH,2020-05-22 04:00:00+00:00,52.02,52.04,50.925,51.45,3067738.0,24840.0,51.429242
CTSH,2020-05-26 04:00:00+00:00,53.07,53.9,52.83,53.26,4149891.0,34507.0,53.353694
CTSH,2020-05-27 04:00:00+00:00,54.31,55.41,53.975,55.35,4093596.0,40449.0,54.938861
CTSH,2020-05-28 04:00:00+00:00,55.61,55.89,53.59,53.7,3469256.0,28998.0,54.074737
CTSH,2020-05-29 04:00:00+00:00,53.59,53.6,52.23,53.0,8595854.0,32371.0,52.984658
CTSH,2020-06-01 04:00:00+00:00,53.0,53.33,52.48,52.85,3556986.0,30120.0,52.879476
CTSH,2020-06-02 04:00:00+00:00,53.57,53.57,52.89,53.3,3462639.0,24446.0,53.257738
CTSH,2020-06-03 04:00:00+00:00,53.72,55.44,53.52,55.35,4832064.0,35963.0,55.009784
CTSH,2020-06-04 04:00:00+00:00,55.06,55.74,54.53,55.6,2652713.0,26189.0,55.37027
CTSH,2020-06-05 04:00:00+00:00,56.96,59.22,56.55,57.82,5706801.0,40058.0,58.155843
CTSH,2020-06-08 04:00:00+00:00,58.09,58.92,58.09,58.58,3151900.0,26367.0,58.520092
CTSH,2020-06-09 04:00:00+00:00,58.0,58.0,56.64,57.19,2764988.0,23611.0,57.16798
CTSH,2020-06-10 04:00:00+00:00,57.86,58.39,56.68,57.53,3103231.0,31809.0,57.576956
CTSH,2020-06-11 04:00:00+00:00,56.08,56.23,53.62,53.66,3925145.0,33603.0,54.21453
CTSH,2020-06-12 04:00:00+00:00,54.35,55.47,53.48,54.8,2836713.0,27725.0,54.607045
CTSH,2020-06-15 04:00:00+00:00,52.59,55.1,52.5,54.67,3160996.0,28424.0,54.177134
CTSH,2020-06-16 04:00:00+00:00,56.2,57.05,54.83,55.37,3101244.0,30630.0,55.610491
CTSH,2020-06-17 04:00:00+00:00,55.88,56.05,54.71,55.49,2532024.0,23577.0,55.518028
CTSH,2020-06-18 04:00:00+00:00,54.66,55.2,53.9,54.89,3025664.0,24581.0,54.631289
CTSH,2020-06-19 04:00:00+00:00,56.0,56.01,53.91,54.16,7546988.0,31282.0,54.658853
CTSH,2020-06-22 04:00:00+00:00,53.92,54.53,53.16,53.85,2989518.0,21130.0,53.909257
CTSH,2020-06-23 04:00:00+00:00,54.51,55.44,54.02,55.2,3541734.0,25176.0,55.12261
CTSH,2020-06-24 04:00:00+00:00,54.76,54.89,53.77,53.8,5222703.0,38583.0,54.189601
CTSH,2020-06-25 04:00:00+00:00,54.03,55.67,53.99,55.59,4358932.0,35208.0,55.136153
CTSH,2020-06-26 04:00:00+00:00,55.37,55.59,54.59,55.21,5057997.0,26717.0,55.177416
CTSH,2020-06-29 04:00:00+00:00,55.77,56.52,54.99,56.49,3269557.0,31103.0,56.189937
CTSH,2020-06-30 04:00:00+00:00,56.59,57.55,56.27,56.82,4599138.0,35887.0,56.877248
