symbol,timestamp,open,high,low,close,volume,trade_count,vwap
C,2020-03-12 04:00:00+00:00,45.3,49.0,42.82,43.26,49228333.0,263737.0,44.288298
C,2020-03-13 04:00:00+00:00,47.82,51.24,45.31,51.04,43327527.0,241033.0,47.789939
C,2020-03-16 04:00:00+00:00,40.49,45.23,39.57,41.19,38279967.0,211484.0,42.123657
C,2020-03-17 04:00:00+00:00,42.0,43.98,38.8,40.25,54396632.0,306643.0,40.509395
C,2020-03-18 04:00:00+00:00,37.06,37.99,32.0,36.43,50451158.0,276785.0,35.165161
C,2020-03-19 04:00:00+00:00,35.47,41.24,34.2,39.64,45168794.0,265324.0,38.529314
C,2020-03-20 04:00:00+00:00,40.5,40.99,37.2,38.06,42271045.0,233599.0,38.884055
C,2020-03-23 04:00:00+00:00,37.55,38.15,34.62,35.39,34688846.0,209643.0,35.775471
C,2020-03-24 04:00:00+00:00,37.65,40.92,37.34,40.66,36568359.0,213787.0,39.474176
C,2020-03-25 04:00:00+00:00,42.31,44.7,39.43,41.86,40918751.0,216534.0,42.42788
C,2020-03-26 04:00:00+00:00,43.68,46.29,43.0,46.02,33593452.0,203214.0,45.325143
C,2020-03-27 04:00:00+00:00,44.13,45.5,43.0,43.8,27068941.0,167347.0,44.183792
C,2020-03-30 04:00:00+00:00,44.01,44.26,41.57,44.08,28993633.0,197031.0,43.199221
C,2020-03-31 04:00:00+00:00,43.63,44.225,41.65,42.12,29317120.0,174424.0,42.813965
C,2020-04-01 04:00:00+00:00,39.14,40.25,38.0,38.51,30824909.0,224996.0,38.899756
C,2020-04-02 04:00:00+00:00,38.36,39.66,37.3,39.23,31121404.0,192605.0,38.600582
C,2020-04-03 04:00:00+00:00,39.0,39.46,36.67,37.49,26330154.0,174590.0,37.659169
C,2020-04-06 04:00:00+00:00,39.8,41.335,39.51,41.12,31833841.0,175401.0,40.590865
C,2020-04-07 04:00:00+00:00,44.81,45.59,41.12,41.25,36838103.0,213050.0,43.00764
C,2020-04-08 04:00:00+00:00,42.85,44.445,41.9693,44.26,35386864.0,184305.0,43.530478
C,2020-04-09 04:00:00+00:00,46.94,49.22,46.365,47.41,45029739.0,275289.0,47.764014
C,2020-04-13 04:00:00+00:00,47.5,47.57,45.27,46.68,29318115.0,172916.0,46.525545
C,2020-04-14 04:00:00+00:00,47.67,47.74,43.525,45.42,41643997.0,239470.0,45.156364
C,2020-04-15 04:00:00+00:00,43.37,44.27,42.61,42.86,33710357.0,189151.0,43.370499
C,2020-04-16 04:00:00+00:00,42.71,42.84,40.1,40.52,38872472.0,215859.0,40.879219
C,2020-04-17 04:00:00+00:00,43.15,45.62,42.65,45.45,43658530.0,229841.0,44.312814
C,2020-04-20 04:00:00+00:00,43.395,45.44,42.885,44.01,35950834.0,181903.0,44.159894
C,2020-04-21 04:00:00+00:00,42.41,43.11,41.07,41.57,36268560.0,217918.0,41.823786
C,2020-04-22 04:00:00+00:00,43.0,43.12,41.85,42.24,22688250.0,119363.0,42.255538
C,2020-04-23 04:00:00+00:00,42.65,43.74,42.26,42.46,24938491.0,138768.0,42.909294
C,2020-04-24 04:00:00+00:00,43.0,43.34,41.73,43.1,27193138.0,132064.0,42.518226
C,2020-04-27 04:00:00+00:00,44.17,46.82,43.73,46.56,32476560.0,167616.0,45.669354
C,2020-04-28 04:00:00+00:00,48.94,49.59,46.93,47.21,29743260.0,170438.0,47.93292
C,2020-04-29 04:00:00+00:00,49.7,50.65,48.455,50.26,34692614.0,183800.0,50.023381
C,2020-04-30 04:00:00+00:00,49.07,49.77,48.04,48.56,31332888.0,149005.0,48.692514
C,2020-05-01 04:00:00+00:00,46.31,46.47,45.22,45.52,29104621.0,144955.0,45.68723
C,2020-05-04 04:00:00+00:00,45.03,45.36,43.98,45.12,28318485.0,134754.0,44.668818
C,2020-05-05 04:00:00+00:00,46.3,46.35,43.92,43.95,28686996.0,148522.0,45.086602
C,2020-05-06 04:00:00+00:00,44.49,45.02,42.72,42.95,27144016.0,136674.0,43.283128
C,2020-05-07 04:00:00+00:00,43.53,45.16,43.4375,44.64,31531272.0,133703.0,44.615914
C,2020-05-08 04:00:00+00:00,45.32,46.42,45.26,46.32,23834753.0,128852.0,45.794035
C,2020-05-11 04:00:00+00:00,45.21,45.25,43.81,44.07,36473694.0,171041.0,44.204527
C,2020-05-12 04:00:00+00:00,44.39,44.69,42.32,42.35,35028117.0,161176.0,43.233162
C,2020-05-13 04:00:00+00:00,42.0,42.2,40.23,40.6,36187624.0,200653.0,40.828303
C,2020-05-14 04:00:00+00:00,39.99,42.1,38.76,42.06,42153031.0,236776.0,40.896331
C,2020-05-15 04:00:00+00:00,41.58,42.45,41.1,41.92,29652575.0,139477.0,41.813811
C,2020-05-18 04:00:00+00:00,44.04,45.91,43.49,45.67,41328589.0,203200.0,44.816896
C,2020-05-19 04:00:00+00:00,45.27,45.79,44.21,44.43,28780589.0,153635.0,44.969883
C,2020-05-20 04:00:00+00:00,45.57,46.28,45.22,45.47,24813295.0,135959.0,45.608762
C,2020-05-21 04:00:00+00:00,45.21,45.79,44.782,45.0,23073527.0,117703.0,45.187905
C,2020-05-22 04:00:00+00:00,44.75,45.045,43.69,44.1,23387255.0,124109.0,44.102551
C,2020-05-26 04:00:00+00:00,46.2,48.9,45.98,48.17,35951167.0,194331.0,47.929756
C,2020-05-27 04:00:00+00:00,51.68,52.39,49.86,52.26,44785036.0,256441.0,51.329568
C,2020-05-28 04:00:00+00:00,52.99,53.01,49.11,49.16,39231407.0,211195.0,50.373235
C,2020-05-29 04:00:00+00:00,48.02,49.48,47.56,47.91,39910731.0,193486.0,48.203543
C,2020-06-01 04:00:00+00:00,48.15,49.68,47.82,49.45,23916824.0,136616.0,49.121666
C,2020-06-02 04:00:00+00:00,50.67,51.29,50.16,50.84,28794046.0,151269.0,50.727427
C,2020-06-03 04:00:00+00:00,52.56,53.76,52.42,53.34,35364163.0,169887.0,53.247329
C,2020-06-04 04:00:00+00:00,53.27,55.69,52.61,55.65,34318751.0,195884.0,54.595087
C,2020-06-05 04:00:00+00:00,61.57,62.47,58.34,58.86,46714622.0,267186.0,59.553399
C,2020-06-08 04:00:00+00:00,60.66,61.33,59.77,61.24,34484459.0,185507.0,60.760965
C,2020-06-09 04:00:00+00:00,59.05,60.2,57.65,59.5,31607192.0,184650.0,59.005908
C,2020-06-10 04:00:00+00:00,58.9,59.14,55.86,55.86,37925268.0,239698.0,57.020728
C,2020-06-11 04:00:00+00:00,51.61,53.515,48.2,48.39,64456082.0,389303.0,50.422034
C,2020-06-12 04:00:00+00:00,51.4,52.45,49.8,52.25,40502011.0,231042.0,51.281886
C,2020-06-15 04:00:00+00:00,49.96,53.0,49.74,52.98,37980330.0,234587.0,51.678801
C,2020-06-16 04:00:00+00:00,56.3,56.4,52.32,54.45,38926240.0,221085.0,54.498984
C,2020-06-17 04:00:00+00:00,54.7,54.8,52.88,53.0,25627654.0,140005.0,53.37278
C,2020-06-18 04:00:00+00:00,52.73,53.65,52.03,53.04,23832080.0,120518.0,52.912718
C,2020-06-19 04:00:00+00:00,54.06,54.09,51.56,52.92,64802856.0,202523.0,52.713983
C,2020-06-22 04:00:00+00:00,51.85,52.57,51.52,52.06,26027350.0,118177.0,52.068841
C,2020-06-23 04:00:00+00:00,52.92,53.73,52.5,52.95,24183911.0,122744.0,53.041309
C,2020-06-24 04:00:00+00:00,51.67,51.84,50.1643,50.81,29632041.0,159938.0,50.932571
C,2020-06-25 04:00:00+00:00,50.3,52.79,50.13,52.68,30544437.0,154697.0,51.983748
C,2020-06-26 04:00:00+00:00,52.34,52.34,49.47,49.58,42104188.0,188789.0,50.002685
C,2020-06-29 04:00:00+00:00,50.25,50.92,49.61,50.29,23481127.0,144689.0,50.174146
C,2020-06-30 04:00:00+00:00,49.81,51.55,49.65,51.1,25984551.0,130991.0,50.858038
C,2020-07-01 04:00:00+00:00,51.76,51.995,50.15,50.35,20332706.0,132702.0,50.772378
C,2020-07-02 04:00:00+00:00,52.12,52.455,50.2843,50.55,22874032.0,135349.0,51.153323
C,2020-07-06 04:00:00+00:00,51.87,52.56,51.185,51.97,25328275.0,119552.0,51.86673
C,2020-07-07 04:00:00+00:00,51.25,51.355,50.09,50.32,22368947.0,117857.0,50.560161
C,2020-07-08 04:00:00+00:00,50.32,51.07,49.94,50.88,20273662.0,115849.0,50.477155
C,2020-07-09 04:00:00+00:00,50.73,51.08,49.03,49.45,25056276.0,144883.0,49.611744
C,2020-07-10 04:00:00+00:00,49.45,52.69,49.45,52.65,28910867.0,156869.0,51.547785
C,2020-07-13 04:00:00+00:00,53.33,53.6,51.86,52.2,29431661.0,148110.0,52.503861
C,2020-07-14 04:00:00+00:00,51.29,52.0809,50.01,50.15,36947764.0,211308.0,50.720573
C,2020-07-15 04:00:00+00:00,51.9,52.11,50.68,51.84,28768217.0,155860.0,51.455443
C,2020-07-16 04:00:00+00:00,51.28,52.455,50.935,51.46,19475507.0,109665.0,51.585547
C,2020-07-17 04:00:00+00:00,51.22,51.48,50.2,50.22,20685274.0,111748.0,50.682528
C,2020-07-20 04:00:00+00:00,49.99,50.58,49.75,50.14,26182462.0,115924.0,50.106063
C,2020-07-21 04:00:00+00:00,50.9,51.82,50.67,51.73,24092611.0,126848.0,51.454432
C,2020-07-22 04:00:00+00:00,51.54,52.28,51.145,51.66,18401300.0,106603.0,51.57765
C,2020-07-23 04:00:00+00:00,51.46,52.23,51.13,52.08,18049648.0,108564.0,51.735066
C,2020-07-24 04:00:00+00:00,52.1,52.48,51.5,51.67,17035428.0,100577.0,51.872335
C,2020-07-27 04:00:00+00:00,51.46,51.46,50.605,51.29,14450338.0,86403.0,51.151957
C,2020-07-28 04:00:00+00:00,51.02,51.66,50.965,51.27,13533442.0,79122.0,51.323619
C,2020-07-29 04:00:00+00:00,51.17,52.59,50.99,52.52,17545345.0,96680.0,51.82871
C,2020-07-30 04:00:00+00:00,51.11,51.2,49.86,50.87,24911344.0,128028.0,50.428642
C,2020-07-31 04:00:00+00:00,50.26,50.31,49.3678,50.01,25334939.0,114422.0,49.829055
C,2020-08-03 04:00:00+00:00,50.56,50.85,49.69,50.39,17064343.0,88735.0,50.426738
C,2020-08-04 04:00:00+00:00,50.23,50.32,49.85,50.14,16738224.0,74973.0,50.064836
C,2020-08-05 04:00:00+00:00,50.5,51.31,50.47,51.04,17769069.0,92651.0,51.048297
C,2020-08-06 04:00:00+00:00,50.75,51.29,50.58,50.89,11604976.0,67210.0,50.872861
C,2020-08-07 04:00:00+00:00,50.52,52.23,50.13,52.12,23093598.0,117339.0,51.338708
C,2020-08-10 04:00:00+00:00,52.29,53.205,52.25,52.86,18125330.0,90899.0,52.822106
C,2020-08-11 04:00:00+00:00,54.45,55.027,53.54,53.76,26646583.0,149168.0,54.302342
C,2020-08-12 04:00:00+00:00,54.94,55.0185,52.745,53.35,20592239.0,103325.0,53.541899
C,2020-08-13 04:00:00+00:00,52.83,53.48,52.57,52.89,14355655.0,89219.0,52.897058
C,2020-08-14 04:00:00+00:00,52.45,53.345,52.355,52.93,14757878.0,79647.0,52.893817
C,2020-08-17 04:00:00+00:00,52.63,52.82,51.35,51.42,21070824.0,103677.0,51.739217
C,2020-08-18 04:00:00+00:00,51.52,51.53,50.28,50.34,18044540.0,97999.0,50.632734
C,2020-08-19 04:00:00+00:00,50.68,51.33,50.0,50.29,21901365.0,112934.0,50.596184
C,2020-08-20 04:00:00+00:00,49.53,50.015,49.23,49.58,16641655.0,102368.0,49.61628
C,2020-08-21 04:00:00+00:00,49.45,50.08,49.1599,49.3,18902132.0,97559.0,49.410632
C,2020-08-24 04:00:00+00:00,49.9,51.13,49.45,51.06,20701255.0,117375.0,50.469019
C,2020-08-25 04:00:00+00:00,51.85,52.505,50.97,51.65,17809257.0,107755.0,51.585598
C,2020-08-26 04:00:00+00:00,51.66,51.79,50.815,50.85,15734628.0,74709.0,51.166609
C,2020-08-27 04:00:00+00:00,50.72,52.2101,50.65,51.72,20145997.0,104344.0,51.673081
C,2020-08-28 04:00:00+00:00,52.07,52.37,51.525,52.28,18437677.0,85459.0,52.026896
C,2020-08-31 04:00:00+00:00,51.91,52.04,51.1,51.12,18151290.0,83378.0,51.32326
C,2020-09-01 04:00:00+00:00,50.88,51.565,50.54,51.2,17704611.0,94369.0,51.114732
C,2020-09-02 04:00:00+00:00,51.04,52.14,50.6575,51.95,16197066.0,89466.0,51.597573
C,2020-09-03 04:00:00+00:00,52.44,53.64,51.23,51.5,26198268.0,156590.0,52.038691
C,2020-09-04 04:00:00+00:00,52.49,53.36,51.44,52.52,26113613.0,161829.0,52.339051
C,2020-09-08 04:00:00+00:00,51.92,52.09,50.6599,51.04,29442889.0,164155.0,51.071704
C,2020-09-09 04:00:00+00:00,51.2,51.59,50.615,51.4,20184292.0,105912.0,51.201561
C,2020-09-10 04:00:00+00:00,51.72,52.5,50.7,50.95,23717480.0,142750.0,51.287589
C,2020-09-11 04:00:00+00:00,50.89,51.685,50.8,51.0,22258513.0,120908.0,51.124199
C,2020-09-14 04:00:00+00:00,51.49,52.08,47.9,48.15,60882244.0,319556.0,49.50477
C,2020-09-15 04:00:00+00:00,48.12,48.39,44.67,44.81,87130423.0,444555.0,46.072078
C,2020-09-16 04:00:00+00:00,45.21,46.76,44.62,46.02,46665696.0,247488.0,45.969726
C,2020-09-17 04:00:00+00:00,45.46,45.83,45.01,45.53,31290774.0,154172.0,45.455158
C,2020-09-18 04:00:00+00:00,45.52,45.96,44.755,44.86,36186004.0,165327.0,45.074147
C,2020-09-21 04:00:00+00:00,43.43,44.155,43.07,43.93,35525342.0,199467.0,43.62682
C,2020-09-22 04:00:00+00:00,43.79,44.13,43.075,43.29,27573532.0,148914.0,43.372771
C,2020-09-23 04:00:00+00:00,43.61,43.95,41.79,41.85,30445682.0,168472.0,42.605857
C,2020-09-24 04:00:00+00:00,41.85,42.595,41.29,42.19,32845625.0,160094.0,42.073776
C,2020-09-25 04:00:00+00:00,41.84,42.13,41.52,42.02,28400682.0,153555.0,41.876726
C,2020-09-28 04:00:00+00:00,42.92,43.88,42.89,43.34,22572231.0,121033.0,43.428994
C,2020-09-29 04:00:00+00:00,43.2,43.29,42.02,42.42,21552944.0,124057.0,42.414769
C,2020-09-30 04:00:00+00:00,42.58,43.59,42.5,43.11,24834872.0,125749.0,43.129539
C,2020-10-01 04:00:00+00:00,43.33,43.65,42.6,43.44,22923401.0,117923.0,43.137609
C,2020-10-02 04:00:00+00:00,42.54,43.87,42.52,43.66,24857691.0,140682.0,43.291409
C,2020-10-05 04:00:00+00:00,44.26,45.23,44.21,44.91,25249584.0,138236.0,44.92203
C,2020-10-06 04:00:00+00:00,45.475,46.06,44.16,44.41,31415214.0,169513.0,45.218793
C,2020-10-07 04:00:00+00:00,45.02,45.63,44.61,44.84,24111344.0,122651.0,44.921981
C,2020-10-08 04:00:00+00:00,44.91,45.17,44.28,44.72,29821375.0,163260.0,44.780531
C,2020-10-09 04:00:00+00:00,45.01,45.59,44.69,44.93,26359344.0,134178.0,45.083479
C,2020-10-12 04:00:00+00:00,45.09,45.99,44.95,45.88,25031527.0,134384.0,45.557814
C,2020-10-13 04:00:00+00:00,46.12,46.12,43.55,43.68,51725395.0,267318.0,44.212896
C,2020-10-14 04:00:00+00:00,43.52,44.235,43.0,43.03,31577189.0,165692.0,43.465452
C,2020-10-15 04:00:00+00:00,42.62,43.635,42.25,43.61,27309423.0,163425.0,43.176236
C,2020-10-16 04:00:00+00:00,43.68,43.88,43.08,43.19,27387639.0,136545.0,43.35829
C,2020-10-19 04:00:00+00:00,43.35,43.39,42.81,42.9,24785487.0,126888.0,42.998875
C,2020-10-20 04:00:00+00:00,43.37,44.08,43.34,43.52,21987120.0,128142.0,43.723914
C,2020-10-21 04:00:00+00:00,43.46,43.7299,42.9,43.01,21528985.0,118409.0,43.19807
C,2020-10-22 04:00:00+00:00,42.89,43.99,42.66,43.95,22426443.0,116818.0,43.56456
C,2020-10-23 04:00:00+00:00,44.21,44.57,43.665,43.95,19156586.0,103818.0,44.119538
C,2020-10-26 04:00:00+00:00,43.36,43.4,42.81,43.26,26858651.0,131744.0,43.125049
C,2020-10-27 04:00:00+00:00,43.04,43.04,41.87,41.88,25405466.0,152189.0,42.323406
C,2020-10-28 04:00:00+00:00,40.97,41.59,40.745,41.13,29224745.0,166415.0,41.170228
C,2020-10-29 04:00:00+00:00,41.13,42.15,40.71,41.66,24259743.0,140457.0,41.554871
C,2020-10-30 04:00:00+00:00,41.03,41.54,40.49,41.42,29024328.0,160983.0,41.038443
C,2020-11-02 05:00:00+00:00,41.88,42.67,41.2,42.21,25411819.0,137308.0,42.129202
C,2020-11-03 05:00:00+00:00,43.23,44.02,43.06,43.53,35659596.0,145534.0,43.63808
C,2020-11-04 05:00:00+00:00,42.53,43.41,41.895,42.08,27483325.0,172544.0,42.552084
C,2020-11-05 05:00:00+00:00,42.34,43.58,42.18,43.07,25843794.0,131602.0,43.150811
C,2020-11-06 05:00:00+00:00,43.51,43.61,42.5,42.71,18647467.0,118274.0,42.865888
C,2020-11-09 05:00:00+00:00,46.87,48.78,46.26,47.64,59925473.0,350979.0,47.481915
C,2020-11-10 05:00:00+00:00,48.31,48.75,47.45,47.65,34730570.0,215261.0,47.961
C,2020-11-11 05:00:00+00:00,47.9,49.29,47.68,48.93,31037052.0,189354.0,48.574616
C,2020-11-12 05:00:00+00:00,47.97,48.41,47.71,48.28,29895694.0,177084.0,48.089126
C,2020-11-13 05:00:00+00:00,48.65,49.065,48.4,48.66,20277623.0,108506.0,48.741959
C,2020-11-16 05:00:00+00:00,50.41,51.02,49.855,50.4,28014749.0,156071.0,50.419421
C,2020-11-17 05:00:00+00:00,49.84,50.93,49.48,50.73,20581318.0,116664.0,50.421566
C,2020-11-18 05:00:00+00:00,51.09,52.645,51.01,51.05,26728534.0,150169.0,51.907792
C,2020-11-19 05:00:00+00:00,51.6,52.32,50.95,52.14,21451142.0,125291.0,51.903265
C,2020-11-20 05:00:00+00:00,51.83,52.11,51.19,51.65,16742986.0,95499.0,51.625523
C,2020-11-23 05:00:00+00:00,52.51,53.63,52.29,53.3,30894981.0,142787.0,53.150993
C,2020-11-24 05:00:00+00:00,54.48,57.14,54.48,57.06,34939650.0,195111.0,56.021954
C,2020-11-25 05:00:00+00:00,56.27,57.16,55.33,57.06,30006897.0,159422.0,56.570753
C,2020-11-27 05:00:00+00:00,57.0,57.24,56.12,56.67,15276237.0,81564.0,56.651176
C,2020-11-30 05:00:00+00:00,56.14,56.54,54.995,55.07,26526462.0,128887.0,55.481716
C,2020-12-01 05:00:00+00:00,56.55,56.74,55.4,55.47,24948472.0,143555.0,56.012174
C,2020-12-02 05:00:00+00:00,55.36,57.415,55.25,57.2,28567643.0,140805.0,56.958757
C,2020-12-03 05:00:00+00:00,57.38,57.445,56.2,56.58,20145625.0,113751.0,56.848378
C,2020-12-04 05:00:00+00:00,57.56,58.82,57.31,58.62,27885184.0,136449.0,58.357174
C,2020-12-07 05:00:00+00:00,58.15,58.61,57.28,58.13,22251137.0,124798.0,58.044472
C,2020-12-08 05:00:00+00:00,57.48,58.4,57.36,58.36,16720959.0,95701.0,58.138124
C,2020-12-09 05:00:00+00:00,59.16,59.55,58.3,58.95,29372247.0,176601.0,58.92164
C,2020-12-10 05:00:00+00:00,58.04,60.785,58.01,60.5,27787921.0,157642.0,59.962742
C,2020-12-11 05:00:00+00:00,59.8,59.81,58.18,58.93,22318163.0,124906.0,58.967922
C,2020-12-14 05:00:00+00:00,60.0,60.255,58.73,58.74,21390406.0,102817.0,59.239322
