symbol,timestamp,open,high,low,close,volume,trade_count,vwap
D,2020-03-12 04:00:00+00:00,74.5,76.99,69.8,71.51,7544250.0,63210.0,72.418269
D,2020-03-13 04:00:00+00:00,76.0,78.36,71.32,78.29,8421457.0,64006.0,75.582605
D,2020-03-16 04:00:00+00:00,71.28,77.0,67.88,68.65,7158218.0,70049.0,71.144508
D,2020-03-17 04:00:00+00:00,70.19,82.7,70.19,80.48,8781408.0,92642.0,78.502894
D,2020-03-18 04:00:00+00:00,75.18,80.65,73.48,80.26,7252356.0,62885.0,78.31392
D,2020-03-19 04:00:00+00:00,79.99,80.02,71.07,71.85,8599342.0,73342.0,74.025537
D,2020-03-20 04:00:00+00:00,72.02,72.04,66.35,67.22,12211816.0,77900.0,68.455357
D,2020-03-23 04:00:00+00:00,67.11,67.11,57.79,59.39,8501102.0,82207.0,60.817189
D,2020-03-24 04:00:00+00:00,62.82,67.41,62.0201,65.67,7072854.0,62739.0,64.660282
D,2020-03-25 04:00:00+00:00,64.83,70.81,64.03,67.34,5724784.0,44623.0,67.426039
D,2020-03-26 04:00:00+00:00,67.31,73.5,67.01,72.44,5328535.0,46090.0,71.923836
D,2020-03-27 04:00:00+00:00,70.1,75.92,69.4,73.07,4772815.0,38515.0,72.844584
D,2020-03-30 04:00:00+00:00,74.29,78.02,74.25,76.81,6402079.0,50357.0,76.523461
D,2020-03-31 04:00:00+00:00,75.66,76.22,71.9,72.19,5321309.0,45114.0,72.982549
D,2020-04-01 04:00:00+00:00,69.04,70.82,67.84,69.93,4907275.0,44491.0,69.349747
D,2020-04-02 04:00:00+00:00,68.85,72.58,68.55,71.06,3838605.0,37245.0,70.911452
D,2020-04-03 04:00:00+00:00,70.46,71.44,68.62,69.55,3781252.0,30121.0,69.600194
D,2020-04-06 04:00:00+00:00,71.9,75.1134,71.56,74.11,5647286.0,45039.0,74.132063
D,2020-04-07 04:00:00+00:00,75.63,76.24,73.1501,73.44,4804445.0,38156.0,74.56018
D,2020-04-08 04:00:00+00:00,74.08,78.9,73.58,78.22,4406938.0,41916.0,77.238336
D,2020-04-09 04:00:00+00:00,78.63,82.64,78.63,81.59,5866655.0,58056.0,81.516172
D,2020-04-13 04:00:00+00:00,80.6,81.16,78.42,79.53,3052291.0,26562.0,79.578501
D,2020-04-14 04:00:00+00:00,81.6,82.17,80.34,82.02,3851567.0,31133.0,81.547217
D,2020-04-15 04:00:00+00:00,80.79,80.98,79.4,79.79,3393562.0,30932.0,80.005794
D,2020-04-16 04:00:00+00:00,80.47,80.88,78.03,78.07,4075850.0,32251.0,78.642224
D,2020-04-17 04:00:00+00:00,79.76,81.95,78.89,81.51,3266580.0,24222.0,80.701509
D,2020-04-20 04:00:00+00:00,80.89,81.305,78.91,79.11,3806978.0,29748.0,80.022618
D,2020-04-21 04:00:00+00:00,77.9,78.32,76.1,76.61,3359413.0,28326.0,76.821695
D,2020-04-22 04:00:00+00:00,78.05,79.5,77.62,78.74,3278000.0,25339.0,78.775524
D,2020-04-23 04:00:00+00:00,78.5,78.8241,76.54,76.91,2860655.0,22838.0,77.315171
D,2020-04-24 04:00:00+00:00,77.69,78.32,76.57,77.92,2809836.0,23222.0,77.622893
D,2020-04-27 04:00:00+00:00,78.23,79.08,78.0,78.52,2602213.0,23659.0,78.57502
D,2020-04-28 04:00:00+00:00,79.66,80.78,78.87,79.27,2726454.0,25746.0,79.62891
D,2020-04-29 04:00:00+00:00,80.57,80.57,77.985,78.67,3134249.0,26580.0,79.045522
D,2020-04-30 04:00:00+00:00,78.0,78.16,76.45,77.13,3702083.0,27251.0,77.14946
D,2020-05-01 04:00:00+00:00,76.29,76.6187,75.17,75.61,3020547.0,26009.0,75.717891
D,2020-05-04 04:00:00+00:00,75.57,76.17,74.55,75.8,2478110.0,24385.0,75.495476
D,2020-05-05 04:00:00+00:00,76.49,78.98,76.4,77.94,4165018.0,38319.0,78.145453
D,2020-05-06 04:00:00+00:00,77.94,78.74,77.45,77.73,5618890.0,45872.0,78.085272
D,2020-05-07 04:00:00+00:00,78.55,78.96,77.66,78.1,4900759.0,39463.0,78.180901
D,2020-05-08 04:00:00+00:00,78.72,78.9,77.57,78.4,3585351.0,28584.0,78.203297
D,2020-05-11 04:00:00+00:00,77.68,79.69,77.33,79.24,3083053.0,27525.0,78.857896
D,2020-05-12 04:00:00+00:00,79.29,80.12,78.86,78.95,4998963.0,36115.0,79.350122
D,2020-05-13 04:00:00+00:00,78.49,79.14,77.41,79.01,4564380.0,38666.0,78.517522
D,2020-05-14 04:00:00+00:00,78.54,80.38,76.735,79.63,4309866.0,40656.0,78.99076
D,2020-05-15 04:00:00+00:00,79.25,79.48,77.41,78.22,10750307.0,45510.0,78.332437
D,2020-05-18 04:00:00+00:00,79.99,80.45,79.285,79.85,3775251.0,32368.0,79.891812
D,2020-05-19 04:00:00+00:00,79.44,79.94,78.81,78.83,3026612.0,28192.0,79.166293
D,2020-05-20 04:00:00+00:00,79.15,79.91,78.31,78.75,2342983.0,21334.0,79.021397
D,2020-05-21 04:00:00+00:00,78.46,79.14,78.21,78.6,2591129.0,24968.0,78.610122
D,2020-05-22 04:00:00+00:00,78.52,80.5243,78.26,80.51,3175405.0,28565.0,79.717799
D,2020-05-26 04:00:00+00:00,81.91,82.74,80.49,80.82,4489278.0,30557.0,81.579641
D,2020-05-27 04:00:00+00:00,82.05,82.66,80.95,81.56,3940262.0,33263.0,81.605293
D,2020-05-28 04:00:00+00:00,82.66,84.39,82.42,83.7,3742804.0,32289.0,83.717332
D,2020-05-29 04:00:00+00:00,82.91,85.12,82.592,85.01,7019514.0,35569.0,84.368443
D,2020-06-01 04:00:00+00:00,84.75,86.66,84.1,85.89,4024811.0,36606.0,85.555838
D,2020-06-02 04:00:00+00:00,86.35,86.35,85.15,86.23,3728733.0,32593.0,85.856222
D,2020-06-03 04:00:00+00:00,86.94,87.34,85.8798,86.48,3525801.0,33738.0,86.536442
D,2020-06-04 04:00:00+00:00,85.03,85.37,83.64,84.96,4329511.0,39161.0,84.61602
D,2020-06-05 04:00:00+00:00,85.5,85.93,84.13,84.29,5041640.0,38284.0,84.818783
D,2020-06-08 04:00:00+00:00,83.82,86.69,83.21,86.4,3621054.0,28845.0,85.889438
D,2020-06-09 04:00:00+00:00,85.8,85.99,84.58,85.85,2814561.0,26913.0,85.533121
D,2020-06-10 04:00:00+00:00,85.92,87.29,85.92,87.0,5176416.0,43199.0,86.840732
D,2020-06-11 04:00:00+00:00,85.76,86.19,83.77,84.01,7124710.0,68329.0,84.531556
D,2020-06-12 04:00:00+00:00,85.7,85.87,82.38,83.15,6055497.0,47064.0,83.580518
D,2020-06-15 04:00:00+00:00,82.06,84.56,80.97,84.05,5807039.0,44705.0,83.545216
D,2020-06-16 04:00:00+00:00,85.82,86.39,84.46,84.92,5139745.0,41204.0,85.434066
D,2020-06-17 04:00:00+00:00,85.12,85.13,83.66,84.15,2928626.0,25233.0,84.169687
D,2020-06-18 04:00:00+00:00,83.61,84.71,83.5,84.53,3689114.0,27126.0,84.251502
D,2020-06-19 04:00:00+00:00,85.66,85.79,81.72,81.72,14666067.0,48166.0,82.413673
D,2020-06-22 04:00:00+00:00,82.13,84.22,81.64,83.25,3504356.0,31389.0,83.261797
D,2020-06-23 04:00:00+00:00,84.12,84.12,82.4,82.8,4983997.0,26444.0,82.799377
D,2020-06-24 04:00:00+00:00,82.13,82.92,81.8,82.58,5519156.0,37651.0,82.369581
D,2020-06-25 04:00:00+00:00,82.54,82.54,80.525,81.14,3516020.0,32768.0,81.116107
D,2020-06-26 04:00:00+00:00,81.1,81.7,79.2899,79.68,6065902.0,31931.0,79.839105
D,2020-06-29 04:00:00+00:00,80.475,80.63,79.29,80.61,2672298.0,24108.0,80.266579
D,2020-06-30 04:00:00+00:00,80.54,81.46,80.46,81.18,4388684.0,27121.0,81.00708
D,2020-07-01 04:00:00+00:00,81.14,82.82,81.05,82.35,3302425.0,30076.0,82.28314
D,2020-07-02 04:00:00+00:00,82.85,83.5,82.51,82.69,1775021.0,18460.0,82.917443
D,2020-07-06 04:00:00+00:00,79.39,80.88,73.31,73.59,27376387.0,190554.0,75.642011
D,2020-07-07 04:00:00+00:00,71.65,74.65,71.5,74.22,13364219.0,94012.0,73.607531
D,2020-07-08 04:00:00+00:00,74.02,75.71,73.81,75.22,7136019.0,54287.0,74.81898
D,2020-07-09 04:00:00+00:00,74.62,74.665,73.0568,73.77,6312824.0,56213.0,73.679769
D,2020-07-10 04:00:00+00:00,73.36,74.39,72.99,73.58,5221022.0,42232.0,73.60676
D,2020-07-13 04:00:00+00:00,73.62,74.34,73.24,73.68,5513905.0,43505.0,73.700715
D,2020-07-14 04:00:00+00:00,73.99,74.48,73.34,73.92,5368395.0,43213.0,73.972941
D,2020-07-15 04:00:00+00:00,74.65,75.83,73.91,75.45,6439267.0,50334.0,75.308248
D,2020-07-16 04:00:00+00:00,75.49,77.17,75.3872,76.95,5200462.0,49774.0,76.758853
D,2020-07-17 04:00:00+00:00,77.15,79.1,77.04,78.58,5132864.0,43706.0,78.476449
D,2020-07-20 04:00:00+00:00,78.19,78.5001,77.17,77.55,3587961.0,34213.0,77.671023
D,2020-07-21 04:00:00+00:00,77.7,78.89,77.44,78.21,3456592.0,35665.0,78.251946
D,2020-07-22 04:00:00+00:00,77.94,79.9327,77.3,79.55,5491401.0,37636.0,79.258606
D,2020-07-23 04:00:00+00:00,79.65,81.23,79.47,80.59,5266357.0,41932.0,80.515055
D,2020-07-24 04:00:00+00:00,80.76,81.93,80.1,80.41,4597364.0,39006.0,80.837021
D,2020-07-27 04:00:00+00:00,80.55,81.21,79.59,80.22,2780225.0,28774.0,80.222054
D,2020-07-28 04:00:00+00:00,80.2,82.52,80.0,82.06,4786128.0,44846.0,81.878199
D,2020-07-29 04:00:00+00:00,82.11,82.68,81.61,82.26,3274065.0,30519.0,82.083612
D,2020-07-30 04:00:00+00:00,81.93,82.07,80.915,81.52,3892556.0,38295.0,81.390879
D,2020-07-31 04:00:00+00:00,81.6,82.19,79.89,81.03,5824054.0,44886.0,80.870025
D,2020-08-03 04:00:00+00:00,80.78,80.98,79.46,80.33,2662919.0,26965.0,80.270218
D,2020-08-04 04:00:00+00:00,80.11,81.235,80.05,80.88,3437657.0,29486.0,80.751241
D,2020-08-05 04:00:00+00:00,81.0,81.0,78.96,79.71,3361704.0,31414.0,79.698797
D,2020-08-06 04:00:00+00:00,79.36,79.88,78.95,79.63,2904511.0,33858.0,79.437778
D,2020-08-07 04:00:00+00:00,79.21,81.1,79.18,80.62,3767561.0,33999.0,80.479583
D,2020-08-10 04:00:00+00:00,80.92,80.92,79.89,80.12,3445867.0,34842.0,80.26429
D,2020-08-11 04:00:00+00:00,80.33,80.52,78.42,78.56,4249328.0,41524.0,78.895266
D,2020-08-12 04:00:00+00:00,78.8,80.51,78.66,79.58,4368322.0,38669.0,79.679801
D,2020-08-13 04:00:00+00:00,79.05,79.58,78.79,79.31,2934841.0,29145.0,79.249475
D,2020-08-14 04:00:00+00:00,79.29,79.47,78.62,78.85,2316431.0,21558.0,78.942205
D,2020-08-17 04:00:00+00:00,78.44,79.3,78.1,78.68,3057870.0,25349.0,78.764
D,2020-08-18 04:00:00+00:00,78.68,79.01,77.78,78.18,3657130.0,40409.0,78.32813
D,2020-08-19 04:00:00+00:00,78.35,78.48,77.78,77.94,2793897.0,27403.0,78.068779
D,2020-08-20 04:00:00+00:00,77.61,78.29,77.51,77.7,2717935.0,26270.0,77.824303
D,2020-08-21 04:00:00+00:00,77.79,78.815,77.37,78.64,4064590.0,32422.0,78.232504
D,2020-08-24 04:00:00+00:00,78.7,79.15,78.1,79.1,2273777.0,23565.0,78.82003
D,2020-08-25 04:00:00+00:00,79.25,79.25,78.17,78.5,2853853.0,27401.0,78.617937
D,2020-08-26 04:00:00+00:00,78.09,78.51,77.59,78.08,2977120.0,26502.0,78.159176
D,2020-08-27 04:00:00+00:00,78.48,78.91,77.86,78.0,3580852.0,40572.0,78.142129
D,2020-08-28 04:00:00+00:00,78.0,78.17,77.36,78.02,3316022.0,30887.0,77.8539
D,2020-08-31 04:00:00+00:00,78.0,79.0,77.85,78.44,5259530.0,36431.0,78.478011
D,2020-09-01 04:00:00+00:00,77.67,78.34,77.47,77.82,3706629.0,36690.0,77.815821
D,2020-09-02 04:00:00+00:00,78.03,80.2,77.99,79.6,4318529.0,39886.0,79.612182
D,2020-09-03 04:00:00+00:00,78.84,79.75,78.36,78.99,5095627.0,49106.0,79.010201
D,2020-09-04 04:00:00+00:00,79.16,79.39,77.67,78.44,3801650.0,36846.0,78.546974
D,2020-09-08 04:00:00+00:00,78.25,78.72,77.29,78.2,3443838.0,34929.0,78.090304
D,2020-09-09 04:00:00+00:00,78.81,80.625,78.7,79.64,5581112.0,41059.0,79.830369
D,2020-09-10 04:00:00+00:00,79.25,79.7,78.24,78.73,4183554.0,38337.0,78.972875
D,2020-09-11 04:00:00+00:00,78.9,79.99,78.635,79.64,4210663.0,37845.0,79.489218
D,2020-09-14 04:00:00+00:00,80.03,81.14,79.85,80.73,3972602.0,30528.0,80.730487
D,2020-09-15 04:00:00+00:00,80.96,82.41,80.51,80.9,4934335.0,35549.0,81.162152
D,2020-09-16 04:00:00+00:00,81.05,82.15,80.8,81.6,4414193.0,32220.0,81.558422
D,2020-09-17 04:00:00+00:00,81.29,82.02,79.45,79.82,5743785.0,45204.0,80.209385
D,2020-09-18 04:00:00+00:00,79.18,80.15,77.69,77.96,7882463.0,46179.0,78.421388
D,2020-09-21 04:00:00+00:00,77.67,78.289,76.87,77.97,7495037.0,44518.0,77.761696
