symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EBAY,2020-03-12 04:00:00+00:00,32.74,35.04,32.5146,33.03,18833885.0,124264.0,33.273463
EBAY,2020-03-13 04:00:00+00:00,34.55,34.81,32.99,33.99,22915816.0,148901.0,33.766936
EBAY,2020-03-16 04:00:00+00:00,30.88,33.35,30.58,32.24,19169915.0,101943.0,32.297238
EBAY,2020-03-17 04:00:00+00:00,32.76,33.94,32.32,33.28,15547412.0,98660.0,33.240642
EBAY,2020-03-18 04:00:00+00:00,31.62,32.855,30.2,31.3,21663508.0,142936.0,31.257339
EBAY,2020-03-19 04:00:00+00:00,31.47,31.49,29.445,29.6,21272741.0,117380.0,30.213081
EBAY,2020-03-20 04:00:00+00:00,29.5,30.2,27.205,27.58,28147751.0,164898.0,28.158367
EBAY,2020-03-23 04:00:00+00:00,27.25,27.64,26.02,26.34,19967320.0,130227.0,26.569407
EBAY,2020-03-24 04:00:00+00:00,27.37,27.875,26.24,27.67,28935199.0,146548.0,27.40628
EBAY,2020-03-25 04:00:00+00:00,27.66,29.48,27.12,28.37,20738362.0,128020.0,28.610968
EBAY,2020-03-26 04:00:00+00:00,28.48,30.27,28.48,30.16,15825011.0,102606.0,29.75692
EBAY,2020-03-27 04:00:00+00:00,29.53,30.87,29.38,30.18,15850395.0,104465.0,30.227383
EBAY,2020-03-30 04:00:00+00:00,30.62,31.54,30.02,31.19,18204020.0,93398.0,31.067843
EBAY,2020-03-31 04:00:00+00:00,31.03,31.18,29.94,30.06,18888150.0,104324.0,30.309442
EBAY,2020-04-01 04:00:00+00:00,29.34,29.75,28.475,28.78,15678928.0,97082.0,28.995531
EBAY,2020-04-02 04:00:00+00:00,28.32,29.41,28.3,29.19,13659972.0,71611.0,29.048599
EBAY,2020-04-03 04:00:00+00:00,29.15,29.67,28.8,29.41,13886408.0,67230.0,29.327756
EBAY,2020-04-06 04:00:00+00:00,30.67,31.32,30.28,31.18,16299747.0,97083.0,30.934383
EBAY,2020-04-07 04:00:00+00:00,32.08,32.22,31.555,31.62,11787265.0,74034.0,31.80348
EBAY,2020-04-08 04:00:00+00:00,31.85,33.08,31.8,33.01,13075405.0,88544.0,32.795667
EBAY,2020-04-09 04:00:00+00:00,33.4,34.1,33.37,33.83,14873848.0,89585.0,33.801479
EBAY,2020-04-13 04:00:00+00:00,34.29,35.08,33.955,34.76,16261825.0,90914.0,34.654361
EBAY,2020-04-14 04:00:00+00:00,35.45,35.98,35.27,35.74,16602109.0,91351.0,35.745835
EBAY,2020-04-15 04:00:00+00:00,35.31,36.41,35.075,36.19,11405322.0,74044.0,35.962877
EBAY,2020-04-16 04:00:00+00:00,36.53,37.37,36.29,37.22,12490463.0,72274.0,37.003865
EBAY,2020-04-17 04:00:00+00:00,37.45,37.64,36.99,37.455,19335475.0,96457.0,37.344243
EBAY,2020-04-20 04:00:00+00:00,37.47,38.315,37.28,37.64,15103239.0,76284.0,37.828427
EBAY,2020-04-21 04:00:00+00:00,37.51,38.23,37.305,37.61,13176066.0,85639.0,37.715108
EBAY,2020-04-22 04:00:00+00:00,38.15,38.48,37.92,38.25,11015652.0,68425.0,38.278397
EBAY,2020-04-23 04:00:00+00:00,38.46,38.84,37.66,37.91,18166588.0,85323.0,38.083167
EBAY,2020-04-24 04:00:00+00:00,38.85,39.53,38.27,39.35,18063950.0,92121.0,39.107073
EBAY,2020-04-27 04:00:00+00:00,40.0353,40.36,39.56,39.63,11987557.0,76428.0,39.85935
EBAY,2020-04-28 04:00:00+00:00,39.59,39.9,38.91,39.08,17081472.0,103745.0,39.235244
EBAY,2020-04-29 04:00:00+00:00,39.45,39.75,38.84,39.03,19267367.0,121670.0,39.170965
EBAY,2020-04-30 04:00:00+00:00,37.63,39.96,37.55,39.83,19965620.0,115196.0,39.318199
EBAY,2020-05-01 04:00:00+00:00,38.78,39.465,38.34,39.25,14961479.0,94648.0,39.03042
EBAY,2020-05-04 04:00:00+00:00,39.28,39.87,39.06,39.83,11952571.0,61974.0,39.654297
EBAY,2020-05-05 04:00:00+00:00,39.92,40.76,39.765,40.32,13139804.0,81240.0,40.38131
EBAY,2020-05-06 04:00:00+00:00,40.64,41.09,40.19,40.95,11570716.0,72208.0,40.84763
EBAY,2020-05-07 04:00:00+00:00,41.2685,41.609,41.06,41.37,13305158.0,73918.0,41.375013
EBAY,2020-05-08 04:00:00+00:00,41.7,42.44,41.7,42.15,9711383.0,60535.0,42.140009
EBAY,2020-05-11 04:00:00+00:00,41.88,42.43,41.595,42.13,14450873.0,80656.0,42.065956
EBAY,2020-05-12 04:00:00+00:00,42.24,42.86,41.78,42.0,11352046.0,63592.0,42.30345
EBAY,2020-05-13 04:00:00+00:00,41.78,42.38,41.05,41.58,13817982.0,72293.0,41.620856
EBAY,2020-05-14 04:00:00+00:00,41.31,42.09,40.81,42.035,13059127.0,75877.0,41.667326
EBAY,2020-05-15 04:00:00+00:00,41.46,42.47,41.38,42.11,18328059.0,65316.0,42.093634
EBAY,2020-05-18 04:00:00+00:00,42.6,42.9,42.33,42.5,9778002.0,62316.0,42.593604
