symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EG,2020-03-12 04:00:00+00:00,211.76,211.87,200.82,200.82,689357.0,11615.0,203.752382
EG,2020-03-13 04:00:00+00:00,210.87,214.26,200.78,213.09,768996.0,15082.0,208.570235
EG,2020-03-16 04:00:00+00:00,182.96,205.98,170.5,182.61,868249.0,13652.0,191.269738
EG,2020-03-17 04:00:00+00:00,186.74,199.0425,180.3981,198.03,667613.0,13075.0,192.091875
EG,2020-03-18 04:00:00+00:00,183.58,190.91,172.15,188.71,666589.0,13470.0,183.333474
EG,2020-03-19 04:00:00+00:00,186.95,197.82,176.79,187.24,660016.0,10283.0,188.259501
EG,2020-03-20 04:00:00+00:00,189.0,202.04,179.99,194.65,754113.0,11959.0,194.895008
EG,2020-03-23 04:00:00+00:00,190.0,190.0,168.16,171.96,841654.0,14731.0,175.733029
EG,2020-03-24 04:00:00+00:00,181.86,189.79,178.13,185.58,438189.0,8254.0,184.521689
EG,2020-03-25 04:00:00+00:00,186.5,188.485,174.07,174.83,787096.0,11240.0,178.759565
EG,2020-03-26 04:00:00+00:00,178.9,196.19,172.86,195.33,744604.0,12185.0,187.231892
EG,2020-03-27 04:00:00+00:00,186.37,194.94,183.4423,189.29,471145.0,7052.0,189.924786
EG,2020-03-30 04:00:00+00:00,188.96,200.75,185.19,198.49,401869.0,7238.0,196.197975
EG,2020-03-31 04:00:00+00:00,196.12,197.73,189.87,192.42,411585.0,6714.0,192.803153
EG,2020-04-01 04:00:00+00:00,179.52,185.9,176.715,181.24,492796.0,8675.0,181.110141
EG,2020-04-02 04:00:00+00:00,180.73,189.67,177.65,187.67,568769.0,10449.0,186.910752
EG,2020-04-03 04:00:00+00:00,185.17,188.45,176.67,178.02,461290.0,7782.0,179.118206
EG,2020-04-06 04:00:00+00:00,186.89,191.1,184.49,189.93,376433.0,8342.0,188.838414
EG,2020-04-07 04:00:00+00:00,198.36,201.94,190.66,191.25,434391.0,7538.0,193.992201
EG,2020-04-08 04:00:00+00:00,193.12,199.75,189.07,197.8,341932.0,6927.0,196.736926
EG,2020-04-09 04:00:00+00:00,200.39,212.8,200.01,212.3,379602.0,8698.0,211.080303
EG,2020-04-13 04:00:00+00:00,210.18,210.18,201.86,202.14,296921.0,4940.0,202.839656
EG,2020-04-14 04:00:00+00:00,207.65,208.96,200.27,203.12,352400.0,7606.0,202.846761
EG,2020-04-15 04:00:00+00:00,196.62,198.4864,190.565,191.03,293431.0,6689.0,192.437255
EG,2020-04-16 04:00:00+00:00,189.9,191.21,185.69,187.15,426314.0,7179.0,187.490549
EG,2020-04-17 04:00:00+00:00,193.45,197.92,192.09,196.35,586542.0,9276.0,195.763161
EG,2020-04-20 04:00:00+00:00,192.58,195.09,188.24,190.52,336531.0,5689.0,191.295829
