symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EQR,2020-03-12 04:00:00+00:00,70.36,75.93,68.3,70.01,5762441.0,51667.0,70.862768
EQR,2020-03-13 04:00:00+00:00,74.0,74.22,69.29,73.61,5306062.0,46907.0,72.217036
EQR,2020-03-16 04:00:00+00:00,68.26,68.84,61.1,61.16,4520819.0,41757.0,64.046807
EQR,2020-03-17 04:00:00+00:00,63.06,66.88,60.85,66.46,3601064.0,39766.0,64.953129
EQR,2020-03-18 04:00:00+00:00,62.2,64.71,58.605,60.87,4213108.0,38863.0,61.021481
EQR,2020-03-19 04:00:00+00:00,60.5,62.93,59.01,60.61,3795222.0,41151.0,60.899953
EQR,2020-03-20 04:00:00+00:00,60.58,61.21,54.62,55.29,4103477.0,33704.0,57.105938
EQR,2020-03-23 04:00:00+00:00,55.29,55.395,49.62,51.39,4111690.0,40139.0,51.702912
EQR,2020-03-24 04:00:00+00:00,53.09,54.45,50.64,52.15,4409567.0,37940.0,52.06516
EQR,2020-03-25 04:00:00+00:00,51.68,57.88,50.18,54.57,4416090.0,34541.0,54.310079
EQR,2020-03-26 04:00:00+00:00,54.57,59.38,53.34,59.23,3687027.0,31447.0,57.690402
EQR,2020-03-27 04:00:00+00:00,57.28,64.43,57.01,62.68,3281205.0,29430.0,61.870937
EQR,2020-03-30 04:00:00+00:00,63.49,63.89,59.34,62.58,4021601.0,38240.0,61.791374
EQR,2020-03-31 04:00:00+00:00,61.71,62.52,59.04,61.71,6771610.0,48404.0,61.141053
EQR,2020-04-01 04:00:00+00:00,59.07,59.96,54.88,57.7,3338229.0,32085.0,56.984028
EQR,2020-04-02 04:00:00+00:00,56.26,58.0558,53.24,54.57,3843281.0,33616.0,55.029324
EQR,2020-04-03 04:00:00+00:00,53.97,55.42,52.79,54.26,3180286.0,30195.0,53.903012
EQR,2020-04-06 04:00:00+00:00,57.1,60.47,56.48,60.11,2986907.0,27562.0,59.612032
EQR,2020-04-07 04:00:00+00:00,62.55,63.75,60.59,60.68,3020558.0,27205.0,61.524139
EQR,2020-04-08 04:00:00+00:00,61.33,65.79,60.66,65.25,3988914.0,32922.0,64.545193
EQR,2020-04-09 04:00:00+00:00,66.27,70.61,66.27,69.42,4403980.0,40679.0,69.250452
EQR,2020-04-13 04:00:00+00:00,68.91,68.935,66.14,66.5,1721300.0,17080.0,66.813629
EQR,2020-04-14 04:00:00+00:00,68.3,69.89,67.86,68.92,1877452.0,17894.0,68.801986
EQR,2020-04-15 04:00:00+00:00,66.86,67.9699,65.06,65.99,2511191.0,25641.0,65.958471
EQR,2020-04-16 04:00:00+00:00,66.09,67.06,64.57,65.23,2592296.0,21756.0,65.253117
EQR,2020-04-17 04:00:00+00:00,66.84,70.15,66.33,69.79,2214206.0,18650.0,69.133579
EQR,2020-04-20 04:00:00+00:00,68.51,69.28,65.54,65.61,2640519.0,17319.0,66.176085
EQR,2020-04-21 04:00:00+00:00,63.55,65.46,63.52,63.81,3075322.0,28622.0,64.121296
EQR,2020-04-22 04:00:00+00:00,64.97,66.13,64.6,65.66,1989366.0,17635.0,65.532797
