symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EQT,2020-03-12 04:00:00+00:00,6.3,7.32,6.05,6.94,17419898.0,57537.0,6.862281
EQT,2020-03-13 04:00:00+00:00,7.11,9.53,6.89,9.53,25469362.0,77737.0,8.397252
EQT,2020-03-16 04:00:00+00:00,8.47,10.31,7.88,8.69,19389843.0,85990.0,9.275893
EQT,2020-03-17 04:00:00+00:00,8.79,9.58,8.51,9.41,17280151.0,63872.0,9.304021
EQT,2020-03-18 04:00:00+00:00,9.05,9.635,8.205,8.69,13704334.0,67133.0,8.782765
EQT,2020-03-19 04:00:00+00:00,9.0,9.12,7.03,8.08,13058623.0,63542.0,7.855479
EQT,2020-03-20 04:00:00+00:00,8.07,8.23,7.24,7.45,11747472.0,44995.0,7.543414
EQT,2020-03-23 04:00:00+00:00,7.45,7.52,6.01,6.06,9564110.0,58092.0,6.379983
EQT,2020-03-24 04:00:00+00:00,6.45,7.3,5.63,7.25,12328471.0,60382.0,6.492416
EQT,2020-03-25 04:00:00+00:00,7.25,8.11,6.85,7.73,11976166.0,66246.0,7.662712
EQT,2020-03-26 04:00:00+00:00,7.74,8.2564,6.68,6.96,7183385.0,44857.0,7.40471
EQT,2020-03-27 04:00:00+00:00,6.68,7.38,6.65,6.9,7497999.0,35408.0,6.964895
EQT,2020-03-30 04:00:00+00:00,6.73,7.48,6.5,6.98,9676565.0,60990.0,6.980928
EQT,2020-03-31 04:00:00+00:00,6.93,7.335,6.635,7.07,10642832.0,57012.0,6.959169
EQT,2020-04-01 04:00:00+00:00,6.88,7.685,6.84,7.3,9052290.0,53596.0,7.37493
EQT,2020-04-02 04:00:00+00:00,7.52,7.93,6.44,7.89,15199249.0,78487.0,7.486242
EQT,2020-04-03 04:00:00+00:00,8.01,8.94,7.67,8.77,9569304.0,45441.0,8.449594
EQT,2020-04-06 04:00:00+00:00,8.85,9.975,8.465,9.76,9518818.0,56859.0,9.336878
EQT,2020-04-07 04:00:00+00:00,9.85,11.18,9.555,10.75,11229356.0,66534.0,10.569162
EQT,2020-04-08 04:00:00+00:00,10.83,11.1089,10.19,10.84,7014505.0,46371.0,10.682286
EQT,2020-04-09 04:00:00+00:00,10.71,11.75,10.55,10.82,13005573.0,72102.0,11.112478
EQT,2020-04-13 04:00:00+00:00,11.39,12.51,11.22,12.43,11417849.0,67214.0,11.928416
EQT,2020-04-14 04:00:00+00:00,12.5,13.09,12.15,12.86,10615255.0,45265.0,12.778069
EQT,2020-04-15 04:00:00+00:00,12.67,13.23,12.04,13.05,9445559.0,65967.0,12.744391
EQT,2020-04-16 04:00:00+00:00,13.09,13.55,12.635,12.81,9763059.0,55468.0,13.0026
EQT,2020-04-17 04:00:00+00:00,13.04,13.48,12.52,13.37,8522015.0,42739.0,13.195243
EQT,2020-04-20 04:00:00+00:00,13.03,15.735,13.02,15.56,14574556.0,69927.0,14.975087
EQT,2020-04-21 04:00:00+00:00,15.74,17.16,15.485,15.57,12054772.0,80498.0,15.93607
EQT,2020-04-22 04:00:00+00:00,15.88,16.18,14.13,14.25,7811887.0,50320.0,14.845909
EQT,2020-04-23 04:00:00+00:00,13.86,14.19,12.35,12.5,17903730.0,95953.0,13.040549
EQT,2020-04-24 04:00:00+00:00,12.64,13.64,12.39,13.39,26133194.0,84640.0,12.941791
EQT,2020-04-27 04:00:00+00:00,13.39,13.99,12.82,13.79,8863124.0,50441.0,13.631212
EQT,2020-04-28 04:00:00+00:00,13.9,14.16,13.17,13.39,9321328.0,42615.0,13.635111
EQT,2020-04-29 04:00:00+00:00,13.63,14.35,13.5,14.09,7359279.0,41331.0,14.033886
EQT,2020-04-30 04:00:00+00:00,14.5,15.14,13.71,14.59,10941938.0,57798.0,14.536759
EQT,2020-05-01 04:00:00+00:00,14.28,14.53,13.9,14.37,6811282.0,56474.0,14.254199
EQT,2020-05-04 04:00:00+00:00,14.23,14.91,13.87,14.8,7062705.0,42746.0,14.621578
EQT,2020-05-05 04:00:00+00:00,15.3,15.42,14.1,14.33,7240661.0,42181.0,14.577885
EQT,2020-05-06 04:00:00+00:00,14.41,14.53,13.57,13.63,6576188.0,32016.0,13.776693
EQT,2020-05-07 04:00:00+00:00,13.64,14.47,13.33,13.62,7076513.0,44421.0,13.814251
EQT,2020-05-08 04:00:00+00:00,13.6,14.065,13.46,13.99,5025579.0,32554.0,13.912002
EQT,2020-05-11 04:00:00+00:00,13.89,14.36,13.15,13.17,7504649.0,38679.0,13.381601
EQT,2020-05-12 04:00:00+00:00,13.24,13.46,12.635,12.66,7405321.0,51020.0,12.95548
EQT,2020-05-13 04:00:00+00:00,12.69,12.73,11.89,12.44,10544647.0,52330.0,12.352899
EQT,2020-05-14 04:00:00+00:00,12.27,13.13,11.94,12.54,7973878.0,37564.0,12.509813
EQT,2020-05-15 04:00:00+00:00,12.53,13.37,12.3201,12.74,5856705.0,37698.0,12.972993
EQT,2020-05-18 04:00:00+00:00,13.09,13.32,12.57,12.88,7933909.0,45931.0,12.869389
EQT,2020-05-19 04:00:00+00:00,13.07,13.36,12.73,12.8,4966669.0,34882.0,12.972542
EQT,2020-05-20 04:00:00+00:00,13.03,13.71,12.92,13.33,7874087.0,41463.0,13.308293
EQT,2020-05-21 04:00:00+00:00,13.53,13.7,12.91,13.17,4296117.0,30106.0,13.139335
EQT,2020-05-22 04:00:00+00:00,13.11,13.85,12.86,13.74,6966531.0,38527.0,13.531787
EQT,2020-05-26 04:00:00+00:00,13.34,15.045,13.1,14.75,13159165.0,113366.0,14.396828
EQT,2020-05-27 04:00:00+00:00,14.82,14.95,13.64,14.17,7320494.0,48923.0,14.106494
EQT,2020-05-28 04:00:00+00:00,14.06,14.9148,13.235,13.37,6327542.0,46325.0,13.851499
EQT,2020-05-29 04:00:00+00:00,13.38,13.71,12.975,13.34,6482530.0,40675.0,13.32523
EQT,2020-06-01 04:00:00+00:00,12.81,13.22,12.55,12.87,7563302.0,52095.0,12.890106
EQT,2020-06-02 04:00:00+00:00,12.91,13.49,12.805,13.39,4604720.0,34649.0,13.290238
EQT,2020-06-03 04:00:00+00:00,13.67,13.98,13.2,13.87,7388504.0,38077.0,13.638382
EQT,2020-06-04 04:00:00+00:00,13.86,14.325,13.67,14.3,5635865.0,34836.0,14.09074
EQT,2020-06-05 04:00:00+00:00,14.36,15.11,14.04,15.03,7005381.0,47139.0,14.746397
EQT,2020-06-08 04:00:00+00:00,15.12,16.9,14.9101,16.89,10787826.0,62126.0,16.194131
