symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ESS,2020-03-12 04:00:00+00:00,261.89,281.98,250.235,262.71,1400777.0,18169.0,263.207109
ESS,2020-03-13 04:00:00+00:00,274.12,277.015,258.77,275.73,902398.0,16719.0,270.925709
ESS,2020-03-16 04:00:00+00:00,250.92,257.19,223.13,223.67,807792.0,15447.0,236.022734
ESS,2020-03-17 04:00:00+00:00,228.12,238.92,219.75,236.07,756994.0,13418.0,233.255703
ESS,2020-03-18 04:00:00+00:00,225.09,232.92,201.25,206.25,771217.0,13362.0,210.594231
ESS,2020-03-19 04:00:00+00:00,205.25,214.85,201.17,209.07,669603.0,10036.0,208.12128
ESS,2020-03-20 04:00:00+00:00,212.0,214.88,192.22,196.33,1004860.0,12786.0,200.774671
ESS,2020-03-23 04:00:00+00:00,194.6,194.6,175.81,182.23,1055940.0,16141.0,182.649249
ESS,2020-03-24 04:00:00+00:00,189.41,193.43,177.77,188.01,995531.0,16318.0,185.085441
ESS,2020-03-25 04:00:00+00:00,186.62,212.855,183.77,200.77,899825.0,14676.0,198.359807
ESS,2020-03-26 04:00:00+00:00,202.1,218.75,198.0,218.7,768546.0,12421.0,213.347688
ESS,2020-03-27 04:00:00+00:00,212.21,234.8,209.41,228.6,870447.0,15832.0,225.328991
ESS,2020-03-30 04:00:00+00:00,228.6,232.13,211.89,225.51,663964.0,12654.0,221.17898
ESS,2020-03-31 04:00:00+00:00,223.8,224.95,211.61,220.24,1026251.0,13373.0,219.157286
ESS,2020-04-01 04:00:00+00:00,206.22,207.03,190.9006,200.32,841475.0,15292.0,198.18423
ESS,2020-04-02 04:00:00+00:00,190.0,202.93,189.34,194.47,855042.0,13548.0,194.089929
ESS,2020-04-03 04:00:00+00:00,193.03,201.5,188.53,190.86,534458.0,10904.0,192.016562
ESS,2020-04-06 04:00:00+00:00,202.0,214.85,201.2,212.61,622406.0,13273.0,210.058097
ESS,2020-04-07 04:00:00+00:00,223.05,225.83,213.3,214.63,614403.0,12689.0,218.267613
ESS,2020-04-08 04:00:00+00:00,215.29,236.14,212.94,234.12,795744.0,13928.0,230.195029
ESS,2020-04-09 04:00:00+00:00,239.76,254.67,237.96,246.96,861982.0,16429.0,247.424024
ESS,2020-04-13 04:00:00+00:00,244.59,248.48,236.05,239.8,558533.0,10079.0,240.658605
ESS,2020-04-14 04:00:00+00:00,246.63,253.99,243.94,252.62,733293.0,10467.0,251.054343
ESS,2020-04-15 04:00:00+00:00,242.7,249.08,239.12,245.4,695131.0,13377.0,245.065356
ESS,2020-04-16 04:00:00+00:00,246.86,247.63,240.06,246.03,736489.0,11958.0,245.253453
ESS,2020-04-17 04:00:00+00:00,251.71,262.23,250.76,260.84,735002.0,13175.0,259.018607
ESS,2020-04-20 04:00:00+00:00,257.38,257.38,241.69,241.9,521724.0,9329.0,245.232801
ESS,2020-04-21 04:00:00+00:00,234.85,241.35,234.17,238.79,497907.0,10757.0,238.79702
ESS,2020-04-22 04:00:00+00:00,242.97,247.16,240.87,244.72,486818.0,8678.0,244.73327
ESS,2020-04-23 04:00:00+00:00,244.14,244.14,238.125,241.25,964066.0,13976.0,240.832919
ESS,2020-04-24 04:00:00+00:00,243.01,245.015,235.52,241.61,697255.0,11020.0,241.040335
ESS,2020-04-27 04:00:00+00:00,245.2,252.74,242.44,252.07,304352.0,5645.0,250.795202
ESS,2020-04-28 04:00:00+00:00,259.04,260.4,244.05,247.46,331108.0,7122.0,250.620202
ESS,2020-04-29 04:00:00+00:00,252.4,254.4,247.02,249.22,311420.0,6820.0,250.313831
ESS,2020-04-30 04:00:00+00:00,246.36,246.36,239.4,244.1,575187.0,7685.0,243.632651
ESS,2020-05-01 04:00:00+00:00,238.26,240.15,234.015,236.81,433867.0,8769.0,236.533524
ESS,2020-05-04 04:00:00+00:00,233.58,243.01,231.02,242.29,485801.0,10548.0,238.598953
ESS,2020-05-05 04:00:00+00:00,244.22,249.34,243.03,244.52,482725.0,9175.0,246.111419
ESS,2020-05-06 04:00:00+00:00,246.05,248.31,241.28,241.39,458558.0,8289.0,243.245694
ESS,2020-05-07 04:00:00+00:00,237.77,251.84,237.77,249.06,575901.0,9776.0,248.529651
ESS,2020-05-08 04:00:00+00:00,252.97,254.84,245.44,246.65,413332.0,9189.0,247.616819
ESS,2020-05-11 04:00:00+00:00,244.42,245.725,239.415,242.92,426413.0,8160.0,243.115751
ESS,2020-05-12 04:00:00+00:00,243.33,243.33,227.9,229.9,841619.0,11048.0,230.599471
ESS,2020-05-13 04:00:00+00:00,225.02,231.745,225.01,230.78,700799.0,12211.0,229.847905
ESS,2020-05-14 04:00:00+00:00,227.52,228.6,219.16,225.01,522535.0,10230.0,223.993931
ESS,2020-05-15 04:00:00+00:00,223.77,227.525,218.53,226.55,1448025.0,13550.0,225.524278
ESS,2020-05-18 04:00:00+00:00,235.69,244.23,235.6,240.6,638345.0,11433.0,240.79167
ESS,2020-05-19 04:00:00+00:00,240.6,241.86,230.83,230.99,479288.0,10123.0,233.982204
ESS,2020-05-20 04:00:00+00:00,233.42,236.08,230.9,235.86,364879.0,8604.0,234.820181
ESS,2020-05-21 04:00:00+00:00,235.49,240.67,233.05,235.43,288686.0,6660.0,235.84996
ESS,2020-05-22 04:00:00+00:00,235.1,236.95,232.83,236.41,317992.0,8301.0,235.368911
ESS,2020-05-26 04:00:00+00:00,246.55,249.56,243.32,247.21,417914.0,8962.0,247.487826
ESS,2020-05-27 04:00:00+00:00,252.71,254.23,244.72,248.04,437201.0,9077.0,247.924525
ESS,2020-05-28 04:00:00+00:00,250.53,250.53,243.43,248.86,472701.0,9690.0,247.315819
ESS,2020-05-29 04:00:00+00:00,246.56,247.55,242.0,242.77,706065.0,11173.0,243.586091
ESS,2020-06-01 04:00:00+00:00,242.77,248.99,241.41,246.91,398042.0,8587.0,245.987118
ESS,2020-06-02 04:00:00+00:00,249.63,250.76,246.27,246.79,553698.0,9145.0,247.728592
ESS,2020-06-03 04:00:00+00:00,249.94,254.26,249.43,253.06,433869.0,9292.0,252.623678
ESS,2020-06-04 04:00:00+00:00,251.09,252.27,243.49,250.48,438433.0,10634.0,249.259355
ESS,2020-06-05 04:00:00+00:00,259.3,267.77,259.03,262.52,818753.0,15698.0,263.273918
ESS,2020-06-08 04:00:00+00:00,266.63,276.44,266.44,276.2,844909.0,13180.0,274.726476
ESS,2020-06-09 04:00:00+00:00,270.29,272.02,266.25,268.04,476334.0,12994.0,268.604496
ESS,2020-06-10 04:00:00+00:00,266.08,267.01,258.46,260.3,448279.0,10405.0,261.680686
ESS,2020-06-11 04:00:00+00:00,250.12,252.365,243.74,246.09,694704.0,12828.0,246.494216
ESS,2020-06-12 04:00:00+00:00,248.98,252.96,239.12,249.68,825917.0,15599.0,245.993562
ESS,2020-06-15 04:00:00+00:00,241.55,248.38,240.04,244.64,603894.0,13062.0,244.288778
ESS,2020-06-16 04:00:00+00:00,253.86,257.03,248.95,251.59,625189.0,12168.0,251.984911
ESS,2020-06-17 04:00:00+00:00,253.18,256.86,242.78,243.1,493411.0,10430.0,244.240652
ESS,2020-06-18 04:00:00+00:00,240.32,243.5,238.12,242.93,588885.0,10677.0,241.943655
ESS,2020-06-19 04:00:00+00:00,247.8,247.8,233.4,233.78,2192559.0,14046.0,235.20287
ESS,2020-06-22 04:00:00+00:00,233.43,236.39,229.125,233.58,497132.0,10456.0,233.818582
ESS,2020-06-23 04:00:00+00:00,236.06,236.06,230.7,232.25,514240.0,8304.0,232.748974
ESS,2020-06-24 04:00:00+00:00,229.77,231.3,224.2,227.77,667842.0,13621.0,227.485557
ESS,2020-06-25 04:00:00+00:00,227.05,229.5,224.71,229.26,313499.0,7791.0,227.855659
ESS,2020-06-26 04:00:00+00:00,228.01,229.91,224.0,224.79,853128.0,9652.0,225.251147
ESS,2020-06-29 04:00:00+00:00,224.44,226.51,221.985,226.43,401907.0,10711.0,225.566885
ESS,2020-06-30 04:00:00+00:00,227.15,230.68,226.42,229.17,1093447.0,10117.0,228.913553
ESS,2020-07-01 04:00:00+00:00,230.08,241.01,229.5,239.37,524651.0,11664.0,238.161544
ESS,2020-07-02 04:00:00+00:00,242.73,243.54,234.6,237.05,307537.0,8213.0,237.108507
ESS,2020-07-06 04:00:00+00:00,241.82,242.44,234.75,235.2,286225.0,7326.0,235.858091
ESS,2020-07-07 04:00:00+00:00,230.97,232.07,227.9,228.12,329908.0,6756.0,229.460296
ESS,2020-07-08 04:00:00+00:00,228.12,229.14,226.06,226.92,354223.0,8002.0,226.959803
ESS,2020-07-09 04:00:00+00:00,225.6,226.3,220.62,223.92,772556.0,8358.0,223.783799
ESS,2020-07-10 04:00:00+00:00,224.25,227.25,224.15,225.33,293298.0,7228.0,225.215866
ESS,2020-07-13 04:00:00+00:00,226.26,226.925,222.52,224.89,403947.0,8307.0,225.148909
ESS,2020-07-14 04:00:00+00:00,224.63,229.04,223.6,228.3,366726.0,6733.0,227.618155
ESS,2020-07-15 04:00:00+00:00,230.84,232.26,226.0,226.27,353701.0,6061.0,226.74622
ESS,2020-07-16 04:00:00+00:00,225.15,227.08,224.03,224.26,391213.0,7739.0,224.705061
ESS,2020-07-17 04:00:00+00:00,225.02,226.0,222.0,223.17,429902.0,7209.0,223.136008
ESS,2020-07-20 04:00:00+00:00,221.75,223.185,215.05,215.24,588550.0,10988.0,216.412644
ESS,2020-07-21 04:00:00+00:00,216.06,219.17,214.96,215.72,442524.0,10476.0,216.388701
ESS,2020-07-22 04:00:00+00:00,214.0,221.55,212.94,220.83,515836.0,10459.0,219.587674
ESS,2020-07-23 04:00:00+00:00,219.97,221.8,212.84,216.33,444484.0,9715.0,216.763381
ESS,2020-07-24 04:00:00+00:00,215.37,217.03,214.0,214.12,324158.0,7474.0,214.623869
ESS,2020-07-27 04:00:00+00:00,212.48,213.185,209.34,212.56,439488.0,10118.0,211.809304
ESS,2020-07-28 04:00:00+00:00,212.26,219.01,211.82,218.03,560184.0,7642.0,217.177461
ESS,2020-07-29 04:00:00+00:00,219.31,220.08,214.16,219.15,477232.0,8622.0,217.605358
ESS,2020-07-30 04:00:00+00:00,215.78,221.23,214.83,220.62,570046.0,11537.0,219.832326
ESS,2020-07-31 04:00:00+00:00,220.38,221.92,216.0,220.74,1495615.0,10933.0,220.477298
ESS,2020-08-03 04:00:00+00:00,220.0,220.0,212.945,214.24,511430.0,10361.0,214.571119
ESS,2020-08-04 04:00:00+00:00,212.5,214.99,208.06,214.27,752217.0,12199.0,212.438803
ESS,2020-08-05 04:00:00+00:00,214.27,218.42,212.24,217.37,467929.0,9832.0,216.870853
ESS,2020-08-06 04:00:00+00:00,216.02,221.13,215.65,219.98,405331.0,8056.0,219.357654
ESS,2020-08-07 04:00:00+00:00,219.04,223.19,218.2,223.19,267775.0,7231.0,222.137951
ESS,2020-08-10 04:00:00+00:00,224.0,226.16,221.47,223.48,284329.0,8258.0,223.776619
ESS,2020-08-11 04:00:00+00:00,224.68,225.99,218.8,219.53,375826.0,7958.0,220.663978
ESS,2020-08-12 04:00:00+00:00,220.44,221.82,217.36,221.21,314777.0,6323.0,220.370047
ESS,2020-08-13 04:00:00+00:00,219.78,223.26,215.56,216.03,440747.0,8333.0,217.585577
ESS,2020-08-14 04:00:00+00:00,215.38,221.635,214.91,219.15,536068.0,7421.0,218.229204
ESS,2020-08-17 04:00:00+00:00,219.14,221.56,217.48,220.25,609601.0,8429.0,219.837535
ESS,2020-08-18 04:00:00+00:00,220.65,221.58,216.285,218.73,366946.0,7712.0,218.335628
ESS,2020-08-19 04:00:00+00:00,218.56,218.56,210.42,210.7,514385.0,9368.0,211.543776
ESS,2020-08-20 04:00:00+00:00,210.06,214.74,209.9,212.51,300518.0,6746.0,212.769006
ESS,2020-08-21 04:00:00+00:00,213.04,213.89,208.55,213.02,376594.0,6962.0,211.869337
ESS,2020-08-24 04:00:00+00:00,212.31,215.14,209.17,215.14,349998.0,6180.0,213.465079
ESS,2020-08-25 04:00:00+00:00,214.74,216.09,213.61,216.03,305134.0,6951.0,215.435994
ESS,2020-08-26 04:00:00+00:00,214.08,214.72,210.9601,212.8,450505.0,8277.0,212.538305
ESS,2020-08-27 04:00:00+00:00,214.18,218.01,213.785,216.64,321594.0,5760.0,216.446916
ESS,2020-08-28 04:00:00+00:00,217.3,220.91,215.04,220.64,360773.0,8890.0,219.652841
ESS,2020-08-31 04:00:00+00:00,219.07,219.98,214.93,216.51,677352.0,8856.0,216.509468
ESS,2020-09-01 04:00:00+00:00,214.43,215.37,212.49,215.21,371618.0,7043.0,214.723826
ESS,2020-09-02 04:00:00+00:00,215.55,221.13,214.32,220.98,508897.0,8701.0,219.918213
ESS,2020-09-03 04:00:00+00:00,222.76,227.24,220.1,221.94,361085.0,8459.0,222.593314
ESS,2020-09-04 04:00:00+00:00,221.62,225.715,219.63,224.26,385115.0,9039.0,223.937743
ESS,2020-09-08 04:00:00+00:00,222.42,223.73,217.82,221.57,441638.0,10325.0,220.865636
ESS,2020-09-09 04:00:00+00:00,219.24,223.77,216.61,218.51,852249.0,12151.0,218.879034
ESS,2020-09-10 04:00:00+00:00,219.33,221.3,215.44,215.99,632377.0,12634.0,217.107745
ESS,2020-09-11 04:00:00+00:00,216.61,216.61,210.84,213.21,429784.0,9238.0,213.195564
ESS,2020-09-14 04:00:00+00:00,215.47,225.4,215.47,222.39,605703.0,12140.0,222.667467
ESS,2020-09-15 04:00:00+00:00,222.32,223.65,215.47,216.39,570364.0,13382.0,218.355489
ESS,2020-09-16 04:00:00+00:00,217.92,221.64,216.69,219.56,391709.0,7689.0,219.793947
ESS,2020-09-17 04:00:00+00:00,218.82,222.23,215.27,216.48,473633.0,9693.0,217.052695
ESS,2020-09-18 04:00:00+00:00,214.56,215.87,210.915,211.44,804545.0,9530.0,211.982586
ESS,2020-09-21 04:00:00+00:00,209.0,209.79,203.8,204.31,531464.0,11312.0,205.01377
ESS,2020-09-22 04:00:00+00:00,204.53,208.61,204.53,207.48,512582.0,9946.0,207.243294
ESS,2020-09-23 04:00:00+00:00,207.57,209.49,201.66,201.93,471153.0,9828.0,203.242497
ESS,2020-09-24 04:00:00+00:00,202.0,203.57,198.32,198.98,490049.0,11566.0,199.821546
ESS,2020-09-25 04:00:00+00:00,198.44,204.35,198.08,204.11,344765.0,9610.0,202.740309
ESS,2020-09-28 04:00:00+00:00,208.07,209.57,205.29,207.52,463743.0,9637.0,207.741492
ESS,2020-09-29 04:00:00+00:00,205.0,206.33,198.985,199.6,363083.0,10467.0,200.497665
ESS,2020-09-30 04:00:00+00:00,201.58,203.04,198.41,200.79,562052.0,9830.0,200.818063
ESS,2020-10-01 04:00:00+00:00,201.03,206.99,201.0,206.82,494261.0,9525.0,205.013482
ESS,2020-10-02 04:00:00+00:00,203.84,213.56,200.67,212.1,839426.0,12502.0,210.161368
ESS,2020-10-05 04:00:00+00:00,213.89,214.84,208.82,213.4,859926.0,9495.0,213.203231
ESS,2020-10-06 04:00:00+00:00,214.73,214.73,209.44,210.77,562117.0,9866.0,211.503256
ESS,2020-10-07 04:00:00+00:00,211.3,212.36,207.23,210.41,536875.0,9406.0,210.128754
ESS,2020-10-08 04:00:00+00:00,212.06,216.87,211.17,215.98,431715.0,7678.0,215.459146
ESS,2020-10-09 04:00:00+00:00,217.75,218.325,213.045,215.45,389291.0,9620.0,215.521724
ESS,2020-10-12 04:00:00+00:00,215.56,217.89,213.6,216.95,281754.0,6498.0,216.334894
ESS,2020-10-13 04:00:00+00:00,213.96,218.29,208.742,209.49,452085.0,7722.0,211.845694
ESS,2020-10-14 04:00:00+00:00,210.63,210.63,205.35,206.89,373678.0,8420.0,206.980849
ESS,2020-10-15 04:00:00+00:00,205.41,207.73,204.57,204.69,370479.0,7631.0,205.303495
ESS,2020-10-16 04:00:00+00:00,204.35,204.88,200.24,202.04,456215.0,9017.0,202.29597
ESS,2020-10-19 04:00:00+00:00,202.93,203.3,198.66,199.06,454086.0,9767.0,199.544413
ESS,2020-10-20 04:00:00+00:00,200.91,202.075,199.65,199.85,377127.0,8560.0,200.479449
ESS,2020-10-21 04:00:00+00:00,198.69,201.04,198.37,199.93,540397.0,9318.0,199.564653
ESS,2020-10-22 04:00:00+00:00,200.47,203.98,200.47,202.52,350123.0,7640.0,202.388673
ESS,2020-10-23 04:00:00+00:00,204.18,205.18,203.04,203.23,384444.0,8246.0,203.514007
ESS,2020-10-26 04:00:00+00:00,202.18,203.025,197.09,199.02,484249.0,11108.0,198.808886
ESS,2020-10-27 04:00:00+00:00,199.02,200.96,195.28,195.34,372226.0,9930.0,196.774405
ESS,2020-10-28 04:00:00+00:00,192.0,192.92,186.3,186.32,911727.0,16613.0,188.094902
