symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EVRG,2020-03-12 04:00:00+00:00,58.21,58.89,54.87,55.96,4059600.0,28235.0,56.449492
EVRG,2020-03-13 04:00:00+00:00,58.82,59.75,54.31,59.09,2556499.0,24438.0,57.468056
EVRG,2020-03-16 04:00:00+00:00,53.55,57.2,48.83,49.6,4543225.0,28232.0,51.486021
EVRG,2020-03-17 04:00:00+00:00,50.51,57.83,48.05,57.56,4082008.0,38732.0,54.795104
EVRG,2020-03-18 04:00:00+00:00,53.78,59.49,53.34,56.92,4822005.0,36534.0,56.772726
EVRG,2020-03-19 04:00:00+00:00,56.39,57.0,51.7,55.1,2428375.0,22062.0,54.879778
EVRG,2020-03-20 04:00:00+00:00,54.79,55.7099,46.8001,47.18,3683137.0,25374.0,49.230772
EVRG,2020-03-23 04:00:00+00:00,46.8,47.66,42.0101,44.92,3126291.0,26192.0,44.965084
EVRG,2020-03-24 04:00:00+00:00,46.96,51.4,46.34,50.71,2673105.0,17745.0,49.930548
EVRG,2020-03-25 04:00:00+00:00,50.27,54.45,49.43,51.9,2347749.0,17701.0,52.017693
EVRG,2020-03-26 04:00:00+00:00,52.12,59.63,51.91,58.16,2901503.0,17589.0,57.331413
EVRG,2020-03-27 04:00:00+00:00,55.87,59.88,55.74,57.52,2105118.0,18825.0,57.543494
EVRG,2020-03-30 04:00:00+00:00,58.75,59.6,57.38,59.11,2101575.0,15297.0,58.654876
EVRG,2020-03-31 04:00:00+00:00,58.26,58.72,54.75,55.05,2805735.0,18940.0,55.543958
EVRG,2020-04-01 04:00:00+00:00,52.66,54.15,50.74,51.75,1742347.0,16744.0,51.88691
EVRG,2020-04-02 04:00:00+00:00,50.96,54.22,50.64,53.48,2710701.0,14895.0,53.157815
EVRG,2020-04-03 04:00:00+00:00,52.95,55.36,50.68,51.8,3897882.0,25669.0,52.09178
EVRG,2020-04-06 04:00:00+00:00,53.72,58.34,53.62,57.88,1803116.0,16772.0,57.440705
EVRG,2020-04-07 04:00:00+00:00,59.29,59.84,56.97,57.08,2361937.0,19349.0,57.793621
EVRG,2020-04-08 04:00:00+00:00,57.3,61.4,55.73,60.86,2025759.0,19579.0,59.987969
EVRG,2020-04-09 04:00:00+00:00,61.36,64.7,61.18,63.1,3871721.0,19152.0,63.187199
EVRG,2020-04-13 04:00:00+00:00,62.08,62.08,59.79,60.75,2295347.0,10526.0,60.786074
EVRG,2020-04-14 04:00:00+00:00,62.18,62.74,60.76,62.54,1959188.0,10785.0,62.309439
EVRG,2020-04-15 04:00:00+00:00,61.65,61.81,59.97,60.09,1549924.0,12216.0,60.515156
EVRG,2020-04-16 04:00:00+00:00,60.38,60.58,58.92,59.96,1893769.0,12815.0,59.913629
EVRG,2020-04-17 04:00:00+00:00,61.16,61.5,60.04,60.98,1685329.0,11695.0,60.845418
EVRG,2020-04-20 04:00:00+00:00,61.71,61.84,59.04,59.12,1523533.0,11863.0,59.626404
EVRG,2020-04-21 04:00:00+00:00,58.11,58.74,56.75,58.24,1875479.0,15200.0,57.951893
EVRG,2020-04-22 04:00:00+00:00,59.22,60.39,58.5,59.55,1407116.0,12787.0,59.629067
EVRG,2020-04-23 04:00:00+00:00,59.77,60.33,57.6,57.79,1892032.0,13713.0,58.368305
EVRG,2020-04-24 04:00:00+00:00,58.0,58.58,56.42,58.51,1621667.0,12619.0,57.865704
EVRG,2020-04-27 04:00:00+00:00,58.91,59.97,58.63,59.26,960622.0,9375.0,59.392769
EVRG,2020-04-28 04:00:00+00:00,60.94,61.78,59.54,60.09,1833933.0,11532.0,60.482224
EVRG,2020-04-29 04:00:00+00:00,61.22,61.8,59.36,59.59,2510082.0,14005.0,60.065256
EVRG,2020-04-30 04:00:00+00:00,59.0,59.25,57.07,58.43,2605036.0,13516.0,58.298297
EVRG,2020-05-01 04:00:00+00:00,57.68,57.97,55.71,55.92,1342340.0,14462.0,56.208986
EVRG,2020-05-04 04:00:00+00:00,55.89,56.73,55.13,56.63,2334840.0,13786.0,56.165882
EVRG,2020-05-05 04:00:00+00:00,56.67,58.23,56.67,57.29,3291949.0,15066.0,57.428502
EVRG,2020-05-06 04:00:00+00:00,57.54,57.54,54.63,54.93,3291734.0,13431.0,55.350134
EVRG,2020-05-07 04:00:00+00:00,54.24,57.76,54.0,55.87,3776267.0,21237.0,56.104347
EVRG,2020-05-08 04:00:00+00:00,56.91,57.51,55.86,57.5,4119909.0,17232.0,56.989583
EVRG,2020-05-11 04:00:00+00:00,57.02,57.02,55.32,55.76,2397433.0,15874.0,56.047674
EVRG,2020-05-12 04:00:00+00:00,55.92,58.71,54.84,56.1,4253581.0,25488.0,56.400409
EVRG,2020-05-13 04:00:00+00:00,55.84,56.655,55.24,56.52,2767932.0,24979.0,56.142721
EVRG,2020-05-14 04:00:00+00:00,55.82,56.83,54.76,56.68,2515038.0,25096.0,56.073268
EVRG,2020-05-15 04:00:00+00:00,55.99,56.85,54.76,56.54,9472806.0,27468.0,56.306158
EVRG,2020-05-18 04:00:00+00:00,58.13,59.32,58.017,58.92,1794666.0,13918.0,58.892105
EVRG,2020-05-19 04:00:00+00:00,58.11,58.7,57.37,57.74,3062457.0,13461.0,57.945268
EVRG,2020-05-20 04:00:00+00:00,58.54,59.68,58.4,59.11,4451943.0,17336.0,59.136881
