symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXC,2020-03-12 04:00:00+00:00,37.5,38.23,34.425,35.26,14867036.0,99153.0,35.88162
EXC,2020-03-13 04:00:00+00:00,36.15,37.9969,34.1,36.36,13234222.0,89470.0,35.893149
EXC,2020-03-16 04:00:00+00:00,33.17,35.59,29.78,30.51,9656611.0,75283.0,31.740876
EXC,2020-03-17 04:00:00+00:00,31.28,36.25,29.42,36.0,14877132.0,111549.0,33.307403
EXC,2020-03-18 04:00:00+00:00,33.85,34.73,30.92,33.04,11330771.0,74658.0,32.734166
EXC,2020-03-19 04:00:00+00:00,32.98,34.34,30.51,32.41,8378339.0,57347.0,32.519273
EXC,2020-03-20 04:00:00+00:00,32.67,33.48,30.82,31.0,11539867.0,54588.0,31.942647
EXC,2020-03-23 04:00:00+00:00,31.45,31.94,29.28,29.98,10845693.0,81373.0,30.332195
EXC,2020-03-24 04:00:00+00:00,31.46,34.57,31.36,34.51,12784961.0,86346.0,33.21642
EXC,2020-03-25 04:00:00+00:00,34.03,36.31,33.2,34.55,10652761.0,72683.0,34.848156
EXC,2020-03-26 04:00:00+00:00,34.57,36.99,34.26,36.59,8483857.0,51606.0,36.219959
EXC,2020-03-27 04:00:00+00:00,35.0,36.865,34.68,35.5,7638979.0,53188.0,35.568448
EXC,2020-03-30 04:00:00+00:00,35.69,37.48,35.5,37.23,8443590.0,51574.0,36.88512
EXC,2020-03-31 04:00:00+00:00,36.8,37.961,36.23,36.81,11945151.0,85880.0,37.170568
EXC,2020-04-01 04:00:00+00:00,35.2,35.78,32.94,33.48,6610435.0,53132.0,33.858505
EXC,2020-04-02 04:00:00+00:00,33.38,35.29,32.96,34.68,4931586.0,39943.0,34.42176
EXC,2020-04-03 04:00:00+00:00,34.19,34.45,32.39,32.75,7424162.0,51536.0,32.990993
EXC,2020-04-06 04:00:00+00:00,34.12,36.6,34.07,36.32,8218367.0,58604.0,35.859815
EXC,2020-04-07 04:00:00+00:00,37.56,37.89,35.65,35.79,6994422.0,52489.0,36.514934
EXC,2020-04-08 04:00:00+00:00,35.8,37.93,35.58,37.59,7542229.0,61467.0,37.094249
EXC,2020-04-09 04:00:00+00:00,37.97,39.83,37.97,39.15,10136848.0,81988.0,39.124327
EXC,2020-04-13 04:00:00+00:00,39.67,39.67,37.2,37.75,6806875.0,44266.0,37.763461
