symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXPE,2020-03-12 04:00:00+00:00,65.99,71.3136,64.3,65.04,6836434.0,65723.0,66.490419
EXPE,2020-03-13 04:00:00+00:00,68.6,69.98,58.56,69.63,9850634.0,69329.0,64.809495
EXPE,2020-03-16 04:00:00+00:00,60.0,63.97,53.52,54.7,6073019.0,59760.0,58.600159
EXPE,2020-03-17 04:00:00+00:00,54.265,57.99,49.63,54.12,8035805.0,67662.0,53.526412
EXPE,2020-03-18 04:00:00+00:00,47.02,48.14,40.76,45.65,7645838.0,63716.0,45.082348
EXPE,2020-03-19 04:00:00+00:00,44.59,52.75,43.0,48.4262,8612810.0,74183.0,48.855596
EXPE,2020-03-20 04:00:00+00:00,50.4,56.885,45.48,48.8,8177897.0,67533.0,50.480206
EXPE,2020-03-23 04:00:00+00:00,49.2,54.46,46.29,50.85,6928502.0,70320.0,50.311931
EXPE,2020-03-24 04:00:00+00:00,54.32,61.97,53.845,59.48,5399931.0,56051.0,58.303609
EXPE,2020-03-25 04:00:00+00:00,62.1,70.71,59.08,65.89,6162338.0,65900.0,65.708964
EXPE,2020-03-26 04:00:00+00:00,64.66,66.29,60.86,64.41,5468206.0,54195.0,64.071244
EXPE,2020-03-27 04:00:00+00:00,61.92,61.92,57.695,60.03,5770938.0,49803.0,59.665986
EXPE,2020-03-30 04:00:00+00:00,60.01,60.03,54.125,56.39,6266268.0,48212.0,55.755642
EXPE,2020-03-31 04:00:00+00:00,56.33,61.3424,55.26,56.27,5040710.0,50533.0,56.979884
EXPE,2020-04-01 04:00:00+00:00,52.86,53.69,50.28,52.0,5037388.0,50724.0,51.743229
EXPE,2020-04-02 04:00:00+00:00,51.0,54.49,46.8,47.86,5346475.0,53028.0,49.593573
EXPE,2020-04-03 04:00:00+00:00,48.04,48.81,46.145,48.71,3954916.0,39279.0,47.743075
EXPE,2020-04-06 04:00:00+00:00,52.39,53.89,51.15,52.83,6002024.0,50882.0,52.550098
EXPE,2020-04-07 04:00:00+00:00,59.88,61.4765,54.42,56.51,6577795.0,62761.0,57.475285
EXPE,2020-04-08 04:00:00+00:00,58.75,61.99,57.99,60.55,5778351.0,51236.0,60.26219
EXPE,2020-04-09 04:00:00+00:00,64.04,66.06,61.27,62.42,5461265.0,50335.0,63.290841
EXPE,2020-04-13 04:00:00+00:00,62.39,63.0,58.07,58.79,3635126.0,35572.0,59.231101
EXPE,2020-04-14 04:00:00+00:00,61.37,62.38,59.44,61.58,4297594.0,43058.0,61.270309
EXPE,2020-04-15 04:00:00+00:00,58.655,61.18,57.29,60.56,3996333.0,34493.0,59.745295
EXPE,2020-04-16 04:00:00+00:00,59.61,59.94,55.83,58.22,5840366.0,48204.0,57.509649
EXPE,2020-04-17 04:00:00+00:00,62.05,63.77,61.015,63.22,4879608.0,43470.0,62.479378
EXPE,2020-04-20 04:00:00+00:00,61.68,63.28,59.87,59.95,4183199.0,31129.0,61.098039
EXPE,2020-04-21 04:00:00+00:00,58.09,58.59,55.2256,57.25,4089481.0,42067.0,56.895906
EXPE,2020-04-22 04:00:00+00:00,62.4965,64.12,60.76,61.42,5902721.0,55374.0,62.141498
EXPE,2020-04-23 04:00:00+00:00,61.84,67.36,61.84,63.37,8407494.0,66420.0,64.687036
EXPE,2020-04-24 04:00:00+00:00,65.27,67.24,63.3,66.57,4813487.0,42434.0,65.577278
EXPE,2020-04-27 04:00:00+00:00,67.36,69.68,66.7457,69.15,4172011.0,46639.0,68.528232
EXPE,2020-04-28 04:00:00+00:00,70.89,73.25,70.1,71.84,4073125.0,36242.0,71.793938
EXPE,2020-04-29 04:00:00+00:00,75.7,76.54,74.66,74.83,5160040.0,46147.0,75.386152
EXPE,2020-04-30 04:00:00+00:00,73.74,73.98,68.9201,70.969,4894008.0,48842.0,70.806684
EXPE,2020-05-01 04:00:00+00:00,68.14,69.905,66.37,67.29,3742317.0,34349.0,67.566595
EXPE,2020-05-04 04:00:00+00:00,65.0,67.44,62.6,67.02,3236583.0,31518.0,66.245333
EXPE,2020-05-05 04:00:00+00:00,68.41,68.41,63.8,64.08,5911006.0,38988.0,65.556555
EXPE,2020-05-06 04:00:00+00:00,64.79,65.98,63.15,64.38,2809078.0,26833.0,64.128029
EXPE,2020-05-07 04:00:00+00:00,65.1,67.3,65.1,66.46,2679413.0,31177.0,66.327916
EXPE,2020-05-08 04:00:00+00:00,66.63,69.49,66.05,69.27,2937701.0,30082.0,68.140106
EXPE,2020-05-11 04:00:00+00:00,68.53,69.38,67.44,67.62,2166496.0,22913.0,68.108691
EXPE,2020-05-12 04:00:00+00:00,67.83,68.42,64.99,64.99,3517049.0,34953.0,66.348984
EXPE,2020-05-13 04:00:00+00:00,64.64,64.75,60.6,62.01,4726138.0,46386.0,62.400819
EXPE,2020-05-14 04:00:00+00:00,60.55,64.52,58.3884,64.37,3814715.0,37007.0,62.19559
EXPE,2020-05-15 04:00:00+00:00,63.72,67.16,62.86,66.76,3097407.0,29976.0,65.845203
EXPE,2020-05-18 04:00:00+00:00,70.74,80.46,70.74,79.19,12623347.0,94024.0,77.658909
EXPE,2020-05-19 04:00:00+00:00,77.36,79.45,76.34,76.35,5170406.0,51672.0,77.671655
