symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXR,2020-03-12 04:00:00+00:00,99.8,102.89,95.91,96.28,2294925.0,29716.0,98.02714
EXR,2020-03-13 04:00:00+00:00,99.06,100.27,92.8225,96.58,2325104.0,27793.0,96.143755
EXR,2020-03-16 04:00:00+00:00,90.61,92.5,81.39,81.64,2235285.0,28963.0,86.195928
EXR,2020-03-17 04:00:00+00:00,82.83,88.25,81.96,86.23,2101604.0,24796.0,85.703617
EXR,2020-03-18 04:00:00+00:00,81.64,92.41,80.6,89.97,3100135.0,28729.0,86.810028
EXR,2020-03-19 04:00:00+00:00,89.26,90.71,84.3,86.7,2458635.0,26344.0,87.164429
EXR,2020-03-20 04:00:00+00:00,86.73,86.73,77.7,79.72,2422083.0,19578.0,82.088005
EXR,2020-03-23 04:00:00+00:00,79.72,80.23,72.7,74.61,1840677.0,27349.0,75.526068
EXR,2020-03-24 04:00:00+00:00,76.48,79.48,74.87,78.32,2166941.0,25608.0,77.464611
EXR,2020-03-25 04:00:00+00:00,77.53,87.18,77.15,83.04,1269902.0,14283.0,83.049158
EXR,2020-03-26 04:00:00+00:00,82.94,90.29,82.18,89.83,1642536.0,17857.0,87.997363
EXR,2020-03-27 04:00:00+00:00,87.9,97.16,87.62,96.02,1932220.0,19330.0,94.728577
EXR,2020-03-30 04:00:00+00:00,96.7,98.805,93.63,96.75,2620235.0,27516.0,96.183524
EXR,2020-03-31 04:00:00+00:00,95.68,97.02,93.6,95.76,3000878.0,26976.0,95.459679
EXR,2020-04-01 04:00:00+00:00,92.55,96.69,91.81,94.0,2488702.0,29249.0,93.946689
EXR,2020-04-02 04:00:00+00:00,92.67,96.96,91.14,95.96,2502481.0,24980.0,94.077129
EXR,2020-04-03 04:00:00+00:00,95.24,97.57,94.36,96.13,1879768.0,20724.0,95.807021
EXR,2020-04-06 04:00:00+00:00,97.9,100.29,97.02,99.88,1625713.0,18696.0,99.254403
EXR,2020-04-07 04:00:00+00:00,101.0,102.41,97.21,97.47,1580008.0,18036.0,99.053231
EXR,2020-04-08 04:00:00+00:00,96.89,98.73,95.665,98.19,1918416.0,18601.0,97.243697
EXR,2020-04-09 04:00:00+00:00,98.71,105.02,98.388,102.91,1799054.0,22634.0,102.541835
EXR,2020-04-13 04:00:00+00:00,101.99,102.33,95.78,96.45,1476026.0,15141.0,97.358119
EXR,2020-04-14 04:00:00+00:00,97.34,99.45,95.235,95.62,1789635.0,20255.0,96.887129
EXR,2020-04-15 04:00:00+00:00,95.51,96.25,91.88,93.0,1621712.0,18221.0,93.528312
EXR,2020-04-16 04:00:00+00:00,93.3,94.5,91.28,91.38,1383624.0,14356.0,92.296557
EXR,2020-04-17 04:00:00+00:00,91.32,93.885,91.32,93.1,1280704.0,11510.0,92.859559
EXR,2020-04-20 04:00:00+00:00,92.56,93.325,89.3,89.36,1183592.0,12941.0,90.413991
EXR,2020-04-21 04:00:00+00:00,88.07,89.38,86.65,88.82,1039898.0,11504.0,88.352111
EXR,2020-04-22 04:00:00+00:00,89.92,91.67,89.5,91.5,883334.0,11729.0,91.257867
EXR,2020-04-23 04:00:00+00:00,91.17,91.59,87.745,87.92,1259584.0,12385.0,89.647125
EXR,2020-04-24 04:00:00+00:00,88.75,89.6,88.0,88.89,1384174.0,13827.0,88.87466
EXR,2020-04-27 04:00:00+00:00,89.33,91.7,88.19,91.66,989547.0,11509.0,90.689409
EXR,2020-04-28 04:00:00+00:00,93.11,94.41,91.96,92.67,1392253.0,17670.0,93.444969
EXR,2020-04-29 04:00:00+00:00,94.04,94.86,89.28,89.54,1264375.0,15858.0,90.681605
EXR,2020-04-30 04:00:00+00:00,88.5,89.18,87.11,88.24,1160100.0,13190.0,88.016293
EXR,2020-05-01 04:00:00+00:00,86.18,87.56,83.07,87.16,1500840.0,16048.0,85.8001
EXR,2020-05-04 04:00:00+00:00,87.71,87.72,84.41,85.3,1076558.0,11828.0,85.407546
EXR,2020-05-05 04:00:00+00:00,85.55,87.45,85.15,85.9,778284.0,10178.0,86.189495
EXR,2020-05-06 04:00:00+00:00,86.12,86.12,83.33,84.0,924796.0,10198.0,84.11171
EXR,2020-05-07 04:00:00+00:00,84.92,88.56,84.63,88.17,1428742.0,16528.0,87.577918
EXR,2020-05-08 04:00:00+00:00,89.48,92.0314,89.1,91.69,914968.0,12638.0,91.364742
EXR,2020-05-11 04:00:00+00:00,90.96,93.0,90.275,91.88,963671.0,13942.0,92.031266
EXR,2020-05-12 04:00:00+00:00,92.0,92.295,84.51,85.31,1314570.0,14495.0,85.950504
EXR,2020-05-13 04:00:00+00:00,84.83,86.48,83.77,84.39,1150949.0,14800.0,84.763045
