symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FDS,2020-03-12 04:00:00+00:00,235.17,249.23,220.65,233.42,780448.0,16414.0,233.952175
FDS,2020-03-13 04:00:00+00:00,244.86,253.52,235.04,253.07,527911.0,10884.0,245.770991
FDS,2020-03-16 04:00:00+00:00,223.0,247.4,218.51,226.12,679628.0,14325.0,234.394336
FDS,2020-03-17 04:00:00+00:00,230.68,252.38,225.99,246.8,667342.0,13217.0,243.569485
FDS,2020-03-18 04:00:00+00:00,232.5,242.57,206.92,219.4,852579.0,13656.0,223.810454
FDS,2020-03-19 04:00:00+00:00,219.4,246.94,215.01,235.04,465246.0,8843.0,234.271592
FDS,2020-03-20 04:00:00+00:00,234.15,239.2491,214.63,217.98,984019.0,13731.0,223.28936
FDS,2020-03-23 04:00:00+00:00,215.72,216.93,195.22,204.55,638646.0,12716.0,204.979565
FDS,2020-03-24 04:00:00+00:00,212.33,233.95,212.06,231.36,621465.0,11798.0,224.38026
FDS,2020-03-25 04:00:00+00:00,229.96,249.44,227.3392,232.73,568012.0,10573.0,236.341475
FDS,2020-03-26 04:00:00+00:00,235.04,257.56,229.71,257.56,559944.0,12060.0,250.09415
FDS,2020-03-27 04:00:00+00:00,249.48,270.07,243.95,254.71,520505.0,11550.0,258.006296
FDS,2020-03-30 04:00:00+00:00,260.6,272.38,259.685,268.07,542265.0,9983.0,265.821713
FDS,2020-03-31 04:00:00+00:00,263.88,269.11,257.6325,260.68,406230.0,8399.0,261.754124
FDS,2020-04-01 04:00:00+00:00,248.86,260.91,248.86,255.54,377416.0,8717.0,254.59551
FDS,2020-04-02 04:00:00+00:00,252.05,263.0,250.5,262.31,415941.0,8256.0,258.164169
FDS,2020-04-03 04:00:00+00:00,257.53,262.49,249.13,253.11,339897.0,6855.0,253.484479
FDS,2020-04-06 04:00:00+00:00,260.48,269.41,253.45,266.9,329355.0,8221.0,263.139715
FDS,2020-04-07 04:00:00+00:00,270.0,277.5,263.66,267.85,387056.0,7038.0,270.09857
FDS,2020-04-08 04:00:00+00:00,271.04,272.91,265.04,270.97,267542.0,6928.0,270.501586
FDS,2020-04-09 04:00:00+00:00,274.27,284.98,269.87,279.16,389013.0,7889.0,278.637914
FDS,2020-04-13 04:00:00+00:00,276.78,276.78,266.02,271.66,330406.0,5770.0,271.166244
FDS,2020-04-14 04:00:00+00:00,278.68,283.785,275.0724,279.13,228836.0,4936.0,278.909453
FDS,2020-04-15 04:00:00+00:00,274.0,280.46,270.065,277.13,238865.0,5939.0,276.117416
FDS,2020-04-16 04:00:00+00:00,279.23,283.84,275.53,282.43,251983.0,5006.0,281.732518
FDS,2020-04-17 04:00:00+00:00,287.5,291.06,280.99,281.1,357774.0,7489.0,283.18497
FDS,2020-04-20 04:00:00+00:00,278.15,281.92,273.36,276.7,293190.0,7103.0,277.240326
FDS,2020-04-21 04:00:00+00:00,272.02,272.88,265.89,266.54,244823.0,6033.0,268.478445
FDS,2020-04-22 04:00:00+00:00,272.18,273.04,268.09,272.42,167472.0,4063.0,271.615194
FDS,2020-04-23 04:00:00+00:00,271.72,276.263,270.45,273.39,193735.0,4859.0,273.37818
FDS,2020-04-24 04:00:00+00:00,274.45,276.04,269.735,274.43,321171.0,6559.0,273.744335
FDS,2020-04-27 04:00:00+00:00,277.65,287.68,275.29,286.07,200378.0,5310.0,285.023359
FDS,2020-04-28 04:00:00+00:00,289.13,289.84,274.33,275.22,286060.0,6723.0,278.317553
FDS,2020-04-29 04:00:00+00:00,282.05,286.995,275.85,283.47,233163.0,5888.0,283.944332
FDS,2020-04-30 04:00:00+00:00,280.56,280.56,274.0,275.0,672616.0,7446.0,275.46563
FDS,2020-05-01 04:00:00+00:00,272.11,273.305,267.925,269.43,292067.0,7725.0,269.827334
FDS,2020-05-04 04:00:00+00:00,267.32,269.52,264.73,269.03,199236.0,6152.0,267.797594
FDS,2020-05-05 04:00:00+00:00,274.01,276.45,270.85,272.72,339779.0,8527.0,273.268766
FDS,2020-05-06 04:00:00+00:00,274.83,274.83,266.27,266.27,267101.0,5391.0,269.132321
FDS,2020-05-07 04:00:00+00:00,270.31,281.21,268.09,275.74,323640.0,8754.0,275.47745
FDS,2020-05-08 04:00:00+00:00,278.95,281.1,275.28,276.08,227624.0,7901.0,277.696091
FDS,2020-05-11 04:00:00+00:00,276.38,287.865,274.33,285.64,422932.0,10163.0,285.189582
FDS,2020-05-12 04:00:00+00:00,286.95,289.88,281.28,281.28,259196.0,7233.0,284.557251
FDS,2020-05-13 04:00:00+00:00,279.01,284.16,275.26,279.09,395771.0,10989.0,279.074639
FDS,2020-05-14 04:00:00+00:00,275.17,279.525,272.1,279.1,254449.0,6871.0,276.752751
FDS,2020-05-15 04:00:00+00:00,277.77,282.865,277.77,281.06,483517.0,6041.0,281.025575
FDS,2020-05-18 04:00:00+00:00,286.3,292.76,285.96,291.31,264227.0,6001.0,290.753159
FDS,2020-05-19 04:00:00+00:00,290.0,295.555,287.29,287.42,201281.0,5610.0,289.959389
FDS,2020-05-20 04:00:00+00:00,292.65,293.03,288.98,290.91,185898.0,4800.0,290.922298
FDS,2020-05-21 04:00:00+00:00,290.4,293.533,289.0,290.41,237166.0,5094.0,290.604813
FDS,2020-05-22 04:00:00+00:00,291.72,292.37,287.33,289.34,110325.0,5045.0,289.126928
FDS,2020-05-26 04:00:00+00:00,295.03,297.71,290.47,295.56,250622.0,5941.0,295.260565
FDS,2020-05-27 04:00:00+00:00,299.55,300.75,295.715,300.75,267778.0,6991.0,299.128211
FDS,2020-05-28 04:00:00+00:00,304.27,304.27,300.42,303.0,298572.0,7545.0,302.564024
FDS,2020-05-29 04:00:00+00:00,302.55,307.97,301.165,307.51,789873.0,7817.0,306.559093
FDS,2020-06-01 04:00:00+00:00,308.22,308.87,301.41,306.49,235162.0,5880.0,306.439556
FDS,2020-06-02 04:00:00+00:00,308.01,309.77,302.42,304.97,258058.0,7188.0,305.281356
FDS,2020-06-03 04:00:00+00:00,309.02,313.87,306.5919,313.29,294019.0,6256.0,312.531294
FDS,2020-06-04 04:00:00+00:00,310.76,314.46,307.85,311.18,324919.0,7106.0,311.371264
FDS,2020-06-05 04:00:00+00:00,315.7,318.55,313.72,317.0,233228.0,6097.0,316.476614
FDS,2020-06-08 04:00:00+00:00,315.55,316.91,310.4,314.73,209432.0,5935.0,313.425975
FDS,2020-06-09 04:00:00+00:00,309.56,309.56,298.18,304.9,495806.0,10202.0,303.062088
FDS,2020-06-10 04:00:00+00:00,304.86,311.84,303.77,305.89,274574.0,6647.0,307.930225
FDS,2020-06-11 04:00:00+00:00,298.53,298.96,283.56,284.2,391311.0,8757.0,287.514619
FDS,2020-06-12 04:00:00+00:00,291.25,292.61,280.44,286.98,287693.0,7075.0,286.730316
FDS,2020-06-15 04:00:00+00:00,281.53,294.82,279.01,294.6,314169.0,6176.0,292.072415
FDS,2020-06-16 04:00:00+00:00,302.9,302.9,293.62,296.11,254941.0,5929.0,297.105571
FDS,2020-06-17 04:00:00+00:00,298.12,302.005,295.28,300.1,178926.0,4167.0,299.874858
FDS,2020-06-18 04:00:00+00:00,298.91,302.77,298.69,301.43,196496.0,4869.0,301.320791
FDS,2020-06-19 04:00:00+00:00,305.38,307.88,301.38,303.62,451018.0,7229.0,303.818687
FDS,2020-06-22 04:00:00+00:00,302.87,310.68,302.03,309.12,288762.0,7062.0,308.721429
FDS,2020-06-23 04:00:00+00:00,313.16,313.16,305.62,306.21,310135.0,6266.0,308.055166
FDS,2020-06-24 04:00:00+00:00,302.93,304.97,295.51,297.21,384265.0,8943.0,299.09387
FDS,2020-06-25 04:00:00+00:00,319.23,343.78,309.65,342.16,926661.0,19390.0,333.761503
FDS,2020-06-26 04:00:00+00:00,337.29,338.0,325.21,328.65,812008.0,12937.0,330.457054
FDS,2020-06-29 04:00:00+00:00,330.7,333.36,325.14,326.8,278453.0,8216.0,328.293357
FDS,2020-06-30 04:00:00+00:00,327.47,331.2364,325.325,328.47,379764.0,8000.0,327.785811
FDS,2020-07-01 04:00:00+00:00,330.23,336.59,328.33,333.89,249635.0,6197.0,333.582875
FDS,2020-07-02 04:00:00+00:00,335.13,339.6,335.13,335.9,184915.0,5474.0,336.561044
FDS,2020-07-06 04:00:00+00:00,339.07,343.14,337.96,338.76,252117.0,6275.0,339.539641
FDS,2020-07-07 04:00:00+00:00,336.0,343.31,335.2,341.02,230455.0,5940.0,341.439056
FDS,2020-07-08 04:00:00+00:00,344.42,350.92,343.5,349.43,277545.0,5710.0,348.957853
FDS,2020-07-09 04:00:00+00:00,348.8,350.75,345.49,347.37,215934.0,5977.0,347.557088
FDS,2020-07-10 04:00:00+00:00,348.39,351.96,344.6,350.98,203356.0,6267.0,349.570644
FDS,2020-07-13 04:00:00+00:00,355.0,357.21,341.22,342.14,263571.0,6344.0,347.317849
FDS,2020-07-14 04:00:00+00:00,340.04,352.05,339.16,351.57,217966.0,5731.0,348.562278
FDS,2020-07-15 04:00:00+00:00,356.0,356.0,349.07,351.84,195899.0,4842.0,351.849801
FDS,2020-07-16 04:00:00+00:00,349.77,352.56,346.03,350.05,181816.0,4512.0,349.573265
FDS,2020-07-17 04:00:00+00:00,352.33,356.85,350.0366,353.74,172462.0,4308.0,353.820822
FDS,2020-07-20 04:00:00+00:00,354.95,356.09,352.64,355.25,211131.0,5512.0,354.694999
FDS,2020-07-21 04:00:00+00:00,356.98,357.515,352.755,354.67,194605.0,5578.0,355.316108
FDS,2020-07-22 04:00:00+00:00,354.69,357.9,351.0,354.51,193949.0,4873.0,354.193703
FDS,2020-07-23 04:00:00+00:00,354.53,358.78,348.0,348.1,304372.0,6678.0,351.346559
FDS,2020-07-24 04:00:00+00:00,347.02,352.26,345.735,347.94,194825.0,5256.0,349.043594
FDS,2020-07-27 04:00:00+00:00,347.26,351.6,347.26,349.38,159422.0,4659.0,349.798534
FDS,2020-07-28 04:00:00+00:00,348.68,349.92,341.96,342.76,207258.0,5816.0,344.240413
FDS,2020-07-29 04:00:00+00:00,342.16,350.2,342.16,347.37,179212.0,5064.0,347.64819
FDS,2020-07-30 04:00:00+00:00,342.2,347.09,341.0,345.72,178164.0,4196.0,345.159678
FDS,2020-07-31 04:00:00+00:00,347.63,347.63,339.65,346.3,299388.0,4785.0,345.085212
FDS,2020-08-03 04:00:00+00:00,349.91,351.58,347.89,348.81,206652.0,4996.0,349.383379
FDS,2020-08-04 04:00:00+00:00,346.54,348.82,342.765,347.29,163115.0,4233.0,345.614831
FDS,2020-08-05 04:00:00+00:00,348.74,352.63,346.8101,350.06,178241.0,4590.0,350.392245
FDS,2020-08-06 04:00:00+00:00,350.0,353.82,347.4,353.37,131973.0,3211.0,351.627301
