symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FE,2020-03-12 04:00:00+00:00,40.15,41.61,37.95,38.52,7937495.0,55673.0,39.175648
FE,2020-03-13 04:00:00+00:00,40.69,41.25,38.72,41.24,6890979.0,52870.0,40.226928
FE,2020-03-16 04:00:00+00:00,37.7,39.76,33.865,34.3,7340897.0,64451.0,35.739405
FE,2020-03-17 04:00:00+00:00,35.26,40.49,32.91,40.11,9623125.0,73083.0,38.315247
FE,2020-03-18 04:00:00+00:00,37.49,38.69,33.555,37.2,7950318.0,60041.0,36.075327
FE,2020-03-19 04:00:00+00:00,37.32,37.36,33.5,35.99,5729204.0,43071.0,35.846862
FE,2020-03-20 04:00:00+00:00,35.97,36.695,33.98,34.28,6620057.0,39080.0,34.878325
FE,2020-03-23 04:00:00+00:00,34.02,35.75,32.0,33.19,6570092.0,53175.0,33.649064
FE,2020-03-24 04:00:00+00:00,34.21,36.02,33.91,35.48,5816668.0,51077.0,35.053068
FE,2020-03-25 04:00:00+00:00,35.33,37.29,33.575,35.5,5779514.0,51270.0,35.523579
FE,2020-03-26 04:00:00+00:00,35.47,39.27,35.42,38.67,5403494.0,47991.0,38.241556
FE,2020-03-27 04:00:00+00:00,37.36,40.325,37.11,38.6,6392373.0,49038.0,38.655072
FE,2020-03-30 04:00:00+00:00,39.19,40.91,38.31,40.49,6766744.0,60688.0,40.021574
FE,2020-03-31 04:00:00+00:00,40.03,40.83,39.11,40.07,9614487.0,64915.0,40.168535
FE,2020-04-01 04:00:00+00:00,38.33,39.32,38.14,38.86,7570902.0,67099.0,38.704216
FE,2020-04-02 04:00:00+00:00,38.23,40.52,38.23,40.0,5077156.0,45403.0,39.717772
FE,2020-04-03 04:00:00+00:00,39.58,40.27,37.56,37.95,3874442.0,32841.0,38.265591
FE,2020-04-06 04:00:00+00:00,39.39,41.9,39.37,41.36,5683920.0,37498.0,41.082192
FE,2020-04-07 04:00:00+00:00,42.43,42.76,40.39,40.47,7036617.0,39311.0,41.349746
FE,2020-04-08 04:00:00+00:00,40.72,43.59,40.4,43.23,4006851.0,37970.0,42.486617
FE,2020-04-09 04:00:00+00:00,43.77,45.315,43.77,44.75,6756198.0,43152.0,44.790175
FE,2020-04-13 04:00:00+00:00,44.14,44.5,43.06,43.93,3767811.0,24995.0,43.813627
FE,2020-04-14 04:00:00+00:00,44.86,45.7735,44.6,45.47,3804936.0,33430.0,45.299931
FE,2020-04-15 04:00:00+00:00,44.32,44.65,43.63,43.95,2755553.0,24368.0,44.030504
FE,2020-04-16 04:00:00+00:00,43.99,44.955,43.38,44.86,3029497.0,25099.0,44.459739
FE,2020-04-17 04:00:00+00:00,45.73,46.3604,44.8,46.21,2781308.0,24484.0,45.790373
FE,2020-04-20 04:00:00+00:00,45.82,45.82,44.32,44.49,3081199.0,29801.0,44.757621
FE,2020-04-21 04:00:00+00:00,43.77,43.94,42.63,43.2,4053169.0,36361.0,43.182848
FE,2020-04-22 04:00:00+00:00,44.07,44.551,43.17,44.22,2669334.0,23245.0,43.959051
FE,2020-04-23 04:00:00+00:00,44.45,44.64,42.78,43.03,3521808.0,30173.0,43.290272
FE,2020-04-24 04:00:00+00:00,40.01,43.2965,39.3443,42.32,6044371.0,46422.0,42.193419
FE,2020-04-27 04:00:00+00:00,42.6,43.88,42.44,43.51,4805805.0,37656.0,43.383693
