symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FICO,2020-03-12 04:00:00+00:00,293.2,298.69,274.6,279.13,642694.0,11492.0,284.245835
FICO,2020-03-13 04:00:00+00:00,294.03,304.03,255.7,303.55,544411.0,8350.0,285.80569
FICO,2020-03-16 04:00:00+00:00,250.0,294.16,238.04,240.68,876608.0,12524.0,257.012184
FICO,2020-03-17 04:00:00+00:00,247.27,251.4,212.94,245.69,586946.0,9794.0,236.13467
FICO,2020-03-18 04:00:00+00:00,226.23,234.33,177.65,212.0,622837.0,9516.0,201.335939
FICO,2020-03-19 04:00:00+00:00,210.71,254.0,202.25,244.78,514282.0,8005.0,228.657181
FICO,2020-03-20 04:00:00+00:00,245.7,265.93,237.6,241.43,545755.0,7713.0,248.401781
FICO,2020-03-23 04:00:00+00:00,236.82,248.29,219.7135,231.14,434665.0,8705.0,231.355966
FICO,2020-03-24 04:00:00+00:00,244.74,271.29,240.861,269.31,311321.0,8120.0,259.96162
FICO,2020-03-25 04:00:00+00:00,269.01,285.0,257.02,268.93,333388.0,6924.0,273.229677
FICO,2020-03-26 04:00:00+00:00,274.65,306.04,270.21,305.0,296265.0,6022.0,298.001098
FICO,2020-03-27 04:00:00+00:00,290.48,303.36,280.16,291.06,296749.0,6673.0,291.33351
FICO,2020-03-30 04:00:00+00:00,294.04,315.225,289.0,313.83,508048.0,9886.0,310.08243
FICO,2020-03-31 04:00:00+00:00,313.0,329.38,304.01,307.69,782433.0,12280.0,311.298059
FICO,2020-04-01 04:00:00+00:00,296.4,306.13,285.23,288.82,450261.0,8769.0,296.273019
FICO,2020-04-02 04:00:00+00:00,285.44,294.68,276.19,282.92,383515.0,7829.0,285.163947
FICO,2020-04-03 04:00:00+00:00,280.22,282.31,259.3682,263.85,444214.0,9196.0,265.139416
FICO,2020-04-06 04:00:00+00:00,272.68,302.755,272.68,301.6,295714.0,7522.0,293.787753
FICO,2020-04-07 04:00:00+00:00,314.44,317.41,296.96,297.59,210974.0,5260.0,302.412247
FICO,2020-04-08 04:00:00+00:00,304.03,307.0,299.035,300.69,354499.0,7015.0,300.805839
FICO,2020-04-09 04:00:00+00:00,310.0,323.23,298.531,301.11,300351.0,7816.0,304.951754
FICO,2020-04-13 04:00:00+00:00,301.5,303.005,291.71,298.0,215708.0,5204.0,297.090947
FICO,2020-04-14 04:00:00+00:00,309.34,315.335,305.845,313.18,283188.0,7786.0,311.608084
FICO,2020-04-15 04:00:00+00:00,303.06,317.5,303.0387,309.96,252351.0,8248.0,311.466922
FICO,2020-04-16 04:00:00+00:00,314.99,317.88,299.53,301.52,363632.0,7269.0,304.318008
FICO,2020-04-17 04:00:00+00:00,309.99,320.8,303.96,319.26,311037.0,7388.0,316.001786
FICO,2020-04-20 04:00:00+00:00,314.24,320.68,306.72,307.34,160369.0,4138.0,311.115299
FICO,2020-04-21 04:00:00+00:00,301.17,301.63,287.1501,291.56,196820.0,6350.0,293.584182
FICO,2020-04-22 04:00:00+00:00,302.29,307.63,295.2,303.88,174630.0,4746.0,303.834009
FICO,2020-04-23 04:00:00+00:00,303.56,309.21,299.94,302.26,202467.0,5328.0,303.463969
FICO,2020-04-24 04:00:00+00:00,303.5,305.79,296.68,300.04,239282.0,5039.0,301.386611
FICO,2020-04-27 04:00:00+00:00,304.95,312.7,302.99,309.66,260943.0,5671.0,309.347586
FICO,2020-04-28 04:00:00+00:00,315.5,330.0,311.6813,324.89,357575.0,7587.0,322.331019
FICO,2020-04-29 04:00:00+00:00,330.71,359.76,330.71,356.99,344403.0,7760.0,350.493174
FICO,2020-04-30 04:00:00+00:00,362.06,364.26,335.32,352.94,589534.0,12453.0,350.020564
FICO,2020-05-01 04:00:00+00:00,340.3,349.68,330.01,336.61,312485.0,7358.0,336.666707
FICO,2020-05-04 04:00:00+00:00,332.27,346.32,327.9,345.83,248508.0,6350.0,341.555289
FICO,2020-05-05 04:00:00+00:00,350.0,360.92,349.52,353.41,270665.0,6279.0,356.139958
FICO,2020-05-06 04:00:00+00:00,359.35,362.87,354.46,357.3,252680.0,6310.0,359.078507
FICO,2020-05-07 04:00:00+00:00,364.04,371.19,360.07,366.58,234670.0,6444.0,366.990994
FICO,2020-05-08 04:00:00+00:00,371.42,375.05,367.41,371.1,198488.0,6521.0,371.283265
FICO,2020-05-11 04:00:00+00:00,366.6,376.41,366.6,370.58,278554.0,5742.0,371.666697
FICO,2020-05-12 04:00:00+00:00,371.39,373.3,351.58,351.58,290917.0,8006.0,360.710658
FICO,2020-05-13 04:00:00+00:00,354.36,357.24,341.53,349.94,368237.0,10526.0,349.350466
FICO,2020-05-14 04:00:00+00:00,343.46,350.16,337.04,349.92,170827.0,6042.0,345.121342
FICO,2020-05-15 04:00:00+00:00,347.4,358.785,344.23,352.36,246566.0,6110.0,352.421766
FICO,2020-05-18 04:00:00+00:00,363.92,375.1,360.97,366.67,264074.0,7590.0,369.052335
FICO,2020-05-19 04:00:00+00:00,370.0,379.2,369.08,369.08,196224.0,6108.0,373.321758
FICO,2020-05-20 04:00:00+00:00,378.78,387.33,376.73,383.6,256091.0,6304.0,384.23323
FICO,2020-05-21 04:00:00+00:00,386.11,389.38,381.44,385.18,252763.0,5239.0,385.753331
FICO,2020-05-22 04:00:00+00:00,385.0,389.99,382.47,389.4,187251.0,4989.0,387.953038
FICO,2020-05-26 04:00:00+00:00,398.95,402.605,395.0,396.55,367926.0,6828.0,397.641215
FICO,2020-05-27 04:00:00+00:00,396.55,398.185,372.615,394.94,313791.0,7770.0,387.581477
FICO,2020-05-28 04:00:00+00:00,398.4,407.245,395.34,397.61,363451.0,7408.0,400.531056
FICO,2020-05-29 04:00:00+00:00,400.37,407.53,394.6,402.65,2836405.0,14351.0,402.54602
FICO,2020-06-01 04:00:00+00:00,401.71,414.95,400.9,407.84,301824.0,9300.0,409.487243
FICO,2020-06-02 04:00:00+00:00,407.8,417.73,398.83,416.24,456995.0,9936.0,412.693791
FICO,2020-06-03 04:00:00+00:00,419.0,425.95,416.52,423.92,218449.0,7161.0,422.242856
FICO,2020-06-04 04:00:00+00:00,416.63,419.795,404.69,407.07,350638.0,7437.0,409.419573
FICO,2020-06-05 04:00:00+00:00,411.1,427.235,409.5,420.71,306901.0,7599.0,421.414104
FICO,2020-06-08 04:00:00+00:00,420.0,423.25,405.18,411.9,357045.0,8451.0,410.400412
FICO,2020-06-09 04:00:00+00:00,407.2,426.94,407.2,419.51,282122.0,7085.0,420.304601
FICO,2020-06-10 04:00:00+00:00,427.17,429.5873,420.31,426.87,303673.0,7111.0,425.787462
FICO,2020-06-11 04:00:00+00:00,412.19,426.14,401.95,403.41,330181.0,9996.0,411.770529
FICO,2020-06-12 04:00:00+00:00,417.63,420.96,399.0405,413.52,284400.0,6511.0,411.02962
FICO,2020-06-15 04:00:00+00:00,405.0,420.27,403.4,419.54,217561.0,5397.0,416.489371
FICO,2020-06-16 04:00:00+00:00,427.9,431.6147,415.365,425.32,209042.0,5228.0,425.846403
FICO,2020-06-17 04:00:00+00:00,428.76,430.0,420.6,422.43,153070.0,4117.0,424.555502
FICO,2020-06-18 04:00:00+00:00,419.92,427.41,418.55,423.99,194606.0,3444.0,423.927322
FICO,2020-06-19 04:00:00+00:00,426.32,428.53,418.285,421.9,431971.0,5492.0,422.986527
FICO,2020-06-22 04:00:00+00:00,421.74,433.14,420.15,428.47,196131.0,5067.0,428.279588
FICO,2020-06-23 04:00:00+00:00,432.88,434.63,423.05,425.53,200210.0,4749.0,426.991319
FICO,2020-06-24 04:00:00+00:00,421.01,427.78,407.42,409.06,232858.0,6234.0,410.666063
FICO,2020-06-25 04:00:00+00:00,409.06,416.89,405.007,416.37,197813.0,4465.0,413.862011
FICO,2020-06-26 04:00:00+00:00,417.35,419.98,406.2,406.2,557301.0,5623.0,408.373808
FICO,2020-06-29 04:00:00+00:00,408.36,409.43,397.68,406.03,234034.0,6139.0,405.579702
FICO,2020-06-30 04:00:00+00:00,407.77,421.185,407.77,418.04,303920.0,5920.0,416.037287
FICO,2020-07-01 04:00:00+00:00,416.52,428.275,413.53,423.57,220040.0,5271.0,422.516654
FICO,2020-07-02 04:00:00+00:00,428.0,428.99,418.01,418.77,171644.0,5070.0,420.747013
FICO,2020-07-06 04:00:00+00:00,426.34,427.52,416.42,416.85,274820.0,5060.0,419.120779
FICO,2020-07-07 04:00:00+00:00,412.18,422.18,409.53,409.8,134981.0,4180.0,413.476478
FICO,2020-07-08 04:00:00+00:00,412.47,423.1,410.05,422.0,176577.0,4099.0,419.826485
FICO,2020-07-09 04:00:00+00:00,425.0,428.54,410.015,421.76,269638.0,6478.0,421.083937
FICO,2020-07-10 04:00:00+00:00,422.09,423.815,409.35,412.17,304404.0,6713.0,413.287361
FICO,2020-07-13 04:00:00+00:00,415.22,419.05,398.63,399.62,344644.0,6270.0,407.364393
FICO,2020-07-14 04:00:00+00:00,396.84,409.19,388.02,408.59,373497.0,7299.0,401.970874
FICO,2020-07-15 04:00:00+00:00,411.77,412.27,402.31,406.01,319725.0,6023.0,406.017478
FICO,2020-07-16 04:00:00+00:00,400.93,403.32,396.87,400.29,238540.0,4817.0,400.414063
FICO,2020-07-17 04:00:00+00:00,403.42,414.53,399.885,413.15,335744.0,6607.0,411.52866
FICO,2020-07-20 04:00:00+00:00,413.15,418.08,407.01,415.73,270018.0,5285.0,414.354243
FICO,2020-07-21 04:00:00+00:00,418.05,422.49,413.46,416.91,289079.0,5184.0,417.04316
FICO,2020-07-22 04:00:00+00:00,417.18,424.95,417.18,422.1,227677.0,4573.0,421.11825
FICO,2020-07-23 04:00:00+00:00,421.52,433.18,415.61,420.57,316206.0,7437.0,422.229198
FICO,2020-07-24 04:00:00+00:00,415.21,420.26,409.14,414.33,209220.0,4562.0,414.209387
FICO,2020-07-27 04:00:00+00:00,417.44,427.52,415.15,425.72,271228.0,6063.0,424.024729
FICO,2020-07-28 04:00:00+00:00,423.36,424.11,415.29,416.3,143328.0,4594.0,418.310876
FICO,2020-07-29 04:00:00+00:00,429.75,440.92,423.55,438.39,292460.0,7557.0,436.18634
FICO,2020-07-30 04:00:00+00:00,415.8,441.77,415.8,439.1,327121.0,8784.0,436.899907
FICO,2020-07-31 04:00:00+00:00,441.33,442.65,427.22,439.19,247416.0,6839.0,436.2421
FICO,2020-08-03 04:00:00+00:00,442.95,447.72,437.0,438.17,313052.0,7376.0,442.131203
FICO,2020-08-04 04:00:00+00:00,439.66,440.49,431.135,435.77,173619.0,5058.0,435.706529
FICO,2020-08-05 04:00:00+00:00,438.0,441.68,435.18,437.44,167801.0,4404.0,438.425718
FICO,2020-08-06 04:00:00+00:00,438.59,443.16,433.69,441.06,179291.0,5294.0,439.650372
FICO,2020-08-07 04:00:00+00:00,437.87,444.77,435.84,441.72,196530.0,5541.0,440.249875
FICO,2020-08-10 04:00:00+00:00,441.93,443.01,431.28,437.26,159472.0,5969.0,437.335332
FICO,2020-08-11 04:00:00+00:00,435.09,438.36,426.04,429.42,233390.0,6162.0,431.836797
FICO,2020-08-12 04:00:00+00:00,435.0,438.15,430.48,431.7,99964.0,3291.0,433.3722
FICO,2020-08-13 04:00:00+00:00,432.97,443.99,431.86,434.8,223574.0,6463.0,438.185517
FICO,2020-08-14 04:00:00+00:00,435.05,438.4489,428.55,429.67,149039.0,4058.0,431.299944
FICO,2020-08-17 04:00:00+00:00,434.09,437.2,431.79,434.56,225551.0,4253.0,434.680267
FICO,2020-08-18 04:00:00+00:00,435.91,437.66,429.305,430.14,168682.0,5090.0,431.416338
FICO,2020-08-19 04:00:00+00:00,433.26,433.26,424.96,426.5,233740.0,5109.0,428.585267
FICO,2020-08-20 04:00:00+00:00,423.87,433.76,423.31,428.51,162163.0,4165.0,429.642699
FICO,2020-08-21 04:00:00+00:00,427.95,428.37,420.41,421.6,173886.0,4838.0,422.352637
FICO,2020-08-24 04:00:00+00:00,427.94,427.94,418.51,420.66,192955.0,4927.0,421.704338
FICO,2020-08-25 04:00:00+00:00,421.17,426.13,418.99,423.42,228878.0,5700.0,422.857931
FICO,2020-08-26 04:00:00+00:00,424.9,431.07,420.5,425.38,157157.0,4517.0,425.904519
