symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GEN,2020-03-12 04:00:00+00:00,16.48,17.71,15.9,17.26,9654027.0,57339.0,17.040224
GEN,2020-03-13 04:00:00+00:00,18.12,18.34,16.95,17.45,11669528.0,69527.0,17.485698
GEN,2020-03-16 04:00:00+00:00,16.01,17.57,15.77,16.84,12029858.0,63902.0,16.821117
GEN,2020-03-17 04:00:00+00:00,16.93,17.27,15.74,16.64,13425237.0,84612.0,16.550776
GEN,2020-03-18 04:00:00+00:00,15.72,16.91,15.12,16.61,12260081.0,87155.0,16.286696
GEN,2020-03-19 04:00:00+00:00,16.56,17.26,15.83,16.82,16824241.0,100694.0,16.696738
GEN,2020-03-20 04:00:00+00:00,16.7,17.09,15.99,16.96,15248362.0,68473.0,16.769541
GEN,2020-03-23 04:00:00+00:00,16.8,16.9,16.06,16.58,15731930.0,80417.0,16.511215
GEN,2020-03-24 04:00:00+00:00,17.15,17.97,16.23,17.35,11201365.0,65795.0,17.259194
GEN,2020-03-25 04:00:00+00:00,17.78,18.99,17.04,17.89,8802304.0,54761.0,18.131646
GEN,2020-03-26 04:00:00+00:00,17.97,18.825,17.94,18.73,7587959.0,49801.0,18.470927
GEN,2020-03-27 04:00:00+00:00,18.4,19.385,18.11,18.93,7667249.0,47298.0,18.942825
GEN,2020-03-30 04:00:00+00:00,19.24,19.67,18.82,19.1,8808326.0,50637.0,19.138194
GEN,2020-03-31 04:00:00+00:00,18.97,19.525,18.47,18.71,13067289.0,55055.0,18.841936
GEN,2020-04-01 04:00:00+00:00,18.15,19.22,18.04,18.76,7229849.0,52164.0,18.683907
GEN,2020-04-02 04:00:00+00:00,18.53,18.95,18.15,18.47,7440733.0,36156.0,18.495879
GEN,2020-04-03 04:00:00+00:00,18.41,18.76,18.185,18.29,4459199.0,25133.0,18.342057
GEN,2020-04-06 04:00:00+00:00,18.78,19.12,18.48,18.97,5412729.0,33806.0,18.839703
GEN,2020-04-07 04:00:00+00:00,19.5,19.66,18.89,18.94,7815390.0,46509.0,19.171408
GEN,2020-04-08 04:00:00+00:00,19.11,19.71,18.9,19.58,3791283.0,26398.0,19.463129
GEN,2020-04-09 04:00:00+00:00,19.33,19.82,18.84,19.37,5818879.0,36251.0,19.296755
GEN,2020-04-13 04:00:00+00:00,19.26,19.41,18.63,18.86,7293692.0,32460.0,18.864001
GEN,2020-04-14 04:00:00+00:00,19.17,19.42,18.95,19.07,6596894.0,39462.0,19.130464
GEN,2020-04-15 04:00:00+00:00,18.8174,20.2,18.76,19.7,6416306.0,38486.0,19.653764
GEN,2020-04-16 04:00:00+00:00,20.24,20.605,19.9,20.42,10813431.0,44155.0,20.360299
GEN,2020-04-17 04:00:00+00:00,20.69,20.74,19.91,20.12,7674983.0,32600.0,20.142746
GEN,2020-04-20 04:00:00+00:00,20.09,20.295,19.785,20.01,5783219.0,27790.0,20.015858
GEN,2020-04-21 04:00:00+00:00,19.75,19.97,19.06,19.38,9535593.0,34114.0,19.371214
GEN,2020-04-22 04:00:00+00:00,19.63,20.02,19.41,19.91,7459939.0,33207.0,19.843527
GEN,2020-04-23 04:00:00+00:00,19.86,20.29,19.65,20.21,7320240.0,37042.0,20.083398
GEN,2020-04-24 04:00:00+00:00,20.21,21.22,19.89,20.96,12272210.0,38031.0,20.773344
GEN,2020-04-27 04:00:00+00:00,21.4,21.825,21.075,21.28,11104820.0,61239.0,21.307557
GEN,2020-04-28 04:00:00+00:00,21.43,21.49,20.885,20.97,5173750.0,34176.0,21.111073
GEN,2020-04-29 04:00:00+00:00,21.3286,21.54,20.84,21.28,12479590.0,35058.0,21.299316
GEN,2020-04-30 04:00:00+00:00,21.41,21.62,21.01,21.27,8077087.0,32202.0,21.25612
GEN,2020-05-01 04:00:00+00:00,20.99,21.185,20.63,20.86,4470928.0,23226.0,20.822786
GEN,2020-05-04 04:00:00+00:00,20.94,21.33,20.81,21.1,8217555.0,35825.0,21.071387
GEN,2020-05-05 04:00:00+00:00,21.17,21.795,21.11,21.53,4307767.0,28473.0,21.563108
GEN,2020-05-06 04:00:00+00:00,21.79,21.8,21.24,21.52,5703121.0,31131.0,21.548795
GEN,2020-05-07 04:00:00+00:00,21.76,21.7873,21.12,21.18,7734043.0,38042.0,21.317163
GEN,2020-05-08 04:00:00+00:00,21.3,21.47,20.925,21.28,5506722.0,22750.0,21.25074
GEN,2020-05-11 04:00:00+00:00,21.23,21.88,21.23,21.5,5631810.0,34529.0,21.621512
GEN,2020-05-12 04:00:00+00:00,21.57,21.65,20.8,20.8,6156983.0,28964.0,20.997787
GEN,2020-05-13 04:00:00+00:00,20.78,21.11,20.21,20.43,5540394.0,35988.0,20.551812
GEN,2020-05-14 04:00:00+00:00,20.51,20.99,19.98,20.93,5800071.0,38989.0,20.640047
GEN,2020-05-15 04:00:00+00:00,20.77,21.08,19.91,20.025,7560339.0,39145.0,20.24952
GEN,2020-05-18 04:00:00+00:00,20.41,20.49,19.8,19.94,6588616.0,39251.0,20.053489
GEN,2020-05-19 04:00:00+00:00,20.01,20.42,19.73,20.23,7795350.0,33333.0,20.154677
GEN,2020-05-20 04:00:00+00:00,20.39,21.15,20.24,21.0,10658596.0,46029.0,20.952948
GEN,2020-05-21 04:00:00+00:00,20.9,21.0,20.18,20.23,6301629.0,35545.0,20.35844
GEN,2020-05-22 04:00:00+00:00,20.25,20.435,20.08,20.235,3556616.0,22131.0,20.250346
GEN,2020-05-26 04:00:00+00:00,20.5,20.56,19.81,19.87,5116727.0,32312.0,20.0897
GEN,2020-05-27 04:00:00+00:00,20.0,20.01,18.91,19.86,8085342.0,58298.0,19.495568
GEN,2020-05-28 04:00:00+00:00,19.94,21.25,19.85,20.94,8650555.0,59422.0,20.868691
GEN,2020-05-29 04:00:00+00:00,21.05,23.02,20.855,22.78,20669516.0,70725.0,22.39844
GEN,2020-06-01 04:00:00+00:00,22.45,22.55,21.62,21.71,10580710.0,62865.0,21.899988
GEN,2020-06-02 04:00:00+00:00,21.45,21.45,20.48,21.06,12939435.0,47946.0,20.968737
GEN,2020-06-03 04:00:00+00:00,20.94,21.24,20.52,20.71,5623769.0,37195.0,20.761616
GEN,2020-06-04 04:00:00+00:00,20.78,21.48,20.585,21.1,9929743.0,48585.0,21.117273
GEN,2020-06-05 04:00:00+00:00,21.4,21.56,20.71,21.05,7536498.0,47039.0,21.096819
GEN,2020-06-08 04:00:00+00:00,21.4,21.99,21.18,21.97,8777966.0,49182.0,21.7799
GEN,2020-06-09 04:00:00+00:00,21.17,21.32,20.61,21.14,12405311.0,58347.0,21.035417
GEN,2020-06-10 04:00:00+00:00,21.15,21.48,20.625,21.41,10149018.0,51944.0,21.262498
GEN,2020-06-11 04:00:00+00:00,21.12,21.18,19.97,19.98,7054394.0,50572.0,20.274757
GEN,2020-06-12 04:00:00+00:00,20.23,20.6293,19.56,19.85,10063712.0,46007.0,19.875086
