symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HPQ,2020-03-12 04:00:00+00:00,17.4,18.57,16.35,17.51,14431337.0,66325.0,17.636593
HPQ,2020-03-13 04:00:00+00:00,18.57,18.62,16.43,17.18,18626797.0,83547.0,17.140994
HPQ,2020-03-16 04:00:00+00:00,15.7,15.72,14.32,14.46,18312327.0,82063.0,14.789489
HPQ,2020-03-17 04:00:00+00:00,14.64,15.14,13.61,14.4,23630758.0,120534.0,14.316886
HPQ,2020-03-18 04:00:00+00:00,13.55,14.0,12.73,13.11,12587937.0,68388.0,13.264024
HPQ,2020-03-19 04:00:00+00:00,13.01,14.705,12.54,14.4,15191689.0,79130.0,13.998659
HPQ,2020-03-20 04:00:00+00:00,14.42,14.795,13.59,13.95,20360945.0,92384.0,14.134815
HPQ,2020-03-23 04:00:00+00:00,13.78,13.96,12.97,13.7,16197025.0,97458.0,13.644101
HPQ,2020-03-24 04:00:00+00:00,14.29,15.64,14.01,15.47,15979804.0,87475.0,15.159721
HPQ,2020-03-25 04:00:00+00:00,15.48,16.8,14.87,15.38,15948447.0,85692.0,15.666139
HPQ,2020-03-26 04:00:00+00:00,15.53,18.21,15.31,17.94,22488657.0,129327.0,17.183667
HPQ,2020-03-27 04:00:00+00:00,16.96,17.31,16.12,16.86,12228350.0,60394.0,16.873639
HPQ,2020-03-30 04:00:00+00:00,17.0,18.09,16.55,17.84,12910088.0,70226.0,17.643527
HPQ,2020-03-31 04:00:00+00:00,17.84,17.97,16.93,17.36,22082285.0,82999.0,17.43092
HPQ,2020-04-01 04:00:00+00:00,16.45,16.67,14.61,14.84,19926321.0,105331.0,15.326424
HPQ,2020-04-02 04:00:00+00:00,14.81,15.82,14.75,15.49,16831753.0,81694.0,15.420353
HPQ,2020-04-03 04:00:00+00:00,15.39,15.7,14.205,14.48,13416090.0,71637.0,14.678953
HPQ,2020-04-06 04:00:00+00:00,15.15,15.46,14.93,15.0,24858626.0,91440.0,15.09594
HPQ,2020-04-07 04:00:00+00:00,15.7,16.09,15.08,15.12,26774170.0,122349.0,15.450742
HPQ,2020-04-08 04:00:00+00:00,15.44,16.14,15.32,15.72,26775195.0,97759.0,15.73644
HPQ,2020-04-09 04:00:00+00:00,16.23,16.49,15.83,15.97,18444236.0,74885.0,16.061543
HPQ,2020-04-13 04:00:00+00:00,15.95,15.95,15.41,15.54,11018697.0,51725.0,15.562743
HPQ,2020-04-14 04:00:00+00:00,15.91,16.15,15.53,15.92,19333548.0,81883.0,15.868896
HPQ,2020-04-15 04:00:00+00:00,15.51,15.55,14.93,15.0,10438049.0,60647.0,15.081958
HPQ,2020-04-16 04:00:00+00:00,15.05,15.34,14.55,15.24,13410805.0,65742.0,15.075589
HPQ,2020-04-17 04:00:00+00:00,15.45,15.73,15.36,15.52,18945413.0,80702.0,15.506931
HPQ,2020-04-20 04:00:00+00:00,15.2,15.49,14.9,15.36,17191958.0,65448.0,15.329631
