symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HSY,2020-03-12 04:00:00+00:00,138.56,142.69,132.84,132.87,2743845.0,37085.0,136.181628
HSY,2020-03-13 04:00:00+00:00,140.09,140.11,131.39,139.84,2247647.0,31735.0,138.080405
HSY,2020-03-16 04:00:00+00:00,128.46,136.58,115.21,129.99,2158441.0,28865.0,127.970879
HSY,2020-03-17 04:00:00+00:00,128.41,144.59,127.81,139.1,2896682.0,43303.0,139.531757
HSY,2020-03-18 04:00:00+00:00,132.21,136.96,111.58,116.11,3321644.0,36090.0,122.240834
HSY,2020-03-19 04:00:00+00:00,116.07,127.75,115.01,121.79,2037222.0,27259.0,122.069087
HSY,2020-03-20 04:00:00+00:00,120.14,126.294,116.58,117.73,2005566.0,21902.0,119.862991
HSY,2020-03-23 04:00:00+00:00,117.75,122.46,109.88,111.43,2085366.0,29353.0,114.449566
HSY,2020-03-24 04:00:00+00:00,114.65,123.21,114.2175,121.92,1695221.0,22230.0,120.526259
HSY,2020-03-25 04:00:00+00:00,123.48,130.79,121.37,126.14,2179573.0,22136.0,126.108892
HSY,2020-03-26 04:00:00+00:00,126.12,133.08,126.12,132.45,1586909.0,24823.0,130.346622
HSY,2020-03-27 04:00:00+00:00,129.04,135.51,128.81,130.84,1733487.0,22279.0,131.653732
HSY,2020-03-30 04:00:00+00:00,133.29,138.62,133.29,137.78,1448381.0,21720.0,136.430397
HSY,2020-03-31 04:00:00+00:00,136.85,138.05,132.06,132.5,2822429.0,26338.0,133.252383
HSY,2020-04-01 04:00:00+00:00,128.39,133.65,127.75,131.66,1560589.0,22239.0,131.426955
HSY,2020-04-02 04:00:00+00:00,129.82,136.49,129.79,135.73,2218800.0,18752.0,134.335073
HSY,2020-04-03 04:00:00+00:00,134.88,140.47,134.88,139.77,1659472.0,22945.0,138.811815
HSY,2020-04-06 04:00:00+00:00,143.55,144.0,138.06,141.86,1448511.0,21126.0,141.930561
HSY,2020-04-07 04:00:00+00:00,142.15,144.62,140.03,141.11,1515258.0,21382.0,142.160822
HSY,2020-04-08 04:00:00+00:00,141.62,144.04,140.54,142.71,879508.0,14756.0,142.765581
HSY,2020-04-09 04:00:00+00:00,142.77,147.35,142.73,143.91,1139455.0,16049.0,144.44123
HSY,2020-04-13 04:00:00+00:00,143.2,144.42,141.13,142.65,2188103.0,11095.0,142.62901
HSY,2020-04-14 04:00:00+00:00,143.85,147.46,141.76,146.13,1256908.0,19157.0,145.832059
HSY,2020-04-15 04:00:00+00:00,146.12,146.75,141.78,142.6,1844018.0,16110.0,143.030014
HSY,2020-04-16 04:00:00+00:00,144.02,146.67,142.6726,145.45,1717461.0,17992.0,145.237383
HSY,2020-04-17 04:00:00+00:00,147.4,147.77,143.96,146.46,1289938.0,18616.0,145.982254
HSY,2020-04-20 04:00:00+00:00,143.25,147.3,143.06,144.58,1136307.0,15167.0,145.032151
HSY,2020-04-21 04:00:00+00:00,146.24,146.24,140.75,141.62,1386600.0,19216.0,142.497548
HSY,2020-04-22 04:00:00+00:00,142.59,145.48,142.5,143.28,1487113.0,18218.0,143.652934
HSY,2020-04-23 04:00:00+00:00,140.0,142.0126,135.87,136.91,2282623.0,29405.0,137.564828
HSY,2020-04-24 04:00:00+00:00,136.03,136.6,133.39,135.74,1575531.0,20408.0,135.329165
HSY,2020-04-27 04:00:00+00:00,136.55,137.68,135.1,135.11,1402608.0,16510.0,135.763294
HSY,2020-04-28 04:00:00+00:00,135.11,136.12,133.81,134.25,1300879.0,17290.0,134.692128
HSY,2020-04-29 04:00:00+00:00,134.57,134.91,132.08,134.41,2035148.0,21696.0,133.917878
HSY,2020-04-30 04:00:00+00:00,134.6,134.89,132.0,132.43,1422148.0,15456.0,132.856202
HSY,2020-05-01 04:00:00+00:00,131.44,133.75,130.37,132.54,1254860.0,16567.0,132.537258
HSY,2020-05-04 04:00:00+00:00,131.89,132.0,129.91,131.25,1224398.0,16148.0,131.094238
HSY,2020-05-05 04:00:00+00:00,131.59,132.9,129.755,131.36,1291109.0,13846.0,131.49913
HSY,2020-05-06 04:00:00+00:00,132.04,132.98,131.23,131.73,940300.0,13181.0,131.996667
HSY,2020-05-07 04:00:00+00:00,132.94,133.31,130.39,130.53,1077468.0,14571.0,131.348841
HSY,2020-05-08 04:00:00+00:00,132.25,133.755,131.81,133.19,908708.0,13966.0,132.929326
HSY,2020-05-11 04:00:00+00:00,133.13,135.19,132.92,132.95,1216875.0,12244.0,133.542113
HSY,2020-05-12 04:00:00+00:00,133.86,134.69,132.41,132.47,737422.0,11179.0,133.222733
HSY,2020-05-13 04:00:00+00:00,132.37,133.63,130.77,131.87,908229.0,12783.0,131.905025
HSY,2020-05-14 04:00:00+00:00,131.83,132.62,129.49,131.03,1266477.0,17434.0,130.938853
HSY,2020-05-15 04:00:00+00:00,130.9,133.47,130.05,130.38,3640168.0,20577.0,130.924679
HSY,2020-05-18 04:00:00+00:00,131.91,132.85,128.81,132.27,2115124.0,19584.0,131.561654
HSY,2020-05-19 04:00:00+00:00,131.5,132.2535,129.52,130.91,1279016.0,18352.0,131.220537
