symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HUM,2020-03-12 04:00:00+00:00,305.53,317.08,291.23,293.05,1873646.0,25157.0,298.143374
HUM,2020-03-13 04:00:00+00:00,311.615,314.59,280.06,313.91,2497278.0,30357.0,304.925279
HUM,2020-03-16 04:00:00+00:00,260.08,292.3,251.13,270.21,3048883.0,35583.0,273.152415
HUM,2020-03-17 04:00:00+00:00,274.43,277.85,262.04,272.58,2790927.0,30536.0,269.557963
HUM,2020-03-18 04:00:00+00:00,257.81,259.31,230.0,246.58,3421069.0,29257.0,243.602458
HUM,2020-03-19 04:00:00+00:00,246.32,261.33,235.02,256.19,2012949.0,26014.0,249.660991
HUM,2020-03-20 04:00:00+00:00,261.01,273.81,230.28,230.61,3569399.0,29816.0,243.081958
HUM,2020-03-23 04:00:00+00:00,230.85,239.78,208.25,214.43,3675119.0,35483.0,220.051765
HUM,2020-03-24 04:00:00+00:00,227.55,243.925,218.1,234.06,3536946.0,41810.0,233.673161
HUM,2020-03-25 04:00:00+00:00,229.18,281.28,225.63,269.01,3155428.0,41163.0,266.221287
HUM,2020-03-26 04:00:00+00:00,272.34,306.96,270.04,304.48,2310555.0,38679.0,292.876015
HUM,2020-03-27 04:00:00+00:00,290.14,304.0,289.0,297.07,2006347.0,29417.0,297.120325
HUM,2020-03-30 04:00:00+00:00,299.32,318.97,298.07,311.23,1712644.0,25005.0,310.815055
HUM,2020-03-31 04:00:00+00:00,312.06,317.85,298.58,314.02,3073013.0,27208.0,312.784967
HUM,2020-04-01 04:00:00+00:00,300.0,302.47,288.01,298.75,1684882.0,26290.0,295.61408
HUM,2020-04-02 04:00:00+00:00,293.0,306.9416,287.9,300.11,1120461.0,20486.0,296.946312
HUM,2020-04-03 04:00:00+00:00,293.68,299.0,285.49,291.63,1364822.0,17434.0,291.568057
HUM,2020-04-06 04:00:00+00:00,305.22,330.84,301.2892,327.47,1651327.0,24543.0,320.924413
HUM,2020-04-07 04:00:00+00:00,340.0,345.0,318.06,320.05,1827078.0,26599.0,327.632328
