symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IBM,2020-03-12 04:00:00+00:00,109.65,109.8,102.28,102.81,13753705.0,128002.0,104.458709
IBM,2020-03-13 04:00:00+00:00,108.68,109.16,100.81,107.95,13670694.0,139847.0,104.845757
IBM,2020-03-16 04:00:00+00:00,98.0,107.41,95.0,96.88,11799260.0,130140.0,100.390127
IBM,2020-03-17 04:00:00+00:00,100.61,107.395,97.1,106.65,9893859.0,111238.0,102.908836
IBM,2020-03-18 04:00:00+00:00,99.41,106.9345,99.4,103.0,10151343.0,96793.0,103.306655
IBM,2020-03-19 04:00:00+00:00,102.33,103.69,98.235,100.34,9227424.0,92956.0,101.151345
IBM,2020-03-20 04:00:00+00:00,100.92,100.99,94.71,95.39,11771711.0,109113.0,97.024273
IBM,2020-03-23 04:00:00+00:00,94.6,97.74,90.56,94.77,10407709.0,101678.0,93.942653
IBM,2020-03-24 04:00:00+00:00,99.99,106.04,99.26,105.48,9260634.0,82952.0,103.705327
IBM,2020-03-25 04:00:00+00:00,105.87,112.4779,102.83,105.85,9930107.0,91161.0,107.500782
IBM,2020-03-26 04:00:00+00:00,106.91,113.15,105.57,112.89,8208294.0,71362.0,110.933534
IBM,2020-03-27 04:00:00+00:00,108.58,111.5,107.645,108.03,7104315.0,73634.0,108.859415
IBM,2020-03-30 04:00:00+00:00,108.09,113.46,107.81,112.93,6336610.0,57655.0,111.752469
IBM,2020-03-31 04:00:00+00:00,112.0,113.81,110.17,110.93,7559796.0,67452.0,111.555476
IBM,2020-04-01 04:00:00+00:00,106.33,109.92,104.521,105.14,6883158.0,71439.0,106.338367
IBM,2020-04-02 04:00:00+00:00,105.37,110.32,105.14,110.0,7139778.0,61410.0,108.98118
IBM,2020-04-03 04:00:00+00:00,108.92,110.07,104.92,106.34,5046174.0,45555.0,106.730297
IBM,2020-04-06 04:00:00+00:00,110.35,115.63,110.13,114.82,8197683.0,62800.0,113.620853
IBM,2020-04-07 04:00:00+00:00,118.8,119.57,114.87,114.94,6206301.0,59541.0,116.908169
IBM,2020-04-08 04:00:00+00:00,116.35,119.96,115.0742,119.29,5675012.0,52317.0,118.016452
IBM,2020-04-09 04:00:00+00:00,120.49,122.92,120.1672,121.5,6224405.0,62431.0,121.610669
IBM,2020-04-13 04:00:00+00:00,121.63,121.8,118.04,121.15,5536533.0,54789.0,120.008735
IBM,2020-04-14 04:00:00+00:00,123.5,125.18,122.62,123.91,5715747.0,47288.0,123.854516
IBM,2020-04-15 04:00:00+00:00,119.12,120.1852,116.76,118.69,6058967.0,58958.0,118.477655
IBM,2020-04-16 04:00:00+00:00,119.02,119.75,114.42,115.73,7276261.0,64367.0,115.893934
IBM,2020-04-17 04:00:00+00:00,119.3,120.39,117.92,120.12,5480645.0,54213.0,119.54166
IBM,2020-04-20 04:00:00+00:00,119.15,122.8635,118.14,120.41,8766683.0,80323.0,120.966188
IBM,2020-04-21 04:00:00+00:00,114.0,117.145,112.06,116.76,14983107.0,133114.0,115.013118
IBM,2020-04-22 04:00:00+00:00,119.87,120.33,117.55,119.31,8268651.0,56224.0,119.162303
IBM,2020-04-23 04:00:00+00:00,119.57,123.03,119.12,121.35,7349565.0,63344.0,121.151649
IBM,2020-04-24 04:00:00+00:00,122.41,125.0,120.7634,124.72,5402563.0,50791.0,123.251064
IBM,2020-04-27 04:00:00+00:00,125.56,126.99,125.47,125.92,5402961.0,50533.0,126.19613
IBM,2020-04-28 04:00:00+00:00,128.06,128.2,125.38,126.27,5070700.0,54173.0,126.818708
IBM,2020-04-29 04:00:00+00:00,128.88,129.31,127.53,128.69,5742135.0,56028.0,128.68708
IBM,2020-04-30 04:00:00+00:00,126.52,127.27,125.22,125.56,7842983.0,61180.0,125.910402
IBM,2020-05-01 04:00:00+00:00,123.16,123.47,121.39,121.87,5388423.0,60651.0,122.158249
IBM,2020-05-04 04:00:00+00:00,120.82,121.97,119.391,121.68,4302121.0,46579.0,120.604485
IBM,2020-05-05 04:00:00+00:00,123.39,124.32,122.47,122.58,4202649.0,42064.0,123.331159
IBM,2020-05-06 04:00:00+00:00,123.2,124.05,122.41,123.17,4331660.0,39114.0,123.227943
IBM,2020-05-07 04:00:00+00:00,122.97,123.26,120.85,121.23,4845696.0,49477.0,121.748947
IBM,2020-05-08 04:00:00+00:00,122.57,123.23,121.06,122.99,5488671.0,47671.0,122.311298
IBM,2020-05-11 04:00:00+00:00,121.81,123.45,120.67,122.59,3915919.0,35678.0,122.334241
IBM,2020-05-12 04:00:00+00:00,123.01,124.32,120.26,120.26,5197896.0,49671.0,122.360506
IBM,2020-05-13 04:00:00+00:00,119.95,119.99,114.85,115.73,6444130.0,68536.0,116.322573
IBM,2020-05-14 04:00:00+00:00,114.57,117.09,111.81,116.95,5652974.0,58008.0,114.903868
IBM,2020-05-15 04:00:00+00:00,115.93,117.39,115.25,116.98,5712857.0,39384.0,116.749395
IBM,2020-05-18 04:00:00+00:00,119.88,122.36,119.75,121.56,4670449.0,46611.0,121.284266
IBM,2020-05-19 04:00:00+00:00,121.19,122.17,120.14,120.29,3568431.0,36904.0,121.087888
IBM,2020-05-20 04:00:00+00:00,120.97,122.4659,120.6,121.38,4469919.0,38458.0,121.436086
IBM,2020-05-21 04:00:00+00:00,120.99,121.72,118.97,119.12,4305463.0,45455.0,119.853462
IBM,2020-05-22 04:00:00+00:00,119.37,119.465,117.59,118.39,4778389.0,40753.0,118.294329
IBM,2020-05-26 04:00:00+00:00,121.3,122.62,121.0101,121.76,6089264.0,60227.0,121.879369
IBM,2020-05-27 04:00:00+00:00,123.47,125.83,123.47,125.54,6119827.0,67300.0,124.949891
IBM,2020-05-28 04:00:00+00:00,126.9,126.97,124.22,124.53,4367321.0,43809.0,125.23006
IBM,2020-05-29 04:00:00+00:00,123.67,125.13,122.24,124.9,10774692.0,52699.0,124.385326
IBM,2020-06-01 04:00:00+00:00,124.64,125.75,124.03,124.89,3140471.0,35276.0,124.950304
IBM,2020-06-02 04:00:00+00:00,125.67,126.0,124.66,126.0,3412852.0,31057.0,125.610585
IBM,2020-06-03 04:00:00+00:00,127.2,129.595,127.0,129.05,4384398.0,44845.0,128.842085
