symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ICE,2020-03-12 04:00:00+00:00,80.33,83.04,75.46,75.61,7249988.0,60681.0,78.566051
ICE,2020-03-13 04:00:00+00:00,79.77,83.29,76.78,83.12,8079819.0,61991.0,80.144253
ICE,2020-03-16 04:00:00+00:00,75.03,79.95,72.82,74.13,6487791.0,56062.0,75.98231
ICE,2020-03-17 04:00:00+00:00,75.81,78.88,73.71,76.79,7784080.0,64637.0,76.589154
ICE,2020-03-18 04:00:00+00:00,72.72,73.58,66.04,70.08,8561164.0,67329.0,70.57601
ICE,2020-03-19 04:00:00+00:00,70.03,74.94,64.11,73.68,5986293.0,53797.0,71.270064
ICE,2020-03-20 04:00:00+00:00,73.77,74.1,68.8203,72.99,9720994.0,66619.0,72.185637
ICE,2020-03-23 04:00:00+00:00,72.24,72.41,63.51,66.85,7219949.0,58245.0,66.937885
ICE,2020-03-24 04:00:00+00:00,70.3,74.15,69.89,73.66,5670464.0,44700.0,72.645308
ICE,2020-03-25 04:00:00+00:00,73.49,77.54,72.51,74.52,5090014.0,45224.0,74.93999
ICE,2020-03-26 04:00:00+00:00,75.41,80.7,75.41,79.82,5168917.0,39982.0,79.143366
ICE,2020-03-27 04:00:00+00:00,77.66,84.35,77.32,81.25,5147793.0,44988.0,80.702179
ICE,2020-03-30 04:00:00+00:00,82.07,84.5,81.26,83.81,5102249.0,44636.0,82.62563
ICE,2020-03-31 04:00:00+00:00,82.55,82.96,80.29,80.75,4544456.0,32405.0,81.119581
ICE,2020-04-01 04:00:00+00:00,77.38,80.12,77.38,79.31,3651708.0,32875.0,79.310624
ICE,2020-04-02 04:00:00+00:00,78.995,81.39,77.17,81.14,3229152.0,28861.0,79.688879
ICE,2020-04-03 04:00:00+00:00,80.85,82.95,80.71,80.99,5432920.0,45070.0,81.325634
ICE,2020-04-06 04:00:00+00:00,83.85,85.655,82.445,84.43,4778696.0,39226.0,84.374004
ICE,2020-04-07 04:00:00+00:00,87.17,87.17,82.11,82.3,5109451.0,40138.0,83.714834
ICE,2020-04-08 04:00:00+00:00,83.17,85.96,82.3,85.34,3870276.0,34568.0,84.471568
ICE,2020-04-09 04:00:00+00:00,86.43,87.865,85.86,87.38,4557605.0,46199.0,87.267746
ICE,2020-04-13 04:00:00+00:00,86.69,86.69,84.67,85.18,3106696.0,20661.0,85.264597
ICE,2020-04-14 04:00:00+00:00,86.72,87.5,86.16,87.0,3762661.0,31743.0,86.892329
ICE,2020-04-15 04:00:00+00:00,86.02,86.74,85.4,86.25,3775396.0,26626.0,86.150735
ICE,2020-04-16 04:00:00+00:00,86.65,88.44,86.0,88.1,2884230.0,26471.0,87.543031
ICE,2020-04-17 04:00:00+00:00,89.74,90.55,87.87,90.4,4514848.0,30749.0,89.734101
ICE,2020-04-20 04:00:00+00:00,90.83,91.73,88.18,89.4,4885713.0,32156.0,89.812507
ICE,2020-04-21 04:00:00+00:00,87.84,88.99,86.74,87.53,3477372.0,32311.0,87.871725
ICE,2020-04-22 04:00:00+00:00,88.74,90.05,87.04,89.19,2560891.0,24718.0,88.962833
ICE,2020-04-23 04:00:00+00:00,89.07,90.3099,88.145,88.5,2366475.0,22021.0,89.19335
ICE,2020-04-24 04:00:00+00:00,89.21,89.33,87.81,88.92,2040408.0,18837.0,88.677018
ICE,2020-04-27 04:00:00+00:00,90.01,92.58,89.8,92.35,2438000.0,23742.0,91.979642
ICE,2020-04-28 04:00:00+00:00,93.51,94.2,90.16,90.29,2529592.0,27609.0,91.044153
ICE,2020-04-29 04:00:00+00:00,91.7,92.26,90.56,90.7,2329793.0,20969.0,91.144339
ICE,2020-04-30 04:00:00+00:00,90.04,91.85,89.03,89.45,4209141.0,32770.0,89.857025
ICE,2020-05-01 04:00:00+00:00,88.55,90.64,88.12,88.67,3558962.0,25367.0,88.944879
ICE,2020-05-04 04:00:00+00:00,88.15,90.5,87.51,89.67,3528925.0,28241.0,89.607955
ICE,2020-05-05 04:00:00+00:00,89.85,93.78,89.68,92.97,2885538.0,29744.0,92.612202
ICE,2020-05-06 04:00:00+00:00,93.34,93.44,91.65,91.74,2474635.0,20961.0,92.541025
ICE,2020-05-07 04:00:00+00:00,92.99,94.68,92.61,93.09,2303059.0,21185.0,93.558483
ICE,2020-05-08 04:00:00+00:00,94.66,94.7,92.77,93.52,2359072.0,22163.0,93.399426
ICE,2020-05-11 04:00:00+00:00,93.22,94.32,92.7,94.1,3623433.0,24147.0,93.982296
ICE,2020-05-12 04:00:00+00:00,94.66,94.7,92.51,92.55,2857253.0,25602.0,93.473828
ICE,2020-05-13 04:00:00+00:00,92.17,93.99,91.41,93.3,3639101.0,34944.0,93.038275
ICE,2020-05-14 04:00:00+00:00,91.77,93.27,91.01,93.25,2710737.0,25164.0,92.530596
ICE,2020-05-15 04:00:00+00:00,92.92,94.09,92.68,93.47,3183446.0,23745.0,93.369925
ICE,2020-05-18 04:00:00+00:00,95.28,96.74,94.39,96.0,3239786.0,27120.0,95.843501
ICE,2020-05-19 04:00:00+00:00,95.51,96.14,92.69,92.96,3275734.0,25717.0,93.650736
ICE,2020-05-20 04:00:00+00:00,94.06,94.36,93.09,93.45,4075352.0,21675.0,93.595285
ICE,2020-05-21 04:00:00+00:00,93.63,93.72,92.04,92.86,2994633.0,22898.0,92.782357
ICE,2020-05-22 04:00:00+00:00,93.16,93.84,92.4151,93.77,2049684.0,20352.0,93.284895
ICE,2020-05-26 04:00:00+00:00,95.34,95.69,94.02,94.23,3312277.0,27864.0,94.583813
ICE,2020-05-27 04:00:00+00:00,94.87,94.99,91.89,92.83,3820758.0,34688.0,92.940128
