symbol,timestamp,open,high,low,close,volume,trade_count,vwap
INVH,2020-03-12 04:00:00+00:00,25.24,27.28,22.0,25.68,6867460.0,44094.0,25.691544
INVH,2020-03-13 04:00:00+00:00,26.78,27.15,25.06,27.05,6862296.0,49817.0,26.167835
INVH,2020-03-16 04:00:00+00:00,24.61,24.9,20.67,20.68,6090088.0,39167.0,22.746618
INVH,2020-03-17 04:00:00+00:00,21.49,22.66,20.04,22.1,7721522.0,46831.0,21.718336
INVH,2020-03-18 04:00:00+00:00,20.94,21.5,17.14,19.3,7394923.0,43934.0,19.063198
INVH,2020-03-19 04:00:00+00:00,19.26,19.63,17.86,18.5,8575410.0,44864.0,18.733989
INVH,2020-03-20 04:00:00+00:00,18.72,18.91,16.87,17.19,9723419.0,52817.0,17.750822
INVH,2020-03-23 04:00:00+00:00,16.93,16.99,15.64,16.13,6844034.0,52585.0,16.259041
INVH,2020-03-24 04:00:00+00:00,17.05,18.26,16.76,18.14,6587569.0,50511.0,17.675618
INVH,2020-03-25 04:00:00+00:00,18.12,19.71,17.78,18.88,8081842.0,53214.0,18.87112
INVH,2020-03-26 04:00:00+00:00,19.07,20.06,18.47,19.93,6734253.0,42155.0,19.510633
INVH,2020-03-27 04:00:00+00:00,19.27,21.5,19.12,20.81,6074513.0,43318.0,20.527896
INVH,2020-03-30 04:00:00+00:00,21.0,21.39,20.06,21.19,6366878.0,48981.0,20.787204
INVH,2020-03-31 04:00:00+00:00,20.9,21.74,20.22,21.37,11046242.0,70211.0,21.114185
INVH,2020-04-01 04:00:00+00:00,20.53,20.69,19.2327,20.28,6083733.0,47995.0,19.9929
INVH,2020-04-02 04:00:00+00:00,19.9,20.55,19.7,20.45,6002726.0,25289.0,20.331707
INVH,2020-04-03 04:00:00+00:00,20.18,20.42,18.87,19.37,5724021.0,49757.0,19.478146
INVH,2020-04-06 04:00:00+00:00,20.16,21.62,20.105,21.45,7893336.0,40772.0,21.304546
INVH,2020-04-07 04:00:00+00:00,22.65,22.99,21.44,21.6,4316928.0,33411.0,21.84604
INVH,2020-04-08 04:00:00+00:00,21.93,23.19,21.38,23.05,4049297.0,25605.0,22.705131
INVH,2020-04-09 04:00:00+00:00,23.64,24.67,23.44,24.31,5606772.0,45384.0,24.244784
INVH,2020-04-13 04:00:00+00:00,24.15,24.2,23.52,23.66,3597215.0,27026.0,23.776993
INVH,2020-04-14 04:00:00+00:00,24.19,24.66,23.915,24.2,9133299.0,23356.0,24.202424
INVH,2020-04-15 04:00:00+00:00,23.44,24.1,23.2,23.81,7226472.0,25614.0,23.768924
INVH,2020-04-16 04:00:00+00:00,23.7,23.77,22.25,22.83,11742009.0,52262.0,22.792321
INVH,2020-04-17 04:00:00+00:00,23.48,24.0,23.08,23.82,5809085.0,32351.0,23.705194
INVH,2020-04-20 04:00:00+00:00,23.45,23.74,22.2,22.24,6081427.0,35030.0,22.498031
INVH,2020-04-21 04:00:00+00:00,21.65,22.09,21.05,21.16,5693266.0,41583.0,21.318906
INVH,2020-04-22 04:00:00+00:00,21.52,22.39,21.31,22.08,5595985.0,30512.0,22.005022
INVH,2020-04-23 04:00:00+00:00,22.3,22.355,21.54,21.59,3293279.0,25397.0,21.725947
INVH,2020-04-24 04:00:00+00:00,21.77,22.015,21.21,21.78,2506244.0,18606.0,21.657362
INVH,2020-04-27 04:00:00+00:00,21.94,22.68,21.79,22.58,1843591.0,13190.0,22.48138
INVH,2020-04-28 04:00:00+00:00,23.18,23.455,22.49,22.8,4129965.0,27337.0,22.95598
INVH,2020-04-29 04:00:00+00:00,23.77,24.13,22.87,23.9,4708294.0,27413.0,23.793466
INVH,2020-04-30 04:00:00+00:00,23.7,23.89,23.11,23.65,3795994.0,23950.0,23.524427
INVH,2020-05-01 04:00:00+00:00,22.99,23.31,22.495,22.87,2275108.0,18599.0,22.838398
INVH,2020-05-04 04:00:00+00:00,22.5,22.88,22.25,22.79,2912191.0,15085.0,22.667325
