symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IRM,2020-03-12 04:00:00+00:00,28.04,28.05,26.24,26.63,6792465.0,43202.0,26.817163
IRM,2020-03-13 04:00:00+00:00,27.38,29.27,26.8746,28.99,6450219.0,38910.0,28.233276
IRM,2020-03-16 04:00:00+00:00,26.03,27.7,24.52,24.63,5580210.0,41343.0,25.786704
IRM,2020-03-17 04:00:00+00:00,25.12,28.7836,25.02,26.87,5855772.0,47350.0,26.683369
IRM,2020-03-18 04:00:00+00:00,25.3,26.71,24.52,26.0,5322446.0,39401.0,25.515651
IRM,2020-03-19 04:00:00+00:00,25.92,26.5,24.65,25.14,4625067.0,34603.0,25.392437
IRM,2020-03-20 04:00:00+00:00,25.38,25.64,22.43,22.71,6306597.0,41320.0,23.6344
IRM,2020-03-23 04:00:00+00:00,22.35,23.33,21.0175,22.4,4249547.0,36564.0,22.204012
IRM,2020-03-24 04:00:00+00:00,23.46,24.66,23.23,24.0,5088296.0,35274.0,23.973925
IRM,2020-03-25 04:00:00+00:00,24.75,26.91,23.87,25.05,5248942.0,37624.0,25.274235
IRM,2020-03-26 04:00:00+00:00,25.13,26.66,24.32,25.47,4702885.0,33834.0,25.442875
IRM,2020-03-27 04:00:00+00:00,24.64,25.3,23.87,24.37,4385117.0,35456.0,24.532025
IRM,2020-03-30 04:00:00+00:00,24.5,25.06,23.41,24.85,3280185.0,25917.0,24.276798
IRM,2020-03-31 04:00:00+00:00,24.65,24.83,23.34,23.8,4342811.0,34419.0,23.89838
IRM,2020-04-01 04:00:00+00:00,23.0,23.49,21.93,22.22,3940163.0,33077.0,22.414421
IRM,2020-04-02 04:00:00+00:00,21.9,22.3,21.0,21.52,4997862.0,38800.0,21.522329
IRM,2020-04-03 04:00:00+00:00,21.3,22.0963,21.25,22.06,3123544.0,29694.0,21.860176
IRM,2020-04-06 04:00:00+00:00,23.5,24.17,22.59,23.31,3415321.0,27514.0,23.328096
IRM,2020-04-07 04:00:00+00:00,24.23,25.46,24.145,24.66,6023023.0,44026.0,24.874323
IRM,2020-04-08 04:00:00+00:00,25.1,26.32,24.805,25.95,4131141.0,30103.0,25.777717
IRM,2020-04-09 04:00:00+00:00,26.5,28.41,26.25,27.11,7926188.0,65274.0,27.465495
IRM,2020-04-13 04:00:00+00:00,27.11,27.2,25.65,26.24,2669703.0,23379.0,26.232373
IRM,2020-04-14 04:00:00+00:00,26.9,27.48,26.35,26.67,3081099.0,22809.0,26.717396
IRM,2020-04-15 04:00:00+00:00,25.84,26.0,24.125,24.61,4381455.0,36124.0,24.715077
IRM,2020-04-16 04:00:00+00:00,24.75,24.99,24.13,24.25,2813914.0,22589.0,24.327664
IRM,2020-04-17 04:00:00+00:00,25.0,25.42,24.51,24.99,2851710.0,21626.0,24.885868
IRM,2020-04-20 04:00:00+00:00,24.51,25.23,24.23,24.67,2459765.0,18453.0,24.775343
IRM,2020-04-21 04:00:00+00:00,24.26,24.87,24.14,24.7,2016355.0,18483.0,24.566382
IRM,2020-04-22 04:00:00+00:00,25.04,25.23,24.42,24.5,2269619.0,19736.0,24.65431
IRM,2020-04-23 04:00:00+00:00,24.4,24.9,24.33,24.43,1915225.0,15400.0,24.524249
IRM,2020-04-24 04:00:00+00:00,24.52,24.59,23.33,23.53,3927905.0,30925.0,23.69734
IRM,2020-04-27 04:00:00+00:00,23.72,24.77,23.64,24.43,2957308.0,17852.0,24.411615
IRM,2020-04-28 04:00:00+00:00,25.13,25.82,24.7,24.79,2812040.0,24022.0,25.078479
IRM,2020-04-29 04:00:00+00:00,25.3,25.64,24.76,24.95,3062264.0,25182.0,25.036184
IRM,2020-04-30 04:00:00+00:00,24.73,24.81,23.69,24.18,4375777.0,30448.0,24.13479
IRM,2020-05-01 04:00:00+00:00,23.67,23.75,23.105,23.6,2459174.0,21023.0,23.490237
IRM,2020-05-04 04:00:00+00:00,23.47,23.52,22.68,22.92,3930591.0,26989.0,22.964647
IRM,2020-05-05 04:00:00+00:00,23.15,23.21,22.455,22.54,4094417.0,28436.0,22.729813
IRM,2020-05-06 04:00:00+00:00,22.78,22.82,21.57,21.92,6670069.0,46001.0,22.02697
IRM,2020-05-07 04:00:00+00:00,24.0,25.6615,23.85,24.55,7966126.0,51909.0,24.914414
IRM,2020-05-08 04:00:00+00:00,24.74,25.13,24.37,24.57,3699209.0,28373.0,24.660156
IRM,2020-05-11 04:00:00+00:00,24.34,24.42,23.92,24.04,2529412.0,17681.0,24.128646
IRM,2020-05-12 04:00:00+00:00,24.17,24.205,23.0309,23.1,3202202.0,25293.0,23.339377
IRM,2020-05-13 04:00:00+00:00,23.0,23.09,22.565,22.82,3641629.0,23635.0,22.774645
IRM,2020-05-14 04:00:00+00:00,22.03,22.67,21.54,22.64,3500708.0,30167.0,22.249801
IRM,2020-05-15 04:00:00+00:00,22.42,22.65,22.185,22.42,2048421.0,16432.0,22.441035
IRM,2020-05-18 04:00:00+00:00,23.19,23.885,23.13,23.67,3628930.0,25993.0,23.689886
IRM,2020-05-19 04:00:00+00:00,23.6,23.98,23.1775,23.46,2278666.0,16238.0,23.674604
IRM,2020-05-20 04:00:00+00:00,24.18,24.335,23.605,23.88,2346027.0,19741.0,23.95669
IRM,2020-05-21 04:00:00+00:00,23.72,24.13,23.5601,23.93,2210030.0,17023.0,23.914726
IRM,2020-05-22 04:00:00+00:00,23.95,24.21,23.72,24.17,1658038.0,14096.0,24.047581
IRM,2020-05-26 04:00:00+00:00,25.1,25.3,24.69,24.85,4408680.0,24343.0,24.946804
IRM,2020-05-27 04:00:00+00:00,25.41,25.48,24.95,25.46,3203481.0,24157.0,25.263918
IRM,2020-05-28 04:00:00+00:00,25.87,25.99,25.44,25.7,3265472.0,24224.0,25.6942
IRM,2020-05-29 04:00:00+00:00,25.47,26.0,25.36,25.76,5238917.0,31044.0,25.747398
IRM,2020-06-01 04:00:00+00:00,25.77,26.57,25.7,26.41,3669685.0,28598.0,26.295818
IRM,2020-06-02 04:00:00+00:00,26.64,26.92,26.31,26.71,3449462.0,23727.0,26.652745
IRM,2020-06-03 04:00:00+00:00,27.17,28.46,27.11,28.4,4668171.0,30979.0,28.0033
IRM,2020-06-04 04:00:00+00:00,28.35,29.06,28.02,29.06,4169329.0,29561.0,28.662557
IRM,2020-06-05 04:00:00+00:00,30.0,30.61,29.6,29.71,5305134.0,35072.0,29.981056
IRM,2020-06-08 04:00:00+00:00,30.25,30.68,29.84,30.56,3395270.0,24707.0,30.341965
IRM,2020-06-09 04:00:00+00:00,29.77,30.225,29.31,30.13,3676111.0,23012.0,30.015636
IRM,2020-06-10 04:00:00+00:00,30.03,30.09,28.9,29.34,2837957.0,20334.0,29.419546
IRM,2020-06-11 04:00:00+00:00,28.04,28.04,26.96,27.61,7618988.0,53334.0,27.496286
IRM,2020-06-12 04:00:00+00:00,27.88,28.0,27.16,27.82,3245184.0,25425.0,27.707889
IRM,2020-06-15 04:00:00+00:00,26.93,28.26,26.83,28.02,2765968.0,23892.0,27.867651
IRM,2020-06-16 04:00:00+00:00,28.99,29.09,27.74,28.17,2974708.0,22818.0,28.286048
IRM,2020-06-17 04:00:00+00:00,28.3,28.4,27.67,27.85,2102659.0,15180.0,27.969125
IRM,2020-06-18 04:00:00+00:00,27.51,27.51,26.81,26.98,5073540.0,33096.0,27.067537
IRM,2020-06-19 04:00:00+00:00,27.49,27.49,26.14,26.34,12337818.0,44324.0,26.445906
IRM,2020-06-22 04:00:00+00:00,26.1,26.16,25.2135,25.75,6022146.0,42046.0,25.574845
IRM,2020-06-23 04:00:00+00:00,25.96,26.37,25.84,26.1,4415806.0,28154.0,26.114094
IRM,2020-06-24 04:00:00+00:00,25.75,25.82,24.89,25.03,8147950.0,51029.0,25.21016
IRM,2020-06-25 04:00:00+00:00,24.86,24.95,24.41,24.64,4986595.0,34456.0,24.636903
IRM,2020-06-26 04:00:00+00:00,24.7,24.9799,24.365,24.67,10798816.0,34221.0,24.674332
IRM,2020-06-29 04:00:00+00:00,24.92,25.75,24.78,25.7,6491906.0,28787.0,25.498281
IRM,2020-06-30 04:00:00+00:00,25.75,26.36,25.61,26.1,5833275.0,34327.0,26.009768
IRM,2020-07-01 04:00:00+00:00,26.26,26.61,26.07,26.25,3441598.0,22664.0,26.285299
IRM,2020-07-02 04:00:00+00:00,26.58,26.66,25.955,26.16,2885884.0,18934.0,26.253711
IRM,2020-07-06 04:00:00+00:00,26.67,26.765,26.22,26.42,3289838.0,21511.0,26.447721
IRM,2020-07-07 04:00:00+00:00,26.02,26.38,25.8,26.04,3181025.0,20249.0,26.126378
IRM,2020-07-08 04:00:00+00:00,26.03,26.18,25.75,26.16,2793012.0,20027.0,26.025584
IRM,2020-07-09 04:00:00+00:00,26.16,26.22,25.58,26.18,3065190.0,23929.0,25.989628
