symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IVZ,2020-03-12 04:00:00+00:00,10.16,10.18,9.17,9.45,10268453.0,51790.0,9.538261
IVZ,2020-03-13 04:00:00+00:00,10.23,10.8,9.01,10.8,13500575.0,64324.0,9.955881
IVZ,2020-03-16 04:00:00+00:00,8.84,9.345,8.25,8.75,9829943.0,48339.0,8.835439
IVZ,2020-03-17 04:00:00+00:00,8.96,10.36,8.17,10.18,12587017.0,62638.0,9.412098
IVZ,2020-03-18 04:00:00+00:00,9.14,11.155,8.95,9.83,12950316.0,76089.0,10.053387
IVZ,2020-03-19 04:00:00+00:00,9.44,10.785,9.11,9.84,5847578.0,43590.0,9.877308
IVZ,2020-03-20 04:00:00+00:00,9.96,9.96,8.53,8.55,11979754.0,54848.0,8.829372
IVZ,2020-03-23 04:00:00+00:00,8.26,8.51,7.38,7.61,7388195.0,57193.0,7.745187
IVZ,2020-03-24 04:00:00+00:00,8.34,8.64,7.89,8.52,8634003.0,50470.0,8.358675
IVZ,2020-03-25 04:00:00+00:00,8.66,9.46,8.285,8.98,9548227.0,63649.0,8.906737
IVZ,2020-03-26 04:00:00+00:00,9.05,10.0,8.92,9.81,10735576.0,69667.0,9.589601
IVZ,2020-03-27 04:00:00+00:00,9.4,9.8735,8.88,9.37,9926119.0,61463.0,9.361017
IVZ,2020-03-30 04:00:00+00:00,9.31,9.66,8.85,9.56,10650668.0,65963.0,9.399486
IVZ,2020-03-31 04:00:00+00:00,9.57,9.64,8.9,9.08,8345549.0,61181.0,9.121487
IVZ,2020-04-01 04:00:00+00:00,8.54,8.57,7.88,8.01,7500416.0,45834.0,8.098023
IVZ,2020-04-02 04:00:00+00:00,8.01,8.55,7.88,8.22,8223416.0,50888.0,8.220175
IVZ,2020-04-03 04:00:00+00:00,8.22,8.375,7.67,7.81,9790050.0,55012.0,7.8552
IVZ,2020-04-06 04:00:00+00:00,8.33,9.06,8.3,8.96,7734265.0,48831.0,8.801776
IVZ,2020-04-07 04:00:00+00:00,9.74,10.128,9.04,9.14,8158244.0,51247.0,9.350242
IVZ,2020-04-08 04:00:00+00:00,9.28,9.6299,9.17,9.47,4794771.0,34667.0,9.448928
IVZ,2020-04-09 04:00:00+00:00,9.85,10.36,9.58,9.86,9320886.0,50110.0,9.943024
IVZ,2020-04-13 04:00:00+00:00,9.9,9.93,9.35,9.57,6497543.0,37955.0,9.594017
