symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KEY,2020-03-12 04:00:00+00:00,11.18,12.1,10.53,10.87,22221262.0,106911.0,10.913847
KEY,2020-03-13 04:00:00+00:00,11.93,12.74,11.34,12.73,18778793.0,91796.0,12.045576
KEY,2020-03-16 04:00:00+00:00,10.0,11.37,9.99,9.99,19113170.0,99512.0,10.411569
KEY,2020-03-17 04:00:00+00:00,10.28,10.33,9.315,10.24,21585298.0,97811.0,9.953765
KEY,2020-03-18 04:00:00+00:00,9.6,9.75,7.94,8.16,19011423.0,96673.0,8.703959
KEY,2020-03-19 04:00:00+00:00,7.96,9.78,7.45,9.35,14661649.0,78900.0,9.023291
KEY,2020-03-20 04:00:00+00:00,9.5,9.86,8.5,9.19,25962081.0,136411.0,9.284202
KEY,2020-03-23 04:00:00+00:00,9.05,9.27,8.32,8.56,17538864.0,95180.0,8.64979
KEY,2020-03-24 04:00:00+00:00,9.32,9.97,9.24,9.77,16539384.0,90203.0,9.64193
KEY,2020-03-25 04:00:00+00:00,10.08,10.425,9.61,9.82,21909274.0,108797.0,10.009881
KEY,2020-03-26 04:00:00+00:00,9.97,11.585,9.645,11.46,23744598.0,115007.0,10.875055
KEY,2020-03-27 04:00:00+00:00,10.72,11.685,10.7,11.2,21571358.0,121576.0,11.290019
KEY,2020-03-30 04:00:00+00:00,11.01,11.235,10.38,10.79,16110129.0,104993.0,10.712342
KEY,2020-03-31 04:00:00+00:00,10.68,10.855,10.12,10.37,18248405.0,90007.0,10.432998
KEY,2020-04-01 04:00:00+00:00,9.63,9.72,9.35,9.45,15278855.0,98202.0,9.493037
KEY,2020-04-02 04:00:00+00:00,9.41,10.02,9.145,9.48,14861746.0,84391.0,9.493718
KEY,2020-04-03 04:00:00+00:00,9.4,9.68,8.96,9.07,12735309.0,68759.0,9.166163
KEY,2020-04-06 04:00:00+00:00,9.7,10.09,9.4956,9.95,14436409.0,77608.0,9.879927
KEY,2020-04-07 04:00:00+00:00,10.76,11.035,10.305,10.45,20756124.0,113352.0,10.587511
KEY,2020-04-08 04:00:00+00:00,10.69,11.46,10.57,11.33,14888451.0,75892.0,11.169897
KEY,2020-04-09 04:00:00+00:00,11.95,12.37,11.71,12.01,21193310.0,110932.0,12.01466
KEY,2020-04-13 04:00:00+00:00,12.06,12.09,11.36,11.56,10628639.0,51889.0,11.582571
KEY,2020-04-14 04:00:00+00:00,11.81,11.9,10.9,11.14,12619121.0,66794.0,11.192194
KEY,2020-04-15 04:00:00+00:00,10.39,10.64,10.25,10.31,15253281.0,78741.0,10.389834
KEY,2020-04-16 04:00:00+00:00,10.35,10.4,9.59,9.74,16588421.0,82930.0,9.767599
KEY,2020-04-17 04:00:00+00:00,10.27,10.9162,10.23,10.81,21254536.0,94288.0,10.710061
KEY,2020-04-20 04:00:00+00:00,10.41,11.37,10.28,10.93,16621829.0,77223.0,10.949798
KEY,2020-04-21 04:00:00+00:00,10.38,10.84,10.3,10.32,16729862.0,78093.0,10.475204
KEY,2020-04-22 04:00:00+00:00,10.61,10.77,10.19,10.23,16735753.0,63894.0,10.319683
KEY,2020-04-23 04:00:00+00:00,10.35,10.74,10.24,10.63,16357859.0,66386.0,10.590128
KEY,2020-04-24 04:00:00+00:00,10.78,11.06,10.66,10.9,14044339.0,52106.0,10.851511
KEY,2020-04-27 04:00:00+00:00,10.99,11.68,10.99,11.61,14301105.0,62212.0,11.465152
KEY,2020-04-28 04:00:00+00:00,12.18,12.38,11.76,11.83,13162984.0,67732.0,11.986083
KEY,2020-04-29 04:00:00+00:00,12.42,12.54,12.08,12.25,11468934.0,53808.0,12.311104
KEY,2020-04-30 04:00:00+00:00,11.85,11.96,11.465,11.65,10858464.0,42044.0,11.680487
KEY,2020-05-01 04:00:00+00:00,11.26,11.33,10.89,11.07,7964248.0,38362.0,11.064282
KEY,2020-05-04 04:00:00+00:00,10.64,10.82,10.46,10.7,12370837.0,54889.0,10.637241
KEY,2020-05-05 04:00:00+00:00,10.99,11.178,10.605,10.63,10187575.0,49762.0,10.884671
KEY,2020-05-06 04:00:00+00:00,10.76,10.89,10.15,10.36,13312775.0,54710.0,10.364362
KEY,2020-05-07 04:00:00+00:00,10.55,11.09,10.505,10.76,12407282.0,60539.0,10.813798
KEY,2020-05-08 04:00:00+00:00,11.07,11.305,10.92,11.28,9623270.0,46238.0,11.17253
KEY,2020-05-11 04:00:00+00:00,11.05,11.05,10.55,10.7,9121123.0,41026.0,10.72388
KEY,2020-05-12 04:00:00+00:00,10.81,11.0,10.16,10.17,12200055.0,59343.0,10.419214
KEY,2020-05-13 04:00:00+00:00,10.09,10.14,9.545,9.66,16388876.0,73593.0,9.682991
KEY,2020-05-14 04:00:00+00:00,9.38,10.005,9.045,9.92,19337097.0,97067.0,9.686357
KEY,2020-05-15 04:00:00+00:00,9.76,10.01,9.6,9.72,11163219.0,51474.0,9.783162
KEY,2020-05-18 04:00:00+00:00,10.31,10.78,10.23,10.71,10566813.0,49930.0,10.583913
KEY,2020-05-19 04:00:00+00:00,10.56,10.64,10.19,10.21,8133519.0,41086.0,10.387708
KEY,2020-05-20 04:00:00+00:00,10.48,10.8,10.41,10.74,10652108.0,51316.0,10.677236
KEY,2020-05-21 04:00:00+00:00,10.66,10.9492,10.625,10.71,9921859.0,48326.0,10.752256
KEY,2020-05-22 04:00:00+00:00,10.77,10.87,10.47,10.74,11575952.0,36663.0,10.697531
KEY,2020-05-26 04:00:00+00:00,11.45,12.06,11.38,11.86,13436236.0,57639.0,11.774659
KEY,2020-05-27 04:00:00+00:00,12.54,12.82,12.1,12.74,13630351.0,63264.0,12.491326
KEY,2020-05-28 04:00:00+00:00,13.01,13.03,12.03,12.09,10817343.0,52133.0,12.281199
KEY,2020-05-29 04:00:00+00:00,11.82,12.05,11.61,11.85,17681024.0,70618.0,11.812535
KEY,2020-06-01 04:00:00+00:00,11.75,11.97,11.5875,11.85,8624352.0,40315.0,11.852585
KEY,2020-06-02 04:00:00+00:00,12.06,12.26,11.835,11.98,8076787.0,39646.0,12.055304
KEY,2020-06-03 04:00:00+00:00,12.31,12.72,12.24,12.58,19009023.0,51026.0,12.582772
KEY,2020-06-04 04:00:00+00:00,12.59,13.55,12.45,13.53,16691908.0,66366.0,13.212683
KEY,2020-06-05 04:00:00+00:00,14.87,15.32,14.37,14.56,25236308.0,111959.0,14.658292
KEY,2020-06-08 04:00:00+00:00,15.06,15.28,14.595,15.21,15903981.0,73686.0,15.05307
KEY,2020-06-09 04:00:00+00:00,14.5,15.17,14.33,14.79,25400641.0,93719.0,14.849353
KEY,2020-06-10 04:00:00+00:00,14.6,14.65,13.81,13.88,26351887.0,110473.0,14.070812
KEY,2020-06-11 04:00:00+00:00,12.61,13.2,12.465,12.7,20733631.0,100271.0,12.727134
KEY,2020-06-12 04:00:00+00:00,13.5,13.52,12.695,13.22,16080716.0,85992.0,13.049374
KEY,2020-06-15 04:00:00+00:00,12.48,13.49,12.38,13.37,17167751.0,91346.0,13.169588
KEY,2020-06-16 04:00:00+00:00,14.12,14.15,13.37,13.72,16929595.0,82703.0,13.739399
KEY,2020-06-17 04:00:00+00:00,13.79,13.81,13.44,13.48,11831267.0,56824.0,13.552705
KEY,2020-06-18 04:00:00+00:00,13.31,13.72,13.12,13.58,14148011.0,63139.0,13.514743
KEY,2020-06-19 04:00:00+00:00,13.9,13.9,13.01,13.35,33550618.0,70146.0,13.355369
KEY,2020-06-22 04:00:00+00:00,13.16,13.54,13.09,13.39,8498017.0,36544.0,13.379165
KEY,2020-06-23 04:00:00+00:00,13.65,13.815,13.33,13.35,11006095.0,50735.0,13.430438
